BV号：BV1GxdgYwEBt
标题：BV1GxdgYwEBt
链接：https://www.bilibili.com/video/BV1GxdgYwEBt
识别语言：zh
语言置信度：1
分段数：427
生成时间：2026-08-30 09:04:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 在近期举行的GTC-2025上
[00:02:34 - 00:02:37] 或许也有人打算采用更为随意的方式
[00:02:37 - 00:02:39] 那就是只使用互联网的视频
[00:02:39 - 00:02:41] 进行下一针下一个token的预测
[00:02:41 - 00:02:44] 并且通过这种方式来了解世界
[00:02:44 - 00:02:46] 但是这样还是无法接触到实际的行为
[00:02:46 - 00:02:51] 也无法了解机器人是如何通过手脚手臂等等身体部位
[00:02:51 - 00:02:52] 来影响世界的
[00:02:52 - 00:02:53] 阿彼尔表示
[00:02:53 - 00:02:56] 虽然互联网数据可以用来构建背景知识
[00:02:56 - 00:02:57] 包括世界的运作
[00:02:57 - 00:02:59] 以及人类交流的方式
[00:02:59 - 00:03:02] 但是实际上我们需要的是一个能够在物理事业中
[00:03:02 - 00:03:04] 完成各种任务的机器人
[00:03:04 - 00:03:07] 所以我们需要在访真环境和真实环境中
[00:03:07 - 00:03:09] 对机器人进行一些强化学习
[00:03:09 - 00:03:12] 来了解它是如何与物体进行交互的
[00:03:12 - 00:03:14] 最后还需要让人类参与到其中
[00:03:14 - 00:03:17] 就像是在大原模型的ROHF中那样
[00:03:17 - 00:03:21] 对机器人的行为给予好 坏 更好 更坏的反馈
[00:03:21 - 00:03:22] 这样机器人才能够了解到
[00:03:22 - 00:03:24] 你不希望它做什么
[00:03:24 - 00:03:26] 不过这样的方式非常的复杂
[00:03:26 - 00:03:28] 这不仅仅是下载数据
[00:03:28 - 00:03:30] 运行训练方案这么简单
[00:03:30 - 00:03:32] 而是一个复杂的拼图游戏
[00:03:32 - 00:03:33] 有许多碎片组成
[00:03:33 - 00:03:36] 每个碎片都有其自身的挑战
[00:03:36 - 00:03:38] RBL这时候展示了一张幻灯片
[00:03:38 - 00:03:40] 也就是数据金字塔
[00:03:40 - 00:03:42] 金字塔的基础是网络数据
[00:03:42 - 00:03:44] 然后是合成访真数据
[00:03:44 - 00:03:46] 而顶端则是现实世界的数据
[00:03:46 - 00:03:48] 可能需要人类参与收集
[00:03:48 - 00:03:49] 与大远模型相比
[00:03:49 - 00:03:51] 目前的业界在机器人领域的
[00:03:51 - 00:03:52] 高信号数据方面
[00:03:52 - 00:03:54] 还没有达成共识
[00:03:54 - 00:03:56] 同时如何最佳的组合数据员
[00:03:56 - 00:03:57] 也没有达成一致
[00:03:57 - 00:04:00] 但是还是有许多令人兴奋的年优成果
[00:04:00 - 00:04:01] 已经开始涌现
[00:04:01 - 00:04:03] 比如说人们可能不再需要
[00:04:03 - 00:04:05] 1000万美元的预算来训练模型
[00:04:05 - 00:04:08] 只需要一个GPU就能够做出惊人的成果
[00:04:08 - 00:04:09] 阿贝尔指出
[00:04:09 - 00:04:10] 对于远程操作来说
[00:04:10 - 00:04:12] 获取符合需求的数据
[00:04:12 - 00:04:13] 最直接的方法
[00:04:13 - 00:04:15] 就是输入摄像头捕捉的画面
[00:04:15 - 00:04:16] 打印出机身的关节角度
[00:04:16 - 00:04:18] 然后输出下一个关节角度
[00:04:18 - 00:04:20] 如果有遥控操作设置
[00:04:20 - 00:04:23] 那么就可以长时间的收集这类数据
[00:04:23 - 00:04:25] 虽然他自己和许多人都认为
[00:04:25 - 00:04:27] 大规模实现这种数据级是完全不可能的
[00:04:28 - 00:04:30] 然而斯坦福大学的切尔西分恩团队证明
[00:04:30 - 00:04:32] 只要设置得到
[00:04:32 - 00:04:33] 也可以快速的收集数据
[00:04:34 - 00:04:36] 虽然这些数据还没有达到互联网的规模
[00:04:36 - 00:04:38] 但是收集速度显著加快了
[00:04:38 - 00:04:39] 阿比尔还介绍到
[00:04:39 - 00:04:40] 在这个案例中
[00:04:40 - 00:04:43] 通过第二代mobile而loha操作系统
[00:04:43 - 00:04:45] 实验人员可以对机器人进行远程操作
[00:04:45 - 00:04:48] 然后再用得到的数据训练一个神经网络
[00:04:48 - 00:04:49] 自主执行任务
[00:04:49 - 00:04:56] 后来切尔西芬恩、塞尔杰奥莱文、卡罗尔豪斯曼一起创办了一家公司Fascale Intelligence
[00:04:56 - 00:04:59] 也就是Pie 并且成功地建立了大规模的数据收集系统
[00:04:59 - 00:05:02] 阿比尔展示了一个Pie机器人整理衣物的视频
[00:05:02 - 00:05:06] 他提醒观众注意其中机器人自我揪错的行为
[00:05:06 - 00:05:09] 这显然不是一次按照脚本进行的衣物折叠过程
[00:05:09 - 00:05:11] 而是通过神经网络控制完成的任务
[00:05:11 - 00:05:14] 他学会了如何应对大量的变化
[00:05:14 - 00:05:17] 以及当计划出现微小偏差的时候如何进行纠正
[00:05:17 - 00:05:19] 而对于跟踪手部动作来说
[00:05:19 - 00:05:22] 加州大学圣地亚哥分校的王小龙教授团队
[00:05:22 - 00:05:24] 与麻省理工学院的研究人员合作
[00:05:24 - 00:05:27] 已经证明了可以使用AppleVisionPro
[00:05:27 - 00:05:30] 从MIT进行遥控操作来跟踪手部的动作
[00:05:30 - 00:05:34] 其中MIT的手部动作是由AppleVisionPro进行跟踪
[00:05:34 - 00:05:36] 并且通过普通的互联网发送的
[00:05:36 - 00:05:39] 允许操作者远程控制这个机械
[00:05:39 - 00:05:41] 当然了由于是远程控制的
[00:05:41 - 00:05:43] 所以会存在一定的延迟
[00:05:43 - 00:05:45] 因此需要缓慢的操作
[00:05:45 - 00:05:48] 如果動作太快就很難與機器人保持同步
[00:05:48 - 00:05:49] 不過在這個過程中
[00:05:49 - 00:05:52] 機器人已經可以完成一些非常有趣的事情
[00:05:52 - 00:05:53] 其中一個例子
[00:05:53 - 00:05:56] 是讓機器人將一個很小的耳塞放入盒子中
[00:05:56 - 00:05:59] 展示了在當前機器人硬件和正確的控制下
[00:05:59 - 00:06:01] 機器人可能具備的靈巧性
[00:06:01 - 00:06:03] 儘管對人形機器人很感興趣
[00:06:03 - 00:06:04] 但是RBL還是認為
[00:06:04 - 00:06:07] 不應該低估四族機器人未來的普及程度
[00:06:07 - 00:06:09] 因為四族機器人更容易操作
[00:06:09 - 00:06:10] 不容易摔倒
[00:06:10 - 00:06:12] 而且更加穩定
[00:06:12 - 00:06:14] 四族機器人也可以裝上手臂
[00:06:14 - 00:06:16] 而不仅仅局限于四条腿
[00:06:16 - 00:06:17] 阿比尔展示了一段视频
[00:06:17 - 00:06:19] 在王小龙教授的家里
[00:06:19 - 00:06:21] 装有手臂的四足机械
[00:06:21 - 00:06:23] 可以自主的打扫孩子们的玩具房
[00:06:23 - 00:06:24] 从另一个方面来看
[00:06:24 - 00:06:26] 既然人类每天都在用手
[00:06:26 - 00:06:27] 进行烹饪
[00:06:27 - 00:06:27] 打扫
[00:06:27 - 00:06:28] 整理
[00:06:28 - 00:06:30] 建造等等各种各样的事情
[00:06:30 - 00:06:32] 那为什么不直接记录下来呢
[00:06:32 - 00:06:33] 卡内基民众大学的
[00:06:33 - 00:06:34] 迪帕克帕塔克
[00:06:34 - 00:06:36] 正在进行类似的研究工作
[00:06:36 - 00:06:37] 这里的关键思想是
[00:06:37 - 00:06:38] 如果让神经网络
[00:06:38 - 00:06:40] 观看人类动作的视频
[00:06:40 - 00:06:42] 那么或许应该利用在训练神经网络
[00:06:42 - 00:06:44] 全众时使用的损失函数
[00:06:44 - 00:06:46] 来鼓励和优化神经网络
[00:06:46 - 00:06:47] 通过这种方式
[00:06:47 - 00:06:50] 机器人以后再被要求完成任务的时候
[00:06:50 - 00:06:51] 就不必从头开始学习了
[00:06:51 - 00:06:54] 因为它已经对物理世界的交互有了认知
[00:06:54 - 00:06:55] 比方说它会知道
[00:06:55 - 00:06:57] 文把手抽地把手
[00:06:57 - 00:06:59] 是它应该首先操作打开的位置
[00:06:59 - 00:07:00] 这样做的好处是
[00:07:00 - 00:07:02] 它教会了机器人一些鲜艳知识
[00:07:02 - 00:07:04] 比如说哪些东西是有趣的
[00:07:04 - 00:07:06] 在自主行走方面
[00:07:06 - 00:07:08] 目前阿比尔在伯克利的一些同事
[00:07:08 - 00:07:09] 取得了一些成果
[00:07:09 - 00:07:10] 他们通过神经网络控制下的
[00:07:10 - 00:07:14] 仿真机器人动作收集了大量关于行走的数据级
[00:07:14 - 00:07:17] 其中包括了机器人的所有关节角度
[00:07:17 - 00:07:19] 对于这些关节施加的指令
[00:07:19 - 00:07:21] 机器人的指心以及它的姿态等等
[00:07:21 - 00:07:24] 而表指出在某些数据集中动作被忽略了
[00:07:24 - 00:07:27] 通常这只是机器人状态的一系列序列
[00:07:27 - 00:07:29] 再加上人类的数据作为参照
[00:07:29 - 00:07:31] 包括互联网上的低质量视频
[00:07:32 - 00:07:33] 而现在得到的是一个
[00:07:33 - 00:07:35] 看起来更像是大圆模型的训练级
[00:07:36 - 00:07:37] 对于后三个数据级
[00:07:37 - 00:07:38] 其实都是状态序列
[00:07:39 - 00:07:40] 而对于第一个数据级
[00:07:40 - 00:07:42] 狀態和動作是交替的
[00:07:42 - 00:07:44] 研究團隊通過訓練一個大型的
[00:07:44 - 00:07:44] Transformer模型
[00:07:44 - 00:07:46] 來預測下一個token
[00:07:46 - 00:07:48] 隨後再運行了一些額外的強化學習
[00:07:48 - 00:07:50] 進行獎勵反饋優化
[00:07:50 - 00:07:53] 隨後研究團隊在更加崎嶇的地形上
[00:07:53 - 00:07:54] 進行了訓練
[00:07:54 - 00:07:56] 然後在現實世界中進行測試
[00:07:56 - 00:07:58] 目前這個系統已經完成了
[00:07:58 - 00:07:59] 超過4英里的現實圖布
[00:08:00 - 00:08:01] 在自主性上
[00:08:01 - 00:08:02] 這個機器人
[00:08:02 - 00:08:04] 實際上是在沒有攝像頭輸的狀態下
[00:08:04 - 00:08:06] 實現多種地形的行走的
[00:08:06 - 00:08:08] 它只是知道自己的身體姿態
[00:08:08 - 00:08:11] 并且能够有效地感知脚下发生的情况
[00:08:11 - 00:08:13] 不过同时也会有人使用操作感
[00:08:13 - 00:08:15] 来控制机器人的移动方向
[00:08:15 - 00:08:18] 所以高层次的导航是由人来指示方向的
[00:08:18 - 00:08:21] 但是所有的低层次的控制都是自主的
[00:08:21 - 00:08:23] 另一个阿贴团队正在研究的课题
[00:08:23 - 00:08:25] 是如何让机器人跑的更快
[00:08:25 - 00:08:28] 目前人类跑完100米大约需要10几秒
[00:08:28 - 00:08:30] 机器人需要20几秒
[00:08:30 - 00:08:33] 而柏克利的团队通过强化学习来训练控制器
[00:08:33 - 00:08:35] 试图让机器人的速度最大化
[00:08:35 - 00:08:37] 现场展示的机器人没有上半身
[00:08:37 - 00:08:40] 它是DJT机器人的一个早期版本
[00:08:40 - 00:08:43] 可以看到这个机器人能够以非常自然的方式来运动
[00:08:43 - 00:08:45] 可以快速的跑完100米
[00:08:45 - 00:08:47] 同样的强化学习也让它学会了跳跃
[00:08:47 - 00:08:49] 阿贝尔强调跳跃其实更加困难
[00:08:49 - 00:08:51] 因为这需要在落地的时候保持稳定
[00:08:51 - 00:08:54] 也需要在后续做出大量的亮枪动作
[00:08:54 - 00:08:56] 来弥补落地的不协调
[00:08:56 - 00:08:57] 通过使用类似的技术
[00:08:57 - 00:08:59] 也可以训练一个四足机器人
[00:08:59 - 00:09:00] 让它成为足球守门员
[00:09:00 - 00:09:02] 从视频来看
[00:09:02 - 00:09:05] 这个守门员机器人可以通过摄像头来捕捉足球
[00:09:05 - 00:09:07] 并且做出快速的反应跳跃
[00:09:07 - 00:09:08] 扑旧或者是阻挡足球
[00:09:09 - 00:09:10] 在价格方面
[00:09:10 - 00:09:10] 阿彪尔表示
[00:09:11 - 00:09:12] 伯克利正在以非常低的预算
[00:09:12 - 00:09:13] 来构建机器人
[00:09:13 - 00:09:16] 他认为机器人的价格真的会快速的下降
[00:09:16 - 00:09:19] 使得硬件的价格将不再是构建机器人的障碍
[00:09:19 - 00:09:21] 对于近期横火的语述
[00:09:21 - 00:09:22] 这一机器人表演功夫的视频
[00:09:23 - 00:09:23] 阿彪尔表示
[00:09:24 - 00:09:26] 语述很可能是先对人类的相同动作
[00:09:26 - 00:09:27] 进行了动作捕捉
[00:09:27 - 00:09:29] 然后重新定位到机器人
[00:09:29 - 00:09:30] 可以执行的动作上
[00:09:30 - 00:09:32] 考虑到机器人的物理限制
[00:09:32 - 00:09:34] 这需要在模拟环境中运行强化学习
[00:09:34 - 00:09:36] 学习执行这些动作
[00:09:36 - 00:09:38] 然后再转移到真实世界的机器人上
[00:09:38 - 00:09:39] 让它得以执行
[00:09:39 - 00:09:42] 其实如今很多人形机器人的全身控制
[00:09:42 - 00:09:43] 都需要依赖于访真
[00:09:43 - 00:09:44] 而且事实证明
[00:09:44 - 00:09:46] 访真数据的质量非常高
[00:09:46 - 00:09:49] 这是因为足智机器人与世界的接触的点
[00:09:49 - 00:09:50] 主要集中在脚步
[00:09:50 - 00:09:53] 所以只需要关注这部分的训练即可
[00:09:53 - 00:09:54] 但是在上职操作中
[00:09:54 - 00:09:57] 机器人会面临更多的细节上的问题
[00:09:57 - 00:09:58] 比如说物体可能变形
[00:09:58 - 00:09:59] 破裂
[00:09:59 - 00:10:00] 以及大量的随机世界
[00:10:00 - 00:10:02] 那么接下来的重要问题是
[00:10:02 - 00:10:06] 要如何将更多现实世界的信息融入到仿真器中
[00:10:06 - 00:10:09] 这是阿比亚的一名学生亚瑟在做的一个项目
[00:10:09 - 00:10:11] 他们认为在收集人类行为的视频时
[00:10:11 - 00:10:13] 不仅可以进行动作捕捉
[00:10:13 - 00:10:15] 还应该要捕捉周围的环境
[00:10:15 - 00:10:16] 在一个实验案例中
[00:10:16 - 00:10:18] 他们将楼梯融入到了仿真环境中
[00:10:18 - 00:10:20] 然后通过强化学习
[00:10:20 - 00:10:22] 在模拟中执行了一些复杂的动作
[00:10:22 - 00:10:24] 这其中的关键在于
[00:10:24 - 00:10:25] 如今通过类似于NERF
[00:10:25 - 00:10:27] 或者是3D高丝破键等技术
[00:10:27 - 00:10:30] 神经网络正在真正的理解世界的三维结构
[00:10:30 - 00:10:32] 同样也可以通过这种方式
[00:10:32 - 00:10:35] 将世界的三维信息融入到极权的讽真环境中
[00:10:35 - 00:10:39] 随后阿比尔介绍了一项最新让他感到非常兴奋的工作
[00:10:39 - 00:10:41] 那就是Body Transformer
[00:10:41 - 00:10:43] 阿比尔指出 如果观察人类和动物
[00:10:43 - 00:10:46] 会发现他们之间存在着一种空间连接性
[00:10:46 - 00:10:49] 比如说当人类感受到指尖被灼烧的时候
[00:10:49 - 00:10:52] 反应路径并不一定要一路传遞到大脑
[00:10:52 - 00:10:54] 而是存在一条更短的路径
[00:10:54 - 00:10:56] 这条路径能够让人们快速做出反应
[00:10:56 - 00:11:00] 而通过这样的方式来构建机身的身体会更加容易
[00:11:00 - 00:11:03] 因为能够同时具备处理事情的短路径和长路径
[00:11:03 - 00:11:06] 这实际上是一种归纳偏制
[00:11:06 - 00:11:09] 也就是对模型进行偏好选择的鲜艳假设或者是限制
[00:11:09 - 00:11:12] 这种局部性反而可能实现更快的学习
[00:11:12 - 00:11:15] 不过比起单一的神经网络
[00:11:15 - 00:11:18] 现代阿贝尔团队对于模块化的架构更感兴趣
[00:11:18 - 00:11:19] 在这样的架构中
[00:11:19 - 00:11:21] 传辍方面中的连接不是全连接的
[00:11:21 - 00:11:22] 而是局部连接
[00:11:22 - 00:11:25] 这样可以更加有效的查看机身的股价
[00:11:25 - 00:11:27] 并且利用它作为归纳偏制
[00:11:27 - 00:11:29] 让模型变得更加高效
[00:11:29 - 00:11:31] 同时由于采用了局部连接
[00:11:31 - 00:11:32] 当应用注意力的时候
[00:11:32 - 00:11:34] 就能够实现多频率推理
[00:11:34 - 00:11:37] 并且在强化学习中提供局部化的信用分配
[00:11:37 - 00:11:38] 阿贝尔介绍到
[00:11:38 - 00:11:40] 强化学习中的一个常见的挑战是
[00:11:40 - 00:11:42] 当机器人完成一个任务之后
[00:11:42 - 00:11:44] 庞大的黑箱transformer
[00:11:44 - 00:11:45] 无法告诉你具体的原因
[00:11:45 - 00:11:47] 而BodyTransformer可以分析出
[00:11:47 - 00:11:50] 导致任务成功或者是失败的原因
[00:11:50 - 00:11:52] 甚至可以具体到手和脚都做了什么
[00:11:52 - 00:11:53] 这样一来
[00:11:53 - 00:11:54] 基于机器人的局部性
[00:11:54 - 00:11:57] 本质上其实是拥有了一个稀疏的注意力
[00:11:57 - 00:11:59] 称为Masked Attention
[00:11:59 - 00:12:01] 途中的灰色曲线就表明
[00:12:01 - 00:12:02] 与Masked Attention相比
[00:12:02 - 00:12:05] For Attention每次迭代需要更多的时间
[00:12:05 - 00:12:06] 计算成本也高得多
[00:12:06 - 00:12:09] 而具有Masked Attention的Body Transformer
[00:12:09 - 00:12:11] 不仅提高了模仿学习的效率和可扩展性
[00:12:11 - 00:12:15] 而且在数据较少的情况下也能够很好的工作
[00:12:15 - 00:12:16] 比如说在实力中
[00:12:16 - 00:12:18] 机型只需要三次演示
[00:12:18 - 00:12:19] 就能够学会完成一项任务
[00:12:19 - 00:12:21] 这就是一种很好的归纳片质
[00:12:21 - 00:12:24] 因此阿比尔认为只需要一块不错的GPU
[00:12:24 - 00:12:27] 人们甚至在家里就能够训练出一个机器人来
[00:12:27 - 00:12:29] 而对于机器人的未来发展
[00:12:29 - 00:12:31] 阿比尔认为要想让机器人取得进步
[00:12:31 - 00:12:34] 首先要确保为他设定了正确的目标
[00:12:34 - 00:12:36] 他提到许多人会问
[00:12:36 - 00:12:38] 为什么不将机器人设计得更强呢
[00:12:38 - 00:12:40] 甚至超越物理极限呢
[00:12:40 - 00:12:43] 这是因为这样的目标需要将机器人设计得很重
[00:12:43 - 00:12:44] 移动起来也很困难
[00:12:44 - 00:12:47] 更理想的状态应该是让他们既安全
[00:12:47 - 00:12:48] 又尽可能的轻便
[00:12:48 - 00:12:51] 也就是让它在接近物理极限的情况下工作
[00:12:51 - 00:12:52] 将能力最大化
[00:12:52 - 00:12:54] 而这个目标已经被整合到了
[00:12:54 - 00:12:56] Human Naoyi的Batch基準測試中
[00:12:56 - 00:12:58] 它不僅包含了問題的設置
[00:12:58 - 00:12:59] 還配備了觸覺感知功能
[00:13:00 - 00:13:00] 阿比爾指出
[00:13:00 - 00:13:02] 原先的傳統算法
[00:13:02 - 00:13:04] 在處理大規模動作空間的時候
[00:13:04 - 00:13:05] 存在著一定的難度
[00:13:05 - 00:13:07] 比如說如果只控制身體
[00:13:07 - 00:13:08] 而不控制手
[00:13:08 - 00:13:10] 雖然學習的速度會快很多
[00:13:10 - 00:13:12] 但是這樣會欠缺全身控制的能力
[00:13:12 - 00:13:14] 而通過採用分層的方法
[00:13:14 - 00:13:15] 將技能節有
[00:13:15 - 00:13:16] 能夠取得更好的進展
[00:13:17 - 00:13:19] 比如說從一個伸手策略開始
[00:13:19 - 00:13:20] 通過強化學習
[00:13:20 - 00:13:21] 來教機器人達到一個目標
[00:13:21 - 00:13:23] 然後在這個基礎模型上
[00:13:23 - 00:13:24] 再去学习做其他的事情
[00:13:25 - 00:13:28] RBL还介绍了与谷歌DMind合作开发的
[00:13:28 - 00:13:29] Modercode Playground
[00:13:29 - 00:13:31] Modercode Playground是一个模拟了
[00:13:31 - 00:13:33] 各种各样任务的开源仿真平台
[00:13:33 - 00:13:35] 支持批量的GPU渲染
[00:13:35 - 00:13:37] 只需要一行代码及可安装
[00:13:37 - 00:13:39] 对比来看DMind的Contrastuit
[00:13:39 - 00:13:41] 是一个长期的机器人控制测试环境
[00:13:41 - 00:13:43] 用来测试多种算法
[00:13:43 - 00:13:45] 它可以在仿真环境中运行各种机器人
[00:13:45 - 00:13:47] 然后将它转移到现实世界中
[00:13:47 - 00:13:49] 而Modercode Playground
[00:13:49 - 00:13:50] 则会先定义任务
[00:13:50 - 00:13:52] 通常也意味着定义奖励
[00:13:52 - 00:13:53] 而且是多个奖励
[00:13:53 - 00:13:55] 来告诉系统真正想要什么
[00:13:55 - 00:13:57] 然后再开始训练模拟
[00:13:57 - 00:13:59] 它通常会使用PPU算法
[00:13:59 - 00:14:01] 并且根据需要来调整奖励
[00:14:01 - 00:14:02] 如果没有得到想要的结果
[00:14:02 - 00:14:05] 使用者还可以逐步构建更为困难的任务
[00:14:05 - 00:14:07] 然后通过预随计划
[00:14:07 - 00:14:09] 为访证过程添加一点随机性
[00:14:09 - 00:14:10] 在演讲的最后
[00:14:10 - 00:14:11] 阿彪尔和他的学生
[00:14:11 - 00:14:12] 展示了一个基于
[00:14:12 - 00:14:14] Modernco Playground的训练的机器人
[00:14:14 - 00:14:16] 即便在有人拉动遥控手柄
[00:14:16 - 00:14:17] 进行干扰的时候
[00:14:17 - 00:14:19] 机器人也能够向前向后
[00:14:19 - 00:14:20] 或者是侧向行走
[00:14:20 - 00:14:23] 并且在出现错误的时候能够进行恢复
[00:14:23 - 00:14:25] 好了 以上就是阿彪这次演讲的主要内容了
[00:14:25 - 00:14:28] 希望能够对想要了解机器人领域发展的
[00:14:28 - 00:14:29] 观众朋友们有所帮助
[00:14:29 - 00:14:30] 感谢观看本期视频
[00:14:30 - 00:14:31] 我们下期再见
