BV号：BV1gvb66kES7
标题：BV1gvb66kES7
链接：https://www.bilibili.com/video/BV1gvb66kES7
识别语言：zh
语言置信度：1
分段数：276
生成时间：2026-08-29 11:46:48

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] Cursor刚发布了新产品Origin官方定位一针键写
[00:02:54 - 00:02:57] 重复的Ci跑皮和冲突的PRCiBall
[00:02:57 - 00:03:02] UI卡顿只是表象真正的系统压力全压在对列吞吐
[00:03:02 - 00:03:04] 全线管控和评身者的注意力上
[00:03:04 - 00:03:07] Origin的机会恰恰就在这个节奏差
[00:03:07 - 00:03:08] 老流程不是不能跑
[00:03:08 - 00:03:10] 但每一步都在干耗协调成本
[00:03:10 - 00:03:14] 在传统的开发流理代码平台就是个存代码的库
[00:03:14 - 00:03:16] 但在Agent的工作流理
[00:03:16 - 00:03:18] 它被硬生生推到了控制平面的位置
[00:03:18 - 00:03:21] 任务一下发平台得挑执行环境
[00:03:21 - 00:03:24] 发零时token 锁住基础提交
[00:03:24 - 00:03:25] agent 写完了
[00:03:25 - 00:03:27] 平台得记下它用了啥模型
[00:03:27 - 00:03:28] 开了哪些工具 权限
[00:03:28 - 00:03:30] 要是多agent 并发
[00:03:30 - 00:03:33] 还得防着他们改同一段代码产生冲突
[00:03:33 - 00:03:36] 合并前要验身份 合并后还要钉部署
[00:03:36 - 00:03:38] 这套流程太像容器平台的调度了
[00:03:38 - 00:03:42] 仓库存代码对象 控制面编排变更对象
[00:03:42 - 00:03:44] 谁捏住了这条时间链
[00:03:44 - 00:03:46] 谁就决定了agent 能干多少活
[00:03:46 - 00:03:48] 现在的agent 在 IDE 里啃完代码
[00:03:48 - 00:03:51] 还得跨平台去8PR意检和CI爆错
[00:03:52 - 00:03:54] 拿到的上下文经常是过期的
[00:03:54 - 00:03:57] 一个红灯CI可能又要触发重新拉取
[00:03:57 - 00:03:59] 修复便率再做重够提交
[00:03:59 - 00:04:02] 就像咱们坚持的测试驱动开发一样
[00:04:02 - 00:04:05] 整个循环一旦被打断成本极高
[00:04:05 - 00:04:07] 人类看来就是点几下鼠标
[00:04:07 - 00:04:09] 但系统后台跑了N轮健全和统布
[00:04:10 - 00:04:11] 上下文越碎
[00:04:11 - 00:04:13] 缓存命重率越低
[00:04:13 - 00:04:15] 爆错恢复就越难
[00:04:15 - 00:04:18] Origin和Cursor深度绑定的核心价值
[00:04:18 - 00:04:20] 可能就是干掉这些网络网反开销
[00:04:20 - 00:04:22] 仓库事件直达Agent的状态
[00:04:22 - 00:04:25] review意见直接绑死在某次commit上
[00:04:25 - 00:04:29] 一次读到脏数据整轮推理的算力就全打水漂了
[00:04:29 - 00:04:32] 现在的PR标题和讨论都是写给人看的
[00:04:32 - 00:04:34] 等Agent的大规模加入后
[00:04:34 - 00:04:37] PR必须进化成机器能读懂的协议
[00:04:37 - 00:04:40] 它得声明任务的来源、权限、边界和执行证据
[00:04:40 - 00:04:42] 哪些跑过了真实测试
[00:04:42 - 00:04:45] 哪些只是静态分析扫出来的都得闷清
[00:04:45 - 00:04:47] 是错的费案也得存下来
[00:04:47 - 00:04:48] 免得下一个Agent的走弯路
[00:04:48 - 00:04:51] 指望大模型自动写一段总结根本不够
[00:04:51 - 00:04:55] 最靠谱的工程实践是把证据全做成结构化对象
[00:04:55 - 00:04:59] 执行命令退出马日制摘要全得能独立教验
[00:04:59 - 00:05:02] 协议定的文底层随便换模型都不会断流水线
[00:05:02 - 00:05:05] 让Agent的写代码成本已经很白菜架了
[00:05:05 - 00:05:07] 但把代码安全合计主干依然很贵
[00:05:07 - 00:05:11] 像Gatehub可以强制要求跑检查和代码扫描
[00:05:11 - 00:05:13] Agent的平台至少得补齐这些文件
[00:05:13 - 00:05:16] 还得严查人语机的身份边界
[00:05:16 - 00:05:19] 一个Agent能改文档绝不意味着它能碰支付逻辑
[00:05:19 - 00:05:23] 单策略了不代表结果可信检查来源一样的溯源
[00:05:23 - 00:05:26] 最理想的状态是全线跟着任务发
[00:05:26 - 00:05:28] 任务结束立马销毁
[00:05:28 - 00:05:31] 测评Orgin建议直接拿最敏感的底层仓库去压侧
[00:05:31 - 00:05:34] 安全团队肯定比一线开发更早闻到风险
[00:05:34 - 00:05:37] 如果Orgin只是把Gateb网页套了个壳
[00:05:37 - 00:05:38] 那价值真不大
[00:05:38 - 00:05:42] Agent的工作流互换几种全新的原生对象
[00:05:42 - 00:05:44] 首先是任务运行实力
[00:05:44 - 00:05:47] 它需要打包环境权限和算力预算
[00:05:47 - 00:05:50] 其次是证据包用来落盘测试录像和日制
[00:05:50 - 00:05:52] 最后是候选变更组
[00:05:52 - 00:05:54] 得支持多个Agent的方案横向PK
[00:05:54 - 00:05:56] 提前拦截代码冲突
[00:05:56 - 00:05:58] 对于长号时任务还得有心跳机制
[00:05:58 - 00:06:01] 防着失联进程一直站在权限
[00:06:01 - 00:06:04] 没有这些Agent永远只是个打字快点的马农
[00:06:04 - 00:06:06] 官方把快当成了卖点
[00:06:06 - 00:06:10] 但代码平台的快绝不仅仅是前端页面的低延迟
[00:06:10 - 00:06:12] Agent会把操作彻底碎片化
[00:06:12 - 00:06:15] 如果平台对每个事件都触发完整C,I
[00:06:15 - 00:06:18] 算力账单绝对原地爆炸
[00:06:18 - 00:06:19] 对列稍微抖一下
[00:06:19 - 00:06:21] Agent堵了旧状态
[00:06:21 - 00:06:23] 就会反复做无效修复
[00:06:23 - 00:06:24] 更要命的是并发
[00:06:24 - 00:06:27] 10个Agent基于同一个Commit拉分支
[00:06:27 - 00:06:29] 跑得越慢的合主干时冲突越惨
[00:06:29 - 00:06:32] 真正懂行的速度指标看的是事件确认
[00:06:32 - 00:06:36] 调度并发冲突前置发现和故障恢复效率
[00:06:36 - 00:06:38] 老板别以为Agent的产能翻10倍
[00:06:38 - 00:06:40] 团队的code review能力也能跟着翻
[00:06:40 - 00:06:42] 待河变更易多
[00:06:42 - 00:06:44] reviewer只能看摘药
[00:06:44 - 00:06:46] 摘药越长细节越容易漏
[00:06:46 - 00:06:50] Agent的原生的托管平台必须主动给reviewer减负
[00:06:50 - 00:06:52] 系统需要先把重复方案做巨类
[00:06:52 - 00:06:55] 将纯格式改动跟核心逻辑强隔离
[00:06:55 - 00:06:58] 遇到高危路径自动提升审核等级
[00:06:58 - 00:07:01] 还要把测试证据直接挂在具体的代码行旁边
[00:07:01 - 00:07:02] reviewer最需要看的
[00:07:02 - 00:07:06] 是一份诚实的模型没测什么的缺口清单
[00:07:06 - 00:07:09] 解决不了注意力分配就谈不上提升团队吞吐
[00:07:09 - 00:07:11] 平时大家用Gate都有固定账号
[00:07:11 - 00:07:15] 但Agent哪都有,背后接的模型还天天变
[00:07:15 - 00:07:17] 如果全算在一个机器人头上
[00:07:17 - 00:07:19] 一旦出事回速起来简直是灾难
[00:07:19 - 00:07:23] 生产级的平台必须能追溯到具体的出发任务
[00:07:23 - 00:07:25] 授权人执行环境和模型版本
[00:07:25 - 00:07:29] 临时Token必须死死绑定特定仓库和分支
[00:07:29 - 00:07:31] 落实到产品里还得扣神机导出
[00:07:31 - 00:07:34] 单点登录和全线自动回收这些死角
[00:07:34 - 00:07:36] 原码防线的新任门槛
[00:07:36 - 00:07:38] 永远比编辑器高出一个数量级
[00:07:38 - 00:07:40] 没有哪个仓库是做孤岛
[00:07:40 - 00:07:41] 它外围往往挂着Actions
[00:07:41 - 00:07:44] 自建Runner之品库和通知机器人
[00:07:44 - 00:07:46] Orgin能拉走Gate提交
[00:07:46 - 00:07:49] 但这坨依赖向可不会自己长脚
[00:07:49 - 00:07:50] Webhook参数一遍
[00:07:50 - 00:07:51] 自研工具链就得重构
[00:07:51 - 00:07:54] 状态明媒对上直接卡死分支门镜
[00:07:54 - 00:07:57] 大型团队还有各种合规规当诉求
[00:07:57 - 00:07:59] 新平台要么接口完全兼容
[00:07:59 - 00:08:01] 要么提供无痛替换方案
[00:08:01 - 00:08:04] 算遷移成本别墅仓库数量
[00:08:04 - 00:08:06] 得数集成接口和隐藏规则
[00:08:06 - 00:08:08] 好在Gate底层的分布式设计
[00:08:08 - 00:08:10] 给我们留了条绝佳的退路
[00:08:10 - 00:08:13] 完整的Clone带着历史且天然支持Dorremote
[00:08:13 - 00:08:16] 团队完全可以继续拿Gatehub当主库
[00:08:16 - 00:08:18] 把Origin当成镜像或实验区
[00:08:18 - 00:08:20] 但要注意Gate只管代码
[00:08:20 - 00:08:23] PR评论CI历史和密钥是带不走的
[00:08:23 - 00:08:24] 如果搞双血
[00:08:24 - 00:08:27] 谁是最终的事实员必须提前排转
[00:08:27 - 00:08:28] Tag怎么打
[00:08:28 - 00:08:30] 能不能强制推送权得对其
[00:08:30 - 00:08:32] 这不是免费的高可用
[00:08:32 - 00:08:35] 数据主权和故障预案必须提前写清楚
[00:08:35 - 00:08:37] 很多团队怕被平台绑架
[00:08:37 - 00:08:40] 上了Agent的锁定点反而更多
[00:08:40 - 00:08:42] 你的Prompt母版任务流证据格式
[00:08:42 - 00:08:45] 弄跑全程了平台的私有数据
[00:08:45 - 00:08:48] 最稳的防御是要求核心资产权量可导出
[00:08:48 - 00:08:50] 任务输入得能存成普通文本
[00:08:50 - 00:08:54] 测试证据的是开放格式运行环境最好用代码描述
[00:08:54 - 00:08:56] Cursor搞全家统用起来肯定爽
[00:08:56 - 00:08:58] 但我们也得守住边界
[00:08:58 - 00:09:01] 工程可签一性,要在签合同前就驗收完。
[00:09:01 - 00:09:03] 别等续费时再扯皮液。
[00:09:03 - 00:09:07] 如果你拿到了内侧资格,建议从6个维度实操压侧。
[00:09:07 - 00:09:11] 第一是查GIT协议,压侧大仓库性能和签名验证。
[00:09:11 - 00:09:14] 第二是看协作对象过一遍PR和评审流转。
[00:09:14 - 00:09:18] 第三是盯死治理门禁验状态检查和月圈拦截。
[00:09:18 - 00:09:23] 第四是过一遍身份体系,测单点登录和临时评据。
[00:09:23 - 00:09:28] 第五是盘点基建集成,看webhawk和制品库能不能无缝对接。
[00:09:28 - 00:09:30] 最后一步,一定要找个内部服务
[00:09:30 - 00:09:33] 使操一把权量镜像备份和灾难恢复
[00:09:33 - 00:09:37] 把号石权记下来这份数据比官方隐释强百倍
[00:09:37 - 00:09:39] 引入这种基石级工具
[00:09:39 - 00:09:41] 步子别卖太大,建议分三段走
[00:09:41 - 00:09:45] 起步阶段只做指读同步,让Agent独代码提建议
[00:09:45 - 00:09:48] 重点观察它的权限和延迟
[00:09:48 - 00:09:51] 第二阶段允许写分支但不合主干
[00:09:51 - 00:09:54] Murge动作必须留在老平台,由真人兜底
[00:09:54 - 00:09:55] 狠叩失败恢复能力
[00:09:55 - 00:09:58] 等彻底稳定了才进入第三阶段
[00:09:58 - 00:10:00] 把内部工具和文档站切给Organ
[00:10:00 - 00:10:03] 至于支付和底层基建能往后放就往后放
[00:10:03 - 00:10:05] 新工具可以大胆试
[00:10:05 - 00:10:07] 但对主分支必须保持敬畏
[00:10:07 - 00:10:09] 别看Organ来势凶凶
[00:10:09 - 00:10:11] Gatehub的互称和依旧深不见底
[00:10:11 - 00:10:13] 庞大的开源网络
[00:10:13 - 00:10:15] 玩山的Actions体系和企业级全线
[00:10:15 - 00:10:17] 但Cursor的切入点也很准
[00:10:17 - 00:10:20] 它死死捏住了开发者与Agent的交互入口
[00:10:20 - 00:10:24] 未来的神仙打架争夺的核心就是辩耕的上下文
[00:10:24 - 00:10:26] GitHub从仓库往Agent端走
[00:10:26 - 00:10:28] Cursor从Agent往仓库端走
[00:10:28 - 00:10:32] 作为工程师我们只关心开放协议能不能多一点
[00:10:32 - 00:10:33] 迁移工具给不给力
[00:10:33 - 00:10:36] 要是最后搞出两个封闭的孤岛
[00:10:36 - 00:10:38] 纯粹是给程序员涂增一套适配层
[00:10:38 - 00:10:41] Cursor搞Origin其实戳破了一个痛点
[00:10:41 - 00:10:43] Agent敲带码的手术起飞了
[00:10:43 - 00:10:46] 但我们的交付系统还停留在人工节奏
[00:10:46 - 00:10:50] 下一轮开发工具的内卷核心就是看谁能安全
[00:10:50 - 00:10:52] 平稳的接住海量的机器变更
[00:10:52 - 00:10:53] 模型质量固然重要
[00:10:53 - 00:10:56] 但底层的权限对列评审和回滚
[00:10:56 - 00:10:58] 才是决定能不能落地的硬指标
[00:10:58 - 00:11:01] 目前 Origin 透出的底牌太少
[00:11:01 - 00:11:02] 咱们让子弹飞一会
[00:11:02 - 00:11:04] 但它确实把问题摆上了台面
[00:11:04 - 00:11:05] 在我看来
[00:11:05 - 00:11:07] Agent 的时代最稀缺的工程能力
[00:11:07 - 00:11:10] 是让每一次自动化的变更都可验证
[00:11:10 - 00:11:12] 可追责可撤回
[00:11:12 - 00:11:13] 那么问题来了
[00:11:13 - 00:11:14] 现阶段
[00:11:14 - 00:11:16] 你敢把团队的主力仓库交给Crosser吗
[00:11:16 - 00:11:18] 把你的真实门槛写在评论区
[00:11:18 - 00:11:19] 感谢观看
[00:11:19 - 00:11:21] 也欢迎一键三连
[00:11:21 - 00:11:22] 我是为什么叫QQ
[00:11:22 - 00:11:23] 我们下期见
[00:11:23 - 00:11:23] 字幕製作人Zither Harp
