BV号：BV14BXUYdE9B
标题：BV14BXUYdE9B
链接：https://www.bilibili.com/video/BV14BXUYdE9B
识别语言：zh
语言置信度：1
分段数：293
生成时间：2026-08-30 12:23:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 最近这两天 人形机器人领域又迎来了重大的突破
[00:00:06 - 00:00:08] 他可能会改变我们未来的生活方式
[00:01:27 - 00:01:29] 它創造了多項業內的首次記錄
[00:01:29 - 00:01:32] 首先是全上半身的靈活操控
[00:01:32 - 00:01:36] Helix是首個能夠對仿人機器人的完整上半身
[00:01:36 - 00:01:39] 包括手腕、區幹、頭部、每根手指
[00:01:39 - 00:01:41] 實現高速連續控制的VLA模型
[00:01:41 - 00:01:43] 這意味著機器人的上半身
[00:01:43 - 00:01:45] 可以像人類一樣靈活的運動
[00:01:45 - 00:01:47] 做出各種精細的動作
[00:01:47 - 00:01:48] 在測試中
[00:01:48 - 00:01:52] 機器人成功的處理了雜亂無章的數千件新物品
[00:01:52 - 00:01:54] 从玻璃器品和玩具到工具和衣服
[00:01:54 - 00:01:56] 而且在处理这些物品的时候
[00:01:56 - 00:01:59] 机器人的上半身各个部位都能够协调的运动
[00:01:59 - 00:02:02] 完成抓取放置等等动作
[00:02:02 - 00:02:04] 同时动作非常流畅和自然
[00:02:04 - 00:02:06] 其次是多机器人的协作
[00:02:06 - 00:02:09] Alex首次让双机器人系统
[00:02:09 - 00:02:11] 协同完成了长期的复杂任务
[00:02:11 - 00:02:13] 在Figure AI分享的视频中
[00:02:13 - 00:02:16] 当人类当面说出要整理杂物的要求之后
[00:02:16 - 00:02:19] 两机器人在从来没有见过这些物品的情况下
[00:02:19 - 00:02:23] 通过推理能力能够协作将这些物品摆放归位
[00:02:23 - 00:02:27] 它们把鸡蛋 番茄酱等等需要冷藏保鲜的物品放进了冰箱
[00:02:27 - 00:02:31] 把水果放进了果盒以及把零食收进了抽屉里
[00:02:31 - 00:02:35] 在协调过程中 机器人用头部平稳的跟踪双手
[00:02:35 - 00:02:38] 同时调整躯干来确定最佳的触及范围
[00:02:38 - 00:02:42] 同时保持精确的手指控制来进行抓捂
[00:02:42 - 00:02:46] 这种协作能力在以前的人形机器人中是很少见的
[00:02:46 - 00:02:49] 他们就像两个配合默契的伙伴一起来完成任务
[00:02:49 - 00:02:51] 还有万物皆可抓取
[00:02:51 - 00:02:54] 机器人现在只需要一句自然语言指令
[00:02:54 - 00:02:56] 就能够抓取几乎所有的家庭小物件
[00:02:56 - 00:03:00] 包括数千种在训练中从来没有接触过的物品
[00:03:00 - 00:03:01] 当提示
[00:03:01 - 00:03:02] 捡起沙漠物品的时候
[00:03:02 - 00:03:05] Alex不仅会识别出玩具仙人掌
[00:03:05 - 00:03:06] 符合这个抽象的概念
[00:03:06 - 00:03:08] 还会选择最近的手
[00:03:08 - 00:03:10] 并且执行所需要的精准运动命令
[00:03:10 - 00:03:12] 牢牢地抓住它
[00:03:12 - 00:03:13] 这说明
[00:03:13 - 00:03:15] Alex模型具有很强的泛化能力
[00:03:15 - 00:03:18] 能够理解抽象概念并且做出相应的动作
[00:03:18 - 00:03:19] 另外
[00:03:19 - 00:03:21] Helix僅用了一套實景網路參數
[00:03:21 - 00:03:22] 就能夠學習所有的技能
[00:03:23 - 00:03:24] 像取放物品
[00:03:24 - 00:03:25] 開關抽屜冰箱
[00:03:26 - 00:03:27] 跨機器人交互等等
[00:03:27 - 00:03:30] 這些都無需任何任務專屬為調
[00:03:30 - 00:03:32] 這和以往的技術大不相同
[00:03:32 - 00:03:33] 像以往的技術
[00:03:33 - 00:03:34] 往往需要針對不同的任務
[00:03:34 - 00:03:35] 進行複雜的調整
[00:03:35 - 00:03:38] 而Helix大大簡化了這個過程
[00:03:38 - 00:03:41] 最後Helix是首個完全在低功耗
[00:03:41 - 00:03:43] 嵌入式GPU上的VLA系統
[00:03:43 - 00:03:45] 而且已經具備了直接商業部署的能力
[00:03:46 - 00:03:46] 這意味著
[00:03:46 - 00:03:48] 它可以更快的進入到市場
[00:03:48 - 00:03:49] 走进我们的生活中
[00:03:50 - 00:03:51] 以前很多先进的技术
[00:03:51 - 00:03:52] 因为无法商业化
[00:03:52 - 00:03:54] 而只能停留在实验室阶段
[00:03:54 - 00:03:55] 而Helix
[00:03:55 - 00:03:57] 则让他们离我们的生活更近了一步
[00:03:58 - 00:04:00] 之所以Helix模型能有这么强大的功能
[00:04:00 - 00:04:03] 应该说和它独特的技术架构分不开
[00:04:03 - 00:04:05] Helix采用了系统1加系统2的架构
[00:04:05 - 00:04:09] 来实现对于人形机器人上半身的高速精准控制
[00:04:09 - 00:04:11] 以前的方法存在着一些问题
[00:04:11 - 00:04:14] 比如说VLM骨干网络虽然是通用的
[00:04:14 - 00:04:15] 但是速度很慢
[00:04:15 - 00:04:18] 而机器人视觉运动策略虽然速度很快
[00:04:18 - 00:04:19] 但是通用性却不行
[00:04:19 - 00:04:22] 而Helix通过两个互补的系统
[00:04:22 - 00:04:23] S2和SE来群衡
[00:04:23 - 00:04:24] 这两个系统
[00:04:24 - 00:04:26] 而且都经过了端道端的训练
[00:04:26 - 00:04:28] 可以互相的进行通信
[00:04:28 - 00:04:32] 其中S2是基于7B参数的开源VLM
[00:04:32 - 00:04:34] 它在互联网规模数据上进行了预训练
[00:04:34 - 00:04:37] 在潜在视觉语言空间中进行慢思考
[00:04:37 - 00:04:39] 以7-9Hz的频率运行
[00:04:39 - 00:04:42] 负责场景理解和语义理解
[00:04:42 - 00:04:44] 确保跨物体跨场景的泛化能力
[00:04:44 - 00:04:47] 比如说在整理杂物的场景中
[00:04:47 - 00:04:49] S2会分析场景中的各种物品
[00:04:49 - 00:04:50] 理解人类的指令
[00:04:50 - 00:04:53] 判断哪些物品需要放进冰箱
[00:04:53 - 00:04:55] 哪些需要放进抽屉的等等
[00:04:55 - 00:04:57] 而SE是一个80兆参数的
[00:04:57 - 00:04:59] 交叉注意力编解码Transformer
[00:04:59 - 00:05:01] 负责处理低级的控制
[00:05:01 - 00:05:02] 可以快速思考
[00:05:02 - 00:05:04] 将S2的潜在语意表征
[00:05:04 - 00:05:06] 转化为精确的连续机器人动作
[00:05:06 - 00:05:10] 以200Hz的频率协调35个自由度动作空间
[00:05:10 - 00:05:12] 传控制完整的机器人上半身
[00:05:12 - 00:05:14] 实现毫秒级的实施响应
[00:05:14 - 00:05:17] 在两个机器人协作传递物品的时候
[00:05:17 - 00:05:19] SE能够快速地适应机器人伙伴
[00:05:19 - 00:05:20] 不断变化的动作
[00:05:20 - 00:05:22] 做出细腻度的运动调整
[00:05:22 - 00:05:25] 同时保持S2的予易目标
[00:05:25 - 00:05:26] 和现有的方法相比
[00:05:26 - 00:05:29] Hex采用的这种设计有很多的优势
[00:05:29 - 00:05:30] 在速度和泛化方面
[00:05:30 - 00:05:33] Hex能够匹配专门的单任务行为
[00:05:33 - 00:05:34] 克隆策略的速度
[00:05:34 - 00:05:37] 同时将灵样本泛化到数千种
[00:05:37 - 00:05:38] 新测试的物品上
[00:05:38 - 00:05:40] 以前的模型在面对新物品的时候
[00:05:40 - 00:05:43] 往往需要大量的训练才能够操作
[00:05:43 - 00:05:44] 而Helix可以轻松应对
[00:05:44 - 00:05:46] 在可扩展性上
[00:05:46 - 00:05:49] Helix会直接输出高维动作空间的连续控制
[00:05:49 - 00:05:53] 避免了先前VLA方法中使用的复杂动作标记方案
[00:05:53 - 00:05:54] 因为这些方案
[00:05:54 - 00:05:57] 虽然在低维控制设置中取得了一些成果
[00:05:57 - 00:06:00] 但是在高维人形控制中面临着Sigling的挑战
[00:06:00 - 00:06:02] 而Helix的架构也很简单
[00:06:02 - 00:06:03] 就是使用了标准架构
[00:06:03 - 00:06:05] 也就是用于S2的开源
[00:06:05 - 00:06:07] 开放权重的VLM
[00:06:07 - 00:06:10] 和用于SE的简单Transformer视觉运动策略
[00:06:10 - 00:06:12] 而且将SE和S2解偶
[00:06:12 - 00:06:15] 可以分别在每个系统上进行迭代
[00:06:15 - 00:06:17] 从而不受到寻找统一的观察空间
[00:06:17 - 00:06:19] 或者是动作表示的限制
[00:06:19 - 00:06:21] 方便研究人员进行优化和改进
[00:06:21 - 00:06:22] 我们再来说说
[00:06:22 - 00:06:24] Helix模型的训练方式和效率
[00:06:24 - 00:06:26] Helix以极小的资源
[00:06:26 - 00:06:28] 实现了强大的物体泛化
[00:06:28 - 00:06:30] 它总共使用了大约500个小时的
[00:06:30 - 00:06:32] 高质量监督数据来进行训练
[00:06:32 - 00:06:34] 而这个只占了先前收集的
[00:06:34 - 00:06:37] VLA数据级规模的不到5%
[00:06:37 - 00:06:39] 而且不依赖于多机器人实体收集
[00:06:39 - 00:06:41] 或者是多训练阶段
[00:06:41 - 00:06:43] 收集的规模更是接近现代
[00:06:43 - 00:06:45] 单人物模仿学习的数据级
[00:06:45 - 00:06:47] 虽然数据的需求少了
[00:06:47 - 00:06:49] 但是Helix的能力却一点也不弱
[00:06:49 - 00:06:52] 它可以扩展到更具有挑战性的动作空间
[00:06:52 - 00:06:54] 实现高速率高维度的输出
[00:06:54 - 00:06:55] 在训练数据的生成上
[00:06:55 - 00:06:58] Figurei使用了自动标注的VLM
[00:06:58 - 00:06:59] 来生成事后的指令
[00:06:59 - 00:07:01] VLM会处理来自于
[00:07:01 - 00:07:03] 基载机器人摄像头的分段视频片段
[00:07:03 - 00:07:04] 并且提示
[00:07:04 - 00:07:06] 你会给机器人什么指令
[00:07:06 - 00:07:08] 来执行视频中看到的动作
[00:07:08 - 00:07:10] 此外为了防止污染
[00:07:10 - 00:07:13] 训练期间处理的所有物品都没有包含在评估数据中
[00:07:13 - 00:07:15] 经过完全端道端的训练
[00:07:15 - 00:07:18] Helix可以将原始向速和稳稳的命令
[00:07:18 - 00:07:20] 映射到具有标准回归损失的连续动作
[00:07:20 - 00:07:24] 再通过调节SE行为的潜在通信项量
[00:07:24 - 00:07:26] 将T度从SE反向传播到S2
[00:07:26 - 00:07:29] 从而允许对两个组件进行联合的优化
[00:07:29 - 00:07:30] 在训练过程中
[00:07:30 - 00:07:33] Figure AI在SE和SE2输入之间
[00:07:33 - 00:07:35] 还添加了经过校准的时间偏移
[00:07:35 - 00:07:39] 从而可以匹配SE和SE部属的推力延迟之间的差距
[00:07:39 - 00:07:41] 确保部属期间的实时控制要求
[00:07:41 - 00:07:43] 被准确的反映在训练中
[00:07:43 - 00:07:46] 此外FIGAR AI还对流逝推力进行了优化
[00:07:46 - 00:07:48] Alex的训练设计
[00:07:48 - 00:07:51] 支持在FIGAR AI机器人上高效的并行部属模型
[00:07:51 - 00:07:53] 每个机器人都配备了双低功耗
[00:07:53 - 00:07:54] 嵌入式GPU
[00:07:54 - 00:07:57] 推理管道分为SE和SE模型两个
[00:07:57 - 00:08:00] 每个模型都在专用的GPU上运行
[00:08:00 - 00:08:02] SE作为一部后台进程运行
[00:08:02 - 00:08:04] 使用最新的观察结果
[00:08:04 - 00:08:07] 也就是积载摄像头和机器人状态
[00:08:07 - 00:08:08] 以及自然语言命令
[00:08:08 - 00:08:09] 不断的去更新
[00:08:09 - 00:08:12] 编码高级行为意图的共享内存潜在项量
[00:08:12 - 00:08:15] 而S2首先会将丹幕机器人图像
[00:08:15 - 00:08:16] 和机器人的状态信息
[00:08:16 - 00:08:18] 包括手腕姿势
[00:08:18 - 00:08:19] 手指位置等等
[00:08:19 - 00:08:22] 投影到视觉语言嵌入空间之后进行处理
[00:08:22 - 00:08:25] 随后通过结合指令所需行为的自然语言指令
[00:08:25 - 00:08:28] S2会再将所有的语异任务相关信息
[00:08:28 - 00:08:30] 提炼为单个连续潜在项量
[00:08:30 - 00:08:32] 并且传递给S1
[00:08:32 - 00:08:36] 当来自S2的潜在项量被投影到SE的Token空间中之后
[00:08:36 - 00:08:41] 会沿着序列维度与来自SE视觉骨干网络的视觉特征连接起来
[00:08:41 - 00:08:43] 从而提供任务调节
[00:08:43 - 00:08:48] SE依靠完全卷机和多尺度视觉骨干网络来进行视觉处理
[00:08:48 - 00:08:53] 而这个骨干网络则是通过完全在模拟中完成的预讯链来进行初始化的
[00:08:53 - 00:08:57] 虽然SE会接收与SE相同的图像和状态输入
[00:08:57 - 00:08:59] 但是SE会以更高的频率来处理
[00:08:59 - 00:09:02] 作为单独的实实过程执行
[00:09:02 - 00:09:05] 从而能够保持整个上升动作流畅所需要的
[00:09:05 - 00:09:07] 关键的200Hz控制环路
[00:09:07 - 00:09:11] 同时采用最新的观察结果和最新的S2潜在项链
[00:09:11 - 00:09:14] 此外Faker AI还在动作空间中附加了一个合成的
[00:09:14 - 00:09:16] 任务完成百分比动作
[00:09:16 - 00:09:19] 使得Helix能够预测自己的终止条件
[00:09:19 - 00:09:22] 从而更加容易的对多个学习和行为进行排序
[00:09:22 - 00:09:25] S2和SE推理之间的固有速度差异
[00:09:25 - 00:09:28] 会自然导致SE在机器人观察上
[00:09:28 - 00:09:30] 以更高的时间分辨率来运行
[00:09:30 - 00:09:33] 从而为反应控制创建了更紧密的反馈回路
[00:09:33 - 00:09:37] 这种部署策略刻意反映了训练中引入的时间偏移
[00:09:37 - 00:09:40] 从而最大限度的减少了训练和推理时的分布差距
[00:09:40 - 00:09:42] 而一部执行模型
[00:09:42 - 00:09:44] 允许两个进程以最佳的频率来运行
[00:09:44 - 00:09:50] 使得非个AI团队能够以最快的单人舞模仿学习策略速度来运行Helix
[00:09:50 - 00:09:51] 我们都知道
[00:09:51 - 00:09:53] 与规范化的工业环境不同
[00:09:53 - 00:09:56] 家庭环境中可能会充满了各种不可控的因素
[00:09:56 - 00:09:58] 每个物品都有不可预测的形状
[00:09:58 - 00:10:00] 大小 颜色和纹理
[00:10:00 - 00:10:02] 这对机器人来说是一个巨大的挑战
[00:10:02 - 00:10:05] 但是Helix无需任何针对于特定任务的势力
[00:10:05 - 00:10:07] 无需大量的手动编程
[00:10:07 - 00:10:10] 就能够及时生成长期的协作性的
[00:10:10 - 00:10:11] 灵巧的操作动作
[00:10:11 - 00:10:13] 展现出了强大的物体泛化能力
[00:10:13 - 00:10:15] 在视频展示的场景中
[00:10:15 - 00:10:19] 当人类把非个AI机器人从来没有见过的杂物放置在桌上
[00:10:19 - 00:10:21] 并且提出整理要求的时候
[00:10:21 - 00:10:24] 两个机器人可以在没有经过明确分空的情况下
[00:10:24 - 00:10:26] 自然而然地开始协作
[00:10:26 - 00:10:27] 将杂物归类放置
[00:10:27 - 00:10:33] 机器人甚至细心到知道平装的物品应该放在冰箱门上的置物框中才不会容易翻倒
[00:10:33 - 00:10:36] 而不只往冰箱里随便一塞就了事了
[00:10:36 - 00:10:39] 而另一个机器人则知道要将饼干放到抽屉中
[00:10:39 - 00:10:42] 收拾好之后他们还会记得贴心的把抽屉关好
[00:10:42 - 00:10:43] 关上冰箱门
[00:10:43 - 00:10:46] 不过略微有些美中不足的事
[00:10:46 - 00:10:48] 机器人一开始就把冰箱门给打开了
[00:10:48 - 00:10:52] 直到收拾完全部的物品之后才把冰箱门缓缓合上
[00:10:52 - 00:10:55] 在节能意识方面可能还有代提高
[00:10:55 - 00:10:56] 从这次演示来看
[00:10:56 - 00:10:58] Helix模型展现出了人形机械人
[00:10:58 - 00:11:01] 拥有近乎于人类的环境性性的巨大潜力
[00:11:01 - 00:11:03] 随着模型规模的不断扩展
[00:11:03 - 00:11:06] 它将为人形机械人真正进入家庭等等
[00:11:06 - 00:11:07] 更为复杂的环境
[00:11:07 - 00:11:08] 以及融入人类生活
[00:11:08 - 00:11:10] 创造更多的可能性
[00:11:10 - 00:11:11] 也许在不久的将来
[00:11:11 - 00:11:14] 人形机械人就像今天的智能手机一样普及
[00:11:14 - 00:11:16] 成为我们生活中不可缺少的一部分了
[00:11:16 - 00:11:17] 好了
[00:11:17 - 00:11:18] 以上就是本期视频的内容
[00:11:18 - 00:11:19] 感谢大家的观看
[00:11:19 - 00:11:20] 我们下期再见
