BV号：BV1koT76kE76
标题：BV1koT76kE76
链接：https://www.bilibili.com/video/BV1koT76kE76
识别语言：zh
语言置信度：1
分段数：276
生成时间：2026-08-29 18:22:27

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你是不是每次打开一篇新论文
[00:01:20 - 00:01:22] 最终放弃了深入研究前沿技术的机会
[00:01:22 - 00:01:26] 每天都有海量的新技术新框架冒出来
[00:01:26 - 00:01:27] 为了跟上节奏
[00:01:27 - 00:01:30] 我们需要阅读大量的论文和技术文档
[00:01:30 - 00:01:32] 特别是在AI爆发的今天
[00:01:32 - 00:01:34] 昨天刚出一个新模型
[00:01:34 - 00:01:36] 今天就有几十篇解析论文
[00:01:36 - 00:01:38] 你如果不掌握高效的信息或许方法
[00:01:38 - 00:01:42] 就会被淹没在信息的海洋里产生严重的知识焦虑
[00:01:42 - 00:01:45] 史绿利VS&Kashaf在2007年发表了
[00:01:45 - 00:01:47] 一篇很短的文章
[00:01:47 - 00:01:48] How to Read a Paper
[00:01:48 - 00:01:50] 当时它的署名单位是华铁炉大学
[00:01:50 - 00:01:53] David R. Chariton 计算机科学学院
[00:01:53 - 00:01:56] 这篇文章基于他多年阅读会议论文
[00:01:56 - 00:01:59] 写评审和做背景研究的经验
[00:01:59 - 00:02:01] 提出了一个很实用的三边阅读法
[00:02:01 - 00:02:03] 这篇文章被Stanford的课程讲一收录
[00:02:03 - 00:02:07] MIT课程业也推荐学生使用这套三边阅读法
[00:02:07 - 00:02:09] 这篇文章虽然篇幅不长
[00:02:09 - 00:02:13] 却给出了一个极度实用的工程化解决方案
[00:02:13 - 00:02:15] 它不是教你如何逐字翻译
[00:02:15 - 00:02:18] 而是教你如何像一台高校的解析器一样
[00:02:18 - 00:02:20] 精准提取论文的核心价值
[00:02:20 - 00:02:22] 今天我们就来彻底拆解这套方法
[00:02:22 - 00:02:24] 看看它到底神奇在哪里
[00:02:24 - 00:02:27] 以及我们如何将其应用到日常的工程实践中
[00:02:27 - 00:02:29] 很多人读论文就像在看小说
[00:02:29 - 00:02:31] 从头到尾一条线走到底
[00:02:31 - 00:02:33] 遇到不懂的工事就死磕
[00:02:33 - 00:02:35] 遇到没见过的名词就去查
[00:02:35 - 00:02:37] 结果一整天下来
[00:02:37 - 00:02:38] 才看了两页
[00:02:38 - 00:02:39] 这种现行阅读法
[00:02:39 - 00:02:42] 可能也是很多人长期训练出来的阅读惯性
[00:02:42 - 00:02:45] 它假设论文里的每一个字都同等重要
[00:02:45 - 00:02:48] 但实际上很多细节在第一遍并不需要处理
[00:02:48 - 00:02:51] 尤其是证明公式推导和局部实现
[00:02:51 - 00:02:52] 但Kashav告诉你
[00:02:52 - 00:02:54] 第一遍阅读只需要5-10分钟
[00:02:54 - 00:02:56] 你只需要看标题摘要
[00:02:56 - 00:02:58] 引言各个小标题和结论
[00:02:58 - 00:03:00] 扫一眼参考文献
[00:03:00 - 00:03:01] 看看有没有你认识的名字
[00:03:01 - 00:03:03] 这就像我们在看开源项目时
[00:03:03 - 00:03:06] 先看Readme文件和目录结构
[00:03:06 - 00:03:08] 而不是直接扎进底层代码
[00:03:08 - 00:03:11] 这5-10分钟不是为了让你弄懂论文的具体细节
[00:03:11 - 00:03:13] 而是为了回答5个
[00:03:13 - 00:03:14] C
[00:03:14 - 00:03:14] 类别
[00:03:14 - 00:03:15] Category
[00:03:15 - 00:03:16] 上下文
[00:03:16 - 00:03:17] Context
[00:03:17 - 00:03:18] 正确性
[00:03:18 - 00:03:23] correctness,贡献,contributions,清晰度,clarity
[00:03:23 - 00:03:25] 也就是弄清楚这篇论文到底在讲什么
[00:03:25 - 00:03:28] 它是测量报告还是系统分析
[00:03:28 - 00:03:29] 它解决了什么问题
[00:03:29 - 00:03:31] 它的假设看起来合理吗
[00:03:31 - 00:03:33] 值不值得你继续花时间
[00:03:33 - 00:03:34] 工程师思维的第一步
[00:03:34 - 00:03:37] 就是过滤噪音快速定位高价值信息
[00:03:37 - 00:03:40] 如果你在第一遍就发现这篇论文的假设有问题
[00:03:40 - 00:03:42] 或者它根本不在你的研究范围内
[00:03:42 - 00:03:45] 你就可以果断放弃省下几个小时的时间
[00:03:45 - 00:03:50] 这种快速筛选的能力是在信息爆炸时代生存的第一法则
[00:03:50 - 00:03:52] 如果你决定继续读,那就进入第二遍
[00:03:52 - 00:03:55] 这次最多一小时,你需要仔细看图表
[00:03:55 - 00:03:57] 做表走标的,对不对?
[00:03:57 - 00:03:58] 有没有误差线?
[00:03:58 - 00:04:01] 很多时候,一张图表就能说明论文的核心结论
[00:04:01 - 00:04:03] 也能暴露出作者是不是在敷衍了事
[00:04:03 - 00:04:07] 在工程领域,数据和图表往往比文字更诚实
[00:04:07 - 00:04:10] 如果图表化的乱七八糟或者数据经不起推敲
[00:04:10 - 00:04:12] 这篇论文的价值就要大大折扣了
[00:04:12 - 00:04:17] 此外你还需要标记出那些相关但还没读过的参考文献
[00:04:17 - 00:04:19] 他们是你下一步探索的线索
[00:04:19 - 00:04:23] 这一遍阅读的目标是让你能够向别人附属这篇
[00:04:23 - 00:04:25] 论文的主要观点和核心证据
[00:04:25 - 00:04:28] 即便读了两遍你可能还是读不懂这很正常
[00:04:28 - 00:04:32] 可能是因为领域太新也可能是作者写的太烂
[00:04:32 - 00:04:33] 或者是你太累了
[00:04:33 - 00:04:36] 这时候你可以选择放弃或者去补充背景知识
[00:04:36 - 00:04:40] 而不是死科沉默成本谬物是阅读论文最大的敌人
[00:04:40 - 00:04:42] 很多新手觉得我都花了一个小时了
[00:04:42 - 00:04:44] 不读完太亏了
[00:04:44 - 00:04:46] 但工程师懂得及时止损
[00:04:46 - 00:04:47] 把经历留给更重要的事情
[00:04:47 - 00:04:49] 有时候把论文放一放
[00:04:49 - 00:04:51] 去看看相关的播客或者视频
[00:04:51 - 00:04:53] 再回来读你会发现豁然开朗
[00:04:53 - 00:04:56] 记住 读不懂不一定是你的问题
[00:04:56 - 00:04:59] 学会灵活调整策略才是真正的智慧
[00:04:59 - 00:05:02] 如果你真的需要彻底搞懂这篇论文
[00:05:02 - 00:05:03] 比如你要写评审意见
[00:05:03 - 00:05:06] 或者要把它作为复线和后续研究的基础
[00:05:06 - 00:05:08] 那就必须进行第三遍阅读
[00:05:08 - 00:05:11] 这是最耗时也是最硬核的一步
[00:05:11 - 00:05:12] 对新手来说
[00:05:12 - 00:05:14] 这边阅读可能需要四五个小时
[00:05:14 - 00:05:16] 但如果你已经是熟练读者
[00:05:16 - 00:05:18] 可能一小时左右就够了
[00:05:18 - 00:05:19] 你需要把自己当成作者
[00:05:19 - 00:05:22] 尝试虚拟重构这篇论文
[00:05:22 - 00:05:23] 闭上眼睛
[00:05:23 - 00:05:24] 假设你要解决同样的问题
[00:05:24 - 00:05:25] 你会怎么做
[00:05:25 - 00:05:26] 你的假设是什么
[00:05:26 - 00:05:28] 你的实验怎么设计
[00:05:28 - 00:05:30] 你会如何证明你的结论是正确的
[00:05:30 - 00:05:33] 你需要把自己的思路和作者的思路进行对比
[00:05:33 - 00:05:36] 你要质疑论文里的每一个假设思考
[00:05:36 - 00:05:37] 如果你来写
[00:05:37 - 00:05:38] 你会怎么表达
[00:05:38 - 00:05:41] 这种对比能让你深刻理解论文的创新点
[00:05:41 - 00:05:42] 以及它隐藏的缺陷
[00:05:42 - 00:05:45] 你会发现原来这个看起来很牛的算法
[00:05:45 - 00:05:48] 其实在某些极端情况下根本跑不通
[00:05:48 - 00:05:50] 原来那个看似完美的实验
[00:05:50 - 00:05:52] 其实忽略了一个关键变量
[00:05:52 - 00:05:54] 这就是深度拆解的魅力
[00:05:54 - 00:05:57] 在这个过程中你不仅学到了知识
[00:05:57 - 00:06:00] 更学到了作者的思维方式和解决问题的技巧
[00:06:00 - 00:06:03] 你甚至可以发现作者没有提到的未来研究方向
[00:06:03 - 00:06:06] 这往往是你自己研究的绝佳切入点
[00:06:06 - 00:06:09] 这才是阅读顶级论文的终极要益
[00:06:09 - 00:06:10] 不是摩拜权威
[00:06:10 - 00:06:12] 而是站在巨人的肩膀上
[00:06:12 - 00:06:14] 寻找新的突破口
[00:06:14 - 00:06:16] 通过这种深度的虚拟重构
[00:06:16 - 00:06:18] 你不再是一个被动的读者
[00:06:18 - 00:06:20] 而是一个主动的探索者
[00:06:20 - 00:06:21] 你会发现那些曾经让你
[00:06:21 - 00:06:23] 望而身为的公式和图表
[00:06:23 - 00:06:26] 其实都只是作者用来表达思想的工具
[00:06:26 - 00:06:29] 很多人会觉得读论文就是为了获取信息
[00:06:29 - 00:06:30] 读完就结束了
[00:06:30 - 00:06:32] 他们把论文当成说明书
[00:06:32 - 00:06:34] 以为只要把里面的字认全了
[00:06:34 - 00:06:35] 知识就进脑子了
[00:06:35 - 00:06:37] 这种被动的接收方式
[00:06:37 - 00:06:39] 注定无法形成深刻的理解
[00:06:39 - 00:06:41] 读完就忘是必然的结果
[00:06:41 - 00:06:43] 读论文本质上是一个逆向工程的过程
[00:06:43 - 00:06:45] 你不是在接收信息
[00:06:45 - 00:06:47] 而是在拆解作者的思维模型
[00:06:47 - 00:06:51] 你就像一个拿到竞争对手产品的硬件工程师
[00:06:51 - 00:06:52] 你要把产品拆开
[00:06:52 - 00:06:53] 看看里面用了什么芯片
[00:06:53 - 00:06:55] 首先是怎么设计的
[00:06:55 - 00:06:56] 为什么要这么设计
[00:06:56 - 00:06:57] 为什么会这样
[00:06:57 - 00:06:59] 因为任何一篇优秀的论文
[00:06:59 - 00:07:01] 都是作者对某个问题的系统性思考
[00:07:01 - 00:07:03] 你只有拆解了这个过程
[00:07:03 - 00:07:06] 才能把别人的知识变成你自己的工具
[00:07:06 - 00:07:07] 你不仅要知道是什么
[00:07:07 - 00:07:10] 更要知道为什么和怎么做
[00:07:10 - 00:07:12] 只有这样当你遇到类似的问题时
[00:07:12 - 00:07:14] 你才能举一反三
[00:07:14 - 00:07:16] 甚至提出比作者更好的解决方案
[00:07:16 - 00:07:19] 被动阅读只能让你成为知识的容器
[00:07:19 - 00:07:22] 而主动拆解才能让你成为知识的创造者
[00:07:22 - 00:07:25] 有些人读很多论文仍然停留在摘药层面
[00:07:25 - 00:07:28] 而深度拆解能更快形成自己的判断
[00:07:28 - 00:07:30] 真正的学习永远发生在
[00:07:30 - 00:07:33] 深度思考和崇够的过程中
[00:07:33 - 00:07:35] 如果你只是停留在表面的阅读
[00:07:35 - 00:07:37] 那你永远只能是一个追随者
[00:07:37 - 00:07:39] 而无法成为一个引领者
[00:07:39 - 00:07:41] 看到这里你可能会想
[00:07:41 - 00:07:43] 这套三遍阅读法只是用于学术研究吗
[00:07:43 - 00:07:46] 如果我不做科研这套方法对我还有用吗
[00:07:46 - 00:07:47] 我的答案是
[00:07:47 - 00:07:49] 绝对不是
[00:07:49 - 00:07:51] 它是一个通用的信息处理框架
[00:07:51 - 00:07:55] 它教你如何在一个充满位置和不确定性的环境中
[00:07:55 - 00:07:57] 快速建立认知筛选有价值的信息
[00:07:57 - 00:07:59] 并进行深度加工
[00:07:59 - 00:08:01] 在当今这个信息爆炸的时代
[00:08:01 - 00:08:04] 这套框架的价值远超出了学术界的范畴
[00:08:04 - 00:08:05] 换一个角度来看
[00:08:05 - 00:08:08] 无论是阅读开源项目的原码
[00:08:08 - 00:08:10] 研究一份复杂的产品需求文档
[00:08:10 - 00:08:12] 还是评估一个新的技术站
[00:08:12 - 00:08:13] 你都可以用这套方法
[00:08:13 - 00:08:15] 第一遍看架构和目标
[00:08:15 - 00:08:17] 了解项目的整体轮廓
[00:08:17 - 00:08:20] 第二遍看核心逻辑和关键接口
[00:08:20 - 00:08:22] 掌握系统的运作机制
[00:08:22 - 00:08:24] 第三遍尝试自己实现一遍
[00:08:24 - 00:08:26] 或者去修改它的核心代码
[00:08:26 - 00:08:28] 这不就是我们日常开发中的标准流程吗
[00:08:28 - 00:08:31] 学会这套方法你不仅能读懂论文
[00:08:31 - 00:08:33] 更能看透任何复杂系统
[00:08:33 - 00:08:35] 你将不再被庞杂的信息所迷惑
[00:08:35 - 00:08:38] 而是能够迅速直击问题的核心
[00:08:38 - 00:08:42] 这套方法本质上是在训练你的系统性思维和批判性思维
[00:08:42 - 00:08:45] 这是任何高级工程师都必须具备的核心素养
[00:08:45 - 00:08:48] 它让你从一个被动的执行者
[00:08:48 - 00:08:50] 变成一个主动的架构师
[00:08:50 - 00:08:52] 它教会你如何在复杂性中寻找规律
[00:08:52 - 00:08:54] 在混乱中建立秩序
[00:08:54 - 00:08:57] 在AI时代获取信息变得前所未有的容易
[00:08:57 - 00:09:00] 大模型很适合辅助第一遍阅读
[00:09:00 - 00:09:03] 生成摘要,解释数据补充背景知识
[00:09:03 - 00:09:04] 很多人觉得有了AI
[00:09:04 - 00:09:06] 我们再也不需要自己去读论文了
[00:09:06 - 00:09:09] 他们认为,未来的学习就是向AI提问
[00:09:09 - 00:09:11] 然后获取现成的答案
[00:09:11 - 00:09:13] 但是AI的帮助有边界
[00:09:13 - 00:09:16] 第三遍的假设挑战实验复合和价值判断
[00:09:16 - 00:09:18] 仍然需要人来负责
[00:09:18 - 00:09:20] AI是一个强大的信息过滤器
[00:09:20 - 00:09:21] 但它不是一个思考替代器
[00:09:21 - 00:09:25] 过渡依赖AI只会让你丧失深度思考的能力
[00:09:25 - 00:09:26] 沦为算法的附庸
[00:09:26 - 00:09:29] 当所有人都能够轻易获取信息时
[00:09:29 - 00:09:31] 信息的价值就会大打折扣
[00:09:31 - 00:09:33] 真正能拉开人与人之间差距的
[00:09:33 - 00:09:35] 不再是获取信息的能力
[00:09:35 - 00:09:38] 而是深度处理和批判性思考信息的能力
[00:09:38 - 00:09:41] 当你能够熟练运用三遍阅读法
[00:09:41 - 00:09:44] 并结合AI工具进行高效的信息筛选时
[00:09:44 - 00:09:47] 你会在理解复杂系统上有明显的优势
[00:09:47 - 00:09:48] 掌握这套阅读方法
[00:09:48 - 00:09:51] 就是掌握了在这个时代生存的核心竞争力
[00:09:51 - 00:09:53] 你将不再是信息的奴隶
[00:09:53 - 00:09:55] 而是信息的主人
[00:09:55 - 00:09:58] 未来的工程师一定是那些能够驾驭AI
[00:09:58 - 00:10:00] 同时又保持独立思考能力的人
[00:10:00 - 00:10:03] 那些能够深入底层逻辑进行批判性思考的人
[00:10:03 - 00:10:06] 会在技术竞争中更有优势
[00:10:06 - 00:10:09] 在这个顺序万变的时代掌握高校的学习方法
[00:10:09 - 00:10:11] 才是你最坚固的互称盒
[00:10:11 - 00:10:12] 最后总结一下
[00:10:12 - 00:10:14] 不要阅读论文要拆解它
[00:10:14 - 00:10:16] 你在阅读技术文档或论文时
[00:10:16 - 00:10:18] 遇到过最大的坑是什么
[00:10:18 - 00:10:20] 有没有哪篇论文让你怀疑人生
[00:10:20 - 00:10:22] 欢迎在评论区告诉我你的想法
[00:10:22 - 00:10:23] 我是为什么叫QQ
[00:10:23 - 00:10:24] 我们下期见
[00:10:24 - 00:10:28] 别忘了一键三连,你的支持是我继续做内容的动力。
