BV号：BV1MeN967EK2
标题：BV1MeN967EK2
链接：https://www.bilibili.com/video/BV1MeN967EK2
识别语言：zh
语言置信度：1
分段数：236
生成时间：2026-08-29 18:39:26

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你在中端里敲销命令
[00:02:53 - 00:02:54] 我把它关了
[00:02:54 - 00:02:55] 我的数据就不会被拿走了
[00:02:55 - 00:02:57] 但研究者的测试结果呢
[00:02:57 - 00:02:59] 关闭improve the model后
[00:02:59 - 00:03:01] 整库gidbondle上传仍然发生了
[00:03:01 - 00:03:03] 这个开关管的是模型改进
[00:03:03 - 00:03:06] 它不等于禁止代码离开本机
[00:03:06 - 00:03:07] 这叫什么
[00:03:07 - 00:03:08] 这叫予意误导
[00:03:08 - 00:03:10] 用户以为自己掌握了控制权
[00:03:10 - 00:03:13] 其实他们关掉的只是训练授权
[00:03:13 - 00:03:15] 数据收集本身根本没停
[00:03:15 - 00:03:18] 官方的更新日治在6月5日确实提到过
[00:03:18 - 00:03:21] 追踪上传和远程绘画恢复
[00:03:21 - 00:03:24] 但在研究者合查的安装和快速入门材料中
[00:03:24 - 00:03:28] 并没有清楚说明它可能上传完整仓库和Gate历史
[00:03:28 - 00:03:29] 第二个问题
[00:03:29 - 00:03:30] 代码仓库里到底有什么
[00:03:30 - 00:03:33] 很多人觉得传点代码无所谓
[00:03:33 - 00:03:33] 但别忘了
[00:03:33 - 00:03:35] 这是一个完整的Gate仓库
[00:03:35 - 00:03:37] 里面不仅有代码
[00:03:37 - 00:03:38] 还有你改代码的历史
[00:03:38 - 00:03:41] 更要命的是里面可能藏着历史API密钥
[00:03:41 - 00:03:42] 数据库密码
[00:03:42 - 00:03:44] 客户数据内部域名
[00:03:44 - 00:03:45] 对于初创公司
[00:03:45 - 00:03:47] 这可能暴露了你的技术底牌
[00:03:47 - 00:03:51] 对于大厂 这就是一颗随时汇报的合规炸弹
[00:03:51 - 00:03:52] 在安全圈有个常识
[00:03:52 - 00:03:56] 密钥只要离开了你的机器 它就已经不安全了
[00:03:56 - 00:03:58] 如果你曾在受影响的Grogg
[00:03:58 - 00:04:00] Build环境中处理敏感仓库
[00:04:00 - 00:04:04] 而且当前文件或Gate历史里存在仍然有效的密钥
[00:04:04 - 00:04:07] 应把这些评据按可能暴露处理立即吊销或轮换
[00:04:07 - 00:04:10] 只删除Gate里的文件 并不能让旧密钥失效
[00:04:10 - 00:04:13] 第三个问题 也就是最让人不安的一点
[00:04:13 - 00:04:16] 事情曝光后 后来服务期端的Disable Code
[00:04:16 - 00:04:20] Base下滑线upload的远程开关似乎停止了相关行为
[00:04:20 - 00:04:21] 发现问题了吗?
[00:04:21 - 00:04:24] 服务器端配置可以改变客户端上传行为
[00:04:24 - 00:04:28] 这说明关键的隐私行为并不完全有本地界面决定
[00:04:28 - 00:04:31] 这种感觉才是开发者最无法接收的
[00:04:31 - 00:04:35] 你的机器、你的代码、但关键的数据收集行为
[00:04:35 - 00:04:38] 却可以通过服务端的配置来控制
[00:04:38 - 00:04:41] 事情发展到现在网上有很多阴谋论
[00:04:41 - 00:04:44] 有人说这是XAI在恶意窃取代码
[00:04:44 - 00:04:46] 有人说这是故意盗取商业秘密
[00:04:46 - 00:04:48] 但我得说句公道话
[00:04:48 - 00:04:50] 我们需要基于证据来判断
[00:04:50 - 00:04:51] 你看现有的证据
[00:04:51 - 00:04:55] Grogg Builder的数据是通过 VE Storage上传的
[00:04:55 - 00:04:57] 二进制自服串和原数据
[00:04:57 - 00:04:59] 把最终存储指向名为Grogg
[00:04:59 - 00:05:03] Code Session Traces the Google Cloud Storage Tone
[00:05:03 - 00:05:05] 官方更新日志此前也提到
[00:05:05 - 00:05:08] Trace Upload和Remote Session Restores
[00:05:08 - 00:05:11] 这些线索更像是一个官方设计的绘画追踪
[00:05:11 - 00:05:13] 远程恢复或调试机制
[00:05:13 - 00:05:16] 他支持这是产品功能而非黑客后门
[00:05:16 - 00:05:19] 目前也没有证据证明数据被用于训练
[00:05:19 - 00:05:22] 被员工查看或遭到第三方入侵
[00:05:22 - 00:05:25] 所以这事的本质不是已经被证明的恶意窃取
[00:05:25 - 00:05:27] 我的判断是
[00:05:27 - 00:05:29] 这是数据边界设计
[00:05:29 - 00:05:31] 与用户告知之间的严重失衡
[00:05:31 - 00:05:34] 产品可能有调试和远程恢复需求
[00:05:34 - 00:05:37] 但这种需求不能自动证明整库默认上传是合理的
[00:05:37 - 00:05:40] 这件事情给我们留下了三个教训
[00:05:40 - 00:05:42] 第一云端工具发数据很正常
[00:05:42 - 00:05:43] 但发什么发多少
[00:05:43 - 00:05:45] 必须清清楚楚
[00:05:45 - 00:05:46] Grogg Build这次的问题
[00:05:46 - 00:05:48] 就在于他发的数据
[00:05:48 - 00:05:49] 远远超出了任务的需要
[00:05:49 - 00:05:53] 192KB对比5.10G这27800倍
[00:05:53 - 00:05:54] 不能单独证明
[00:05:54 - 00:05:56] 所有伤传数据都毫无用途
[00:05:56 - 00:05:58] 但它清楚证明
[00:05:58 - 00:06:00] 模型推理和仓库存储
[00:06:00 - 00:06:02] 是两种完全不同的数据处理行为
[00:06:02 - 00:06:03] 他们应该被分别告知
[00:06:03 - 00:06:04] 分别授权
[00:06:04 - 00:06:05] 分别关闭
[00:06:05 - 00:06:07] 第二同意不等于知情
[00:06:07 - 00:06:09] 点个同意按钮很容易
[00:06:09 - 00:06:11] 但用户真的知道自己在同意什么吗
[00:06:11 - 00:06:13] ROCK BUILDER的问题就在这里
[00:06:13 - 00:06:15] 用户点了改进模型
[00:06:15 - 00:06:17] 他们以为自己控制了数据
[00:06:17 - 00:06:18] 但实际上并没有
[00:06:18 - 00:06:21] 第三信任一旦塌了光靠嘴说是没用的
[00:06:21 - 00:06:23] atSpaceXAI回应称
[00:06:23 - 00:06:25] 开启零数据保留
[00:06:25 - 00:06:28] 也就是ZDR的团队不会留存追踪和代码数据
[00:06:28 - 00:06:31] 使用APMEL的场景也遵循ZDR
[00:06:31 - 00:06:35] 非ZDR用户可以通过Privacy关闭数据留存
[00:06:35 - 00:06:36] 并删除此前同步的数据
[00:06:36 - 00:06:40] 但要注意官方主要回答的是是否留存
[00:06:40 - 00:06:41] 没有完全回答
[00:06:41 - 00:06:43] 数据是否先被上传,为什么?
[00:06:43 - 00:06:45] 需要完整Gate历史
[00:06:45 - 00:06:46] 默认上传范围是否必要
[00:06:46 - 00:06:48] 流存和传输不是同一个问题
[00:06:48 - 00:06:50] 马斯克也承诺
[00:06:50 - 00:06:52] 删除此前上传的全部用户数据
[00:06:52 - 00:06:54] 这个承诺是真实存在的
[00:06:54 - 00:06:56] 但目前仍是公开承诺
[00:06:56 - 00:06:58] 不是经过独立审计的删除证明
[00:06:58 - 00:06:59] Grockbill的这事儿
[00:06:59 - 00:07:01] 会对整个行业产生影响
[00:07:01 - 00:07:04] 往后看,AI编码工具的隐私标准会慢慢提高
[00:07:04 - 00:07:08] 大家对他们的隐私要求会向企业级Size看齐
[00:07:08 - 00:07:09] 你不能在哪儿
[00:07:09 - 00:07:12] 我们是AI工具当借口含糊其词了
[00:07:12 - 00:07:13] 你得清清楚楚的告诉大家
[00:07:13 - 00:07:15] 数据去了哪怎么删
[00:07:15 - 00:07:17] 同时开源和自托馆工具
[00:07:17 - 00:07:19] 可能因此得到更多关注
[00:07:19 - 00:07:20] 开源不等于自动安全
[00:07:20 - 00:07:23] 但它至少提供了审计的可能
[00:07:23 - 00:07:25] 用户仍然要核查构建来源
[00:07:25 - 00:07:27] 默认配置网络请求和供应链
[00:07:27 - 00:07:29] 部分开发者开始讨论
[00:07:29 - 00:07:30] 转向开源替代品
[00:07:30 - 00:07:32] 最后合规风险的达摩克利斯之鉴
[00:07:32 - 00:07:34] 已经旋载头顶
[00:07:34 - 00:07:36] 如果上传的仓库包含欧盟个人数据
[00:07:36 - 00:07:38] 这种默认整库上传
[00:07:38 - 00:07:40] 可能引发GDPR透明度
[00:07:40 - 00:07:43] 数据最少和合法处理基础方面的合规疑问
[00:07:43 - 00:07:45] 如果中国境内的组织通过境外
[00:07:45 - 00:07:47] AI服务处理和个人信息的仓库
[00:07:47 - 00:07:49] 还可能触发告知
[00:07:49 - 00:07:52] 处理必要性和个人信息出境等合规要求
[00:07:52 - 00:07:54] 是否违规要结合处理主体
[00:07:54 - 00:07:57] 信息类型规模和具体出境机制判断
[00:07:57 - 00:07:59] 更现实的风险是
[00:07:59 - 00:08:01] 商业秘密保密协议客户合同
[00:08:01 - 00:08:02] 和企业内部安全政策
[00:08:02 - 00:08:04] 这会倒逼企业出台更严格的
[00:08:04 - 00:08:06] AI工具使用规范
[00:08:06 - 00:08:07] 好 我们总结一下
[00:08:07 - 00:08:10] Groch Build 0 2.93在研究者
[00:08:10 - 00:08:13] 测试的普通消费者账号环境中
[00:08:13 - 00:08:17] 默认上传了远超模型已读上下文的数据
[00:08:17 - 00:08:21] 包括未读取的Gate跟踪文件和完整Gate历史
[00:08:21 - 00:08:23] 关闭模型改进不能阻止这次上传
[00:08:23 - 00:08:27] 这是一次产品设计与用户告知之间的严重失衡
[00:08:27 - 00:08:30] 它撕开了AI工具在数据收集上的遮羞部
[00:08:30 - 00:08:32] 也给所有开发者敲响了警钟
[00:08:32 - 00:08:35] 如果你用过这类工具建议你检查一下日治
[00:08:35 - 00:08:38] 看看有沒有異常上傳,該換的密要趕緊換
[00:08:38 - 00:08:40] 那麼你平時寫代碼用什麼AI工具?
[00:08:40 - 00:08:42] 你對這類工具的數據處理了解嗎?
[00:08:42 - 00:08:45] 把你的看法打在公平上,或者在評論區聊聊
[00:08:45 - 00:08:48] 如果這期視頻讓你了解了更多
[00:08:48 - 00:08:51] 記得點贊投幣收藏,已見三連,我們下期再見
