BV号：BV1tYrQYqEhD
标题：BV1tYrQYqEhD
链接：https://www.bilibili.com/video/BV1tYrQYqEhD
识别语言：zh
语言置信度：1
分段数：272
生成时间：2026-08-30 20:43:35

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:08] 谷歌的前CEO艾利克·斯密特总是喜欢给大家没事来一点惊人的言论
[00:01:23 - 00:01:24] 然後詢問其中的內容
[00:01:24 - 00:01:26] 這個例子來說
[00:01:26 - 00:01:27] 他會像人類的大腦一樣
[00:01:27 - 00:01:29] 遺忘中間的某些部分
[00:01:29 - 00:01:31] 不過 谷歌研究院在論文
[00:01:31 - 00:01:34] Live No Context Behind中提出了
[00:01:34 - 00:01:36] 創新性的無限注意力方法
[00:01:36 - 00:01:38] 他能夠讓AI像一個不知疲倦的助手一樣
[00:01:38 - 00:01:42] 在閱讀過程中記錄並且保留最重要的信息
[00:01:42 - 00:01:44] 從而徹底改變AI的記憶模式
[00:01:44 - 00:01:45] 這意味著AI不僅能夠
[00:01:45 - 00:01:48] 清晰的記得眼前對話的每一個細節
[00:01:48 - 00:01:50] 還能夠隨時調取過去的重要記憶
[00:01:50 - 00:01:52] 從實際應用的角度來看
[00:01:52 - 00:01:55] 比如說我們詢問一個美食的配方
[00:01:55 - 00:01:57] AI可以循序漸進的給出完整的步驟
[00:01:57 - 00:02:00] 從購買材料到後續的操作流程
[00:02:00 - 00:02:02] 這種思維鏈推理的能力在未來五年之內
[00:02:02 - 00:02:05] 有望幫助我們解決科學、醫學、材料科學
[00:02:05 - 00:02:08] 氣候變化等諸多領域的重要問題
[00:02:08 - 00:02:10] 接下來是AI智能體的突破
[00:02:10 - 00:02:13] 如今大家都在積極的構建基於大模型的智能體
[00:02:13 - 00:02:16] 比如說讓AI閱讀化學的相關內容
[00:02:16 - 00:02:17] 發現化學原理
[00:02:17 - 00:02:18] 然後進行測試
[00:02:18 - 00:02:21] 之後再將測試結果添加到自己的理解中
[00:02:21 - 00:02:23] 再比如說微軟的AI智能體
[00:02:23 - 00:02:26] 已经能够自动处理复杂的商业邮件
[00:02:26 - 00:02:27] 当收到邮件的时候
[00:02:27 - 00:02:28] 它能够迅速行动
[00:02:28 - 00:02:31] 精准的解析人类语言中的模糊之处
[00:02:31 - 00:02:33] 查找邮件的往来历史
[00:02:33 - 00:02:34] 匹配行业标准数语
[00:02:34 - 00:02:36] 并且准确的找到合适的人员
[00:02:36 - 00:02:38] 来推进下一步的工作
[00:02:38 - 00:02:39] 更厉害的是
[00:02:39 - 00:02:41] 它也能够总结所有的信息
[00:02:41 - 00:02:43] 并且自动起草一封专业的回复邮件
[00:02:44 - 00:02:44] 此外
[00:02:44 - 00:02:47] OpenLite O1模型也展示出了强大的能力
[00:02:47 - 00:02:49] 基于O1的AI智能体
[00:02:49 - 00:02:51] 能够高度的模拟人类的对话
[00:02:51 - 00:02:53] 與商家進行自然的交流
[00:02:53 - 00:02:54] 詢問商品的細節
[00:02:54 - 00:02:55] 討價還價
[00:02:55 - 00:02:57] 甚至處理複雜的訂單細節
[00:02:57 - 00:03:00] 真正實現了從對話到行動的飛躍
[00:03:00 - 00:03:03] 成為了能夠理解並執行任務的智能助手
[00:03:03 - 00:03:05] 最後就是文本到行動
[00:03:05 - 00:03:07] Text to Action的突破
[00:03:07 - 00:03:10] 這無疑將會帶來一場顛覆性的編程革命
[00:03:10 - 00:03:12] 史密特舉了一個很有衝擊力的例子
[00:03:12 - 00:03:16] 那就是如果美國政府要禁止TikTok
[00:03:16 - 00:03:19] 那麼我們可以通過給大模型輸入特定的提示詞
[00:03:19 - 00:03:22] 让它在30秒内生成并且复制TikTok的程序
[00:03:22 - 00:03:25] 窃取所有的音乐和用户的个人记录
[00:03:25 - 00:03:27] 然后在网络上发布这个App
[00:03:27 - 00:03:29] 如果一个小时之内这个App没有火
[00:03:29 - 00:03:31] 或者是被病毒式的传销
[00:03:31 - 00:03:33] 那就用同样的思路再做一个
[00:03:33 - 00:03:34] 再把它发到网上
[00:03:34 - 00:03:37] 当然了它这么说只是为了说明
[00:03:37 - 00:03:39] 大模型在编程开发方面的强大之处
[00:03:39 - 00:03:41] 而实际上它想说的是
[00:03:41 - 00:03:44] 以后我们能够将任意的语言
[00:03:44 - 00:03:45] 转换为数字的命令
[00:03:45 - 00:03:47] 就像编程中的Python语言一样
[00:03:47 - 00:03:52] 想象一下如果地球上的每个人都拥有一个完全听从自己指令的成全
[00:03:52 - 00:03:54] 而且不需要支付高昂的费用
[00:03:54 - 00:03:57] 甚至这种成全的供应还接近于无限
[00:03:57 - 00:03:58] 那么会发生什么呢
[00:03:58 - 00:04:02] 而这些在未来一两年内可能就即将实现
[00:04:02 - 00:04:03] 从数据上看
[00:04:03 - 00:04:05] 目前的 SWE BANCH显示
[00:04:05 - 00:04:11] AI系统在编程能力上正在以每月2%到5%的惊人速度来提升
[00:04:11 - 00:04:12] 预计到2025年2月
[00:04:12 - 00:04:16] AI系统在软件工程基准上的表现将达到76%
[00:04:16 - 00:04:19] 年底可能将突破87.8%
[00:04:20 - 00:04:22] 2024年爆火的编程助手科森
[00:04:22 - 00:04:24] 已经初步展现了这种未来的可能性
[00:04:24 - 00:04:26] 他不仅能够生成代码
[00:04:26 - 00:04:27] 还能够完成从环境搭建
[00:04:27 - 00:04:29] 到云端部署的全过程
[00:04:29 - 00:04:31] 在科学研究领域
[00:04:31 - 00:04:33] AI带来的变革可以称得上是一种
[00:04:33 - 00:04:34] 范式上的转变
[00:04:34 - 00:04:36] 世密特作为一名计算机科学家
[00:04:36 - 00:04:37] 特别强调了这一点
[00:04:37 - 00:04:39] 在这个新的时代
[00:04:39 - 00:04:41] 计算机已经从单纯的辅助工具
[00:04:41 - 00:04:44] 准备为了科学家们的紧密协作伙伴
[00:04:44 - 00:04:45] 他能够接纳人类的想法
[00:04:45 - 00:04:47] 并且以远超人类的速度
[00:04:47 - 00:04:49] 同时处理所有可能的场景
[00:04:49 - 00:04:51] 在材料科学方面
[00:04:51 - 00:04:52] AI正在推动关键性的突破
[00:04:53 - 00:04:54] 新材料的开发
[00:04:54 - 00:04:55] 对于硬化 能量释放
[00:04:55 - 00:04:57] 气候变化等等领域至关重要
[00:04:58 - 00:05:00] 这些突破不仅局限于实验室
[00:05:00 - 00:05:03] 还将深刻的影响工业生产和日常生活
[00:05:03 - 00:05:04] 在药物研发领域
[00:05:04 - 00:05:06] 谷歌Dingmei的Alpha4
[00:05:06 - 00:05:08] 已经取得了引人注目的成就
[00:05:08 - 00:05:10] 它发现了几乎所有有趣的代卖制
[00:05:10 - 00:05:12] 这项成果向我们展示了
[00:05:12 - 00:05:14] AI在预测药物序列方面的强大能力
[00:05:14 - 00:05:18] 这一传统筛选以知方案的方法有着本质上的区别
[00:05:18 - 00:05:21] 应该说AI所带来了预测分子之间相互作用的能力
[00:05:21 - 00:05:24] 为药物的研发开辟了新的路径
[00:05:24 - 00:05:25] 随着AI的飞速发展
[00:05:25 - 00:05:29] AI科学家的崛起也成为了一种可以预见到的趋势
[00:05:29 - 00:05:30] 世密特预测
[00:05:30 - 00:05:32] 在未来一到两年内
[00:05:32 - 00:05:34] 就会出现超人类水平的数学家和程序儿
[00:05:34 - 00:05:36] 这是因为在一些领域内
[00:05:36 - 00:05:38] 比如说编程和数学
[00:05:38 - 00:05:40] 问题的解决就有一定的可验证性
[00:05:40 - 00:05:42] 对于计算机程序来说
[00:05:42 - 00:05:43] 我们可以不断的生成程序
[00:05:43 - 00:05:45] 直到找到有效的那个
[00:05:45 - 00:05:47] 而且我们清楚成功的标准
[00:05:47 - 00:05:49] 而对于数学来说
[00:05:49 - 00:05:51] 我们也可以不断的生成证明过程
[00:05:51 - 00:05:53] 直到找到已经被证明的证明
[00:05:53 - 00:05:56] 由于科学方面使用的语言相对简单
[00:05:56 - 00:05:57] 不像人类语言那样复杂
[00:05:57 - 00:05:59] 所以在这些领域
[00:05:59 - 00:06:02] AI反而有希望快速的超越人类专家的能力
[00:06:02 - 00:06:05] 然而我们也必须清醒的认识到
[00:06:05 - 00:06:07] AI的进步并不是毫无风险的
[00:06:07 - 00:06:10] Semitic明确指出了其中存在的二元性风险
[00:06:10 - 00:06:12] 比方说在生物学领域
[00:06:12 - 00:06:16] 随着AI技术在生物学研究中的应用越来越深入
[00:06:16 - 00:06:17] 如果被恶意的利用
[00:06:17 - 00:06:19] 可能会导致制造出非常复杂
[00:06:19 - 00:06:21] 而且危险的生物遗传物体
[00:06:21 - 00:06:24] 甚至产生出我们尚无解药的病毒
[00:06:24 - 00:06:25] 而在网络攻击方面
[00:06:25 - 00:06:28] AI同样可能被用来开发新的网络病毒
[00:06:28 - 00:06:30] 这对网络安全构成了巨大的挑战
[00:06:30 - 00:06:33] 因此如何确保AI技术不被滥用
[00:06:33 - 00:06:36] 即将成为我们极需要解决的一个关键问题
[00:06:36 - 00:06:40] 施密特还提出了一个关于创新模式的深刻观点
[00:06:40 - 00:06:41] 回顾人类历史
[00:06:41 - 00:06:43] 像安因斯坦達文奇這樣的傑出人物
[00:06:43 - 00:06:46] 開創了全新的發明和思想浪潮
[00:06:46 - 00:06:47] 但是在未來幾年內
[00:06:47 - 00:06:49] 隨著AI技術的發展
[00:06:49 - 00:06:51] 地球上的每個人都有可能接觸到一個
[00:06:51 - 00:06:53] 類似於這些博學者的AI助手
[00:06:53 - 00:06:56] 這將徹底改變創新的方式
[00:06:56 - 00:06:58] 從過去少數天才引領創新
[00:06:58 - 00:07:01] 轉變為每個人都能獲得天才級別的協助
[00:07:01 - 00:07:03] 這種變化的影響深遠程度
[00:07:03 - 00:07:04] 將遠超我們的想像
[00:07:04 - 00:07:07] 在AI發展面臨的挑戰中
[00:07:07 - 00:07:09] 農園危機也是一個極為緊迫的問題
[00:07:09 - 00:07:12] 施密特提到了一個令人震驚的預測
[00:07:12 - 00:07:13] 那就是有人計算得出
[00:07:13 - 00:07:15] 到2028年
[00:07:15 - 00:07:19] 美國的能源可能就會因為數據中心的高耗電量而完全的耗盡
[00:07:19 - 00:07:20] 為了應對這個挑戰
[00:07:20 - 00:07:22] 施密特提出了一個大膽的設想
[00:07:22 - 00:07:26] 那就是讓政府、大學、企業和風險投資家等各方
[00:07:26 - 00:07:28] 共同專注於AGI的發展
[00:07:28 - 00:07:29] 作為回報
[00:07:29 - 00:07:32] 政府能夠獲得更快的能源供應、安全保障
[00:07:32 - 00:07:34] 內幕模型的訪問權限等等
[00:07:34 - 00:07:38] 而且這個交易有可能會在新一屆的政府中達成
[00:07:38 - 00:07:39] 在應對這些挑戰方面
[00:07:39 - 00:07:40] 施必條認為
[00:07:40 - 00:07:43] 美國的創新體系具有獨特的優勢
[00:07:43 - 00:07:46] 它主要由政府大學和企業三個群體構成
[00:07:46 - 00:07:47] 政府提供風險資本
[00:07:47 - 00:07:50] 法律基礎和出口幫助等等
[00:07:50 - 00:07:52] 大學是創新的重要源泉
[00:07:52 - 00:07:54] 美國擁有許多優秀的大學
[00:07:54 - 00:07:56] 培養出了大量充滿創造力的年輕人
[00:07:56 - 00:07:59] 企業則通過大規模的風險投資
[00:07:59 - 00:08:01] 為創新提供資金的支持
[00:08:01 - 00:08:03] 這三個群體的協同合作
[00:08:03 - 00:08:05] 構成了美國財富創造的重要循環
[00:08:05 - 00:08:07] 展望2030年前後
[00:08:07 - 00:08:10] 视频上认为AI可能会迎来更为惊人的发展
[00:08:10 - 00:08:12] 那就是地规性的自我改进
[00:08:12 - 00:08:13] 或者说的直白一点
[00:08:13 - 00:08:15] 就是AI的自我进化
[00:08:15 - 00:08:17] 根据行业内的普遍预测
[00:08:17 - 00:08:18] 大约在五年之后
[00:08:18 - 00:08:20] AI系统将有可能开始编写自己的代码
[00:08:20 - 00:08:22] 而且开始不断的进行优化
[00:08:23 - 00:08:24] 从发展曲线来看
[00:08:24 - 00:08:26] 这将是一个重大的转折点
[00:08:26 - 00:08:27] 按照目前的增长率
[00:08:27 - 00:08:29] 预计到2030到2032年
[00:08:29 - 00:08:31] AI系统有可能达到
[00:08:31 - 00:08:34] 各个领域专家能力的80%或者90%
[00:08:34 - 00:08:36] 但是这也会带来巨大的风险
[00:08:36 - 00:08:38] 比如说AI可能会开发出新的网络威胁
[00:08:38 - 00:08:40] 或者提出新的生物方案
[00:08:40 - 00:08:42] 而这些方案可能是有意的
[00:08:42 - 00:08:43] 也有可能是有害
[00:08:43 - 00:08:44] 施密特强调
[00:08:44 - 00:08:46] 人类目前还远远没有做好
[00:08:46 - 00:08:48] 应对这一局面的准备
[00:08:48 - 00:08:49] 他甚至幽默地建议
[00:08:49 - 00:08:51] 当AI开始自主学习的时候
[00:08:51 - 00:08:54] 或许我们只能采取拔掉电源的方式
[00:08:54 - 00:08:56] 来阻止AI可能的施控行为了
[00:08:56 - 00:08:58] 如今我们正站在人类文明的
[00:08:58 - 00:09:00] 一个关键转折点上
[00:09:00 - 00:09:01] 在科技界
[00:09:01 - 00:09:02] 有一部分人相信
[00:09:02 - 00:09:04] 经过不断的训练和建模
[00:09:04 - 00:09:08] AI將會產生等同於甚至優於人類智能總和的智能
[00:09:08 - 00:09:10] 雖然施密特認為這種觀點有些樂觀
[00:09:10 - 00:09:12] 但是從發展方向上來看
[00:09:12 - 00:09:14] 他也認同AI的巨大潛力
[00:09:14 - 00:09:16] 無論如何在AI發展的過程中
[00:09:16 - 00:09:21] 我們必須始終確保AI是建立在尊重人類價值觀和尊嚴的基礎實上
[00:09:21 - 00:09:24] 因為AI系統本身是非人類的
[00:09:24 - 00:09:25] 如果不加於約束
[00:09:25 - 00:09:29] 他們就不會天然地具備人類的道德約束和宗教等等觀念
[00:09:29 - 00:09:31] 正如施密特所言
[00:09:31 - 00:09:33] 我知道這聽起來會很瘋狂
[00:09:33 - 00:09:34] 但是我要告訴你
[00:09:34 - 00:09:35] 这种变革被低估了
[00:09:35 - 00:09:36] 而不是被高估
[00:09:36 - 00:09:38] 真正的问题是
[00:09:38 - 00:09:40] 全球社会是否已经准备好迎接他
[00:09:40 - 00:09:41] 好了
[00:09:41 - 00:09:43] 以上就是史密特这次访谈的主要内容了
[00:09:43 - 00:09:45] 不知道大家有什么看法
[00:09:45 - 00:09:46] 欢迎在评论区留言
[00:09:46 - 00:09:47] 感谢大家观看
[00:09:47 - 00:09:48] 我们下期节目再见
