BV号：BV17ZLh6fEzK
标题：BV17ZLh6fEzK
链接：https://www.bilibili.com/video/BV17ZLh6fEzK
识别语言：zh
语言置信度：1
分段数：140
生成时间：2026-08-29 17:39:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 春天是毕业季 也是演讲季
[00:00:04 - 00:00:06] 但今年美国大学的毕业典礼上
[00:02:08 - 00:02:10] 但高利率科技行业收缩
[00:02:10 - 00:02:12] 等宏观因素也在共同作用
[00:02:12 - 00:02:13] 对于刚毕业的年轻人来说
[00:02:13 - 00:02:16] 这些初级岗位是他们积累经验
[00:02:16 - 00:02:18] 建立职业护程盒的唯一途径
[00:02:18 - 00:02:19] 现在企业搞管们觉得
[00:02:19 - 00:02:21] AI能做这些基础工作
[00:02:21 - 00:02:23] 于是直接关上了大门
[00:02:23 - 00:02:25] 年轻人连上桌打牌的资格都没了
[00:02:25 - 00:02:28] 你还指望他们为AI欢呼吗?
[00:02:28 - 00:02:30] 第二被迫卷入的AI军备竞赛
[00:02:30 - 00:02:33] 现在的职场规则已经被彻底改写了
[00:02:33 - 00:02:35] 根据企业AI平台Ryter的调查
[00:02:35 - 00:02:37] 77%的高管表示
[00:02:37 - 00:02:40] 拒绝掌握AI的员工不会被考虑晋升或领导岗位
[00:02:40 - 00:02:43] 这意味着不懂AI就直接出局
[00:02:43 - 00:02:45] 年轻人每天打开ChatGPT
[00:02:45 - 00:02:47] 不是因为他们觉得这东西有多伟大
[00:02:47 - 00:02:48] 而是因为恐惧
[00:02:48 - 00:02:50] 他们害怕如果不熟悉这项技术
[00:02:50 - 00:02:52] 就会在学业或职场上落后
[00:02:52 - 00:02:56] 这种被裹挟着向前的感觉才是焦虑的根源
[00:02:56 - 00:02:58] 第三 历史重演的结构性振动
[00:02:58 - 00:03:01] 很多人喜欢把AI比作工业革命
[00:03:01 - 00:03:03] 但回顾历史技术变革分为两种
[00:03:03 - 00:03:05] 负能型和替代型
[00:03:05 - 00:03:08] 第一次工业革命把人固定在流水线上
[00:03:08 - 00:03:10] 是替代了手工业者
[00:03:10 - 00:03:12] 而互联网革命创造了程序员
[00:03:12 - 00:03:15] 网络管理员等全新岗位是负能型
[00:03:15 - 00:03:17] 现在的AI至少在短期内
[00:03:17 - 00:03:19] 表现出极强的替代型特征
[00:03:19 - 00:03:22] 他不是在帮你工作,他是在替代你工作
[00:03:22 - 00:03:24] 这种结构性的振痛
[00:03:24 - 00:03:27] 全部压在了最没有一家能力的年轻人身上
[00:03:27 - 00:03:29] 但这里有个很离谱的地方
[00:03:29 - 00:03:32] 在所有被虚的科技大佬中有一个人是例外
[00:03:32 - 00:03:34] 那就是英伟达CEO黄仁勋
[00:03:34 - 00:03:37] 他在卡内基梅龙大学的演讲
[00:03:37 - 00:03:40] 不仅没被虚,反而大受欢迎
[00:03:40 - 00:03:40] 为什么?
[00:03:40 - 00:03:44] 因为他没有居高零下的贩卖AI成功学
[00:03:44 - 00:03:46] 而是戳破了硅骨同行的谎言
[00:03:46 - 00:03:48] 黄仁勋说了一句很关键的话
[00:03:48 - 00:03:50] AI不太可能取代你
[00:03:50 - 00:03:52] 但如果有人比你更擅长使用AI
[00:03:52 - 00:03:53] 那可能就会
[00:03:53 - 00:03:55] 这才是AI时代真正的生存法则
[00:03:55 - 00:03:58] 它强调的是机会工具和产业建设
[00:03:58 - 00:04:00] 而不是把焦虑轻描淡写成
[00:04:00 - 00:04:02] 你们必须接受现实
[00:04:02 - 00:04:05] 真正让年轻人愤怒的不是AI本身
[00:04:05 - 00:04:08] 而是科技精英把结构性风险包装成个人力致
[00:04:08 - 00:04:11] 他们说问题是你们是否会帮助塑造人工智能
[00:04:11 - 00:04:14] 试图把岗位消失讲成你还不够会用工具
[00:04:14 - 00:04:16] 年轻人已经觉醒了
[00:04:16 - 00:04:19] 他们拒绝成为这种宏大敘事下的牺牲品
[00:04:19 - 00:04:21] 部分年轻员工甚至以消极配合
[00:04:21 - 00:04:24] 绕开规则等方式 抵触公司的AI推进
[00:04:24 - 00:04:26] 这是一种弱者的反抗
[00:04:26 - 00:04:28] 也是对技术霸权的清醒认知
[00:04:28 - 00:04:30] 未来的产业结构会怎么演变
[00:04:30 - 00:04:33] 随着AI接管越来越多的脑力劳动
[00:04:33 - 00:04:36] 人类的价值将不可避免地向两个方向转移
[00:04:36 - 00:04:39] 一是需要极高认知能力和创造力的顶层设计
[00:04:39 - 00:04:43] 二是需要复杂人际交互和情感共鸣的服务业
[00:04:43 - 00:04:45] 对于年轻的工程师和开发者来说
[00:04:45 - 00:04:47] 单纯的写代码已经不够了
[00:04:47 - 00:04:50] 你需要具备系统加购能力业务理解能力
[00:04:50 - 00:04:54] 甚至是如何指挥一群AI agent为你工作的能力
[00:04:54 - 00:04:57] 从打工人向一人公司或超级个体转型
[00:04:57 - 00:05:00] 将成为未来十年的主流趋势
[00:05:00 - 00:05:01] 技术从来都不是中立的
[00:05:01 - 00:05:04] 它总是偏向那些掌握它的人
[00:05:04 - 00:05:06] 与其在焦虑中等待被替代
[00:05:06 - 00:05:09] 不如把AI变成你手里最锋利的刀
[00:05:09 - 00:05:12] 你觉得AI是在帮你还是在抢你的饭碗
[00:05:12 - 00:05:13] 把你的看法打在公屏上。
[00:05:13 - 00:05:16] 如果你觉得这期视频对你有启发,
[00:05:16 - 00:05:17] 别忘了点赞投币收藏,
[00:05:17 - 00:05:19] 我是为什么叫QQ。
[00:05:19 - 00:05:20] 我们下期见。
