BV号：BV1jNkhYFEpa
标题：BV1jNkhYFEpa
链接：https://www.bilibili.com/video/BV1jNkhYFEpa
识别语言：zh
语言置信度：1
分段数：323
生成时间：2026-08-31 00:09:14

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:02 - 00:00:04] 一晃真快
[00:02:03 - 00:02:04] 還堅持自主訓練模型
[00:02:04 - 00:02:07] 並且擁有實力強勁的內部研究團隊
[00:02:07 - 00:02:09] 與微軟和研磨訊
[00:02:09 - 00:02:11] 分別與OpenI和Anstropic合作不同
[00:02:11 - 00:02:14] 谷歌試圖通過掌控價值鏈的每一個環節
[00:02:14 - 00:02:15] 來爭奪勝利
[00:02:15 - 00:02:17] 這種全鏈路的掌控能力
[00:02:17 - 00:02:20] 使得它在競爭中佔據著族特的地位
[00:02:20 - 00:02:23] 而OpenI則憑藉著強大的品牌
[00:02:23 - 00:02:25] 在竞争中脱颖而出
[00:02:25 - 00:02:27] 根据相关的品牌认知度调查
[00:02:27 - 00:02:30] OPEN-I在AI领域拥有无可争议的最强品牌
[00:02:31 - 00:02:34] 强大的品牌影响力让OPEN-I成为了大型AI玩家中
[00:02:34 - 00:02:37] 收入增长最为强劲的一个引擎
[00:02:37 - 00:02:38] 根据报道
[00:02:38 - 00:02:41] OPEN-I的收入已经超过了36亿美元
[00:02:41 - 00:02:44] 在AI的成功越来越依赖于消费者认知度
[00:02:44 - 00:02:46] 和企业市场分发能力的今天
[00:02:46 - 00:02:50] OPEN-I很有可能会继续拉大与竞争对手的差距
[00:02:50 - 00:02:52] 品牌优势将成为OPEN-I在市场中
[00:02:52 - 00:02:54] 持续领先的一个重要保障
[00:02:54 - 00:02:55] 相较来说
[00:02:55 - 00:02:57] Anthropic在2024年
[00:02:57 - 00:02:59] 则吸引了大量的研究人才
[00:02:59 - 00:03:01] 特别是我们见证了研究人才
[00:03:01 - 00:03:03] 从OpenI的大规模出走
[00:03:03 - 00:03:05] 并且纷纷影响Anthropic
[00:03:05 - 00:03:07] 随着约翰·舒尔曼、杜尔克·金马
[00:03:07 - 00:03:09] 和简雷克等知名人才
[00:03:09 - 00:03:12] 在2024年从OpenI转投Anthropic
[00:03:12 - 00:03:14] Anthropic在研究人才中的
[00:03:14 - 00:03:15] 影响力持续的攀升
[00:03:15 - 00:03:18] 公司还积极地在进行高管招聘
[00:03:18 - 00:03:21] 比如说任命Instagram的联合创神
[00:03:21 - 00:03:23] 麦克克里格为首席产品官
[00:03:23 - 00:03:26] 在GPD3的发明者达利奥阿姆黛伊的领导下
[00:03:26 - 00:03:29] 安斯拉帕克已经成功地将自己打造成
[00:03:29 - 00:03:31] AI科学家们青睞的目的地
[00:03:31 - 00:03:34] 人才优势将为安斯拉帕克在技术研发和创新方面
[00:03:34 - 00:03:36] 提供强大的动力支持
[00:03:36 - 00:03:38] 我们再来说说XAI
[00:03:38 - 00:03:41] XAI在数据中心建设方面表现卓越
[00:03:41 - 00:03:44] 也而成为了数据中心扩展的零跑者
[00:03:44 - 00:03:47] 之前红山在钢铁 服务器和电力议文中
[00:03:47 - 00:03:49] 就强调了数据中心建设
[00:03:49 - 00:03:51] 對於AI競賽下一階段的關鍵意義
[00:03:51 - 00:03:53] 我們頻道正好也做過一些節目
[00:03:53 - 00:03:55] 大家有興趣可以去回看一下
[00:03:55 - 00:03:57] XAI在創記錄的時間內
[00:03:57 - 00:04:00] 部署了10萬個GPU的巨型集群
[00:04:00 - 00:04:02] 而它與競爭對手的下一個重要里程碑
[00:04:02 - 00:04:05] 可能將是20萬卡集群、30萬卡集群
[00:04:05 - 00:04:07] 如果規模就是一切
[00:04:07 - 00:04:09] 這個說法在AI競賽中依然成立
[00:04:09 - 00:04:11] 那麼XAI將憑藉著
[00:04:11 - 00:04:13] 它在數學中心建設方面的領先優勢
[00:04:13 - 00:04:16] 有望繼續保持快速崛起的態勢
[00:04:16 - 00:04:18] 強大的數學中心基礎設施
[00:04:18 - 00:04:22] 也将为Grogg系列模型的训练和服务提供坚实的支撑
[00:04:22 - 00:04:22] 相反
[00:04:22 - 00:04:25] Meta则选择全力投入到开源战略
[00:04:25 - 00:04:27] 这使得她在大的玩家中独具特色
[00:04:27 - 00:04:31] Meta已经通过Instagram、WhatsApp和Facebook等平台
[00:04:31 - 00:04:33] 用了强大的分发优势
[00:04:33 - 00:04:36] 推出的拉榜模型也拥有众多热情的粉丝
[00:04:36 - 00:04:39] 尽管必原与开源的争论仍然在持续
[00:04:39 - 00:04:41] 但是如果前沿进展开始放缓
[00:04:41 - 00:04:43] Meta凭借着开源模型
[00:04:43 - 00:04:46] 在技术快速传播方面将会占据明显的优势
[00:04:46 - 00:04:49] 不僅能吸引到更多的開發者和用戶
[00:04:49 - 00:04:50] 參與到拉馬的生態系統中
[00:04:50 - 00:04:54] 也可以進一步推動模型的優化和應用場景的拓展
[00:04:54 - 00:04:56] 隨著大模型競賽的推進
[00:04:56 - 00:04:59] 各家公司的競爭格局和姿態也逐漸的變得穩定
[00:04:59 - 00:05:01] 在2025年我們將會看到
[00:05:01 - 00:05:04] 哪些策略會被證明是具有先見之名的
[00:05:04 - 00:05:06] 而哪些決策又將面臨困境
[00:05:06 - 00:05:08] 這場激烈的競爭
[00:05:08 - 00:05:11] 勢必將對AI行業的發展繼續產生深遠的影響
[00:05:11 - 00:05:14] 接下來 紅山預測的第二個趨勢
[00:05:14 - 00:05:17] 是AI搜索將成為殺手機的應用
[00:05:17 - 00:05:20] 並且在2025年會迎來快速的擴張
[00:05:20 - 00:05:22] 自從ChadGPT問世以來
[00:05:22 - 00:05:27] 整個行業都在尋找真正能夠改變遊戲規則的AI殺手機應用
[00:05:27 - 00:05:29] 也就是那種能夠經受到時間考驗
[00:05:29 - 00:05:31] 讓消費者願意為之買單的產品
[00:05:31 - 00:05:35] 在2024年市場上湧現出了各種各樣的AI應用
[00:05:35 - 00:05:38] 從AI女友到AI租房助手
[00:05:38 - 00:05:40] 再到語音Agent和AI快輯等等
[00:05:40 - 00:05:43] 他們都在一年中經歷了市場的種種檢驗
[00:05:43 - 00:05:45] 但是洪山认为
[00:05:45 - 00:05:48] 在2025年将会被快速普及的一个重要案例
[00:05:48 - 00:05:50] 就是AI搜索引擎
[00:05:50 - 00:05:52] 比如Proplexity自从推出以来
[00:05:52 - 00:05:53] 发展极为迅猛
[00:05:53 - 00:05:56] 越华与用户已经达到了1000万
[00:05:56 - 00:05:59] OPI也在10月份推出了chatgbt搜索
[00:05:59 - 00:06:01] 刚刚又向全部用户开放
[00:06:01 - 00:06:04] 这都是对现有搜索功能的重要扩展
[00:06:04 - 00:06:05] 值得注意的是
[00:06:05 - 00:06:07] 华尔街日报最近发表了一篇
[00:06:07 - 00:06:08] 颇具讽刺意味的文章
[00:06:08 - 00:06:09] 标题为
[00:06:09 - 00:06:11] 谷歌搜索是老年人的专利
[00:06:11 - 00:06:14] 而如今谷歌正深陷反垄断诉讼之中
[00:06:14 - 00:06:17] AS搜索无疑对谷歌构成了巨大的挑战
[00:06:17 - 00:06:18] 洪山认为
[00:06:18 - 00:06:22] AS搜索不仅仅是对传统互联网搜索的简单升级
[00:06:22 - 00:06:23] 而是一种强大的重塑
[00:06:23 - 00:06:27] 传统互联网搜索主要是基于网络所引的导航技术
[00:06:27 - 00:06:30] 而AS搜索则是基于大语言模型的信息技术
[00:06:30 - 00:06:33] 它能够深入阅读并且从语意层面理解知识
[00:06:33 - 00:06:35] 对于广大的白领工作者来说
[00:06:35 - 00:06:37] 这将是一个巨大的福音
[00:06:37 - 00:06:40] 因为AS搜索能够更精准的满足
[00:06:40 - 00:06:42] 白领们在工作中的信息需求
[00:06:42 - 00:06:44] 更何况AS搜索的出现
[00:06:44 - 00:06:46] 很可能会打破当前一统天下的
[00:06:46 - 00:06:49] 搜索市场格局导致市场分化
[00:06:49 - 00:06:51] 红山假想了这样一个未来
[00:06:51 - 00:06:52] 那就是每个专业领域
[00:06:52 - 00:06:55] 都将拥有自己专门的AS搜索引擎
[00:06:55 - 00:06:57] 比方说分析师和投资者
[00:06:57 - 00:06:59] 可能会默认使用Proplexity
[00:06:59 - 00:07:00] 律师会倾向于使用
[00:07:00 - 00:07:02] Hurry这样的专业平台
[00:07:02 - 00:07:03] 医生则会依赖于
[00:07:03 - 00:07:05] Open Evidence等解决方案
[00:07:05 - 00:07:06] 从这个角度来看
[00:07:06 - 00:07:10] Mate Journey可以被看作是对像素宇宙的搜索
[00:07:10 - 00:07:12] Gaecob Coppola是对代码宇宙的搜索
[00:07:12 - 00:07:15] Glinn则是对文档宇宙的搜索
[00:07:15 - 00:07:18] 而Agent Universe是对Agent智能体的搜索
[00:07:18 - 00:07:20] 与传统的搜索相比
[00:07:20 - 00:07:23] AI搜索能够在语义层面上进行更加深入的理解
[00:07:23 - 00:07:25] 这种更为强大的功能
[00:07:25 - 00:07:28] 可以为用户带来显著的增量生产力提升
[00:07:28 - 00:07:30] 红山认为在AI搜索中
[00:07:30 - 00:07:33] 文文响应作为产品的表现形式
[00:07:33 - 00:07:36] 所带来的体验深度远超我们表面上能看到的
[00:07:36 - 00:07:40] 实际上,并不是所有的文文响应都是等同的
[00:07:40 - 00:07:43] 反而可以在多个维度实现产品的差异化
[00:07:43 - 00:07:45] 首先是意图提取的能力
[00:07:45 - 00:07:47] 通过领域的专业化
[00:07:47 - 00:07:51] ASOSO能够更加精准的将响应与用户意图进行匹配
[00:07:51 - 00:07:55] 比如说,当医生和患者提出同一个问题的时候
[00:07:55 - 00:07:58] 他们所期望的答案类型往往是不同的
[00:07:58 - 00:08:01] ASOSO可以根据用户的身份和需求
[00:08:01 - 00:08:03] 提供更为贴切实际的回答
[00:08:03 - 00:08:06] 其次,专有数据也是一个重要的方面
[00:08:06 - 00:08:07] 在白领的工作领域
[00:08:07 - 00:08:09] 独特的数据级至关重要
[00:08:09 - 00:08:12] 比如说律师需要依赖判立法数据
[00:08:12 - 00:08:14] 分析师需要财务数据
[00:08:14 - 00:08:16] 保险承保人需要天气数据等等
[00:08:16 - 00:08:20] 在商业环境中获取正确答案是最基本的要求
[00:08:20 - 00:08:24] 而专业数据能够为AISO所提供更加准确
[00:08:24 - 00:08:26] 更有针对性的信息支持
[00:08:26 - 00:08:27] 第三点
[00:08:27 - 00:08:29] 格式化同样不容忽视
[00:08:29 - 00:08:31] 这涉及到结果呈现给用户的方式
[00:08:31 - 00:08:33] 包括响应的详练程度
[00:08:33 - 00:08:34] 要点的使用
[00:08:34 - 00:08:35] 多摩泰内容的使用
[00:08:35 - 00:08:37] 以及對於來源的引用等等
[00:08:37 - 00:08:39] 不同職業的用戶
[00:08:39 - 00:08:42] 消化接收信息的方式存在著差異
[00:08:42 - 00:08:45] 比如說快避師和記者在處理信息的時候
[00:08:45 - 00:08:46] 就有不同的習慣
[00:08:46 - 00:08:49] 而AI搜索可以根據用戶的職業特點
[00:08:49 - 00:08:51] 進行定值化的格式化輸出
[00:08:51 - 00:08:53] 提高信息的可圖性和可用性
[00:08:53 - 00:08:56] 第四 界面設計也起著關鍵的作用
[00:08:56 - 00:08:59] 比如說代碼搜索就需要集中在 IDE 中
[00:08:59 - 00:09:01] 而快避政策的搜索
[00:09:01 - 00:09:03] 需要存在於快避SARS平台中
[00:09:03 - 00:09:07] 因为语异搜索能够从用户现有的工作流和数据上下文中受益
[00:09:07 - 00:09:11] 所以不同领域需要有不同的界面交互方式
[00:09:11 - 00:09:14] 才能适应用户的工作流程和操作习惯
[00:09:14 - 00:09:16] 从而提升用户的体验
[00:09:16 - 00:09:17] 总的来说
[00:09:17 - 00:09:19] 特定领域的AI搜索引擎
[00:09:19 - 00:09:22] 会尽可能的映射起目标用户的思维模式
[00:09:22 - 00:09:26] 毕竟医生、律师和会计师等不同职业的思维方式
[00:09:26 - 00:09:28] 存在着显著的差异
[00:09:28 - 00:09:30] 当我们在某个领域成为专家的时候
[00:09:30 - 00:09:33] 我们提取知识和做出决策的模式
[00:09:33 - 00:09:35] 会逐渐形成独特的风格
[00:09:35 - 00:09:37] 医生在面对医学文献的时候
[00:09:37 - 00:09:39] 律师在处理法案的时候
[00:09:39 - 00:09:41] 投资者在分析财报的时候
[00:09:41 - 00:09:44] 他们解析、分析和基于这些知识
[00:09:44 - 00:09:45] 做出决策的方式
[00:09:45 - 00:09:47] 其实是各不相同的
[00:09:47 - 00:09:48] 这种差异还可能导致
[00:09:48 - 00:09:51] 消费者市场和企业市场的分化
[00:09:51 - 00:09:54] 其实消费者们的需求大致是相同的
[00:09:54 - 00:09:55] 这也解释了
[00:09:55 - 00:09:57] 拆的GPT为什么会具有如此惊人的
[00:09:57 - 00:09:59] 产品市场契合度PMF
[00:09:59 - 00:10:00] 不过呢
[00:10:00 - 00:10:01] 专业人士的需求
[00:10:01 - 00:10:02] 则更加的多样化
[00:10:02 - 00:10:04] 也许以后每个知识工作者
[00:10:04 - 00:10:07] 每天可能至少会使用两个AI搜索引擎
[00:10:07 - 00:10:11] 一个用于工作场景满足专业上的需求
[00:10:11 - 00:10:14] 而另一个用于日常生活中的其他信息查询
[00:10:14 - 00:10:17] 接下来 弘山抛出了第三个预测
[00:10:17 - 00:10:21] 那就是2025年的投资回报率将持续的面临问题
[00:10:21 - 00:10:24] 而资本支出将开始趋于稳定
[00:10:24 - 00:10:26] 弘山之前曾经在多篇文章中
[00:10:26 - 00:10:29] 深入探讨过AI领域的巨额资本支出问题
[00:10:29 - 00:10:31] 认为最终用户的收入
[00:10:31 - 00:10:34] 難以支撐這些巨額現金支出所帶來的回報
[00:10:34 - 00:10:35] 在2024年
[00:10:35 - 00:10:37] 很多科技巨頭們擔心
[00:10:37 - 00:10:40] AI會威脅到他們在雲計算業務中的寡頭地位
[00:10:40 - 00:10:42] 所以認為自己別無選擇
[00:10:42 - 00:10:44] 必須積極投入大量的資源
[00:10:44 - 00:10:47] 來確保在AI未來發展中繼續佔據主導的地位
[00:10:47 - 00:10:49] 因為如果他們不投入
[00:10:49 - 00:10:50] 競爭對手就會投入
[00:10:50 - 00:10:53] 他們就很可能會在這場競賽中落後
[00:10:53 - 00:10:55] 不過到了2025年
[00:10:55 - 00:10:57] 局勢可能會發生戲劇性的變化
[00:10:57 - 00:10:59] 這些科技巨頭們
[00:10:59 - 00:11:01] 已經牢牢掌握住了AI革命
[00:11:01 - 00:11:04] 他们不仅控制了支撑AI发展的绝大多数数据中心
[00:11:04 - 00:11:07] 还在大模型公司中持有重要的股权
[00:11:07 - 00:11:10] 并且成为了新星AI创业公司的主要股东
[00:11:10 - 00:11:13] 因此 随着科技巨头们信心的增强
[00:11:13 - 00:11:16] 2025年将会是AI资本支出区稳定的一年
[00:11:16 - 00:11:22] 如果说2024年是各家公司争相签订土地和电力等各种协议的阶段
[00:11:22 - 00:11:26] 那么2025年则将是项目落地执行的关键时期
[00:11:26 - 00:11:28] 这些公司将专注在
[00:11:28 - 00:11:30] 按时按预算的来完成新的项目
[00:11:30 - 00:11:34] 然后他们需要将这些新的AI能力销售给客户
[00:11:34 - 00:11:37] 并且帮助企业利用这些技术来创造价值
[00:11:37 - 00:11:40] 红山指出自从CHATGPT出现以来
[00:11:40 - 00:11:43] 资本支出的水平大约翻了一番
[00:11:43 - 00:11:46] 但是在2025年可能会开始去正常化
[00:11:46 - 00:11:49] 从第三季度发布的最新资本支出数据来看
[00:11:49 - 00:11:53] 微软和谷歌内部的趋势线已经显示出稳定的迹象
[00:11:53 - 00:11:56] 严马逊和META虽然仍然在加速投入
[00:11:56 - 00:11:59] 但是预计可能也会在2025年初达到稳定的状态
[00:11:59 - 00:12:04] 其他巨頭之間的競爭博弈格局也會逐漸變得更加清晰
[00:12:04 - 00:12:07] 每個科技巨頭都在密切關注著競爭對手的動向
[00:12:07 - 00:12:10] 整個行業可能會在2025年邁向一個新的平衡
[00:12:10 - 00:12:13] 而不是繼續無休止的增加資本支出
[00:12:13 - 00:12:17] 同時 隨著新的數據中心產能在2025年陸續投入使用
[00:12:17 - 00:12:20] AI的算力價格有望繼續大幅下降
[00:12:20 - 00:12:23] 這對於創業公司來說無疑是一個利好的消息
[00:12:23 - 00:12:27] 其實 創業公司主要是算力的消費者而非生產者
[00:12:27 - 00:12:30] 因此它們將會從產能過剩中受益
[00:12:30 - 00:12:31] 從某種意義上來說
[00:12:31 - 00:12:35] 科技巨頭實際上正在為整個AI生態創造一種補貼效應
[00:12:35 - 00:12:37] 最後洪山指出
[00:12:37 - 00:12:41] 人們常常將雲計算公司與19世紀末到20世紀初期間
[00:12:41 - 00:12:44] 美國度金時代的鐵路寡頭進行類比
[00:12:44 - 00:12:47] 如果說數據中心是數字經濟的鐵路
[00:12:47 - 00:12:49] 那麼到了2025年底
[00:12:49 - 00:12:52] 新的AI鐵路將基本上鋪設就位
[00:12:52 - 00:12:53] 到那個時候
[00:12:53 - 00:12:54] 剩下的關鍵問題就是
[00:12:54 - 00:12:57] 什么样的货物 也就是应用和服务
[00:12:57 - 00:12:59] 将会在这些铁路上运行
[00:12:59 - 00:13:01] 以及如何更好地利用AI技术
[00:13:01 - 00:13:04] 为客户和最终用户创造更大的价值
[00:13:04 - 00:13:06] 好了 以上就是红山资本
[00:13:06 - 00:13:09] 对于AI行业2025年的三个预测了
[00:13:09 - 00:13:10] 整体感觉偏乐观
[00:13:10 - 00:13:12] 不知道大家是否同意
[00:13:12 - 00:13:13] 欢迎在评论区留言
[00:13:13 - 00:13:15] 感谢大家的观看 我们下期再见
