BV号：BV1ZrGi6PE25
标题：BV1ZrGi6PE25
链接：https://www.bilibili.com/video/BV1ZrGi6PE25
识别语言：zh
语言置信度：1
分段数：312
生成时间：2026-08-29 17:43:54

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你有没有试过让Cloud或Cursor帮你写代码
[00:03:33 - 00:03:35] 在没有这个规则的情况下
[00:03:35 - 00:03:38] AI会默认优化意味着加上缓存
[00:03:38 - 00:03:40] 加上并发加上监控
[00:03:40 - 00:03:41] 但有了这个规则
[00:03:41 - 00:03:42] AI会先问你
[00:03:42 - 00:03:44] 你说的优化是指速度
[00:03:44 - 00:03:46] 内存还是可毒性
[00:03:46 - 00:03:48] 现在的瓶颈在哪里
[00:03:48 - 00:03:49] 有没有可能不优化
[00:03:49 - 00:03:50] 而是重新设计
[00:03:50 - 00:03:52] 这个转变看起来很小
[00:03:52 - 00:03:54] 但它改变了整个对话的质量
[00:03:54 - 00:03:55] 规则2
[00:03:55 - 00:03:58] 简洁优先用最少的代码解决问题
[00:03:58 - 00:03:59] 不要过度推测
[00:03:59 - 00:04:03] 这个规则直接对抗AI的过度复杂化倾向
[00:04:03 - 00:04:05] 不要添加要求之外的功能
[00:04:05 - 00:04:07] 不要为一次性代码创建抽象
[00:04:07 - 00:04:10] 不要添加为要求的灵活性或可配置性
[00:04:10 - 00:04:13] 不要为不可能发生的场景做错误处理
[00:04:13 - 00:04:16] 如果200行代码可以写成五式行重写它
[00:04:16 - 00:04:18] 为什么这个规则这么重要
[00:04:18 - 00:04:20] 因为AI的默认倾向就是多极是好
[00:04:20 - 00:04:24] 给他一个需求,他会想象一百种未来可能性
[00:04:24 - 00:04:26] 然后全部编码进去
[00:04:26 - 00:04:28] 但现实中未来的需求往往和你想的不一样
[00:04:28 - 00:04:32] 所以那些为了未来的代码最后都变成了垃圾
[00:04:32 - 00:04:34] 这个规则强制AI问自己一个问题
[00:04:34 - 00:04:37] 资深工程师会觉得这过于复杂吗?
[00:04:37 - 00:04:40] 如果答案是是,那就重写规则三
[00:04:40 - 00:04:41] 精准修改
[00:04:41 - 00:04:44] 只碰必须碰的只清理自己造成的混乱
[00:04:44 - 00:04:47] 这个规则直接解决AI的无关编辑问题
[00:04:47 - 00:04:49] 编辑现有代码时
[00:04:49 - 00:04:51] 不要改进乡林的代码注释或格式
[00:04:51 - 00:04:53] 不要重够没坏的东西
[00:04:53 - 00:04:54] 匹配现有风格
[00:04:54 - 00:04:57] 即使你更倾向于不同的写法
[00:04:57 - 00:04:58] 如果注意到无关的死代码
[00:04:58 - 00:05:00] 提一下不要删除它
[00:05:00 - 00:05:02] 这个规则的关键是
[00:05:02 - 00:05:05] 每一行修改都应该能直接追溯到用户的请求
[00:05:05 - 00:05:07] 比如你让AI修复一个bug
[00:05:07 - 00:05:09] 在没有这个规则的情况下
[00:05:09 - 00:05:10] AI可能会
[00:05:10 - 00:05:11] 1 修复bug2
[00:05:11 - 00:05:13] 顺便重够乡林的函数
[00:05:13 - 00:05:16] 3 顺便改进代码风格
[00:05:16 - 00:05:18] 4 顺便删除一些
[00:05:18 - 00:05:20] 他认为是死代码的东西
[00:05:20 - 00:05:21] 结果呢
[00:05:21 - 00:05:23] 代码审查变成了一场噩梦
[00:05:23 - 00:05:25] 因为你不知道哪些改动是必要的
[00:05:25 - 00:05:26] 哪些是顺便的
[00:05:26 - 00:05:27] 有了这个规则
[00:05:27 - 00:05:29] AI只会做第一件事
[00:05:29 - 00:05:30] 其他的都不碰
[00:05:30 - 00:05:31] 规则4
[00:05:31 - 00:05:33] 目标驱动执行定义成功标准
[00:05:33 - 00:05:35] 循环验证直到达成这个规则
[00:05:35 - 00:05:37] 改变了整个工作流
[00:05:37 - 00:05:40] 这个规则的核心是把指令式的任务
[00:05:40 - 00:05:42] 转化为声明式的目标
[00:05:42 - 00:05:43] 你不再说做这个
[00:05:43 - 00:05:45] 而是说达到这个状态
[00:05:45 - 00:05:46] 为什么这个转变这么重要
[00:05:46 - 00:05:49] 因为AI非常擅长循环执行直到达成特定目标
[00:05:49 - 00:05:53] 如果你给它一个明确的可验证的成功标准
[00:05:53 - 00:05:56] 它会自己循环自己调整直到达成
[00:05:56 - 00:05:57] 这样做的好处是什么
[00:05:57 - 00:05:59] AI不再需要你的不断指导
[00:05:59 - 00:06:01] 它可以独立的工作
[00:06:01 - 00:06:02] 它可以自我纠正
[00:06:02 - 00:06:03] 现在你可能会想
[00:06:03 - 00:06:05] 这四条规则听起来不错
[00:06:05 - 00:06:06] 但真的有用吗
[00:06:06 - 00:06:08] 有一位开发者Athena Lex
[00:06:08 - 00:06:10] 做过一个非正式的实测
[00:06:10 - 00:06:12] 它在30个代码库上
[00:06:12 - 00:06:14] 用6周的时间比较了Cloud Code的表现
[00:06:14 - 00:06:19] 按照公开转述,用是否需要纠正或重写作为反攻口径。
[00:06:19 - 00:06:27] 它声称没有规则时任务的反攻率约41%,使用这四条规则后反攻率降到约11%,
[00:06:27 - 00:06:32] 但这里要讲清楚,这不是论文集Bunchmark,也不是AntiRapic官方数据,
[00:06:32 - 00:06:37] 它更像一个开发者的工程实测案例,所以这个数字的价值不在于绝对精确,
[00:06:37 - 00:06:42] 而在于它验证了一个方向,短具体可执行的行为规则,
[00:06:42 - 00:06:45] 确实能显著减少AI编码中的反攻
[00:06:45 - 00:06:47] 而Gatehub上14万多个star
[00:06:47 - 00:06:50] 至少说明他击中了很多开发者的痛点
[00:06:50 - 00:06:53] 很多人愿意收藏尝试讨论这套方法
[00:06:53 - 00:06:55] 张家源还在readme里写了一个
[00:06:55 - 00:06:57] 如何判断他在起作用的清单
[00:06:57 - 00:06:59] 地址中不必要的改动更少
[00:06:59 - 00:07:01] 只有请求的改动出现
[00:07:01 - 00:07:03] 因过度复杂而导致的重写更少
[00:07:03 - 00:07:05] 代码第一次就写的简洁
[00:07:05 - 00:07:07] 澄清问题在实现之前提出
[00:07:07 - 00:07:09] 而不是在犯错之后
[00:07:09 - 00:07:10] 干净精简的PR
[00:07:10 - 00:07:12] 没有顺带的重构或改进
[00:07:12 - 00:07:15] 这些都是工程师最关心的问题
[00:07:15 - 00:07:17] 这些都是代码审查中最常见的痛点
[00:07:17 - 00:07:20] 而这四条规则直接解决了这些问题
[00:07:20 - 00:07:23] 现在让我们反思一下这四条规则看起来很简单
[00:07:23 - 00:07:26] 简单到你可能会想这就是全部吗
[00:07:26 - 00:07:28] 但这里有个很有意思的地方
[00:07:28 - 00:07:32] 即便不把41%到11%当成严格Banchmark
[00:07:32 - 00:07:35] 只看这个案例指向的趋势也已经很有意思
[00:07:35 - 00:07:36] 这说明了什么
[00:07:36 - 00:07:39] 这说明AI的问题根本不是能力问题
[00:07:39 - 00:07:41] AI已经足够聪明了
[00:07:41 - 00:07:42] 问题是指导问题
[00:07:42 - 00:07:45] 大多数人用AI编程工具的方式
[00:07:45 - 00:07:46] 就像在和一个极其聪明
[00:07:46 - 00:07:49] 但完全没有常识的外星人沟通
[00:07:49 - 00:07:50] 你给他一个需求
[00:07:50 - 00:07:53] 他会用最复杂的方式去理解和执行
[00:07:53 - 00:07:55] 但如果你给他一个明确的行为准则
[00:07:55 - 00:07:56] 告诉他
[00:07:56 - 00:07:57] 这是我们的工程哲学
[00:07:57 - 00:07:58] 一切就变了
[00:07:58 - 00:08:00] 这不是在改进AI
[00:08:00 - 00:08:02] 这是在教AI如何成为一个好的队友
[00:08:02 - 00:08:06] 而且这个发现对张家园来说有更深层的意义
[00:08:06 - 00:08:08] 因为他正在用Meltica这个平台
[00:08:08 - 00:08:11] 让AI代理成为真正的团队成员
[00:08:11 - 00:08:14] 如果AI代理没有明确的行为准则
[00:08:14 - 00:08:15] 它就会是一个不可靠的队友
[00:08:15 - 00:08:17] 但有了这四条规则
[00:08:17 - 00:08:19] AI代理就可以真正融入团队
[00:08:19 - 00:08:22] 这也和MultiCAD的产品方向高度一致
[00:08:22 - 00:08:23] 不是只让AI写代码
[00:08:23 - 00:08:25] 而是让AI代理带着规则
[00:08:25 - 00:08:28] 技能和工作流参与团队协作
[00:08:28 - 00:08:30] 这就引出了我们今天的核心动产
[00:08:30 - 00:08:33] 在AI编程时代代码质量的决定因素
[00:08:33 - 00:08:35] 不再是AI模型的能力
[00:08:35 - 00:08:37] 而是你给AI的约束有多清晰
[00:08:37 - 00:08:40] 换句话说,你的Cloud.md有多好?
[00:08:40 - 00:08:41] 你的代码就有多好?
[00:08:41 - 00:08:44] 没有规则的团队,VS有规则的团队。
[00:08:44 - 00:08:47] 代码充斥过渡设计,VS代码简洁有力。
[00:08:47 - 00:08:50] AI做出错误假设,VSAI主动提问。
[00:08:50 - 00:08:53] 代码审查困难,VS代码审查简单。
[00:08:53 - 00:08:56] 反功率高,VS反功率低。
[00:08:56 - 00:08:57] 这意味着什么?
[00:08:57 - 00:09:02] 这意味着未来的软件工程,不再是如何让AI写代码的问题。
[00:09:02 - 00:09:05] 而是如何让AI按照你的标准写代码的问题。
[00:09:05 - 00:09:07] 这意味着你需要把你的工程哲学
[00:09:07 - 00:09:10] 显示化、文档化、机器化
[00:09:10 - 00:09:13] 你的Cloud.md就像是一份工程宪法
[00:09:13 - 00:09:15] 它定义了什么是好代码
[00:09:15 - 00:09:16] 它定义了什么是足够
[00:09:16 - 00:09:18] 它定义了什么是不应该做
[00:09:18 - 00:09:20] 一旦你有了这份宪法
[00:09:20 - 00:09:21] AI就知道怎么做了
[00:09:21 - 00:09:24] 当然,Cloud.md不是强制制行程
[00:09:24 - 00:09:26] Anthropic官方文档也说
[00:09:26 - 00:09:28] 它是加载进上下文的行为指导
[00:09:28 - 00:09:29] 不是硬配置
[00:09:29 - 00:09:32] 所以它不能保证AI每次100%遵守
[00:09:32 - 00:09:33] 但越具体简短一致
[00:09:33 - 00:09:35] 遵守概率越高
[00:09:35 - 00:09:38] 而张家源做的就是把carpathy的这份宪法
[00:09:38 - 00:09:41] 变成了一个可以被所有开发者使用的工具
[00:09:41 - 00:09:43] 这就是开源的力量
[00:09:43 - 00:09:44] 这就是工程师精神
[00:09:44 - 00:09:46] carpathy在他的推文里说
[00:09:46 - 00:09:50] 2026年是行业消化AI编程新能力的高能量年份
[00:09:50 - 00:09:53] 顺着这个判断我认为会出现两种团队
[00:09:53 - 00:09:56] 第一种没有明确规则的团队
[00:09:56 - 00:09:58] 他们会被大量低质量的AI代码淹没
[00:09:58 - 00:10:01] 他们会花大量时间在代码审查上
[00:10:01 - 00:10:04] 他们会不断的和AI沟通纠正他的错误
[00:10:04 - 00:10:06] 他们会逐渐放弃AI编程工具
[00:10:06 - 00:10:09] 第二种 有明确规则的团队
[00:10:09 - 00:10:11] 他们的AI代理会越来越聪明
[00:10:11 - 00:10:13] 不是因为模型变聪明了
[00:10:13 - 00:10:15] 而是因为约束变清晰了
[00:10:15 - 00:10:17] 他们的代码质量会稳定在高水平
[00:10:17 - 00:10:19] 他们的开发速度会持续提升
[00:10:19 - 00:10:21] 这就是未来的分水嶺
[00:10:21 - 00:10:23] 不是用不用AI编程工具
[00:10:23 - 00:10:25] 而是你的规则有多完善
[00:10:25 - 00:10:28] 而且这个趋势不仅仅适用于Cloud Code
[00:10:28 - 00:10:30] 这套原则可以牵一道Cursor Rules
[00:10:30 - 00:10:33] copilotinstructionsagents.md等规则文件里
[00:10:33 - 00:10:35] 因为问题的本质是一样的
[00:10:35 - 00:10:37] AI需要明确的约束
[00:10:37 - 00:10:39] AI需要清晰的标准
[00:10:39 - 00:10:41] AI需要知道什么叫足够好
[00:10:41 - 00:10:44] 而张家源和Multicard出现说明了什么
[00:10:44 - 00:10:46] 说明这不仅仅是个人的问题
[00:10:46 - 00:10:47] 而是整个行业的问题
[00:10:47 - 00:10:50] 说明有人已经在构建基础设施
[00:10:50 - 00:10:52] 让AI代理真正成为团队的一部分
[00:10:52 - 00:10:54] 所以最后的最后
[00:10:54 - 00:10:57] 一个Cloud MD为什么能显著改善AI编程质量
[00:10:57 - 00:10:59] 因为它不是在改进AI
[00:10:59 - 00:11:01] 它是在教AI如何成为你团队的一部分
[00:11:01 - 00:11:06] 看到这里你有没有想过给你的项目加上一个Cloud MD
[00:11:06 - 00:11:09] 或者你在使用AI编程工具时
[00:11:09 - 00:11:10] 遇到过什么离谱的翻车经历
[00:11:10 - 00:11:14] 把你的想法打在公屏上或者在评论区留言
[00:11:14 - 00:11:17] 我是为什么叫QQ如果这期视频对你有启发
[00:11:17 - 00:11:19] 别忘了长按点赞,一键三连
[00:11:19 - 00:11:21] 我们下期再见
