BV号：BV1amCYYwEBY
标题：BV1amCYYwEBY
链接：https://www.bilibili.com/video/BV1amCYYwEBY
识别语言：zh
语言置信度：1
分段数：296
生成时间：2026-08-30 22:51:18

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 今天我们来聊一聊
[00:01:12 - 00:01:15] 而O3的完整版也將在之後不久推出
[00:01:15 - 00:01:18] 也就是說今天我們介紹的O3還是期貨
[00:01:18 - 00:01:22] 不過這並不妨礙我們今天先給大家介紹一下它的指面性能
[00:01:22 - 00:01:25] 這次O3最引人注目的
[00:01:25 - 00:01:28] 應該還是它在ARC-EGI基準測試下的性能表現了
[00:01:28 - 00:01:31] 阿格一街哀是一項用來評估AI系統
[00:01:31 - 00:01:36] 推理首次遇到的極其困難的數學和邏輯問題能力的基準測試
[00:01:36 - 00:01:40] 由Carris之父弗朗索瓦肖萊在2019年的論文
[00:01:40 - 00:01:42] 《論智力的評估》中提出
[00:01:42 - 00:01:44] 這個基準測試已經推出了5年的時間
[00:01:44 - 00:01:46] 但是一直沒能夠被攻克
[00:01:46 - 00:01:49] 我們可以看一個具體例子感受一下
[00:01:49 - 00:01:53] 像這種題目AI需要根據配對的輸入輸出勢力來尋找規律
[00:01:53 - 00:01:56] 然後再基於一個輸入來預測輸出
[00:01:56 - 00:01:59] 这种图形推理问题很像国内的公务员考试
[00:01:59 - 00:02:02] 而在这次的ARK-AGI测试中
[00:02:02 - 00:02:04] Othry已经达到了优良的水平
[00:02:04 - 00:02:07] 成为了首个突破ARK-AGI基准的AM模型
[00:02:07 - 00:02:08] 具体来说
[00:02:08 - 00:02:12] Othry在高推理能力设置下取得了87.5%的分数
[00:02:12 - 00:02:16] 在低推理能力设置下的分数也达到了O1的3倍
[00:02:16 - 00:02:19] 要知道之前GBT3的评测结果为0%
[00:02:19 - 00:02:21] GBT4为2%
[00:02:21 - 00:02:23] GBT4O为5%
[00:02:23 - 00:02:24] 即便是O1的Pro模式
[00:02:24 - 00:02:27] 也僅僅達到了大約50%的成績
[00:02:27 - 00:02:31] 而O3一舉將成績提升到了87.5%
[00:02:31 - 00:02:32] 確實令人抄目
[00:02:32 - 00:02:34] 與之前的大模型相比
[00:02:34 - 00:02:37] O3能夠適應以前從來沒有遇到過的任務
[00:02:37 - 00:02:39] 可以說已經在接近於人類的水平了
[00:02:39 - 00:02:41] 布朗索瓦肖萊這次也發布了
[00:02:41 - 00:02:43] O3的完整測試報告
[00:02:43 - 00:02:46] O3在兩個ARK-AGI數據集中進行了測試
[00:02:46 - 00:02:50] 並且在兩個具有可變樣本量的計算級別上進行了測試
[00:02:50 - 00:02:53] 分別是高效率的6個樣本
[00:02:53 - 00:02:57] 和低效率但是計算量為172倍的1024個樣本
[00:02:57 - 00:03:00] 其中75.7%的高效率分數
[00:03:00 - 00:03:04] 在ARK-AGI POP的1萬美元預算規則範圍內
[00:03:04 - 00:03:07] 87.5%的低效率分數成本則相當的昂貴
[00:03:07 - 00:03:10] 但是測試結果仍然表明
[00:03:10 - 00:03:13] 新任務的性能確實會隨著計算量的增加而提高
[00:03:13 - 00:03:15] 不過報告也指出
[00:03:15 - 00:03:17] ARK-AGI並不是對於AGI的嚴格考驗
[00:03:17 - 00:03:21] 通過ARK-AGI並不等同於實現了AGI
[00:03:21 - 00:03:24] 肖莱也表示,他认为Othry还不是EGI
[00:03:24 - 00:03:27] Othry在一些非常简单的任务上仍然会失败
[00:03:27 - 00:03:30] 这表明他与人类智能存在着根本的差异
[00:03:30 - 00:03:34] 他还对Othry模型的具体工作原理进行了一些推测
[00:03:34 - 00:03:40] Othry模型的核心机制似乎是在Token空间中进行自然语言程序的搜索和执行
[00:03:40 - 00:03:44] 在测试的时候,模型会在可能的思维链空间中搜索
[00:03:44 - 00:03:46] 这些思维链描述了解决任务所需要的步骤
[00:03:46 - 00:03:51] 这种方式可能与AlphaZero风格的蒙透卡罗树搜索有着相似之处
[00:03:51 - 00:03:55] 实际上,Oscar可能是有某些深度学习模型所引导的搜索
[00:03:55 - 00:04:00] 值得注意的是,D-Mind的德米斯·哈萨比斯在2023年6月的一次采访中意暗示
[00:04:00 - 00:04:04] D-Mind其实对这个概念已经研究了很长时间了
[00:04:04 - 00:04:07] 目前来看,Oscar模型的使用还不是很经济
[00:04:07 - 00:04:12] 用户需要于每项任务大约5美元,折合人民币大约36元的价格来支付
[00:04:12 - 00:04:14] 而在低效率推理模式下
[00:04:14 - 00:04:17] Oserie完成每个任务需要花费17-20美元
[00:04:17 - 00:04:20] 折合人民币大约124-145元
[00:04:20 - 00:04:24] OperaN明年还会与ArkAGI背后的基金会
[00:04:24 - 00:04:26] 一起合作去构建下一代的基准测试
[00:04:26 - 00:04:28] 从早期的数据点来看
[00:04:28 - 00:04:31] 即将推出的ArkAGI II基准测试
[00:04:31 - 00:04:34] 仍然将对于Oserie构成重大的挑战
[00:04:34 - 00:04:36] 即使是在高计算量下
[00:04:36 - 00:04:39] Oserie的得分也可能会降低到30%以下
[00:04:39 - 00:04:42] 而聪明的人类在不经过任何培训的情况下
[00:04:42 - 00:04:44] 仍然能够得分超过95%
[00:04:44 - 00:04:46] 不过在其他的基准测试中
[00:04:46 - 00:04:49] O3的表现也远远超过了竞品
[00:04:49 - 00:04:51] 在由真实世界软件任务组成的
[00:04:51 - 00:04:52] SWE BANCH
[00:04:52 - 00:04:54] Wirefigh的基准测试中
[00:04:54 - 00:04:57] O3模型的准确率大约为71.7%
[00:04:57 - 00:04:59] 比O1模型高出20%以上
[00:05:00 - 00:05:02] 在编程竞赛CodeFalses中
[00:05:02 - 00:05:04] O1的分数是1891
[00:05:04 - 00:05:06] 而O3在低推力设置下的分数
[00:05:06 - 00:05:07] 已经超过了O1
[00:05:08 - 00:05:09] 在高推力设置下
[00:05:09 - 00:05:11] 分数甚至可以达到2727
[00:05:11 - 00:05:15] 这个分数转化为人类的智商大约在157
[00:05:15 - 00:05:17] 如果按照大家普遍认为的
[00:05:17 - 00:05:19] 爱因斯坦的智商在160以上
[00:05:19 - 00:05:21] 估计也就它可以跟AI较量一下了
[00:05:21 - 00:05:24] 其实我们更应该关注一下提升的速度
[00:05:24 - 00:05:26] 欧巴爱今年发布GPT-CO的时候
[00:05:26 - 00:05:28] 智商也只有115
[00:05:28 - 00:05:30] 属于正常人的范围
[00:05:30 - 00:05:33] 欧万的越南版模型达到了123
[00:05:33 - 00:05:34] 相当于博士级的水平
[00:05:34 - 00:05:37] 从完整版的欧万开始达到了惊人的135
[00:05:37 - 00:05:40] 而欧3 mini则突破了140大关
[00:05:40 - 00:05:43] 也就说Opni只用了短短7个月的时间
[00:05:43 - 00:05:46] 就把AI的智商提升了42分
[00:05:46 - 00:05:47] 而如果按照福林效应
[00:05:47 - 00:05:51] 也就是智商测试的结果会逐年增加的理论来看
[00:05:51 - 00:05:53] 人类想把智商提升42分的话
[00:05:53 - 00:05:55] 大约需要140年才能够完成
[00:05:55 - 00:05:58] 而从CodeFossilis排行榜来看
[00:05:58 - 00:06:01] Osuori的成绩也能够排到第175名
[00:06:01 - 00:06:04] 超过了全球99.8%的成学
[00:06:04 - 00:06:07] 在数学基准测试AIME2024中
[00:06:07 - 00:06:10] Osuori的准确率达到了惊人的96.7%
[00:06:10 - 00:06:12] 只漏掉了一个问题
[00:06:12 - 00:06:15] 而O1的准确率则为83.3%
[00:06:15 - 00:06:17] GbT4O仅有13.4%
[00:06:17 - 00:06:20] 在衡量博士及科学问题的严科基准测试
[00:06:20 - 00:06:22] GBQA Diamond中
[00:06:22 - 00:06:24] O3的准确率高达87.7%
[00:06:24 - 00:06:27] 比O1的78%提高于10%
[00:06:27 - 00:06:30] 而专业博士通常在自己的强项领域
[00:06:30 - 00:06:32] 也只能得到70%的成绩
[00:06:32 - 00:06:35] 此外O3还在陶哲轩等60亿位
[00:06:35 - 00:06:36] 全球数学家共同推出的
[00:06:36 - 00:06:39] 号称业界最强的数学基准的
[00:06:39 - 00:06:41] EPOC AI FrontierMass中
[00:06:41 - 00:06:42] 创下了新的記錄
[00:06:42 - 00:06:44] 分數達到了25.2%
[00:06:44 - 00:06:47] 而其他的模型甚至都沒有超過2%
[00:06:47 - 00:06:48] 相比來說呢
[00:06:48 - 00:06:51] OSR MINI是一個更加經濟高效的OSR版本
[00:06:51 - 00:06:53] 專注在提升推力速度
[00:06:53 - 00:06:54] 降低推力成本的同時
[00:06:54 - 00:06:55] 兼顧模型的性能
[00:06:55 - 00:06:58] 通過自適應思考時間機制
[00:06:58 - 00:07:00] OSR MINI能夠根據任務的難度
[00:07:00 - 00:07:02] 自動調整推力的深度
[00:07:02 - 00:07:04] 它支持三種不同的推力強度選項
[00:07:04 - 00:07:06] 分別是低中高
[00:07:06 - 00:07:07] 與歐萬模型相比
[00:07:07 - 00:07:10] O3 mini在CodeFossilys上的性能就有显著的成本效益
[00:07:11 - 00:07:12] 比如说在中强度模式下
[00:07:12 - 00:07:16] O3 mini Meteor已经超过了满血版O1的表现
[00:07:16 - 00:07:20] 虽然O3 mini Hi在高强度模式下仍然落后于O3
[00:07:20 - 00:07:22] 但是几乎差别不大
[00:07:22 - 00:07:24] 除了代码成绩亮眼之外
[00:07:24 - 00:07:26] 在AIME 2024数学竞赛测试中
[00:07:26 - 00:07:30] O3 mini Low也已经接近于O1 mini的水平
[00:07:30 - 00:07:34] 而O3 mini Meteor则以78.2%的准确率超越了O1
[00:07:34 - 00:07:37] 而O3mini Hi則進一步提升了性能
[00:07:37 - 00:07:39] 在延遲方面的表現
[00:07:39 - 00:07:41] O3mini Low大幅降低了延遲
[00:07:41 - 00:07:44] 不到一秒足以媲美GPT4的即時響應
[00:07:44 - 00:07:48] 而O3mini Medium的延遲比O3mini還快一半
[00:07:48 - 00:07:50] 為了滿足開發者的需求
[00:07:50 - 00:07:52] O3mini這次也提供了全套的API功能
[00:07:52 - 00:07:56] 包括含述調用、結構化輸出、開發者消息等等
[00:07:56 - 00:07:58] 難能可貴的是在這些功能上
[00:07:58 - 00:08:00] O3的性能不僅完全對標於O1
[00:08:00 - 00:08:03] 並且在多數評測中取得了更好的表現
[00:08:03 - 00:08:06] 另外在GPQA數據及測試中
[00:08:06 - 00:08:08] OthoRmini也展現出了穩定的性能
[00:08:08 - 00:08:10] 即便是在低強弄模式下
[00:08:10 - 00:08:13] OthoRmini的漏也達到了62%的準確率
[00:08:13 - 00:08:15] Opni的研究科學家任宏宇
[00:08:15 - 00:08:16] 還在現場演示了一個
[00:08:16 - 00:08:18] 使用OthoRmini來實現
[00:08:18 - 00:08:20] Python代碼生成和執行的勢力
[00:08:20 - 00:08:21] 只用了30多秒
[00:08:21 - 00:08:23] OthoRmini就寫出了一個
[00:08:23 - 00:08:24] 自己的ChatGPT UI
[00:08:24 - 00:08:27] 通過發送請求來調用API與自己對話
[00:08:27 - 00:08:30] 然後再讓OthoRmini在這個UI中
[00:08:30 - 00:08:32] 編寫並且執行了一個腳本
[00:08:32 - 00:08:34] 评估自己在GPQA上的表现
[00:08:34 - 00:08:37] 结果脚本正确返回了61.62%的数值
[00:08:37 - 00:08:39] 与正式的评估结果相近
[00:08:39 - 00:08:42] 而且这个低推力能力的模型运行极快
[00:08:42 - 00:08:45] 整个评估过程只用了一分钟左右
[00:08:45 - 00:08:47] 虽然Oserate系列模型不会立即的发布
[00:08:47 - 00:08:50] 但是Operate已经开始向安全研究人员
[00:08:50 - 00:08:52] 开放了Oserate的法文权限
[00:08:52 - 00:08:54] 申请截止日期是1月10日
[00:08:54 - 00:08:55] 在官方博客中
[00:08:55 - 00:08:57] Operate还透露了Oserate使用的
[00:08:57 - 00:09:00] 新的对齐策略的更多技术细节
[00:09:00 - 00:09:01] 我们这里也简单介绍一下
[00:09:01 - 00:09:06] 我们都知道现代的大语言模型基本上都会使用监督微调SFT
[00:09:06 - 00:09:10] 和基于人类反馈的强化学习RHF来进行安全的训练
[00:09:10 - 00:09:12] 但是仍然存在着很多安全缺陷
[00:09:12 - 00:09:17] 欧牌的研究人员认为其中许多的失败是由于两个限制造成的
[00:09:17 - 00:09:20] 一 模型必须立即响应用户的请求
[00:09:20 - 00:09:23] 导致没有足够的时间来推理复杂和边缘的安全场景
[00:09:23 - 00:09:28] 二 大模型必须从大量标注样本中间接推断出所需要的行为
[00:09:28 - 00:09:31] 而不是直接学习自然语言中的基本安全标准
[00:09:31 - 00:09:36] 这就迫使模型必须从势力中对理想行为进行逆向工程
[00:09:36 - 00:09:38] 导致数据的效率和决策边界不佳
[00:09:38 - 00:09:39] 在这个基础上
[00:09:39 - 00:09:41] OPI提出了审议对期
[00:09:41 - 00:09:44] deliberative alignment的新训练方法
[00:09:44 - 00:09:46] 结合基于过程和结果的监督
[00:09:46 - 00:09:48] 让大模型在产生答案之前
[00:09:48 - 00:09:51] 明确地通过安全规范来进行复杂的推理
[00:09:51 - 00:09:53] 从而克服前面说的两个问题
[00:09:53 - 00:09:54] 相比之下
[00:09:54 - 00:09:56] 其他在推理时优化响应的策略
[00:09:56 - 00:09:59] 会将模型限制为预定义的推理路径
[00:09:59 - 00:10:02] 並且不涉及到對學習的安全規範的直接推理
[00:10:02 - 00:10:05] 我們再來看一下審議對齊的具體步驟
[00:10:05 - 00:10:07] 首先研究人員會訓練一個
[00:10:07 - 00:10:08] 只針對於O系列模型
[00:10:08 - 00:10:10] 沒有任何與安全相關的數據級
[00:10:10 - 00:10:11] 然後通過訓練一個
[00:10:11 - 00:10:13] 還有提示補全隊的數據級
[00:10:13 - 00:10:16] 其中補全中會引用思維鏈
[00:10:16 - 00:10:17] 並且在系統提示詞中
[00:10:17 - 00:10:18] 會為每個對話
[00:10:18 - 00:10:20] 插入相關的安全規範文本
[00:10:20 - 00:10:21] 生成模型
[00:10:21 - 00:10:23] 然後從數據中刪除系統提示
[00:10:23 - 00:10:25] 接下來再對這個數據級
[00:10:25 - 00:10:27] 執行增量監督微調
[00:10:27 - 00:10:29] 让模型学习到安全规范的内容
[00:10:29 - 00:10:32] 以及如何通过推理来生成一致的响应
[00:10:32 - 00:10:36] 最后使用强化学习来训练模型更加有效的使用思维链
[00:10:36 - 00:10:37] 同时引入奖励模型
[00:10:37 - 00:10:39] 让它可以通过访问安全策略
[00:10:39 - 00:10:41] 来提供额外的奖励信号
[00:10:41 - 00:10:44] 这个策略会分为两个核心的阶段来进行
[00:10:44 - 00:10:45] 第一个阶段
[00:10:45 - 00:10:48] 通过对思维链引用规范的势力进行监督微调
[00:10:48 - 00:10:51] 来教会模型在思维链中直接推理安全规范
[00:10:52 - 00:10:53] 第二个阶段
[00:10:53 - 00:10:55] 研究人员会使用高计算强化学习
[00:10:55 - 00:10:57] 来训练模型更有效的进行思考
[00:10:57 - 00:11:00] 并且引入使用指定安全规范的裁判大模型
[00:11:00 - 00:11:02] 来提供奖励信号
[00:11:02 - 00:11:03] 值得注意的是
[00:11:03 - 00:11:05] OPI的训练程序不需要人工的标注
[00:11:05 - 00:11:07] 只需要依赖于模型生成的数据
[00:11:07 - 00:11:10] 就能够实现精确的规范遵守性
[00:11:10 - 00:11:12] 这就解决了标准大模型安全训练中
[00:11:12 - 00:11:15] 严重依赖大规模人工标注数据的难题
[00:11:15 - 00:11:17] 从结果来看
[00:11:17 - 00:11:20] 研究证员在一系列内部和外部安全基准中
[00:11:20 - 00:11:22] 比较了O1与GPD4O
[00:11:22 - 00:11:23] Cod3.5Sonic
[00:11:23 - 00:11:25] 和GIMN-1.5 Pro的安全性
[00:11:25 - 00:11:26] 可以看到
[00:11:26 - 00:11:28] O1模型通过了一些较难的安全评估
[00:11:28 - 00:11:30] 并且在拒绝不足等方面
[00:11:30 - 00:11:31] 实现了帕雷托改进
[00:11:32 - 00:11:33] 关于审议对齐
[00:11:33 - 00:11:36] 最近Answerbic的团队也做了一期波克访谈
[00:11:36 - 00:11:38] 有机会我们会再做一期详细介绍的视频
[00:11:39 - 00:11:39] 好了
[00:11:39 - 00:11:42] 以上就是对于O3和O3 MINI的基本介绍了
[00:11:43 - 00:11:44] 由于目前还没有发布
[00:11:44 - 00:11:45] 所以具体使用情况
[00:11:45 - 00:11:47] 还等明年正式公开之后
[00:11:47 - 00:11:48] 大家再来评测
[00:11:48 - 00:11:50] 不过在O3发布前不久
[00:11:50 - 00:11:53] OpenIGPT系列论文的主要作者
[00:11:53 - 00:11:55] 亚里克拉德福刚刚宣布离职
[00:11:55 - 00:11:56] 将会转向独立研究
[00:11:56 - 00:11:58] 外媒也刚刚披露
[00:11:58 - 00:12:01] GPT5的开发受阻已经难产了10个月
[00:12:01 - 00:12:02] 现在还很难说
[00:12:02 - 00:12:04] Othry到时候会不会跳票
[00:12:04 - 00:12:05] 至少目前来看
[00:12:05 - 00:12:08] 通往AGI的全球竞赛还在加速的进行
[00:12:08 - 00:12:10] 感谢大家观看本期视频
[00:12:10 - 00:12:11] 我们下期再见
