BV号：BV1Z9NeeaEzK
标题：BV1Z9NeeaEzK
链接：https://www.bilibili.com/video/BV1Z9NeeaEzK
识别语言：zh
语言置信度：1
分段数：320
生成时间：2026-08-30 16:18:52

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 最近 前OpenI的成员安德烈卡帕西
[00:00:05 - 00:00:08] 录制了一个长达3个小时的最新视频
[00:03:56 - 00:03:59] 在Transformer里面有很多的参数
[00:03:59 - 00:04:01] 这些参数决定了大原模型的思考方式
[00:04:01 - 00:04:05] 实际上这些参数会通过一套复杂的数学公式
[00:04:05 - 00:04:08] 把输入的Token序列变成输出的概率分布
[00:04:08 - 00:04:11] 这些公式主要包括注意力极致
[00:04:11 - 00:04:14] 它让模型关注到输入序列中最重要的部分
[00:04:14 - 00:04:15] 多头注意力
[00:04:15 - 00:04:17] 它会从多个角度来关注输入的序列
[00:04:17 - 00:04:19] 捕捉更为丰富的信息
[00:04:19 - 00:04:23] 前馈神经网络它会对每个Token进行非线性变换
[00:04:23 - 00:04:25] 从而增强模型的表达能力
[00:04:25 - 00:04:28] 残差连接它用来缓解T路消失的问题
[00:04:28 - 00:04:29] 让模型更加容易训练
[00:04:29 - 00:04:31] 以及层规异化
[00:04:31 - 00:04:32] 它可以加速模型的收敛
[00:04:32 - 00:04:34] 提高模型的稳定性
[00:04:34 - 00:04:35] 在视频中
[00:04:35 - 00:04:38] 卡帕西借助于Transformer神经网络的3D可视化工具
[00:04:38 - 00:04:41] 向大家演示了Token是怎么一层一层的被处理的
[00:04:41 - 00:04:43] 以及每一层都发生了什么变化
[00:04:43 - 00:04:45] 训练好了大原模型之后
[00:04:45 - 00:04:47] 就可以用它来生成文本了
[00:04:47 - 00:04:49] 这个过程就叫做推理
[00:04:49 - 00:04:52] 首先大模型会根据自己预测的概率分布
[00:04:52 - 00:04:53] 随机挑选一个token出来
[00:04:53 - 00:04:56] 这个挑选的过程就叫做采样
[00:04:56 - 00:04:59] 然后模型会给词汇表里的每一个token都打个分
[00:04:59 - 00:05:01] 也就是计算一个概率值
[00:05:01 - 00:05:05] 这个分数就代表了它觉得这个token有多大的可能性是下一个
[00:05:05 - 00:05:07] 因为是随机挑选的
[00:05:07 - 00:05:09] 所以即使输入同样的句子
[00:05:09 - 00:05:11] 模型每次生成的文本也可能不一样
[00:05:11 - 00:05:14] 我们可以通过调整一个叫做温度系数的参数
[00:05:14 - 00:05:16] 来控制生成文本的创造程度
[00:05:16 - 00:05:20] 温度系数越高 生成的文本越随机 越有创意
[00:05:20 - 00:05:24] 而温度系数越低 生成的文本越保守 越可以被预测
[00:05:24 - 00:05:27] 不过呢 虽然现代模型能写出像模像样的句子了
[00:05:27 - 00:05:30] 但是这个时候 它更像是一只模仿人说话的英武
[00:05:30 - 00:05:32] 要想让它变成一个真正的助手
[00:05:32 - 00:05:34] 我们还需要对它进行调教
[00:05:34 - 00:05:36] 这个过程就叫做后训练
[00:05:36 - 00:05:39] 如果把预训练比做是同时的教育
[00:05:39 - 00:05:41] 那么后训练就可以说是专科教育
[00:05:41 - 00:05:44] 后训练的第一步呢 是收集和处理对话数据
[00:05:44 - 00:05:46] 用来教模型怎么跟人对话
[00:05:46 - 00:05:49] 这些对话通常是你一句我一句
[00:05:49 - 00:05:50] 有很多轮
[00:05:50 - 00:05:53] 每一轮都包括用户说的话和助手说的话
[00:05:53 - 00:05:54] 那怎么去收集呢?
[00:05:54 - 00:05:55] 一般来说
[00:05:55 - 00:05:57] AI公司会请些人
[00:05:57 - 00:05:58] 按照公司制定的规矩
[00:05:58 - 00:06:00] 写一些对话的数据
[00:06:00 - 00:06:02] 就像专门去编写教材的老师一样
[00:06:02 - 00:06:04] 其中的规矩就是标注指南
[00:06:04 - 00:06:06] 它会告诉标注员
[00:06:06 - 00:06:07] 什么样的回答是好的
[00:06:07 - 00:06:09] 什么样的回答是不好的
[00:06:09 - 00:06:10] 通常会强调
[00:06:10 - 00:06:13] 有用性、真实性、无害性等等这些原则
[00:06:13 - 00:06:15] 像是在Instagram的JPT论文中
[00:06:15 - 00:06:19] 就介绍了opi是怎么通过雇用40名标注员
[00:06:19 - 00:06:20] 让他们根据标注指南
[00:06:20 - 00:06:22] 来构建高质量的对话数据的
[00:06:22 - 00:06:23] 在对话数据中
[00:06:23 - 00:06:26] 为了区分对话里的不同角色
[00:06:26 - 00:06:28] 可能还会加入一些特殊的token
[00:06:28 - 00:06:29] 比方说
[00:06:29 - 00:06:31] 用括号U字来表示用户说的话
[00:06:31 - 00:06:34] 用括号assistant表示助手说的话
[00:06:34 - 00:06:37] 不同的模型使用的特殊token可能也不一样
[00:06:37 - 00:06:39] 由于模型是英武学舌
[00:06:39 - 00:06:41] 所以模型有的时候会胡说八道
[00:06:41 - 00:06:42] 这就是幻觉的问题
[00:06:42 - 00:06:45] 模型既不理解自己说的话是什么意思
[00:06:45 - 00:06:48] 也没有办法自己去查证说的是不是真的
[00:06:48 - 00:06:49] 为了缓解这个问题
[00:06:49 - 00:06:51] 我们可以通过提问和测试
[00:06:51 - 00:06:53] 看看模型到底知道些什么
[00:06:53 - 00:06:54] 不知道些什么
[00:06:54 - 00:06:56] 这就像是学校里的摸底考试一样
[00:06:56 - 00:06:58] 在真正考试之前
[00:06:58 - 00:07:00] 看看学生们的真实水平是如何的
[00:07:00 - 00:07:03] 另外我们也可以让模型使用一些外部的工具
[00:07:03 - 00:07:06] 比如说搜索引擎、计算器等等
[00:07:06 - 00:07:07] 来获取更为准确的信息
[00:07:07 - 00:07:10] 那么大原模型到底有没有自我意识呢
[00:07:10 - 00:07:12] 这是一个很有争议的问题
[00:07:12 - 00:07:13] 在安德列卡帕西看来
[00:07:13 - 00:07:16] 模型的自我认知并不是一个内在的属性
[00:07:16 - 00:07:20] 而是通过训练数据或者系统提示所塑造出来的
[00:07:20 - 00:07:24] 我们可以通过在训练数据里加入一些关于模型自己的信息
[00:07:24 - 00:07:27] 或者在对话开始的时候告诉模型你是谁
[00:07:27 - 00:07:28] 来让它知道自己是谁
[00:07:28 - 00:07:31] 但是这就像是给一个机器人设定了程序
[00:07:31 - 00:07:33] 让它按照程序说的去做
[00:07:33 - 00:07:35] 而不是让它真实的认识自己
[00:07:35 - 00:07:37] 这背后其实反映出来的是
[00:07:37 - 00:07:40] 大原模型的思考方式和我们人类是不太一样的
[00:07:40 - 00:07:43] 我们人类的思考是连续的、复杂的
[00:07:43 - 00:07:45] 而大原模型的思考是离散的
[00:07:45 - 00:07:46] 一步一步来的
[00:07:46 - 00:07:47] 简单来说
[00:07:47 - 00:07:50] 模型的思考能力是分散在每一个token上的
[00:07:50 - 00:07:52] 每个token就像是一个小脑袋
[00:07:52 - 00:07:54] 负责处理一部分的信息
[00:07:54 - 00:07:57] 显然每个小脑袋所能做的思考也是有限的
[00:07:57 - 00:08:01] 这也就是为什么模型很难一步就算出一个很难的数学题
[00:08:01 - 00:08:03] 但是如果让它一步一步的算
[00:08:03 - 00:08:05] 把每一步的计算结果都写出来
[00:08:05 - 00:08:06] 它就更容易算对
[00:08:06 - 00:08:08] 另外一点要知道是
[00:08:08 - 00:08:09] 模型与我们人类最大的不同
[00:08:09 - 00:08:11] 在于它看到的不是字
[00:08:11 - 00:08:12] 而是token
[00:08:12 - 00:08:15] 所以如果你让模型把一个单词的每个字母都写出来
[00:08:15 - 00:08:18] 或者数一数一个单词里有几个字母
[00:08:18 - 00:08:19] 它可能就会搞错
[00:08:19 - 00:08:21] 因为它看不到字母只能看到token
[00:08:21 - 00:08:24] 这里卡巴西又提到了瑞士奶酪模型的概念
[00:08:24 - 00:08:28] 那就是大原模型的智力其实是层次不齐的
[00:08:28 - 00:08:31] 有的时候很聪明有的时候又很笨
[00:08:31 - 00:08:33] 就像一块瑞士奶酪一样上面有很多的洞
[00:08:33 - 00:08:37] 所以模型有时候可能能回答出很难的历史问题
[00:08:37 - 00:08:39] 但是却算不对简单的加减法
[00:08:39 - 00:08:43] 想要解决这些问题就需要进行后训练的第二步
[00:08:43 - 00:08:44] 也就是调教模型
[00:08:44 - 00:08:48] 其中最重要的两个方法就是微调和强化学习
[00:08:48 - 00:08:50] 相当于进阶教育
[00:08:50 - 00:08:53] 对于监督微调来说就是继续使用预训练模型
[00:08:53 - 00:08:55] 但是在新的数据级上进行训练
[00:08:55 - 00:08:58] 这些数据级通常是针对于特定任务的
[00:08:58 - 00:09:00] 比如说对话、翻译、摘要等等
[00:09:00 - 00:09:04] 其中对话数据是可以由人类标注员来编写
[00:09:04 - 00:09:06] 也可以通过模型来自动生成的
[00:09:06 - 00:09:09] 而强化学习就像是人类去训练小狗一样
[00:09:09 - 00:09:11] 我们让模型不断的去尝试
[00:09:11 - 00:09:13] 如果它做的好就给它奖励
[00:09:13 - 00:09:15] 如果它做的不好就惩罚它
[00:09:15 - 00:09:16] 就这样
[00:09:16 - 00:09:17] 模型就能够慢慢学会
[00:09:17 - 00:09:19] 怎么做才能够得到更多的奖励
[00:09:19 - 00:09:21] 强化学习的关键
[00:09:21 - 00:09:23] 在于涉及一个好的奖励函数
[00:09:23 - 00:09:25] 告诉模型什么样的行为是好的
[00:09:25 - 00:09:26] 什么样的行为是不好的
[00:09:26 - 00:09:30] 这里卡帕西就详细分析了Deepseq R1的例子
[00:09:30 - 00:09:32] 是如何通过强化学习训练出来的
[00:09:32 - 00:09:33] 并且指出
[00:09:33 - 00:09:34] 强化学习的优势在于
[00:09:34 - 00:09:36] 它不会受到人类表现的限制
[00:09:36 - 00:09:38] 对于像数学题和写代码
[00:09:38 - 00:09:40] 这样有标准答案的领域
[00:09:40 - 00:09:41] 强化学习很适合
[00:09:41 - 00:09:44] 但是有些事情很难说清楚什么是好
[00:09:44 - 00:09:45] 什么是不好
[00:09:45 - 00:09:47] 比如说写诗写笑话
[00:09:47 - 00:09:50] 这个时候我们就可以让人来给模型生成的诗
[00:09:50 - 00:09:51] 或者是笑话打分
[00:09:51 - 00:09:54] 然后用这些分数来训练模型
[00:09:54 - 00:09:57] 这就是所谓的基于人类反馈的强化学习
[00:09:57 - 00:09:58] ROHF
[00:09:58 - 00:09:59] ROHF的优点是
[00:09:59 - 00:10:01] 我们可以用比较少的人力
[00:10:01 - 00:10:03] 来训练出来一个很厉害的模型
[00:10:03 - 00:10:04] 但是缺点是
[00:10:04 - 00:10:06] 奖励模型有可能会被玩坏了
[00:10:06 - 00:10:07] 产生误导和欺骗
[00:10:07 - 00:10:09] 生成一些看起来好
[00:10:09 - 00:10:10] 但是实际上不好的东西
[00:10:10 - 00:10:12] 这就像是硬式教育一样
[00:10:12 - 00:10:14] 并不是你真正掌握了知识
[00:10:14 - 00:10:15] 最后呢
[00:10:15 - 00:10:16] 卡帕奇还展望了一下
[00:10:16 - 00:10:18] 大约模型的未来发展
[00:10:18 - 00:10:18] 首先呢
[00:10:18 - 00:10:19] 是都模态方面
[00:10:19 - 00:10:20] 未来的模型呢
[00:10:20 - 00:10:22] 不仅能够处理文字
[00:10:22 - 00:10:23] 还能够处理图片
[00:10:23 - 00:10:24] 声音视频等等
[00:10:24 - 00:10:26] 比如说你可以上传一张照片
[00:10:26 - 00:10:27] 让模型给你讲一个
[00:10:27 - 00:10:29] 关于这张照片的故事
[00:10:29 - 00:10:29] 或者呢
[00:10:29 - 00:10:30] 对着模型说话
[00:10:30 - 00:10:31] 让它帮你把语音
[00:10:31 - 00:10:32] 转换成文字
[00:10:32 - 00:10:33] 其次呢
[00:10:33 - 00:10:34] Agent将会有大的发展
[00:10:34 - 00:10:36] 模型将不再只是一个助手
[00:10:36 - 00:10:38] 还能够自己去完成一些复杂的任务
[00:10:38 - 00:10:42] 比如说你可以让Agent来帮你写一份商业计划书
[00:10:42 - 00:10:44] 或者让他帮你去设计一个网站
[00:10:44 - 00:10:45] 最后呢
[00:10:45 - 00:10:47] 模型将会融入到我们生活的方方面面
[00:10:47 - 00:10:49] 就像如今的水和电一样
[00:10:49 - 00:10:51] 成为我们生活中不可缺少的一部分
[00:10:51 - 00:10:52] 好了
[00:10:52 - 00:10:54] 以上就是卡帕西这次最新视频的主要内容了
[00:10:54 - 00:10:56] 不仅对于专业人员来说
[00:10:56 - 00:10:58] 是一次很好的补充学习
[00:10:58 - 00:11:00] 对一些小白或者是普通人来说
[00:11:00 - 00:11:03] 也是一次很好了解大模型运行原理的机会
[00:11:03 - 00:11:05] 希望大家都能够有所收获
[00:11:05 - 00:11:06] 感謝大家觀看本期視頻
[00:11:06 - 00:11:07] 我們下期再見
