BV号：BV1hZTN6WE6Y
标题：BV1hZTN6WE6Y
链接：https://www.bilibili.com/video/BV1hZTN6WE6Y
识别语言：zh
语言置信度：1
分段数：340
生成时间：2026-08-29 10:13:23

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为大模型推理慢是因为算力不够
[00:01:38 - 00:01:41] 这样就把穿行计算变成了并行验证
[00:01:41 - 00:01:42] 速度自然就上去了
[00:01:42 - 00:01:45] 但是选什么样的小弟最合适呢
[00:01:45 - 00:01:46] 以前主要有两种流派
[00:01:46 - 00:01:48] 一种是自回归小弟
[00:01:48 - 00:01:49] 比如EGO3
[00:01:49 - 00:01:52] 它才的准 但自己生成草稿的速度慢
[00:01:52 - 00:01:55] 这是因为它必须一个词一个词的生成
[00:01:55 - 00:01:58] 每生成一个词都需要一次前向传播
[00:01:58 - 00:02:00] 所以生成时间跟草稿长度成正比
[00:02:00 - 00:02:03] 另一种是并行小弟 比如Dflash
[00:02:03 - 00:02:05] 它能一次性蒙出一大串词
[00:02:05 - 00:02:09] 速度极快 但因为词和词之间没有关联
[00:02:09 - 00:02:10] 猜错的概率很高
[00:02:10 - 00:02:13] 这就像是一个认真但慢吞吞的学生
[00:02:13 - 00:02:16] 和一个交卷快 但错误率高的学生到底选哪个
[00:02:16 - 00:02:19] DeepSig的工程师们给出了答案
[00:02:19 - 00:02:21] 小孩子裁作选择我全都要
[00:02:21 - 00:02:23] 于是Dispark诞生了
[00:02:23 - 00:02:25] 他提出了第一个核心机制
[00:02:25 - 00:02:27] 半字回归生成
[00:02:27 - 00:02:30] 如果你去翻看Dispark在Gatehub上的原码
[00:02:30 - 00:02:32] 你会发现他的架构非常精妙
[00:02:32 - 00:02:34] 他用了一个病情主干网络
[00:02:34 - 00:02:35] 其实就是Deflash
[00:02:35 - 00:02:38] 来承担大部分的操搞计算工作
[00:02:38 - 00:02:40] 这保证了生成速度极一块
[00:02:40 - 00:02:42] 然后他在这个病情主干后面
[00:02:42 - 00:02:44] 接了一个轻量级的顺序模块
[00:02:44 - 00:02:46] 这个模块的作用是什么呢
[00:02:46 - 00:02:48] 就是给那些病情生成的词之间
[00:02:48 - 00:02:49] 注入上下文依赖
[00:02:49 - 00:02:50] 具体怎么做呢
[00:02:50 - 00:02:53] 并行主干生成所有的基础Logits
[00:02:53 - 00:02:55] 然后顺序模块逐个词的采样
[00:02:55 - 00:02:58] 但每次采样时它都会根据前一个词
[00:02:58 - 00:02:59] 计算一个转移偏差
[00:02:59 - 00:03:01] 这个转移偏差是什么
[00:03:01 - 00:03:04] 它是一个低质矩阵分解的结果
[00:03:04 - 00:03:06] 具体来说是一个v×v的矩阵
[00:03:06 - 00:03:08] 其中v是磁表大小
[00:03:08 - 00:03:10] 但为了节省内存和计算
[00:03:10 - 00:03:12] 它被分解成两个小矩阵的成绩
[00:03:12 - 00:03:14] 在离线配置和Flash版本中
[00:03:14 - 00:03:16] 至通常设为256
[00:03:16 - 00:03:18] 在ProtestBark配置中为512
[00:03:18 - 00:03:21] 这样每一步的计算复杂度就从O
[00:03:21 - 00:03:24] V平方降低到了OR乘V
[00:03:24 - 00:03:26] 其中R是致
[00:03:26 - 00:03:29] 这就像是先让病情小弟快速写出一篇草稿
[00:03:29 - 00:03:31] 然后再让字回归小弟
[00:03:31 - 00:03:33] 快速检查一遍逻辑是否通顺
[00:03:33 - 00:03:36] 这样一来既保持了病情生成的极速
[00:03:36 - 00:03:38] 又大幅提升了草稿的准确率
[00:03:38 - 00:03:41] 在困3-4B的离线评测中
[00:03:41 - 00:03:45] Dispark将平均AcceptedLens提到约4.73
[00:03:45 - 00:03:47] 相比DFLAGE提升16.3%
[00:03:47 - 00:03:50] 相比EGO3提升30.9%
[00:03:50 - 00:03:51] 这是什么意思
[00:03:51 - 00:03:54] 就是说原来平均每轮验证
[00:03:54 - 00:03:55] 能接受约4.06个词
[00:03:55 - 00:03:58] DFLAGE现在能接受4.73个词
[00:03:58 - 00:04:01] 草稿质量指标提升16.3%
[00:04:01 - 00:04:04] 为后续端道端加速提供了基础
[00:04:04 - 00:04:07] 而且这个改进在昆三的8B和14B版本
[00:04:07 - 00:04:10] 以及Jama412B上都能看到
[00:04:10 - 00:04:13] 就算草稿猜得再准也总有猜错的时候
[00:04:13 - 00:04:15] 在传统的病情投机简码中
[00:04:15 - 00:04:16] 不管操高有多长
[00:04:16 - 00:04:19] 目标大模型都会一股哪儿的去验证
[00:04:19 - 00:04:21] 这就带来了一个严重的系统级问题
[00:04:21 - 00:04:23] 在并发量很高的时候
[00:04:23 - 00:04:26] 验证那些注定会被拒绝的废话
[00:04:26 - 00:04:28] 会白白浪费宝贵的算力
[00:04:28 - 00:04:30] 这就好比你明知道一篇
[00:04:30 - 00:04:32] 文章后半段全是胡说八道
[00:04:32 - 00:04:34] 还要一字一句的去批改
[00:04:34 - 00:04:35] 这不是浪费时间吗
[00:04:35 - 00:04:38] 所以D-Spark寄出了第二个杀手剪
[00:04:38 - 00:04:40] 知心度调度验证
[00:04:40 - 00:04:42] 这个知心度投是怎么工作的呢
[00:04:42 - 00:04:46] 它是一个轻量级的线性投影加Sigmoid的激活
[00:04:46 - 00:04:48] 输入是并行主干的隐藏状态
[00:04:48 - 00:04:50] 加上前一个词的Markov嵌入
[00:04:50 - 00:04:53] 输出是一个0-1之间的数字
[00:04:53 - 00:04:55] 代表当前词被目标模型接受的概率
[00:04:55 - 00:04:57] 但这里有个关键问题
[00:04:57 - 00:04:59] 这个概率估计往往过于自信
[00:04:59 - 00:05:01] 也就是说它预测的概率
[00:05:01 - 00:05:03] 通常比实际的接收率要高
[00:05:03 - 00:05:05] 所以D-Spark引入了一个叫
[00:05:05 - 00:05:08] 顺序温度缩放Squencher Temperature Scaling
[00:05:08 - 00:05:10] 它在验证级上从左到右
[00:05:10 - 00:05:12] 逐个位置的调整温度参数
[00:05:12 - 00:05:15] 使得预测的概率和实际的接受率相匹配
[00:05:15 - 00:05:18] 这样自信度头就能给出可靠的概率估计了
[00:05:18 - 00:05:21] 然后Dispark会结合当前服务器的负载情况
[00:05:21 - 00:05:23] 动态决定验证的长度
[00:05:23 - 00:05:26] 这里的关键是一个硬件感知的前坠调度器
[00:05:26 - 00:05:28] 它的工作原理是什么呢
[00:05:28 - 00:05:32] 首先它计算所有候选词的前坠生存概率
[00:05:32 - 00:05:35] 这是一个累积成绩DK个词的前坠生存概率
[00:05:35 - 00:05:38] 等于前K个词的自信度的成绩
[00:05:38 - 00:05:40] 然后他把所有后选词按照
[00:05:40 - 00:05:43] 前追生存概率从高到低排序
[00:05:43 - 00:05:46] 接着他逐个添加后选词到验证对列中
[00:05:47 - 00:05:47] 每添加一个词
[00:05:47 - 00:05:50] 就计算一下系统的预期吞吐量
[00:05:50 - 00:05:52] 这里用到了一个部数曲线
[00:05:52 - 00:05:53] 也就是说给定一个P大小
[00:05:54 - 00:05:54] B
[00:05:54 - 00:05:56] 系统每秒能执行多少步
[00:05:56 - 00:05:59] 这个曲线是在系统初始化时预先测量的
[00:05:59 - 00:06:01] 存储为一个清亮级的茶招表
[00:06:02 - 00:06:03] 最后当吞吐量开始下降时
[00:06:04 - 00:06:05] 调度器就停止添加词
[00:06:05 - 00:06:07] 返回当前的最优配置
[00:06:07 - 00:06:09] 这叫好刚用在刀刃上
[00:06:09 - 00:06:13] 我们在Huckin Face上看到了DeepSick V for Flash Deskbook
[00:06:13 - 00:06:16] 和DeepSick V4 Pro DeepSpark的模型卡片
[00:06:16 - 00:06:19] 官方明确说明了这并不是两个全新的模型
[00:06:19 - 00:06:23] 而是原有的V4检查点外加了一个头击减码模块
[00:06:23 - 00:06:26] 这意味着DeepSpark不改变主模型Checkpoint
[00:06:26 - 00:06:29] 但生产部署需要服务引擎配合
[00:06:29 - 00:06:31] 在Gate-Up上的DeepSpec仓库里
[00:06:31 - 00:06:34] 我们可以看到完整的训练和评估框架
[00:06:34 - 00:06:36] DeepSpec开源了DeepSpark
[00:06:36 - 00:06:38] Deflash和Ego3的訓練評估框架
[00:06:38 - 00:06:41] 公開配置覆蓋Kwensan與Jamar 4
[00:06:41 - 00:06:44] Deep Seek V4 Flash-Pro的D-Spark
[00:06:44 - 00:06:46] Checkpoint的單獨在Hug-in-Face發布
[00:06:46 - 00:06:49] 這顯示出跨模型家族遷移的潛力
[00:06:49 - 00:06:50] 從代碼層面看
[00:06:50 - 00:06:53] D-Spark的訓練目標包括三項損失函數
[00:06:53 - 00:06:55] 第一是交叉商損失
[00:06:55 - 00:06:58] 訓練草稿模型預測正確的下一個詞
[00:06:58 - 00:07:00] 第二是分布匹配損失
[00:07:00 - 00:07:04] 最小化草稿和目標模型分布之間的總變差距離
[00:07:04 - 00:07:06] 这直接对应于接受率
[00:07:06 - 00:07:08] 因为每部的接受概率等于
[00:07:08 - 00:07:10] 一减去总编差距离的一半
[00:07:10 - 00:07:12] 第三是自信度损失
[00:07:12 - 00:07:16] 训练制信度投预测解析得到的接受标签
[00:07:16 - 00:07:19] 这三项损失都用指数位置权重加权
[00:07:19 - 00:07:21] 强调快终较早的位置
[00:07:21 - 00:07:24] 因为他们对预期接受长度的贡献更大
[00:07:24 - 00:07:27] 很多人觉得推理优化不就是堆算力
[00:07:27 - 00:07:29] 搞良化优化KVCash吗
[00:07:29 - 00:07:30] 这种观点大错特错
[00:07:30 - 00:07:32] 传统的优化手段
[00:07:32 - 00:07:34] 比如把KVCash压缩到两比特
[00:07:34 - 00:07:37] 或者像DeepSick V4那样搞混合注意力机制
[00:07:37 - 00:07:41] CSA加HCA虽然能省内存
[00:07:41 - 00:07:45] 但并不能从根本上打破自回归生成的串形瓶颈
[00:07:45 - 00:07:48] 而论文里的生产极限是MTP-1
[00:07:48 - 00:07:50] DeepSpark的优势是用动态调度安全
[00:07:50 - 00:07:53] 释放更长DraftBlock的潜力
[00:07:53 - 00:07:55] MTP本身是多托肯预测
[00:07:55 - 00:07:58] 但静态的MTP-3或MTP-5
[00:07:58 - 00:08:00] 在高并发下会损害吞吐
[00:08:00 - 00:08:03] DeepSpark的出现彻底打破了这个认知
[00:08:03 - 00:08:04] 他告诉我们
[00:08:04 - 00:08:07] 通过巧妙的系统设计和概率预测
[00:08:07 - 00:08:10] 我们可以在不改编目标大模型结构的前提下
[00:08:10 - 00:08:12] 实现推理效率的显著提升
[00:08:12 - 00:08:14] 这才是真正的工程智慧
[00:08:14 - 00:08:16] 那么Dispark到底给我们带来了什么歧视
[00:08:16 - 00:08:19] 我认为他揭示了AI工程化的一个底层逻辑
[00:08:19 - 00:08:22] 从暴力计算走向智能调度
[00:08:22 - 00:08:23] 未来的AI系统
[00:08:23 - 00:08:26] 不再是简单地把所有任务都扔给GPU去认算
[00:08:26 - 00:08:28] 而是要学会查研观色
[00:08:28 - 00:08:30] 像Dispark的知性度调度一样
[00:08:30 - 00:08:33] 系统需要实时感知自身的负载
[00:08:33 - 00:08:35] 预测每一部计算的收益
[00:08:35 - 00:08:36] 然后动态分配资源
[00:08:36 - 00:08:39] 这就像是一个聪明的工厂经理
[00:08:39 - 00:08:41] 不是让所有工人都全力工作
[00:08:41 - 00:08:43] 而是根据订单的紧急程度
[00:08:43 - 00:08:44] 动态分配人力
[00:08:44 - 00:08:46] 对于我们软件工程师来说
[00:08:46 - 00:08:48] 这也意味着开发AI应用的门槛
[00:08:48 - 00:08:49] 可能正在降低
[00:08:49 - 00:08:51] 当大模型的推理成本压力
[00:08:51 - 00:08:53] 下降速度提升时
[00:08:53 - 00:08:55] 以前那些因为延迟太高
[00:08:55 - 00:08:56] 而无法落地的多A阵的
[00:08:56 - 00:08:58] 协作复杂工作流
[00:08:58 - 00:09:00] 现在可能都变得触手可及
[00:09:00 - 00:09:03] 也许艺人公司的时代有望加速到来
[00:09:03 - 00:09:06] 但是从论文到生产还有很多现实的挑战
[00:09:06 - 00:09:09] Dispark在生产环境中遇到的第一个问题是
[00:09:09 - 00:09:12] 硬件的容量曲线不是光滑的
[00:09:12 - 00:09:16] 理论算法隐含平滑进次单风的硬件容量曲线假设
[00:09:16 - 00:09:19] 但实际上由于库大图缓存行为等因素
[00:09:19 - 00:09:23] 真实的SPS曲线是离散锯齿状的有很多悬崖
[00:09:23 - 00:09:26] 所以Dispark采用了一步调度的方案
[00:09:26 - 00:09:28] 它不是同步等待当前部的容量信息
[00:09:28 - 00:09:31] 而是用两部之前的致信度
[00:09:31 - 00:09:33] 预测来估计当前部的容量
[00:09:33 - 00:09:35] 这样既能避免GPU管道的停顿
[00:09:35 - 00:09:36] 又能保证因果性
[00:09:36 - 00:09:38] 不会泄露当前Token的信息
[00:09:38 - 00:09:40] 第二个问题是
[00:09:40 - 00:09:42] 变场验证和库大图的兼容性
[00:09:42 - 00:09:43] 标准的解码内核
[00:09:43 - 00:09:45] 是为固定长度的查询优化的
[00:09:45 - 00:09:47] 如果验证长度变化
[00:09:47 - 00:09:48] 会导致GPU利用率下降
[00:09:48 - 00:09:51] 所以Dispark采用了一个巧妙的方案
[00:09:51 - 00:09:54] 在计算内核中把所有Token都展屏处理
[00:09:54 - 00:09:57] 通过一个标记张量来传递序列依赖
[00:09:57 - 00:09:59] 具体在DeepSickV4架构上
[00:09:59 - 00:10:01] 只有index tension和compress
[00:10:01 - 00:10:04] Carnals需要修改来支持这种变长路由
[00:10:04 - 00:10:07] 这样动态调度器就能无缝工作
[00:10:07 - 00:10:08] 不会引入低级执行开销
[00:10:08 - 00:10:11] 第三个问题是训练效率
[00:10:11 - 00:10:13] 训练DeepSpark需要目标模型的输出分布
[00:10:13 - 00:10:15] 如果直接在所有位置计算
[00:10:15 - 00:10:18] 会产生巨大的内存和通信开销
[00:10:18 - 00:10:20] 所以DeepSpark采用了两个优化
[00:10:20 - 00:10:21] 一是隐藏状态通信
[00:10:21 - 00:10:24] 不传输完整的词表Logits
[00:10:24 - 00:10:25] 大约10万维
[00:10:25 - 00:10:29] 而只传输IOM头前的隐藏状态,几千维
[00:10:29 - 00:10:32] 然后在草稿模型的Worker上本地计算Lamb投影
[00:10:32 - 00:10:34] 二是毛点接定的序列打包
[00:10:34 - 00:10:36] 不是把整个文档作为一个训练样本
[00:10:36 - 00:10:39] 而是从文档中随机采样多个毛点
[00:10:39 - 00:10:41] 每个毛点对应一个Gamtoken的快
[00:10:41 - 00:10:43] 这样就能节有草稿模型的计算
[00:10:43 - 00:10:46] 成本和目标模型的上下文长度
[00:10:46 - 00:10:49] 那么Dispark在生产环境中的表现怎么样呢
[00:10:49 - 00:10:51] 在DeepSig V4 Flash上
[00:10:51 - 00:10:53] Dispark在中等交互性思浪
[00:10:53 - 00:10:56] 下吞吐量提升了51%
[00:10:56 - 00:10:58] 在严格的高焦户性SLA下
[00:10:58 - 00:11:01] MTP一击线进入低并发边界
[00:11:01 - 00:11:04] 而Dspark仍能维持有意的吞吐量
[00:11:04 - 00:11:07] 这个点的名义倍数是661%
[00:11:07 - 00:11:09] 但论文特别说明这主要反应
[00:11:09 - 00:11:11] 得是焦户性边界被外推了
[00:11:11 - 00:11:13] 不应当做常规倍数加速
[00:11:13 - 00:11:15] 在匹配的系统容量下
[00:11:15 - 00:11:19] Dspark让单用户生成速度提升了60%-85%
[00:11:19 - 00:11:21] 对于V4、Pro结果类似
[00:11:21 - 00:11:25] 在中等SLA下吞吐量提升52%
[00:11:25 - 00:11:29] 在严格虽下出现民意加406%的优势
[00:11:29 - 00:11:31] 但同样反映的是边界外推
[00:11:31 - 00:11:36] 在匹配容量下单用户速度提升57%-78%
[00:11:36 - 00:11:39] 最关键的是D-Spark实现了负载自适应
[00:11:39 - 00:11:43] 对于V4 Flash当并发请求少于200个时
[00:11:43 - 00:11:46] 调度器会分配约4-6个Token的验证预算
[00:11:46 - 00:11:49] 对于V4 Pro当并发少于150个时
[00:11:49 - 00:11:52] 调度器会分配类似的预算
[00:11:52 - 00:11:53] 当并发增加时
[00:11:53 - 00:11:55] 调度器会自动缩小预算
[00:11:55 - 00:11:56] 防止资源竞争
[00:11:56 - 00:11:58] 这就是真正的智能调度
[00:11:58 - 00:12:01] 对于大模型推理系统的未来眼镜
[00:12:01 - 00:12:02] 我有几个技术前瞻
[00:12:02 - 00:12:05] 第一制性度预测模块可能会被更多
[00:12:05 - 00:12:08] 系统考虑集成到基础模型的训练中
[00:12:08 - 00:12:10] 这意味着未来的大模型可能会
[00:12:10 - 00:12:12] 原生支持自我评估能力
[00:12:12 - 00:12:14] 第二草稿模型的快大小
[00:12:14 - 00:12:15] 可能会变得更加动态
[00:12:15 - 00:12:18] 能够根据生成内容的类型自动调整
[00:12:18 - 00:12:21] 比如写代码时快大一点,日常聊天时快小一点
[00:12:21 - 00:12:25] 第三,随着上下文长度突破一兆甚至更长
[00:12:25 - 00:12:28] 投机解码与KVCash的分布式管理深度结合
[00:12:28 - 00:12:31] 可能会成为常文本推理的关键优化方向
[00:12:31 - 00:12:35] 第四,我预测D-Spark的思想可能会
[00:12:35 - 00:12:37] 影响其他大模型厂商的推理系统设计
[00:12:37 - 00:12:40] 因为这不是一个特定于DeepSake的技术
[00:12:40 - 00:12:42] 而是一个通用的系统优化框架
[00:12:42 - 00:12:45] 但这些都是基于当前信息的技术判断
[00:12:45 - 00:12:47] 具体如何眼睛还要看后续的实践
[00:12:47 - 00:12:48] 一句话总结
[00:12:48 - 00:12:51] D-SPARK用半字回归和自信度调度
[00:12:51 - 00:12:54] 给大模型装上了智能变速箱
[00:12:54 - 00:12:56] 改变了推理系统的设计思路
[00:12:56 - 00:12:58] 这个技术的深层意义是什么
[00:12:58 - 00:12:59] 它说明在AI时代
[00:12:59 - 00:13:01] 算力不再是唯一的瓶颈
[00:13:01 - 00:13:05] 系统设计算法创新工程优化同样重要
[00:13:05 - 00:13:06] 一个聪明的调度器
[00:13:06 - 00:13:09] 可能比多买几块GPU的效果还好
[00:13:09 - 00:13:11] 你觉得这种技术会如何影响
[00:13:11 - 00:13:12] 未来的AI应用部署
[00:13:12 - 00:13:14] 把你的看法打在公平上
[00:13:14 - 00:13:16] 如果这期硬核拆解对你有启发
[00:13:16 - 00:13:19] 别忘了点赞投币收藏一键三连。
[00:13:19 - 00:13:21] 我是为什么叫QQ,我们下期见!
