BV号：BV198KWewEQ3
标题：BV198KWewEQ3
链接：https://www.bilibili.com/video/BV198KWewEQ3
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-30 13:34:37

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是小飞
[00:00:02 - 00:00:05] 在科技行业飞速发展的今天
[00:05:41 - 00:05:43] 唐锐还表示
[00:05:43 - 00:05:45] 被收购后会分批归还员工欠薪
[00:05:45 - 00:05:47] 员工们听到这些消息后
[00:05:47 - 00:05:49] 虽然心里还是有些担忧
[00:05:49 - 00:05:52] 但也选择相信公司继续接收岗位
[00:05:52 - 00:05:55] 然而现实却让员工们感到无比失望
[00:05:55 - 00:05:56] 1月24日晚
[00:05:56 - 00:05:58] 在丁丁群全体员工的资本下
[00:05:58 - 00:06:01] 唐睿才承认劫钱不会有新的融资进账
[00:06:01 - 00:06:02] 仅仅过了两天
[00:06:02 - 00:06:04] 1月26日
[00:06:04 - 00:06:06] 纵木科技就陷入了停摆状态
[00:06:06 - 00:06:08] 这让员工们觉得自己被欺骗了
[00:06:08 - 00:06:10] 唐睿之前所说的融资
[00:06:10 - 00:06:11] 收购等事宜
[00:06:11 - 00:06:14] 似乎只是为了安抚他们而画的大饼
[00:06:14 - 00:06:15] 不仅如此
[00:06:15 - 00:06:17] 纵木科技高层还创造时间差
[00:06:17 - 00:06:19] 让员工陷入被动
[00:06:19 - 00:06:20] 1月26日
[00:06:20 - 00:06:22] 1月27日本是工作日
[00:06:22 - 00:06:24] 但纵木科技强制员工使用两天年价
[00:06:24 - 00:06:25] 提前放假
[00:06:26 - 00:06:28] 并在1月26日放假当天宣布停板
[00:06:29 - 00:06:30] 在不少员工看来
[00:06:30 - 00:06:32] 这明显是刻意而为之
[00:06:32 - 00:06:34] 公司选择在大家都放假回家
[00:06:34 - 00:06:36] 无法及时维权的时候公布这个恶号
[00:06:36 - 00:06:38] 实在是让人难以接受
[00:06:39 - 00:06:40] 放假期间
[00:06:40 - 00:06:41] 纵木科技高管门的行为
[00:06:41 - 00:06:42] 更是让人愤怒
[00:06:42 - 00:06:43] 1月27日
[00:06:43 - 00:06:45] 纵木科技掌握工章的高管
[00:06:45 - 00:06:46] 集体离职
[00:06:46 - 00:06:48] 他们相互在流程中秒批
[00:06:48 - 00:06:50] 这一操作直接堵死了
[00:06:50 - 00:06:51] 已经放假回家的
[00:06:51 - 00:06:52] 普通员工的离职通道
[00:06:52 - 00:06:53] 截至目前
[00:06:53 - 00:06:55] 基层员工仍在进行
[00:06:55 - 00:06:57] 自救性质的离职申请等措施
[00:06:57 - 00:06:59] 但过程十分艰难
[00:06:59 - 00:07:00] 更令人不耻的是
[00:07:00 - 00:07:02] 在部分员工春节假期间
[00:07:02 - 00:07:03] 义务工作已保证
[00:07:03 - 00:07:04] 参从充电机器人
[00:07:04 - 00:07:06] 在不同厂战运营之际
[00:07:06 - 00:07:08] 由纵木科技及下属公司法务
[00:07:08 - 00:07:10] 财务 人力资源
[00:07:11 - 00:07:13] 博物館组成的小团体
[00:07:13 - 00:07:17] 却在1月26日下午至1月27日凌晨5点期间
[00:07:17 - 00:07:19] 以3年5个月的欠薪为名义
[00:07:19 - 00:07:21] 私自将88万元保公款
[00:07:21 - 00:07:23] 转账至个人银行账户
[00:07:23 - 00:07:26] 多名宗目科技员工向媒体正式和这一情况
[00:07:26 - 00:07:29] 这种行为严重损害了公司的利益
[00:07:29 - 00:07:32] 也让员工们对公司的管理层彻底失去了信任
[00:07:32 - 00:07:34] 而首席执行官唐锐
[00:07:34 - 00:07:36] 1月中旬还曾出现在全员大会上
[00:07:36 - 00:07:38] 月底就被发现不在国内
[00:07:38 - 00:07:41] 2月5日起 他的叮叮信息已读不回
[00:07:41 - 00:07:43] 有消息指唐瑞已逃亡美国
[00:07:44 - 00:07:47] 其微信个人视频号IP地址则显示为日本
[00:07:47 - 00:07:50] 2月 联系首席执行官张爽也离职了
[00:07:50 - 00:07:54] 如今的纵木科技群龙无首陷入了一片混乱之中
[00:07:54 - 00:07:58] 纵木科技重庆分公司员工代表之一的小伍向媒体感叹道
[00:07:58 - 00:08:02] 如果公司能恢复秩序 该离职的离职 该赔偿的赔偿
[00:08:02 - 00:08:05] 留下最小化人员 继续完成客户的供货
[00:08:05 - 00:08:07] 以及融资收购事宜
[00:08:07 - 00:08:09] 说不定还有机会拿回欠薪
[00:08:09 - 00:08:11] 然而高管集体跑路
[00:08:11 - 00:08:12] 唐瑞也失联
[00:08:12 - 00:08:15] 员工与领导层之间的信任已经彻底崩塌
[00:08:15 - 00:08:17] 想要实现这些 弹劾容易
[00:08:17 - 00:08:19] 除了欠薪和高管问题
[00:08:19 - 00:08:22] 做目科技的资产状况也不容乐观
[00:08:22 - 00:08:26] 上海总部员工代表之一的小数画名向媒体表示
[00:08:26 - 00:08:28] 目前公司存在很多异地财产
[00:08:28 - 00:08:31] 比如一些存货 原材料 产线设备等
[00:08:31 - 00:08:34] 各地员工都试图保住自己分公司的资产
[00:08:34 - 00:08:37] 是上海本部基本没有什么可执行的东西
[00:08:37 - 00:08:38] 据透露
[00:08:38 - 00:08:40] 非唐瑞为法定代表人的子公司员工
[00:08:40 - 00:08:42] 以率先拿到调解书
[00:08:42 - 00:08:44] 但由于作为纵目总部等公司
[00:08:44 - 00:08:45] 法定代表人的唐瑞
[00:08:45 - 00:08:47] 为非中国国籍且以失联
[00:08:47 - 00:08:50] 相当一部分员工仍无法获取调解书
[00:08:50 - 00:08:52] 有法律人士表示
[00:08:52 - 00:08:54] 调解需要当事人或其代理人参与
[00:08:54 - 00:08:56] 外籍且失联状态
[00:08:56 - 00:08:57] 使得法院或调解机构
[00:08:57 - 00:08:59] 难以联系到该法定代表人
[00:08:59 - 00:09:01] 从而无法完成调解程序
[00:09:01 - 00:09:03] 这无疑给员工们争取自己的权益
[00:09:03 - 00:09:05] 增加了很大的难度
[00:09:05 - 00:09:06] 小树表示
[00:09:06 - 00:09:08] 资产肯定是不断在流失的
[00:09:08 - 00:09:09] 法院不介入
[00:09:09 - 00:09:11] 上海的员工很难保证
[00:09:11 - 00:09:12] 还能清算出资产来
[00:09:12 - 00:09:14] 而且高管全部跑路
[00:09:14 - 00:09:15] 员工自发维权
[00:09:15 - 00:09:18] 没有专业法务介入将十分艰难
[00:09:18 - 00:09:21] 同样的困境也出现在西南的重庆分公司
[00:09:21 - 00:09:22] 小五指出
[00:09:22 - 00:09:23] 公司欠薪太多了
[00:09:23 - 00:09:25] 听说还有资产已被抵押
[00:09:25 - 00:09:26] 就算大家胜诉了
[00:09:26 - 00:09:28] 公司也没有钱来赔付
[00:09:28 - 00:09:30] 重庆公司没有资产
[00:09:30 - 00:09:32] 有价值的资产可能只有几座工厂
[00:09:32 - 00:09:34] 據縱目科技官方披露
[00:09:34 - 00:09:36] 公司生產製造中心位於夏門、
[00:09:36 - 00:09:38] 胡州、東洋
[00:09:38 - 00:09:40] 其中東洋工廠已於去年建成
[00:09:40 - 00:09:41] 但抵押情況不明
[00:09:41 - 00:09:43] 面對這樣的困境
[00:09:43 - 00:09:45] 縱目科技員工們並沒有座椅待避
[00:09:45 - 00:09:47] 他們正在艱難地爭取自己的權益
[00:09:47 - 00:09:49] 目前員工們希望政府部門
[00:09:49 - 00:09:51] 能加速推進財產保全
[00:09:51 - 00:09:53] 儘快進行財產清算
[00:09:53 - 00:09:55] 縱目科技重慶分工司員工老沈
[00:09:55 - 00:09:56] 化名告訴媒體
[00:09:56 - 00:09:59] 員工們已經向重慶政府提了訴求
[00:09:59 - 00:10:01] 希望上海以及各分公司所在地政府
[00:10:01 - 00:10:03] 能够协同起来处理这事
[00:10:03 - 00:10:05] 这或许是更优的解决方案
[00:10:06 - 00:10:08] 然而重庆政府方面则反馈称
[00:10:08 - 00:10:10] 已与上海取得联系
[00:10:10 - 00:10:11] 目前暂无最新消息
[00:10:12 - 00:10:13] 2月11日
[00:10:13 - 00:10:14] 有知情员工透露
[00:10:14 - 00:10:16] 上海市普通新区执法部门
[00:10:16 - 00:10:17] 以牵头成立专班
[00:10:17 - 00:10:19] 开始处理异地资产保全等问题
[00:10:20 - 00:10:21] 当日下午
[00:10:21 - 00:10:22] 政府有关部门召开会议
[00:10:22 - 00:10:23] 但截至目前
[00:10:23 - 00:10:24] 暂未有实质性进展
[00:10:25 - 00:10:26] 如今立春已过
[00:10:26 - 00:10:27] 但对于孤立无援的
[00:10:27 - 00:10:29] 纵目科技员工们来说
[00:10:29 - 00:10:30] 他们的寒冬仍将持续
[00:10:30 - 00:10:34] 纵目科技的这场风波不仅仅是一家企业的问题
[00:10:34 - 00:10:36] 它也给整个科技行业敲响了警钟
[00:10:36 - 00:10:38] 对于企业来说
[00:10:38 - 00:10:41] 诚信经营是根本不能为了意识的利益而欺骗员工
[00:10:41 - 00:10:44] 同时 在企业面临困难时
[00:10:44 - 00:10:47] 应该积极与员工沟通共同寻找解决问题的办法
[00:10:47 - 00:10:49] 而不是选择逃避
[00:10:49 - 00:10:50] 对于员工来说
[00:10:50 - 00:10:52] 在维护自身合法权益的道路上
[00:10:52 - 00:10:55] 虽然充满了困难但也不能放弃
[00:10:55 - 00:10:57] 希望相关部门能够加大监管力度
[00:10:57 - 00:10:59] 完善相关法律法规
[00:10:59 - 00:11:01] 保障员工的合法权益
[00:11:01 - 00:11:03] 也希望做目科技的这场风波
[00:11:03 - 00:11:05] 能够早日得到妥善解决
[00:11:05 - 00:11:08] 让员工们能够尽快拿到自己应得的报酬
[00:11:08 - 00:11:10] 感谢大家观看本期视频
[00:11:10 - 00:11:11] 我们下期再见
