BV号：BV1AqCtYeEPa
标题：BV1AqCtYeEPa
链接：https://www.bilibili.com/video/BV1AqCtYeEPa
识别语言：zh
语言置信度：1
分段数：371
生成时间：2026-08-30 22:05:06

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 在当前的GPU市场格局中
[00:01:38 - 00:01:40] 这些大型模型的时候
[00:01:40 - 00:01:42] 占据了绝大部分的辅典运算次数
[00:01:42 - 00:01:44] 它的性能的高低
[00:01:44 - 00:01:46] 对于GPU处理前沿AI模型
[00:01:46 - 00:01:47] 训练工作负载的能力
[00:01:47 - 00:01:49] 有着关键的指示作用
[00:01:49 - 00:01:51] 在这次基准测试中
[00:01:51 - 00:01:52] 测试人员采用了LAMA 70B的
[00:01:52 - 00:01:54] 生产训练通用矩阵惩法
[00:01:54 - 00:01:56] 涵盖了融合的QQV投影
[00:01:56 - 00:01:58] 注意力输出投影
[00:01:58 - 00:02:01] 以及前馈网络等多种复杂的运算形状
[00:02:01 - 00:02:03] 并且使用了来自于OPI的业界标准
[00:02:03 - 00:02:04] 都Batch函数
[00:02:04 - 00:02:06] 确保了在每次运行之间
[00:02:06 - 00:02:07] 清理缓存
[00:02:07 - 00:02:09] 从而在多次重复之后
[00:02:09 - 00:02:11] 可以获取到可靠的中间结果
[00:02:11 - 00:02:13] 在BF16性能测试中
[00:02:13 - 00:02:15] 因为达的H100、H200
[00:02:15 - 00:02:18] 官方标称的是989TFLOPs
[00:02:18 - 00:02:20] 实际达到了大约720TFLOPs
[00:02:20 - 00:02:25] 而AMD的mi300x的標稱高達1307T flops
[00:02:25 - 00:02:28] 但是實際只能達到大約620T flops
[00:02:28 - 00:02:32] 這使得mi300x在半徑度伏點數工作負載方面
[00:02:32 - 00:02:34] 比英偉達的GPU慢了14%
[00:02:34 - 00:02:36] 在IP8性能測試中
[00:02:36 - 00:02:40] 英偉達的H100H200標稱的是1979T flops
[00:02:40 - 00:02:44] 實際能夠達到大約1280T flops
[00:02:44 - 00:02:48] 而英偉達的mi300x卻僅能達到大約990T flops
[00:02:48 - 00:02:51] 比英伟达的GPU慢了22%
[00:02:51 - 00:02:53] 这背后的软件难题不容忽视
[00:02:53 - 00:02:56] 为了在MI300X上取得较好的测试结果
[00:02:56 - 00:02:58] 用户必须依赖于AMD的工程师
[00:02:58 - 00:03:00] 特质的自定义刀壳镜像
[00:03:00 - 00:03:03] 并且能设置许多复杂的环境参数
[00:03:03 - 00:03:05] 在开箱仅用的情况下
[00:03:05 - 00:03:07] AMD芯片的性能表现
[00:03:07 - 00:03:09] 与经过精心调优后的结果相差甚远
[00:03:09 - 00:03:11] 在测试过程中
[00:03:11 - 00:03:14] 作者还发现了AMDGPU存在一些严重的bug
[00:03:14 - 00:03:18] 比如说Touch.metamow和F.linear的API之间
[00:03:18 - 00:03:21] 由于底层库Hip Blast LT与ROG Blast的差异
[00:03:21 - 00:03:23] 导致性能出现明显的不一致
[00:03:23 - 00:03:27] 不过在Semi-Analysis报告了这个问题之后
[00:03:27 - 00:03:29] AMD迅速采取行动修复了这个bug
[00:03:29 - 00:03:33] 此外像Petouch Tunable Ops这类实验性的功能特性
[00:03:33 - 00:03:36] 虽然在一定程度上有助于提升性能
[00:03:36 - 00:03:38] 但是也极大增加了用户操作的复杂性
[00:03:38 - 00:03:40] 用户往往需要花费几个小时
[00:03:40 - 00:03:42] 手动调整通用矩阵惩罚
[00:03:42 - 00:03:45] 才能获得相对合理的性能
[00:03:45 - 00:03:48] 而且AMD的Hit Blast LT和Rock Blast起發式模型
[00:03:48 - 00:03:50] 經常會錯誤的選擇算法
[00:03:50 - 00:03:53] 這與應為達的Coop Blast LT庫
[00:03:53 - 00:03:55] 能夠自動為大多數矩陣形狀
[00:03:55 - 00:03:56] 選擇最優的開箱集用算法
[00:03:56 - 00:03:58] 形成了鮮明的對比
[00:03:58 - 00:04:01] 同時在AMD上進行LP8訓練
[00:04:01 - 00:04:04] 最初還會以發斷錯誤和其他一系列的問題
[00:04:04 - 00:04:05] 即便在修復之後
[00:04:05 - 00:04:07] 在公開的發行版本中
[00:04:07 - 00:04:09] LP8的性能在某些情況下
[00:04:09 - 00:04:11] 仍然要比BF16要慢
[00:04:11 - 00:04:12] 這裡3D Analysis
[00:04:12 - 00:04:16] 还对斯达斯·贝克曼所做出的基准测试提出了批评
[00:04:16 - 00:04:20] 斯达斯·贝克曼声称MX300X的性能接近于H100
[00:04:20 - 00:04:22] 但是Semi-Analysis指出
[00:04:22 - 00:04:24] 它的测试存在着严重的缺陷
[00:04:24 - 00:04:27] 主要包括在各次迭代之间没有清理二级缓存
[00:04:28 - 00:04:29] 以及报告的是最大性能
[00:04:29 - 00:04:32] 而非多次运行后的中间值或者是平均值
[00:04:32 - 00:04:36] 这些因素都导致了测试的结果严重偏离了实际的情况
[00:04:37 - 00:04:40] 接下来我们再来看一看HBM内存带宽方面的测试
[00:04:40 - 00:04:45] AMD的MS300X凭借着192GB的HBM3内存
[00:04:45 - 00:04:48] 提供了每秒5.3TBS的内存带宽
[00:04:48 - 00:04:51] 高于因为达H200的每秒4.8TBS
[00:04:51 - 00:04:54] 以及H100的每秒3.35TBS
[00:04:54 - 00:04:57] 内存带宽的提升对于退理任务非常关键
[00:04:57 - 00:05:00] 在某些情况下对于训练也有一定的帮助
[00:05:00 - 00:05:02] 特别是在处理大规模批量数据的时候
[00:05:02 - 00:05:05] 但是在实际的训练工作负载中
[00:05:05 - 00:05:08] 虽然MS300X理论上拥有更高的内存带宽
[00:05:08 - 00:05:11] 应该能够让用户来设置更大的批量规模
[00:05:11 - 00:05:12] 但是实际上
[00:05:12 - 00:05:15] 当全局批量规模超过一定预值的时候
[00:05:15 - 00:05:16] 可能就会对模型的收敛时间
[00:05:16 - 00:05:18] 产生负面的影响
[00:05:18 - 00:05:21] 因为更大的批量往往需要更多的迭代次数
[00:05:21 - 00:05:23] 才能够实现最优的模型性能
[00:05:23 - 00:05:26] 尽管MS300X在基准测试中展现出了
[00:05:26 - 00:05:28] 良好的原始内存贷宽
[00:05:28 - 00:05:30] 但是由于存在软件效率低下
[00:05:30 - 00:05:32] 和计算能力受限等等其他的平静
[00:05:32 - 00:05:34] 所以这个优势在训练过程中
[00:05:34 - 00:05:37] 并不总是能够转化为更快的训练时间
[00:05:37 - 00:05:39] 不过在推理工作负载中
[00:05:39 - 00:05:41] 由于模型需要快速访问和处理
[00:05:41 - 00:05:43] 存储在内存中的数据
[00:05:43 - 00:05:46] MS300X的高带困内存确实更加具有优势
[00:05:46 - 00:05:48] 在单节点训练方面
[00:05:48 - 00:05:50] 英伟达的GPU表现出了强大的实力
[00:05:50 - 00:05:53] 开箱机用就能够提供出色的性能
[00:05:53 - 00:05:55] 而AMD的MS300X
[00:05:55 - 00:05:57] 则需要大量的调优和漏洞修复工作
[00:05:57 - 00:06:00] 才能够在性能上具备一定的竞争力
[00:06:00 - 00:06:03] 在测试中作者使用了包括GPT1.5B
[00:06:03 - 00:06:04] Lama3 8B
[00:06:04 - 00:06:06] Lama3 70B 4层代理
[00:06:06 - 00:06:10] 以及MISTO7B為0.1等基準模型
[00:06:10 - 00:06:12] 在使用公開的穩定版本時
[00:06:12 - 00:06:15] 英偉達的H100和H200在所有模型上的性能
[00:06:15 - 00:06:18] 都顯著優於AMD的MIS300X
[00:06:18 - 00:06:21] 比如說在GPT1.5B這個相對簡單的模型上
[00:06:21 - 00:06:25] 英偉達的GPU性能比MIS300X高出了2.5倍以上
[00:06:25 - 00:06:28] 即便使用AMD12月21日的構建版本
[00:06:28 - 00:06:33] MIS300X的性能也難以與H100和H200相媲美
[00:06:33 - 00:06:35] 在MISTO7B非英國注意力模型上
[00:06:35 - 00:06:39] 由于mi300x缺乏对于flexattention机制的支持
[00:06:39 - 00:06:41] 所以表现的非常吃力
[00:06:41 - 00:06:43] 而英伟达GPU所提供的性能
[00:06:43 - 00:06:45] 几乎是mi300x的两倍
[00:06:45 - 00:06:49] 不过在Lama3 8B和Lama3 70B代理模型上
[00:06:49 - 00:06:51] 使用12月21日的构建版本
[00:06:51 - 00:06:54] mi300x展现出了一定的竞争力
[00:06:54 - 00:06:56] 在Lama3 70B代理模型上
[00:06:56 - 00:06:57] 甚至略微优于H100
[00:06:57 - 00:07:00] 但是这是通过一个公众无法获取的
[00:07:00 - 00:07:02] 实验性开发分支来实现的
[00:07:02 - 00:07:03] 在IP8训练方面
[00:07:03 - 00:07:06] 起初在MI300X上进行IP8训练
[00:07:06 - 00:07:08] 会遇到断错误和其他问题
[00:07:08 - 00:07:10] 而且在某些情况下
[00:07:10 - 00:07:11] 速度比BF16还要慢
[00:07:11 - 00:07:12] 经过修复之后
[00:07:12 - 00:07:14] 虽然性能有所提升
[00:07:14 - 00:07:17] 但是仍然只局限于特定的定制镜像
[00:07:17 - 00:07:19] 在多节点训练场景中
[00:07:19 - 00:07:22] AMD的MI300X面临着更为严峻的挑战
[00:07:22 - 00:07:24] 与英伟达的H100相比
[00:07:24 - 00:07:26] 由于网络硬件 软件库
[00:07:26 - 00:07:27] 以及垂直整合方面的差异
[00:07:27 - 00:07:31] MI300X在有效扩展方面困难重重
[00:07:31 - 00:07:32] 在这次的基准测试中
[00:07:32 - 00:07:36] 作者针对于AMD的MX300X和英伟达的H100GPU
[00:07:36 - 00:07:38] 进行了双节点配置的测试
[00:07:38 - 00:07:40] 在网络配置方面
[00:07:40 - 00:07:43] 英伟达采用了Infinite版的网络的NDR400G
[00:07:43 - 00:07:46] 或者搭配Blufield3网卡的SpectrumX以太网
[00:07:46 - 00:07:48] AMD则采用了戴友博通
[00:07:48 - 00:07:51] SR2网卡的RossV2以太网
[00:07:51 - 00:07:52] 在单网络集合操作中
[00:07:52 - 00:07:55] 英伟达在所有对于分布式训练
[00:07:55 - 00:07:56] 至关重要的集合操作
[00:07:56 - 00:08:00] 比如说AllReduce、AllGather、ReduceGather等方面
[00:08:00 - 00:08:01] 都表现出了明显的优势
[00:08:01 - 00:08:06] H100更是凭借着每秒450GB的NVLINK交换拓捕结构
[00:08:06 - 00:08:07] 以及NVLINKSARP特性
[00:08:07 - 00:08:09] 展现出了卓越的性能
[00:08:09 - 00:08:11] 而AMD的MX300X
[00:08:11 - 00:08:14] 因为XGMI点对点拓捕结构
[00:08:14 - 00:08:18] 单个GPU对之间仅仅能够提供每秒64GB的带宽
[00:08:18 - 00:08:19] 表现欠佳
[00:08:19 - 00:08:21] 在横向扩展网络方面
[00:08:21 - 00:08:22] 英伟达的Infinite Band的SARP
[00:08:22 - 00:08:25] 通过在交换机内部执行Reduction操作
[00:08:25 - 00:08:26] 有效减少了网络流量
[00:08:26 - 00:08:28] 极大的提升了可扩展性
[00:08:28 - 00:08:31] 相比之下AMD缺乏类似的能力
[00:08:31 - 00:08:34] 随着GPU数量的增加性能会迅速下降
[00:08:34 - 00:08:36] 对于实际应用中的消息大较
[00:08:36 - 00:08:39] 比如说16nb到256nb
[00:08:39 - 00:08:44] 英伟达的H100始终比AMD的Mi300X性能高出两倍甚至更多
[00:08:44 - 00:08:46] 而对于更大的消息大较
[00:08:46 - 00:08:48] 比如说8GIB和16GIB
[00:08:48 - 00:08:50] AMD虽然能够接近峰值带宽
[00:08:50 - 00:08:52] 但是仍然落后于英伟达
[00:08:52 - 00:08:53] 在扩展方面
[00:08:53 - 00:08:56] Mi300X所采用的Rosv2
[00:08:56 - 00:08:59] 以太网与英伟达的InfiniteBand和SpectrumX方案相比
[00:08:59 - 00:09:00] 扩展性较差
[00:09:00 - 00:09:03] 随着GPU数量增加性能明显下降
[00:09:03 - 00:09:07] 这使得AMD在大规模训练集群应用中处于略势
[00:09:07 - 00:09:10] 此外AMD在软件方面还面临着许多挑战
[00:09:10 - 00:09:13] 在RCCL与NCCL对比中
[00:09:13 - 00:09:16] 由于AMD的工程师缺少可用的计算资源
[00:09:16 - 00:09:19] 只有不到32个MIS300X用来研发
[00:09:19 - 00:09:20] 而相比之下
[00:09:20 - 00:09:25] 英伟达的NCCL团队能使用拥有11000个GPU集群进行研发
[00:09:25 - 00:09:28] 这使得英伟达在软件优化方面就有巨大的优势
[00:09:28 - 00:09:30] 在垂直整合方面
[00:09:30 - 00:09:33] 英伟达在硬件和软件库方面做到了紧密的整合
[00:09:33 - 00:09:36] 而AMD缺乏类似的垂直整合
[00:09:36 - 00:09:39] 只能依赖像博通Soul2这样的第三方网卡
[00:09:39 - 00:09:42] 除此以外 在早期版本的PyTouch实现中
[00:09:42 - 00:09:45] AMD在注意力层存在着重大的漏洞
[00:09:45 - 00:09:47] 导致反向传播的运算速度极其缓慢
[00:09:47 - 00:09:50] 低于每秒20万亿次T-Flops
[00:09:50 - 00:09:51] 甚至比CPO还慢
[00:09:51 - 00:09:53] 经过好几个月的艰苦努力
[00:09:53 - 00:09:55] 包括漏洞报告和反复修改
[00:09:55 - 00:09:57] 这些问题才得以解决
[00:09:57 - 00:09:59] 在Flex Attention的支持方面
[00:09:59 - 00:10:03] 英偉达的GPU从2024年8月起就已经支持了这个机制
[00:10:03 - 00:10:05] 而截止到2024年的12月
[00:10:05 - 00:10:07] AMD的产品上还只是部分可用
[00:10:07 - 00:10:11] 这使得AMD在处理使用非英国注意力机制的模型上
[00:10:11 - 00:10:12] 处于明显的劣势
[00:10:12 - 00:10:15] 为了让AMD的训练正常的工作
[00:10:15 - 00:10:18] 用户必须依赖于Pytouch Tunable Ops参数
[00:10:18 - 00:10:21] 对通用矩阵惩法内核进行长时间的手动调优
[00:10:21 - 00:10:24] 这极大的托慢了研究任务院的迭代周期
[00:10:24 - 00:10:27] 与英偉达开箱集用而且运行流畅的Couplas LT
[00:10:27 - 00:10:29] 形成了巨大的反差
[00:10:29 - 00:10:32] 此外 要想让MIS300X达到合理的性能
[00:10:32 - 00:10:35] 还需要手动设置众多复杂的环境参数
[00:10:35 - 00:10:36] 严重影响了异用性
[00:10:36 - 00:10:37] 在拍声库方面
[00:10:37 - 00:10:40] AMD使用了一种名为Hipify的工具
[00:10:40 - 00:10:42] 用来将英伟达的枯大元代码
[00:10:42 - 00:10:44] 转换为AMD的Hip代码
[00:10:44 - 00:10:45] 从而将英伟达的软件库
[00:10:45 - 00:10:47] 适配到自己的硬件上
[00:10:47 - 00:10:49] 虽然这样能够让AMD迅速构建起
[00:10:49 - 00:10:50] 一个可用的软件站
[00:10:50 - 00:10:53] 但是在性能上AMD的拍声库
[00:10:53 - 00:10:56] 比如说ROCKM和RCCL的优化程度
[00:10:56 - 00:10:57] 远不如英伟达的对应库
[00:10:57 - 00:10:59] 还有就是AMD依赖于
[00:10:59 - 00:11:01] 英伟达Transformer Engine的派生版本
[00:11:01 - 00:11:03] 来进行IP8的训练
[00:11:03 - 00:11:06] 但是AMD的GPU对于IP8的支持并不完善
[00:11:06 - 00:11:08] 导致单元测试无法通过
[00:11:08 - 00:11:10] 而且也没有建立起CICD的管道
[00:11:10 - 00:11:12] 来确保功能的稳定性
[00:11:12 - 00:11:13] 在兼容性方面
[00:11:13 - 00:11:16] 派生库常常会面临到兼容性的问题
[00:11:16 - 00:11:18] 比方说由于支持不完善
[00:11:18 - 00:11:19] 而且缺乏测试
[00:11:19 - 00:11:21] 拍到是原生的IP8训练方案
[00:11:21 - 00:11:24] 在AMD的硬件上就无法很好的运行
[00:11:24 - 00:11:27] 同时在英伟达GPU上已经可用的功能
[00:11:27 - 00:11:28] 往往需要几个月的时间
[00:11:28 - 00:11:31] 才能在AMD的硬件上正常的运行
[00:11:31 - 00:11:32] 在原生开发方面
[00:11:32 - 00:11:34] AMD并没有大力投入原生的开发
[00:11:34 - 00:11:37] 而是严重依赖于对于英伟达开源库的适配
[00:11:37 - 00:11:39] 这限制了AMD独立创新的能力
[00:11:39 - 00:11:42] 并且对英伟达的生态系统产生了依赖
[00:11:42 - 00:11:43] 面对这些问题
[00:11:43 - 00:11:47] Semi Analysis也为AMD提出了一系列的改进建议
[00:11:47 - 00:11:49] 首先是增加内部的计算资源
[00:11:49 - 00:11:52] 由于AMD的工程师用来测试和开发的
[00:11:52 - 00:11:54] 内部GPU集群资源有限
[00:11:54 - 00:11:57] 阻碍了他们有效识别和解决软件漏洞的能力
[00:11:57 - 00:12:02] 包括建议AMD应当在内部为PyTouch的CSSD管道部署数千个
[00:12:02 - 00:12:06] 甚至更多的MS300X和MS325X GPU
[00:12:06 - 00:12:09] 同时为工程师提供访问大规模集群的权限
[00:12:09 - 00:12:12] 以便测试多节点训练和提升RCCL的性能
[00:12:12 - 00:12:16] 此外 包括还建议引入严格的Regression测试和功能测试
[00:12:16 - 00:12:19] 以便在公开版本发布前发现问题
[00:12:19 - 00:12:21] 同时还可以创建一个公开的仪表盘
[00:12:21 - 00:12:24] 用来跟踪每日的性能基准测试情况
[00:12:24 - 00:12:25] 来保证系统的透明度
[00:12:26 - 00:12:27] 在增强异用性方面
[00:12:27 - 00:12:30] 建议将最优的环境参数设备默认值
[00:12:30 - 00:12:32] 从而简化开箱机用的体验
[00:12:32 - 00:12:35] 同时消除对像Petouch Tunable Ops这类
[00:12:35 - 00:12:37] 需要花费几个小时
[00:12:37 - 00:12:39] 来手动调优的PortoTag功能
[00:12:39 - 00:12:41] 并且提供包含所有必要的
[00:12:41 - 00:12:43] 库和工具的预购件刀殼镜像
[00:12:43 - 00:12:45] 类似于英伟达的NGC镜像
[00:12:45 - 00:12:48] 同时对公开镜像进行标准化的处理
[00:12:48 - 00:12:51] 与工程师内部使用的VIP镜像保持一致
[00:12:51 - 00:12:53] 此外与Mata的合作也不容忽视
[00:12:53 - 00:12:56] Mata现在还没有将MS300XGPU
[00:12:56 - 00:12:58] 用来训练生产环境的工作负载
[00:12:58 - 00:13:01] 这导致在Petouch的RockM中
[00:13:01 - 00:13:02] 存在一些未经测试
[00:13:02 - 00:13:04] 漏洞百出的代码路径
[00:13:04 - 00:13:05] 而且AMD到现在
[00:13:05 - 00:13:07] 还没有提交任何MLPROF
[00:13:07 - 00:13:09] 训练基准测试结果
[00:13:09 - 00:13:11] 另外由于新筹普遍低于英伟达
[00:13:11 - 00:13:14] AMD很难吸引到顶尖的软件工程人才
[00:13:14 - 00:13:16] 所以报告建议AMD应该提供
[00:13:16 - 00:13:18] 有竞争力的心思和福利
[00:13:18 - 00:13:20] 来吸引世界级的工程师
[00:13:20 - 00:13:22] 最后AMD应当投入精力
[00:13:22 - 00:13:25] 去构建专门针对于自身硬件的原生解决方案
[00:13:25 - 00:13:28] 而不是完全依赖于对英伟达生态系统的试备
[00:13:28 - 00:13:31] 彻底解决不进入人意的性能以及兼容性的问题
[00:13:32 - 00:13:32] 总结来说
[00:13:32 - 00:13:35] 通过Semi Analysis这次深入的分析和对比
[00:13:35 - 00:13:38] 我们可以清晰的看到AMD目前在GPU领域
[00:13:38 - 00:13:41] 与英伟达还存在着较大的差距
[00:13:41 - 00:13:43] 而且主要问题集中在硬件层面
[00:13:43 - 00:13:46] 包括功能性 性能和异用性等多个方面
[00:13:47 - 00:13:47] 当然了
[00:13:47 - 00:13:50] 英伟达在这个领域已经深耕多年
[00:13:50 - 00:13:52] 积累了深厚的技术底韵和生态优势
[00:13:52 - 00:13:54] 而AMD的发力时间较短
[00:13:54 - 00:13:56] 想要在短时间内与之抗衡
[00:13:56 - 00:13:57] 确实困难重重
[00:13:57 - 00:13:59] 不过相信随着时间的推移
[00:13:59 - 00:14:02] AMD有可能会逐渐地解决这些问题
[00:14:02 - 00:14:03] 提升自身产品的竞争力
[00:14:04 - 00:14:06] 在这里大飞我想多说两句的是
[00:14:06 - 00:14:07] 相比之下
[00:14:07 - 00:14:09] 国内的GPU发展时间更短
[00:14:09 - 00:14:10] 技术水平在现阶段
[00:14:10 - 00:14:12] 可能连AMD都还不如
[00:14:12 - 00:14:13] 但是在网上
[00:14:13 - 00:14:15] 我们经常能够看到一些夸大其词的言论
[00:14:15 - 00:14:18] 声称某些国产GPU已经能够与英伟达比肩
[00:14:18 - 00:14:20] 甚至遥遥领先
[00:14:20 - 00:14:21] 这显然是不客观的
[00:14:21 - 00:14:22] 更客奉
[00:14:22 - 00:14:25] 软件的互称盒其实比硬件还要高
[00:14:25 - 00:14:28] 所以希望国内的相关厂商能够保持清醒的头脑
[00:14:28 - 00:14:31] 正确认识到我们与国际先进水平的差距
[00:14:31 - 00:14:33] 脚踏实地的推动技术进步
[00:14:33 - 00:14:35] 也建议大家在做相关投资的时候
[00:14:35 - 00:14:36] 尽量擦亮眼睛
[00:14:36 - 00:14:38] 不要被诱导性的文字所迷惑
[00:14:38 - 00:14:39] 最后人才两时
[00:14:40 - 00:14:40] 好了
[00:14:40 - 00:14:41] 大飞我能力有限
[00:14:41 - 00:14:43] 建议大家还是有时间去阅读原文
[00:14:43 - 00:14:44] 感谢大家的观看
[00:14:44 - 00:14:45] 我们下期再见
