BV号：BV1zEfHYjEwj
标题：BV1zEfHYjEwj
链接：https://www.bilibili.com/video/BV1zEfHYjEwj
识别语言：zh
语言置信度：1
分段数：349
生成时间：2026-08-30 18:17:43

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 1月18号被称为AI教父的杰富利·辛顿教授
[00:06:27 - 00:06:28] 等哲学层面的概念上
[00:06:28 - 00:06:29] 新论认为
[00:06:29 - 00:06:31] 人们对于这些概念的理解
[00:06:31 - 00:06:32] 存在着一些误区
[00:06:32 - 00:06:34] 以语言模型的理解机制为例
[00:06:34 - 00:06:36] 它用乐高机幕进行类比
[00:06:36 - 00:06:37] 在它看来
[00:06:37 - 00:06:39] 大语言模型和人类的理解方式
[00:06:39 - 00:06:40] 在本质上是相似的
[00:06:40 - 00:06:43] 当我们听到或者看到一句话的时候
[00:06:43 - 00:06:46] 大脑会将句子中的单词转换为特征项量
[00:06:46 - 00:06:48] 就像把乐高金目拼在一起一样
[00:06:48 - 00:06:51] 这些特征项量之间会相互的作用
[00:06:51 - 00:06:53] 从而帮助我们理解句子的含义
[00:06:53 - 00:06:54] 预测下一个单词
[00:06:54 - 00:06:56] 例如 当我们听到
[00:06:56 - 00:06:58] 它用平底锅猛击了它这句话的时候
[00:06:58 - 00:07:01] 我们能够根据句子中的其他单词
[00:07:01 - 00:07:03] 以及我们的语言知识和生活经验
[00:07:03 - 00:07:05] 理解猛击这个词的含义
[00:07:05 - 00:07:07] 它可能表示一种暴力的激打行为
[00:07:07 - 00:07:10] 也可能在特定的语境下有其他的含义
[00:07:10 - 00:07:12] 比如说给它留下深刻的印象
[00:07:12 - 00:07:16] 这种理解过程并不是依赖于某种神秘的内在的东西
[00:07:16 - 00:07:19] 而是基于大脑对语言的学习和处理机制
[00:07:19 - 00:07:20] 同样的
[00:07:20 - 00:07:22] 大语言模型也是通过大量的数据训练
[00:07:22 - 00:07:25] 学习到了单词之间的统计相关性
[00:07:25 - 00:07:27] 同而将输入的文本转换为特征项量
[00:07:27 - 00:07:31] 并利用这些特征项量进行预测和生成文本
[00:07:31 - 00:07:33] 在智能和理性的区分上
[00:07:33 - 00:07:34] 新顿指出
[00:07:34 - 00:07:36] 理性主要是测重于逻辑推理
[00:07:36 - 00:07:38] 而智能则涵盖了更为广泛的形式
[00:07:38 - 00:07:40] 比如说直觉推理
[00:07:40 - 00:07:42] 以α0下棋程序为例
[00:07:42 - 00:07:45] 它在评估棋帆局势和选择走法的时候
[00:07:45 - 00:07:47] 不仅会运用一些类似于逻辑推理
[00:07:47 - 00:07:48] 基于规则的评估方法
[00:07:48 - 00:07:50] 也会通过蒙特卡洛摩尼
[00:07:50 - 00:07:52] 进行大量的随机尝试
[00:07:52 - 00:07:54] 后者更像是直觉推理
[00:07:54 - 00:07:56] 在人工智能的发展过程中
[00:07:56 - 00:07:57] 早期研究人员
[00:07:57 - 00:07:59] 试图仅仅通过逻辑推理来实现智能
[00:07:59 - 00:08:01] 但是却遇到了重重的困难
[00:08:01 - 00:08:03] 因为人类的思维和行为
[00:08:03 - 00:08:04] 不仅依赖于逻辑推理
[00:08:04 - 00:08:07] 还包含了大量的直觉和经验判断
[00:08:10 - 00:08:11] 提供了有效的工具
[00:08:11 - 00:08:13] 使得人工智能在過去的20年裡
[00:08:13 - 00:08:14] 取得了巨大的進展
[00:08:14 - 00:08:17] 在政府監管人工智能的問題上
[00:08:17 - 00:08:19] 心頓認為政府試圖通過封鎖信息
[00:08:19 - 00:08:22] 來限制人工智能的發展是不切實際的
[00:08:22 - 00:08:24] 在科技發展的歷史昌和中
[00:08:24 - 00:08:27] 新思想的產生往往具有時代性和普遍性
[00:08:27 - 00:08:28] 就像在冷戰期間
[00:08:28 - 00:08:31] 雖然政府試圖將整個物理學領域列為機密
[00:08:31 - 00:08:33] 限制相關的研究
[00:08:33 - 00:08:35] 但是最終還是無法阻止科學的進步
[00:08:35 - 00:08:37] 在人工智能領域也是如此
[00:08:37 - 00:08:39] 即使某些國家和組織
[00:08:39 - 00:08:41] 試圖對人工智能背後的數學知識
[00:08:41 - 00:08:43] 或者是技術進行保密
[00:08:43 - 00:08:45] 也很難阻止其他國家或者個人
[00:08:45 - 00:08:47] 在相同的時代背景下
[00:08:47 - 00:08:49] 獨立的產生類似的想法
[00:08:49 - 00:08:51] 因為科技的發展是一個全球性的
[00:08:51 - 00:08:53] 相互促進的過程
[00:08:53 - 00:08:56] 信息的傳播和交流是難以完全阻斷的
[00:08:56 - 00:08:57] 展望未來人工智能的發展
[00:08:57 - 00:08:59] 新頓教授認為
[00:08:59 - 00:09:01] 雖然很難準確預測出具體的突破方向
[00:09:01 - 00:09:03] 但是可以肯定的是
[00:09:03 - 00:09:05] 這個領域仍然充滿了無限的潛力和可能性
[00:09:05 - 00:09:08] 他特別強到了快速全中技術的重要性
[00:09:08 - 00:09:10] 因为这个技术在未来可能会成为
[00:09:10 - 00:09:12] 人工智能发展的关键因素
[00:09:12 - 00:09:15] 目前大多数人工智能在权重调整方面
[00:09:15 - 00:09:16] 都较为缓慢
[00:09:17 - 00:09:18] 而大脑中的突出
[00:09:18 - 00:09:21] 却能够以多种不同的时间尺度进行适应
[00:09:21 - 00:09:23] 如果能够在人工智能模型中
[00:09:23 - 00:09:25] 实现类似的快速权重调整机制
[00:09:25 - 00:09:27] 在慢速权重的基础上
[00:09:27 - 00:09:28] 叠加快速权重
[00:09:28 - 00:09:30] 让权重能够根据不同的训练案例
[00:09:30 - 00:09:31] 快速的适应
[00:09:31 - 00:09:34] 那么很可能会带来一系列新的特性和优势
[00:09:34 - 00:09:37] 只不过在目前的计算机应建条件下
[00:09:37 - 00:09:40] 实现这个技术还面临着效率低下的问题
[00:09:40 - 00:09:42] 但是随着技术的不断进步
[00:09:42 - 00:09:44] 我们有理由相信这个问题将会得到解决
[00:09:44 - 00:09:47] 新冬教授还分享了他个人的一些经历
[00:09:47 - 00:09:49] 以及对于年轻研究者的宝贵建议
[00:09:49 - 00:09:52] 他的学术之路可谓是充满了曲折和探索
[00:09:52 - 00:09:55] 他最初在建桥大学学习物理和化学
[00:09:55 - 00:09:58] 主要研究精体状态和X射线精体学
[00:09:58 - 00:10:00] 但是仅仅一个月之后
[00:10:00 - 00:10:01] 他就因为觉得工作难度过大
[00:10:01 - 00:10:03] 而且缺乏兴趣选择退学
[00:10:03 - 00:10:05] 转而申请学习建筑学
[00:10:05 - 00:10:08] 然而 在學習建築學僅僅一天之後
[00:10:08 - 00:10:10] 他又意識到自己並不適合這個領域
[00:10:10 - 00:10:12] 之後他重新回到科學領域
[00:10:12 - 00:10:15] 專注於物理化學和生理學
[00:10:15 - 00:10:17] 並且對於大腦的研究產生了濃厚的興趣
[00:10:17 - 00:10:19] 為了深入了解大腦
[00:10:19 - 00:10:20] 他又涉足哲學領域
[00:10:20 - 00:10:22] 但是在學習哲學的過程中
[00:10:22 - 00:10:24] 他對哲學家們的理論和研究方法
[00:10:24 - 00:10:26] 產生了強烈的反感
[00:10:26 - 00:10:29] 他認為哲學家們往往只是在空談理論
[00:10:29 - 00:10:31] 缺乏獨立的方法來驗證理論的正確性
[00:10:31 - 00:10:34] 一個理論僅僅因為聽起來合理
[00:10:34 - 00:10:35] 就被認為是好的
[00:10:35 - 00:10:37] 这在他看来是不可接受的
[00:10:37 - 00:10:39] 于是他又转向了心理学
[00:10:39 - 00:10:40] 但同样感到失望
[00:10:40 - 00:10:43] 因为他觉得心理学家的理论过于简单化
[00:10:43 - 00:10:45] 尽管实验设计得很精良
[00:10:45 - 00:10:46] 但是在实验开始之前
[00:10:46 - 00:10:48] 就能够看出理论的局限性了
[00:10:48 - 00:10:52] 最终他在人工智能领域找到了自己的归宿
[00:10:52 - 00:10:54] 专注于聚酸机的模拟研究
[00:10:54 - 00:10:56] 并且在这个领域取得了举世主目的成就
[00:10:56 - 00:10:59] 他建议年轻的研究人员要勇于关注
[00:10:59 - 00:11:01] 像人工智能这样的新兴领域
[00:11:01 - 00:11:03] 因为这些领域充满了机遇和挑战
[00:11:03 - 00:11:05] 在选择研究课题的时候
[00:11:05 - 00:11:09] 要善于去寻找那些大家都可能忽视或者做错的地方
[00:11:09 - 00:11:12] 凭借自己的直觉去探索新的方法和思路
[00:11:12 - 00:11:15] 即使最终发现自己的直觉是错误的
[00:11:15 - 00:11:18] 在这个过程中也能够加深对于问题的理解
[00:11:18 - 00:11:20] 就像它在研究神经网络的过程中
[00:11:20 - 00:11:21] 始终坚持自己的直觉
[00:11:21 - 00:11:24] 认为神经网络是理解智能的关键
[00:11:24 - 00:11:26] 最终推动了人工智能领域的重大突破
[00:11:26 - 00:11:28] 在这次访难中
[00:11:28 - 00:11:31] 新农教授还提到了一些其他有趣的观点和话题
[00:11:31 - 00:11:34] 比如说在谈到中国在人工智能领域的发展时
[00:11:34 - 00:11:37] 他认为中国虽然目前还没有完全赶上西方
[00:11:37 - 00:11:39] 但是已经非常接近了
[00:11:39 - 00:11:42] 美国试图通过AI禁运来减缓中国的发展
[00:11:42 - 00:11:44] 这反而会促使中国加大自主研发的力度
[00:11:44 - 00:11:46] 培养本土的技术人才
[00:11:46 - 00:11:49] 中国在STAM教育方面具有优势
[00:11:49 - 00:11:50] 能够为人工智能的发展
[00:11:50 - 00:11:52] 提供大量高素质的人才储备
[00:11:52 - 00:11:55] 因此在未来很有可能在人工智能领域
[00:11:55 - 00:11:56] 取得更大的突破
[00:11:56 - 00:11:58] 在与其他学者的观点交流方面
[00:11:58 - 00:12:02] 新顿对于罗杰·彭罗斯关于意识的观点提出了批评
[00:12:02 - 00:12:04] 彭罗斯认为经典计算无法解释意识
[00:12:04 - 00:12:08] 而数学家能够直觉地感知那些无法被证明为真实的事物
[00:12:08 - 00:12:11] 这暗示了需要量子力学来解释意识
[00:12:11 - 00:12:13] 但是新顿教授认为这种观点是错误的
[00:12:13 - 00:12:17] 他举例说明数学家的直觉并不总是正确的
[00:12:17 - 00:12:19] 而且目前的人工智能发展已经表明
[00:12:19 - 00:12:22] 不需要量子力学也能够实现强大的智能功能
[00:12:22 - 00:12:25] 他还对中文房间这个实验表达了自己的看法
[00:12:25 - 00:12:28] 认为这个实验是故意误导性的
[00:12:28 - 00:12:30] 这个实验试图让一个房间里的中国人
[00:12:30 - 00:12:33] 通过用中文传递信息来回答英文问题
[00:12:33 - 00:12:36] 从而说明即使系统能够给出正确的答案
[00:12:36 - 00:12:38] 也不意味着系统理解了这个问题
[00:12:38 - 00:12:40] 但是新顿教授指出
[00:12:40 - 00:12:43] 这个实验混淆了整个系统和系统中的个体
[00:12:43 - 00:12:45] 实际上整个系统是能够理解英文的
[00:12:46 - 00:12:49] 好了 以上就是新顿这次访谈的主要内容了
[00:12:49 - 00:12:51] 希望能对大家理解新顿的观点有所帮助
[00:12:51 - 00:12:53] 感兴趣的观众可以去看一下原视频
[00:12:53 - 00:12:56] 感谢大家观看本期视频 我们下期再见
