BV号：BV1gzkuY4E3v
标题：BV1gzkuY4E3v
链接：https://www.bilibili.com/video/BV1gzkuY4E3v
识别语言：zh
语言置信度：1
分段数：303
生成时间：2026-08-31 01:21:11

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 在全球顶会Newipass2024中
[00:01:50 - 00:01:52] 那么只要全世界有一个人
[00:01:52 - 00:01:54] 能够在不到一秒内完成某项任务
[00:01:54 - 00:01:55] 完成某項任務
[00:01:55 - 00:01:58] 那麼只要把一個10層的神經網路的連接
[00:01:58 - 00:02:00] 嵌入到你的人工神經網路中
[00:02:00 - 00:02:02] 它就應該也能夠做到
[00:02:02 - 00:02:04] 而這就是他們的動機
[00:02:04 - 00:02:06] 之所以專注在10層神經網路
[00:02:06 - 00:02:07] 是因為在那個時候
[00:02:07 - 00:02:10] 這就是他們能夠訓練的神經網路了
[00:02:10 - 00:02:11] 當然了
[00:02:11 - 00:02:12] 如果能夠突破10層
[00:02:12 - 00:02:14] 就可以完成更多的事情
[00:02:14 - 00:02:16] 然後Ilea用這張PPT
[00:02:16 - 00:02:18] 描述了他們的主要想法
[00:02:18 - 00:02:19] 核心觀點就是
[00:02:19 - 00:02:21] 如果你有一個自揮規模型
[00:02:21 - 00:02:23] 並且它能夠足夠好的預測下一個特殼
[00:02:23 - 00:02:25] 那么他实际上会抓取 补货
[00:02:25 - 00:02:28] 并且掌握接下来任何训练的真实分布
[00:02:28 - 00:02:29] 在当时来说
[00:02:29 - 00:02:32] 这绝对是一个相对吸引的观点
[00:02:32 - 00:02:35] 尽管他并不是第一个被应用在实践上的
[00:02:35 - 00:02:36] 自回归神经网络
[00:02:36 - 00:02:37] 但是伊利亚认为
[00:02:37 - 00:02:40] 这是第一个令他们深信不疑的自回归网络
[00:02:40 - 00:02:42] 如果把它训练得足够好
[00:02:42 - 00:02:44] 那么你就会得到想要的任何结果
[00:02:44 - 00:02:46] 于是他们选择了尝试翻译
[00:02:46 - 00:02:48] 这个如今看起来频繁无奇
[00:02:48 - 00:02:51] 在当时却急剧挑战性的任务
[00:02:51 - 00:02:53] 接下来伊利亚展示了一些
[00:02:53 - 00:02:55] 可能很多人从来没有见过的古道历史
[00:02:55 - 00:02:56] LSTM
[00:02:57 - 00:02:58] 不熟悉的人可能会觉得
[00:02:58 - 00:03:01] LSTM是Transformer出现之前
[00:03:01 - 00:03:03] 深度学习研究者所使用的工具
[00:03:03 - 00:03:06] 它可以被看作是一个旋转了90度的ResNet
[00:03:06 - 00:03:08] 但是更加复杂一点
[00:03:08 - 00:03:10] 我们可以看到积分器
[00:03:10 - 00:03:11] 如今被称为残差流
[00:03:11 - 00:03:14] 还涉及到一些更为复杂的惩罚操作
[00:03:14 - 00:03:16] 伊利亚还想强调的一点是
[00:03:16 - 00:03:18] 他们当时使用了病情化
[00:03:18 - 00:03:20] 不过并不是普通的病情化
[00:03:20 - 00:03:22] 而是流水线病情化
[00:03:22 - 00:03:25] Pipeline 每层神经网络都分配了一块GPU
[00:03:25 - 00:03:28] 从今天来看这个策略并不明智
[00:03:28 - 00:03:30] 但是当时的他们并不知道
[00:03:30 - 00:03:32] 于是他们使用了8块GPU
[00:03:32 - 00:03:33] 实现了3.5倍的速度
[00:03:34 - 00:03:35] 而正式从这里
[00:03:35 - 00:03:36] Skinning loss开始了
[00:03:37 - 00:03:37] 最终
[00:03:37 - 00:03:39] Ilias放出了那次演讲中
[00:03:39 - 00:03:41] 意义最为重大的一张PVT
[00:03:41 - 00:03:43] 它可以说是Skinning loss的开端
[00:03:43 - 00:03:45] 如果你有一个非常大的数据级
[00:03:45 - 00:03:47] 训练一个非常大的神经网络
[00:03:48 - 00:03:49] 那么是可以保证成功的
[00:03:49 - 00:03:51] 从广义上来讲
[00:03:51 - 00:03:53] 后来发生的事情也的确如此
[00:03:53 - 00:03:54] 接下来
[00:03:54 - 00:03:57] 伊利亚又提到了一个真正经得起时间考验的想法
[00:03:57 - 00:03:58] 那就是连结主义
[00:03:58 - 00:04:01] 也是深度学习的核心思想
[00:04:01 - 00:04:02] 连结主义认为
[00:04:02 - 00:04:04] 如果你愿意相信人工神经元
[00:04:04 - 00:04:06] 在某种程度上有点像生物神经元
[00:04:06 - 00:04:08] 那么你就会相信
[00:04:08 - 00:04:09] 超大规模的神经网络
[00:04:09 - 00:04:11] 并不需要达到人类大脑的级别
[00:04:11 - 00:04:14] 就可以来完成几乎所有人类能做的事情
[00:04:14 - 00:04:17] 但是他与人类的大脑仍然不同
[00:04:17 - 00:04:20] 因为人类大脑会弄清楚自己是如何配置的
[00:04:20 - 00:04:23] 而石寧網絡使用的是最優的學習算法
[00:04:23 - 00:04:25] 需要與參數數量相當的數據點
[00:04:25 - 00:04:28] 在這一點上人類仍然更勝一籌
[00:04:28 - 00:04:30] 伊利亞前面講的所有這些
[00:04:30 - 00:04:32] 其實都是為了最終引出預訓練時代
[00:04:32 - 00:04:37] 這個時代可以用GPT2、GPT3和Skinny Loss來定義
[00:04:37 - 00:04:39] 此外伊利亞還格外感謝了前同事
[00:04:39 - 00:04:43] 亞里克·拉德福、加里德·卡普蘭和達里奧·阿姆·黛伊
[00:04:43 - 00:04:45] 這項技術也是推動我們今天
[00:04:45 - 00:04:48] 見到的所有AI技術進步的核心驅動力
[00:04:48 - 00:04:50] 但是 伊利亚指出
[00:04:50 - 00:04:52] 我们所知道的这条预讯链路线
[00:04:52 - 00:04:54] 毫无疑问会终结
[00:04:54 - 00:04:55] 为什么这么说呢
[00:04:55 - 00:04:58] 尽管计算能力正在通过更好的硬件
[00:04:58 - 00:05:00] 更有的算法和更大的集群不断的增长
[00:05:00 - 00:05:02] 但是数据量并没有增长
[00:05:02 - 00:05:04] 因为我们只有一个互联网
[00:05:04 - 00:05:07] 甚至可以说数据是AI的化石燃料
[00:05:07 - 00:05:10] 它们是以某种方式被创造出来的
[00:05:10 - 00:05:12] 而如今我们已经达到了数据的峰值
[00:05:12 - 00:05:14] 不可能再有更多数据了
[00:05:14 - 00:05:17] 当然了 伊利亚也不是说现在数据就用完了
[00:05:17 - 00:05:22] 而只虽然目前现存的数据仍然能够支持我们走得很远
[00:05:22 - 00:05:24] 但是我们只有一个互联网
[00:05:24 - 00:05:25] 那接下来会发生什么呢?
[00:05:25 - 00:05:27] Eliac给出了以下的预测
[00:05:27 - 00:05:29] 首先智能体会有一些突破
[00:05:29 - 00:05:32] 这些能够自主完成任务的AI智能体
[00:05:32 - 00:05:34] 就是未来的发展方向
[00:05:34 - 00:05:37] 其次还会有一些模糊的合成数据
[00:05:37 - 00:05:39] 但是这到底意味着什么还不清楚
[00:05:39 - 00:05:42] 不过有很多人都取得了有趣的一些进展
[00:05:42 - 00:05:44] 最后就是推理石计算了
[00:05:44 - 00:05:47] 最引人矚目的例子就是O1
[00:05:47 - 00:05:48] 在预训练之后
[00:05:48 - 00:05:50] 我们接下来该探索什么呢
[00:05:50 - 00:05:52] 伊莉亚举了一个来自于生物学的例子
[00:05:52 - 00:05:54] 在这张图中展示了不入动物的
[00:05:54 - 00:05:57] 身体大小与大脑大小之间的关系
[00:05:57 - 00:05:59] 在生物学中一切都很混乱
[00:05:59 - 00:06:01] 但是上面这个紧密的联系
[00:06:01 - 00:06:03] 却是一个罕见的例子
[00:06:03 - 00:06:06] 从人类及其近亲的进化分支上来看
[00:06:06 - 00:06:08] 包括尼安德特人、能人等等
[00:06:08 - 00:06:11] 大脑与身体比例的缩放指数都是不同的
[00:06:11 - 00:06:13] 这意味着在生物学中
[00:06:13 - 00:06:16] 确实存在着不同比例缩放的先例
[00:06:16 - 00:06:18] 而如今我们所扩展的
[00:06:18 - 00:06:21] 可以说是第一个我们知道该如何去扩展的事物
[00:06:21 - 00:06:24] 这个领域中的每个人都会找到解决办法
[00:06:24 - 00:06:27] 而我们在相关领域也取得了惊人的进步
[00:06:27 - 00:06:29] 十年前这个领域的人
[00:06:29 - 00:06:31] 还会记得当时是多么的无能为力
[00:06:31 - 00:06:34] 而对于那些过去两年刚刚进入深度学习的人
[00:06:34 - 00:06:36] 可能都是无法感同身受的
[00:06:36 - 00:06:41] 最后伊利亚谈到的就是超级智能superintelligence
[00:06:41 - 00:06:43] 它是目前公认的发展方向
[00:06:43 - 00:06:46] 也是很多研究人员正在尝试构建的东西
[00:06:46 - 00:06:47] 从本质上来说
[00:06:47 - 00:06:49] 超级智能与现在的AI完全不同
[00:06:49 - 00:06:53] 虽然目前我们拥有出色的大圆模型和聊天机器人
[00:06:53 - 00:06:56] 但是他们也表现出了某些奇怪的不可靠性
[00:06:56 - 00:06:59] 比如说他们时常会感到困惑
[00:06:59 - 00:07:02] 但是却能够在评估中表现出远超人类的能力
[00:07:02 - 00:07:05] 虽然我们还不知道如何去调和这一点
[00:07:05 - 00:07:08] 但是最终或者说迟早会实现这样的目标
[00:07:08 - 00:07:12] 那就是AI将真正具备实际意义上的智能体特性
[00:07:12 - 00:07:14] 并且将真正的学会推理
[00:07:14 - 00:07:16] 由于推理会引入更多的复杂性
[00:07:16 - 00:07:18] 因此一个会推理的系统
[00:07:18 - 00:07:21] 推理量越多就会变得越不可预测
[00:07:21 - 00:07:22] 相比之下
[00:07:22 - 00:07:25] 我们熟知的深度学习还都是可以预测的
[00:07:25 - 00:07:26] 举个例子
[00:07:26 - 00:07:28] 那些优秀的国际象棋AI
[00:07:28 - 00:07:30] 对于最顶尖的人类棋手来说
[00:07:30 - 00:07:31] 就是不可预测的
[00:07:31 - 00:07:34] 所以我们将来不得不面对的
[00:07:34 - 00:07:36] 是一些极其不可预测的AI系统
[00:07:36 - 00:07:39] 它们能够从有限的数据中理解事物
[00:07:39 - 00:07:41] 同时也不会感到困惑
[00:07:41 - 00:07:43] 同样自我意识也是有用的
[00:07:43 - 00:07:45] 它構成了我們自身的一部分
[00:07:45 - 00:07:48] 同時也是我們世界模型中的一部分
[00:07:48 - 00:07:51] 當所有這些特性與自我意識結合在一起的時候
[00:07:51 - 00:07:55] 就會帶來與現有系統完全不同的性質和特性
[00:07:55 - 00:07:58] 它們將擁有令人難以置信的驚人能力
[00:07:58 - 00:08:01] 當然了 雖然無法確定超級智能將如何實現
[00:08:01 - 00:08:02] 什麼時候實現
[00:08:02 - 00:08:05] 但是 伊利亞相信 這終將發生
[00:08:05 - 00:08:07] 對於這種系統可能會帶來的問題
[00:08:07 - 00:08:09] 就留給大家自己去想像了
[00:08:09 - 00:08:11] 畢竟我們無法預測未來
[00:08:11 - 00:08:13] 任何事情都有可能发生
[00:08:14 - 00:08:14] 在问答环节
[00:08:14 - 00:08:16] 伊利亚回答了观众的几个问题
[00:08:16 - 00:08:17] 第一个是
[00:08:17 - 00:08:20] 是否有其他属于人类认知的生物结构
[00:08:20 - 00:08:21] 值得去探索
[00:08:22 - 00:08:25] 伊利亚觉得这取决于我们所看到的抽象层面
[00:08:25 - 00:08:28] 一直以来都有很多人渴望从生物学中获得起发
[00:08:28 - 00:08:31] 甚至可以说受到生物学起发的AI
[00:08:31 - 00:08:32] 已经非常成功了
[00:08:32 - 00:08:34] 比如说深度学习
[00:08:34 - 00:08:35] 但是另一方面
[00:08:35 - 00:08:37] 生物学上的灵感其实非常有限
[00:08:37 - 00:08:39] 就像使用神经元
[00:08:39 - 00:08:42] 已经是AI能够从生物学获得的全部灵感了
[00:08:42 - 00:08:44] 但是更详细的生物学灵感
[00:08:44 - 00:08:46] 却一直很难获得
[00:08:46 - 00:08:49] 第二个问题是关于模型的自动纠错
[00:08:49 - 00:08:50] 在未来
[00:08:50 - 00:08:52] 模型如果能够进行自我的自动纠错
[00:08:52 - 00:08:54] 那是否就意味着
[00:08:54 - 00:08:56] 它能够识别什么时候出现了幻觉呢
[00:08:56 - 00:08:58] Elia给出了肯定的答复
[00:08:58 - 00:09:00] 但是他同时也指出
[00:09:00 - 00:09:01] 把它叫做自动纠错
[00:09:01 - 00:09:03] 其实有点过于贬低了
[00:09:03 - 00:09:06] 实际上它要比自动纠测宏大的多
[00:09:06 - 00:09:07] 但是不管怎么说
[00:09:07 - 00:09:10] 模型会在某一天意识到幻觉的出现
[00:09:10 - 00:09:12] 也会获得自我纠错的能力
[00:09:12 - 00:09:15] 最后来自多伦多大学的观众问伊利亚
[00:09:15 - 00:09:18] 大语言模型能否泛化超出分布的多跳推力
[00:09:18 - 00:09:21] 这次伊利亚没有正面回答这个问题
[00:09:21 - 00:09:24] 他反问到什么叫做超出分布的泛化
[00:09:24 - 00:09:25] 他意味着什么
[00:09:25 - 00:09:28] 什么叫分布内 什么又叫超出分布呢
[00:09:28 - 00:09:30] 在深度学期之前
[00:09:30 - 00:09:32] 人们使用自负串匹配和Ngram
[00:09:32 - 00:09:33] 而对于机器翻译
[00:09:33 - 00:09:35] 人们使用统计短语表
[00:09:35 - 00:09:38] 这些东西的代码复杂性其实难以想象
[00:09:38 - 00:09:40] 对于那个时候来说
[00:09:40 - 00:09:41] 如果模型记住了一些内容
[00:09:41 - 00:09:43] 从而在比赛中获得了高分
[00:09:43 - 00:09:46] 那么人们可能就会说它在分布内
[00:09:46 - 00:09:49] 但是现在人们对于泛化的标准已经大幅提高了
[00:09:49 - 00:09:51] 所以对于大模型来说
[00:09:51 - 00:09:54] 在某种程度上它可能确实不如人类做的好
[00:09:54 - 00:09:55] 但是与此同时
[00:09:55 - 00:09:59] 他们肯定在某种程度上也能够泛化到分布之外
[00:09:59 - 00:10:02] 好了 以上就是伊利亚这次演讲的主要内容了
[00:10:02 - 00:10:03] 应该说
[00:10:03 - 00:10:06] 伊利亚曾经是暴力skilling的早期倡导者之一
[00:10:06 - 00:10:09] 认为通过增加数据和算理来scale up
[00:10:09 - 00:10:11] 就能够显著的改善模型的性能
[00:10:11 - 00:10:14] 但是现在伊利亚可能已经有了新的想法
[00:10:14 - 00:10:15] 也曾经透露过
[00:10:15 - 00:10:18] SSI正在研究一种全新的替代方法
[00:10:18 - 00:10:20] 来扩展预训链
[00:10:20 - 00:10:21] 对于它在演讲中的预言
[00:10:21 - 00:10:23] 我更愿意解读为
[00:10:23 - 00:10:25] 并不是现在预训链就结束了
[00:10:25 - 00:10:27] 也并不是现在数据就用完了
[00:10:27 - 00:10:29] 而说对于超级智能来说
[00:10:29 - 00:10:31] 只靠预训链终究是不够的
[00:10:31 - 00:10:32] 终将会结束
[00:10:32 - 00:10:35] 当然了 对于伊利亚的结论
[00:10:35 - 00:10:37] 业界也有其他的大佬表示不同意
[00:10:37 - 00:10:39] 谷歌大佬洛根·基尔帕特里克
[00:10:39 - 00:10:41] 就发推文内涵伊利亚
[00:10:41 - 00:10:42] 说认为预训链结束
[00:10:42 - 00:10:44] 恐怕是因为你缺乏想象力
[00:10:44 - 00:10:47] 前麦特巨神智能团队的高级总监
[00:10:47 - 00:10:49] 德鲁夫·巴特拉也表示
[00:10:49 - 00:10:50] 伊利亚错了
[00:10:50 - 00:10:52] 在他看来 人类的数据还没有用完
[00:10:52 - 00:10:55] 我们只是用完了人类书写的文本而已
[00:10:55 - 00:10:57] 但是我们拥有的视频数量
[00:10:57 - 00:10:59] 依然远超我们的视觉能力
[00:10:59 - 00:11:00] 只是目前还没有解决
[00:11:00 - 00:11:02] 视觉领域的预训�问题罢了
[00:11:02 - 00:11:07] 另外如果考慮到未來機器人能夠有採集海量多摩太數據的能力
[00:11:07 - 00:11:09] 包括視覺 嗅覺 觸覺等等
[00:11:09 - 00:11:11] 那麼也許數據還富裕得很
[00:11:11 - 00:11:14] 那大家是如何看待伊利亞的演講和結論呢?
[00:11:14 - 00:11:17] 覺得預訓練究竟是否會終結呢?
[00:11:17 - 00:11:18] 歡迎在評論區留言
[00:11:18 - 00:11:20] 感謝大家的觀看 我們下期再見
