BV号：BV1drJw6DEDK
标题：BV1drJw6DEDK
链接：https://www.bilibili.com/video/BV1drJw6DEDK
识别语言：zh
语言置信度：1
分段数：356
生成时间：2026-08-29 09:47:44

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:04] 1950年 图灵问机器能不能思考
[00:00:04 - 00:00:07] 今天所有人都在盯着AGI什么时候来
[00:06:51 - 00:06:54] 工作记忆容量 AI的工作记忆可以远超人类
[00:06:54 - 00:06:57] 甚至能记住互联网的大部分内容
[00:06:57 - 00:07:00] 机制独立性 AI可以在不同硬件间迁移
[00:07:00 - 00:07:05] 甚至在运行时迁移 升级到更强大或更节能的计算机
[00:07:05 - 00:07:07] 对AI来说就像换个身体一样简单
[00:07:07 - 00:07:10] 无损复制 AI可以被完全复制
[00:07:10 - 00:07:12] 包括原代码和记忆状态
[00:07:12 - 00:07:15] 这意味着可以无限备份恢复暂停恢复
[00:07:15 - 00:07:17] 高带宽经验共享
[00:07:18 - 00:07:21] 数字输入输出流可以被存储共享重放
[00:07:21 - 00:07:22] 用于训练或微调
[00:07:22 - 00:07:26] 一个AI的经验可以在好秒内被另一个AI学习
[00:07:26 - 00:07:29] 论文指出这6个优势加在一起
[00:07:29 - 00:07:32] 意味着ASI的文化严禁速度可能远超人类
[00:07:32 - 00:07:35] 人类文化进化需要经过第一代宽平仅
[00:07:35 - 00:07:37] 需要压缩和解压
[00:07:37 - 00:07:41] 但ASI可以以极高的带宽共享知识和经验
[00:07:41 - 00:07:42] 关键点三
[00:07:42 - 00:07:44] 六大瓶颈与摩擦力
[00:07:44 - 00:07:47] 论文列举了六个可能让AI停滞不强的瓶颈
[00:07:47 - 00:07:48] 每个都有对策
[00:07:48 - 00:07:50] 但对策的有效性是未知的
[00:07:50 - 00:07:52] 数据强高质量的人类文本
[00:07:52 - 00:07:55] 数据可能在本十年内遇到限制
[00:07:55 - 00:07:57] 对策是合成数据
[00:07:57 - 00:08:00] 高保真模拟自生成数据RL交互数据
[00:08:00 - 00:08:05] 合成数据和交互式数据能否有效缓解这个瓶颈仍是开放问题
[00:08:05 - 00:08:07] 经济和资源需求增长过快
[00:08:07 - 00:08:09] 如果继续扩展
[00:08:09 - 00:08:11] 需要的投资芯片能源可能无法持续
[00:08:11 - 00:08:14] 对测是AI部署带来的经济回报
[00:08:14 - 00:08:16] 可能足以支撑这种增长
[00:08:16 - 00:08:18] 但这是一个机生弹弹生机的问题
[00:08:18 - 00:08:20] 神经网络泛势不足
[00:08:20 - 00:08:23] 大型域训练神经网络可能无法达到AI
[00:08:23 - 00:08:26] 对测是泛势的持续眼睛和转变
[00:08:26 - 00:08:27] 但这需要时间
[00:08:27 - 00:08:29] 研究变得更难
[00:08:29 - 00:08:30] 随着领域成熟
[00:08:30 - 00:08:31] 低垂果实被采摘
[00:08:31 - 00:08:33] 继续进步需要更多努力
[00:08:33 - 00:08:35] 对测是更强大的AI系统
[00:08:35 - 00:08:37] 可以提高研究效率
[00:08:37 - 00:08:37] 抽象障碍
[00:08:37 - 00:08:40] 现有AI系统主要在人类抽象上训练
[00:08:40 - 00:08:43] 可能缺乏从原始数据形成新概念的能力
[00:08:43 - 00:08:46] 对策是持续扩展多智能体
[00:08:46 - 00:08:48] 形成交互式学习
[00:08:48 - 00:08:49] 刻意减速
[00:08:49 - 00:08:51] 由于风险军事滥用或社会反弹
[00:08:51 - 00:08:53] 可能导致监管限制
[00:08:53 - 00:08:55] 对策是经济和政治压力
[00:08:55 - 00:08:58] 国际竞争可能压到减速压力
[00:08:58 - 00:08:59] 论文的关键动差是
[00:08:59 - 00:09:01] 每个瓶颈都有对策
[00:09:01 - 00:09:03] 但对策的有效性是未知的
[00:09:03 - 00:09:05] 这就是为什么论文把这些
[00:09:05 - 00:09:06] 都列为开放研究问题
[00:09:06 - 00:09:09] 这里有个认知务区,我想直接出破
[00:09:09 - 00:09:13] 很多人以为AGI的诞生会是个时破天晶的瞬间
[00:09:13 - 00:09:16] 就像科幻电影里某天凌晨机房里红灯一闪
[00:09:16 - 00:09:19] 机器突然觉醒,世界瞬间天翻地覆
[00:09:19 - 00:09:21] 论文的观点是
[00:09:21 - 00:09:25] 单依AGI引发一字性社会巨变的途径可能不准确
[00:09:25 - 00:09:27] 另一个更现实的可能
[00:09:27 - 00:09:30] 是一系列由AI驱动的科学和技术突破
[00:09:30 - 00:09:32] 但这不是说起点一定不会发生
[00:09:32 - 00:09:35] 第一规自我改进,仍可能导致爆炸式转变
[00:09:35 - 00:09:37] 只是路径不确定
[00:09:37 - 00:09:39] 今天AI帮你调由了一个数据库
[00:09:39 - 00:09:41] 明天他发现了一种新材料
[00:09:41 - 00:09:43] 后天他重构了整个物流网络
[00:09:43 - 00:09:46] 社会是在这种前一末化中被重塑的
[00:09:46 - 00:09:49] 而不是被一个全职全能的赛博神明一夜接管的
[00:09:49 - 00:09:51] 这意味着什么
[00:09:51 - 00:09:53] 意味着我们可能已经在经历这个过程了
[00:09:53 - 00:09:55] AI正在加速科学研究
[00:09:55 - 00:09:56] 加速工程进步
[00:09:56 - 00:09:58] 加速医学突破这些加速
[00:09:58 - 00:10:00] 本身就在改变社会
[00:10:00 - 00:10:02] 看完这57页的论文
[00:10:02 - 00:10:04] 我提链出了一个底层的思维框架
[00:10:04 - 00:10:05] 理解AI的走向
[00:10:05 - 00:10:08] 你只需要盯住两股力量的博弈
[00:10:08 - 00:10:09] 加速力与摩擦力
[00:10:09 - 00:10:11] 加速力包括更多计算
[00:10:11 - 00:10:12] 更好的算法
[00:10:12 - 00:10:15] AI自我改进多智能体协调
[00:10:15 - 00:10:17] 摩擦力包括数据限制
[00:10:17 - 00:10:17] 经济约束
[00:10:17 - 00:10:19] 研究难度增加
[00:10:19 - 00:10:20] 抽象障碍社会管制
[00:10:20 - 00:10:22] 在不同的阶段
[00:10:22 - 00:10:24] 这两股力量的强弱会不断反转
[00:10:24 - 00:10:26] 当加速力大于摩擦力时
[00:10:26 - 00:10:27] 我们就会看到技术爆炸
[00:10:27 - 00:10:29] 当摩擦力占上风时
[00:10:29 - 00:10:31] 技术就会进入漫长的平台期
[00:10:31 - 00:10:33] 真正的机会就藏在那些
[00:10:33 - 00:10:35] 能打破摩擦力的新辨量力
[00:10:35 - 00:10:38] 比如谁能解决合成数据的质量问题
[00:10:38 - 00:10:39] 谁能把推理能耗降下来
[00:10:39 - 00:10:42] 谁能跑通多智能体的协作框架
[00:10:42 - 00:10:46] 这些才是工程师和创业者真正应该死科的地方
[00:10:46 - 00:10:48] 论文还提到了一个有趣的概念
[00:10:48 - 00:10:50] ASI的创意能力
[00:10:50 - 00:10:52] 论文引用了Margaret Bowden的创意定义
[00:10:52 - 00:10:54] 分成三个层次
[00:10:54 - 00:10:56] 组合创意
[00:10:56 - 00:10:57] 组合已知的想法
[00:10:57 - 00:10:59] 探索创意
[00:10:59 - 00:11:01] 在已知空间里发现新东西
[00:11:01 - 00:11:02] 转变创意
[00:11:02 - 00:11:04] 创造全新的概念空间
[00:11:04 - 00:11:04] 论文认为
[00:11:04 - 00:11:07] 当前AI的成就大多属于前两个层次
[00:11:07 - 00:11:09] Alpha GoodMove 37
[00:11:09 - 00:11:11] Alpha Fold发现新蛋白质结构
[00:11:11 - 00:11:14] 这些都是在人类提供的概念框架内工作
[00:11:14 - 00:11:15] 真正的IC
[00:11:15 - 00:11:17] 可能需要达到第三个层次
[00:11:17 - 00:11:19] 创造全新的科学理论
[00:11:19 - 00:11:22] 比如从零开始推导出广义相对论
[00:11:22 - 00:11:23] 基于这个框架推演
[00:11:23 - 00:11:25] 未来几年的趋势就很清晰了
[00:11:25 - 00:11:28] 首先单纯拼餐数量的粗暴
[00:11:28 - 00:11:30] 玩法很快会遇到收益地检
[00:11:30 - 00:11:34] 资源会大量倾斜到测试时计算Testimcomput上
[00:11:34 - 00:11:38] 模型在丢出答案前会花更多时间去搜索验证自我纠错
[00:11:38 - 00:11:42] 但论文指出,当前模型的测试时扩展空间有限
[00:11:42 - 00:11:45] 供应更多计算很快就会遇到性能平台期
[00:11:45 - 00:11:47] 这意味着单纯的测试时扩展
[00:11:47 - 00:11:51] 可能不足以从AGI跳到ASI
[00:11:51 - 00:11:56] 其次多智能体Multiagent会迎来工程落地的大爆发
[00:11:56 - 00:11:59] 你会看到越来越多纯AI组成的虚拟公司
[00:11:59 - 00:12:03] 有的是产品经理 有的是程序员 有的是测试员
[00:12:03 - 00:12:05] 他们自己就能跑通一个完整的项目
[00:12:05 - 00:12:08] 更重要的是 这些AI实力可以快速增长
[00:12:08 - 00:12:12] 论文提到 AI 种群扩展的速度大约是每年25倍
[00:12:12 - 00:12:15] 这意味着如果单个AGI的能力停滞
[00:12:15 - 00:12:18] 但我们能以25倍的速度增加实力数量
[00:12:18 - 00:12:20] 那么集体的力量仍然会指数级增长
[00:12:20 - 00:12:22] 最后AI会越来越深的
[00:12:22 - 00:12:26] 进入到AI自身的研发链路里 这早就不是科幻了
[00:12:26 - 00:12:30] 现在顶级实验室都在用大模型辅助鞋底层代码
[00:12:30 - 00:12:31] 优化算法结构
[00:12:31 - 00:12:33] 这个避伤一旦完全打通
[00:12:33 - 00:12:36] 进化的速度会让人感到生理上的不适
[00:12:36 - 00:12:39] 论文还提到了一个重要的研究方向
[00:12:39 - 00:12:41] 地规改进扩展法则
[00:12:41 - 00:12:43] 就像我们有Scaling loss来
[00:12:43 - 00:12:45] 预测模型性能如何随计算增长
[00:12:45 - 00:12:49] 我们也需要理解地规改进如何加速AI进步
[00:12:49 - 00:12:50] 这是一个完全开放的问题
[00:12:50 - 00:12:51] 最后总结一下
[00:12:51 - 00:12:53] AGI从来不是终点
[00:12:53 - 00:12:56] 他只是一张通往超级智能时代的门票
[00:12:56 - 00:12:58] 最终重塑这个世界了
[00:12:58 - 00:13:01] 可能根本不是某个全职全能的超级大脑
[00:13:01 - 00:13:03] 而是协作的最完美的数字集群
[00:13:03 - 00:13:06] 而这个过程 这个过程未必
[00:13:06 - 00:13:08] 是一个起点的瞬间爆发
[00:13:08 - 00:13:10] 也可能是一场由加速利语
[00:13:10 - 00:13:12] 摩擦力持续博弈的见尽式革命
[00:13:12 - 00:13:14] 这四条路线里
[00:13:14 - 00:13:16] 你觉得哪一条最有可能率先跑通
[00:13:16 - 00:13:18] 是继续无脑对算力
[00:13:18 - 00:13:19] 还是多智能体集群
[00:13:19 - 00:13:22] 还是说他们会同时进行相互强化
[00:13:22 - 00:13:24] 把你的判断打在评论区
[00:13:24 - 00:13:27] 我们一起看看这场 AI 的大戏最终会怎么演
[00:13:27 - 00:13:29] 如果你觉得这期硬核拆解有意思
[00:13:29 - 00:13:31] 别忘了点赞投币收藏
[00:13:31 - 00:13:33] 我是为什么叫QQ,我们下期见
