BV号：BV1DWCrYSEfp
标题：BV1DWCrYSEfp
链接：https://www.bilibili.com/video/BV1DWCrYSEfp
识别语言：zh
语言置信度：1
分段数：371
生成时间：2026-08-30 22:35:57

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 零件年底 大家都喜欢盘点一下过去
[00:00:06 - 00:00:07] 再展望一下未来
[00:01:57 - 00:02:01] 模型的性能會以可靠而且可預測的方式提高
[00:02:01 - 00:02:04] 從GBT2到GBT3再到GBT4
[00:02:04 - 00:02:07] 我們看到的一系列性能提升都是Siglin Loss的功勞
[00:02:07 - 00:02:10] 但是就像摩爾定律一樣
[00:02:10 - 00:02:13] Siglin Loss實際上並不是真正的物理法則
[00:02:13 - 00:02:15] 而只是簡單的經驗觀察
[00:02:15 - 00:02:16] 所以在過去的一個月裡
[00:02:16 - 00:02:18] 一系列的報告都顯示
[00:02:18 - 00:02:21] 擴大大原模型的規模、回報卻在遞減
[00:02:21 - 00:02:23] 包括GPT5的发布一再推迟
[00:02:23 - 00:02:26] 不过呢 随着O1和O3的发布
[00:02:26 - 00:02:27] 大家也看到了
[00:02:27 - 00:02:30] 测试时计算的出现开辟了一个全新的维度
[00:02:30 - 00:02:32] 可以通过扩大推理时的算力规模
[00:02:32 - 00:02:34] 来继续实现Skinloss
[00:02:34 - 00:02:36] 而另外一个被大家严重低估的
[00:02:36 - 00:02:38] 关于Skinloss的重要观点
[00:02:38 - 00:02:41] 就是大家的关注点一直都集中在语言上
[00:02:41 - 00:02:44] 但是其实语言并不是唯一重要的数据模式
[00:02:44 - 00:02:49] 对于巨声智能、生物AI、世界模型或者Agent等等领域来说
[00:02:49 - 00:02:51] Skinny loss可能才刚刚开始
[00:02:51 - 00:02:52] 所以托斯预测
[00:02:52 - 00:02:55] 一些在新型数据模式上构建的出状公司
[00:02:55 - 00:02:57] 比如说生物学领域的
[00:02:57 - 00:02:58] Avolutionary Scale
[00:02:58 - 00:03:00] 机器人领域的Fysical Intelligence
[00:03:00 - 00:03:02] 以及李菲菲的WorldLives
[00:03:02 - 00:03:04] 明年的都将取得巨大的进步
[00:03:04 - 00:03:05] 第三个预测
[00:03:05 - 00:03:09] 特朗普和马斯克可能会在AI方向上产生分歧
[00:03:09 - 00:03:11] 随着特朗普的重新上台
[00:03:11 - 00:03:13] 美国新政府势必将带来一系列
[00:03:13 - 00:03:15] 关于人工智能的政策和战略转变
[00:03:15 - 00:03:18] 考虑到目前特朗普和马斯克的亲密关系
[00:03:18 - 00:03:20] 我们可以预见到的是
[00:03:20 - 00:03:22] 马斯克可能会以多种不同的方式
[00:03:22 - 00:03:25] 来影响特朗普政府的人工智能相关发展
[00:03:25 - 00:03:28] 首先由于马斯克与OPI的深刻敌对关系
[00:03:28 - 00:03:30] 新政府在与行业接触
[00:03:30 - 00:03:31] 制定人工智能法规
[00:03:31 - 00:03:33] 受与政府合同等等方面
[00:03:33 - 00:03:36] 可能会对OPI采取不太友好的立场
[00:03:36 - 00:03:37] 另一方面
[00:03:37 - 00:03:40] 特朗普政府可能会倾向于支持马斯克自己的公司
[00:03:40 - 00:03:43] 比如XAI、特斯拉机器人等等
[00:03:43 - 00:03:44] 更根本的是
[00:03:44 - 00:03:47] 与许多其他被特朗普看好的科技领袖不同
[00:03:47 - 00:03:49] 馬斯克非常重視人工智能的安全風險
[00:03:49 - 00:03:52] 並且主張對人工智能進行重大的監管
[00:03:52 - 00:03:56] 支持加利福尼亞州有爭議的SB-1047法案
[00:03:56 - 00:03:59] 因此馬斯克的影響力可能會導致美國
[00:03:59 - 00:04:02] 對於人工智能的監管環境變得更加的嚴格
[00:04:02 - 00:04:04] 不過所有這些推測都存在一個問題
[00:04:04 - 00:04:07] 那就是特朗普和馬斯克的親密關係
[00:04:07 - 00:04:09] 中疆不可避免的破裂
[00:04:09 - 00:04:13] 從特朗普在第一任政府期間的多次表現可以看到
[00:04:13 - 00:04:15] 特朗普盟友的平均任期
[00:04:15 - 00:04:18] 即使是看似最堅定的盟友都非常短暫
[00:04:18 - 00:04:20] 第一任政府的副手中
[00:04:20 - 00:04:22] 今天仍然忠於特朗普的聊聊物計
[00:04:22 - 00:04:24] 而且特朗普和馬斯克都是
[00:04:24 - 00:04:26] 複雜一變不可預測的個性
[00:04:26 - 00:04:29] 他們目前的友誼還是處於秘業期
[00:04:29 - 00:04:30] 但是托斯預測
[00:04:30 - 00:04:32] 在2025年結束之前
[00:04:32 - 00:04:34] 兩個人之間的親密關係將會惡化
[00:04:34 - 00:04:38] 屆時美國政府對於人工智能的監管態度將會放緩
[00:04:38 - 00:04:39] 第四個預測
[00:04:39 - 00:04:41] AI agent將成為主流
[00:04:41 - 00:04:43] 在紅山那期節目播出後
[00:04:43 - 00:04:44] 我看到有評論就說
[00:04:44 - 00:04:47] 没有提到Agent在2025年的爆发
[00:04:47 - 00:04:49] 大飞我觉得说得很有道理
[00:04:49 - 00:04:51] 当我们以后需要管理订阅
[00:04:51 - 00:04:52] 支付账单 预约医生
[00:04:52 - 00:04:54] 在研磨讯上订购东西
[00:04:54 - 00:04:55] 预订餐厅
[00:04:55 - 00:04:56] 或者是完成其他任何
[00:04:56 - 00:04:58] 繁琐的在线任务时候
[00:04:58 - 00:04:59] 也许只需要让Agent来
[00:04:59 - 00:05:01] 帮你完成就好了
[00:05:01 - 00:05:03] 虽然Agent的概念已经存在了很多年
[00:05:03 - 00:05:05] 但是市场上还没有出现一款
[00:05:05 - 00:05:07] 能够正常运行的通用Agent
[00:05:07 - 00:05:09] 即便是像Adapt这样籌集了
[00:05:09 - 00:05:11] 数亿美金的公司也失败了
[00:05:11 - 00:05:14] 但是随着语言和视觉基础模型的
[00:05:14 - 00:05:15] 不断进步
[00:05:15 - 00:05:18] 再加上最新的推理模型和推理时计算的突破
[00:05:18 - 00:05:21] 明年也许将是Agent开始运行良好
[00:05:21 - 00:05:23] 并且成为主流的一年
[00:05:23 - 00:05:24] 换句话说
[00:05:24 - 00:05:25] Adapt的想法是正确的
[00:05:25 - 00:05:27] 只是维持过早
[00:05:27 - 00:05:29] 而在Agent的方向选择上
[00:05:29 - 00:05:31] 托斯认为短期内最大的市场机会
[00:05:31 - 00:05:33] 将是消费者领域
[00:05:33 - 00:05:36] 有机会诞生出下一个真正的杀手机应用
[00:05:36 - 00:05:37] 第五个预测
[00:05:37 - 00:05:39] 将人工智能数据中心放到太空中的想法
[00:05:39 - 00:05:41] 将会实现
[00:05:41 - 00:05:41] 2023年
[00:05:41 - 00:05:44] 制约人工智能发展的关键物理资源
[00:05:44 - 00:05:45] 还是GPU的芯片
[00:05:45 - 00:05:47] 但是到了2024年
[00:05:47 - 00:05:49] 已经变成了电力和数据中心
[00:05:49 - 00:05:51] 由于人工智能的蓬勃发展
[00:05:51 - 00:05:53] 全球数据中心的电力需求
[00:05:53 - 00:05:56] 预计将在2023年到2026年间翻一翻
[00:05:56 - 00:06:00] 在美国数据中心的耗电量预计到2030年
[00:06:00 - 00:06:02] 将接近总耗电量的10%
[00:06:02 - 00:06:05] 而2022年仅为3%
[00:06:05 - 00:06:07] 当今的能源系统根本无法应对
[00:06:07 - 00:06:09] 人工智能工作负载所带来的
[00:06:09 - 00:06:10] 巨大需求计增
[00:06:10 - 00:06:12] 能源网络和计算基础设施
[00:06:12 - 00:06:15] 这两个价值数万亿美元的系统之间
[00:06:15 - 00:06:17] 即将发生历史性的碰撞
[00:06:17 - 00:06:19] 作为解决这一难题的可能方案
[00:06:19 - 00:06:21] 也是人工智能的理想能源
[00:06:21 - 00:06:24] 何能在今年获得了迅猛的发展
[00:06:24 - 00:06:25] 但是从现实情况来看
[00:06:26 - 00:06:27] 传统的合列变发电厂
[00:06:28 - 00:06:30] 下一代的小型模块化反应堆SMR
[00:06:30 - 00:06:32] 以及核据变发电厂
[00:06:32 - 00:06:34] 都跟不上发展的速度
[00:06:34 - 00:06:36] 于是一个非常具有挑战性的想法出现了
[00:06:37 - 00:06:39] 那就是将人工智能数据中心放到太空中
[00:06:40 - 00:06:42] 炸一拼上去这可能像一个笑话
[00:06:42 - 00:06:44] 但是事实上其实是蛮有道理的
[00:06:44 - 00:06:47] 在地球上快速建设更多的数据中心
[00:06:47 - 00:06:50] 最大的平静就是获取所需要的电力
[00:06:50 - 00:06:53] 而轨道上的计算集群可以靠着太阳
[00:06:53 - 00:06:56] 全天后享受免费无限灵炭的电力
[00:06:56 - 00:06:59] 将计算放到太空中的另一个重要优势是
[00:06:59 - 00:07:01] 它解决了冷却的问题
[00:07:01 - 00:07:03] 在太空中任何计算活动产生的热量
[00:07:03 - 00:07:06] 都将会立刻无害的消散掉
[00:07:06 - 00:07:09] 当然了这个方案也面临着很多实际的挑战
[00:07:09 - 00:07:11] 比如说如何在轨道和地球之间
[00:07:11 - 00:07:13] 以低成本高效率的方式
[00:07:13 - 00:07:14] 来传输大量数据
[00:07:14 - 00:07:17] 外combinator投资的出账公司Luminor Aubert
[00:07:17 - 00:07:20] 今年就筹集了1100万美元
[00:07:20 - 00:07:21] 打算在太空中建立一个
[00:07:21 - 00:07:23] 数兆瓦的数据中心网络
[00:07:23 - 00:07:25] 用来训练人工智能模型
[00:07:25 - 00:07:27] 不过到了2025年
[00:07:27 - 00:07:28] 他可能就不会是
[00:07:28 - 00:07:29] 唯一干这件事情的公司了
[00:07:29 - 00:07:31] 因为有一家云计算巨头
[00:07:31 - 00:07:32] 已经在探索了
[00:07:32 - 00:07:33] 比如说
[00:07:33 - 00:07:35] 严瓦逊已经通过科一博计划
[00:07:35 - 00:07:37] 将资产送入轨道
[00:07:37 - 00:07:38] 谷歌长期以来
[00:07:38 - 00:07:40] 一直也在资助类似的登月计划
[00:07:40 - 00:07:43] 甚至微軟對於太空經濟也不陌生
[00:07:43 - 00:07:46] 當然了馬斯克的SpaceX公司也有可能會參與其中
[00:07:46 - 00:07:49] 所以明年也許我們真的會見證
[00:07:49 - 00:07:51] 太空中的數據中心成為現實
[00:07:51 - 00:07:52] 第六個預測
[00:07:52 - 00:07:55] 人工智能系統將通過圖靈語音測試
[00:07:55 - 00:07:57] 圖靈測試可以說是人工智能領域
[00:07:57 - 00:07:59] 最古老最知名的基準之一了
[00:07:59 - 00:08:01] 為了通過圖靈測試
[00:08:01 - 00:08:04] 人工智能系統必須能夠通過書面的文本進行交流
[00:08:04 - 00:08:08] 讓普通人無法分辨自己是在與人工智能互動
[00:08:08 - 00:08:09] 還是在與其他的人類互動
[00:08:09 - 00:08:13] 但是顯然 書面文本並非是人類交流的唯一的方式
[00:08:13 - 00:08:16] 隨著人工智能變得越來越多模態
[00:08:16 - 00:08:19] 人們可以想像一個新的更具有挑戰性的圖靈測試版本
[00:08:19 - 00:08:21] 那就是圖靈語音測試
[00:08:21 - 00:08:26] 在這個測試中 人工智能系統必須能夠通過語音與人類互動
[00:08:26 - 00:08:28] 無論是技能還是流暢度
[00:08:28 - 00:08:31] 都要達到與人類說話者無法區分的程度
[00:08:31 - 00:08:35] 要想達到這一點 語音交互的延遲必須減少到接近於零
[00:08:35 - 00:08:40] 另外 系统还必须更加擅长实时处理模糊的输入或者误解
[00:08:40 - 00:08:44] 以及必须能够参与长对话和多轮开放式的对话
[00:08:44 - 00:08:46] 同时要记住讨论的早期部分
[00:08:46 - 00:08:50] 更为重要的是 语音人工智能系统必须要学会
[00:08:50 - 00:08:53] 如何更好地理解语音中的非语言信号
[00:08:53 - 00:08:57] 比如说一个人类说话者听起来是愤怒、兴奋还是讽刺
[00:08:57 - 00:08:59] 这些情绪意味着什么
[00:08:59 - 00:09:03] 以及如何在自己的语音中生成这些非语言的线索
[00:09:03 - 00:09:05] 如今的人工智能中很少有领域
[00:09:05 - 00:09:08] 在技术和商业上的进步速度比语音更快
[00:09:08 - 00:09:11] 所以托斯预计在2025年
[00:09:11 - 00:09:14] 语音人工智能的最新技术将实现飞跃
[00:09:14 - 00:09:15] 第七个预测
[00:09:15 - 00:09:17] 自主AI系统将取得重大的进展
[00:09:17 - 00:09:19] 数十年以来
[00:09:19 - 00:09:21] 人工智能的第一规势自我完善
[00:09:21 - 00:09:23] 一直是人工智能界经常触及的话题
[00:09:23 - 00:09:25] 比如说早在1965年
[00:09:25 - 00:09:28] 阿兰图灵的亲密合作者埃茨古德就写道
[00:09:28 - 00:09:30] 让我们把超智能机器定义为一种
[00:09:30 - 00:09:33] 能够远远超越人类所有智力活动的机器
[00:09:33 - 00:09:35] 无论它多么聪明
[00:09:35 - 00:09:38] 既然设计机器是这些智力活动之一
[00:09:38 - 00:09:41] 那么超智能机器就能够设计出更好的机器
[00:09:41 - 00:09:44] 到那个时候无疑会出现智能爆炸
[00:09:44 - 00:09:46] 人类的智能将被远远的抛在后面
[00:09:46 - 00:09:49] 让人工智能来发明更好的人工智能
[00:09:49 - 00:09:51] 虽然这个概念还没有得到广泛的认可
[00:09:51 - 00:09:54] 但是它实际上已经开始变得更加真实
[00:09:54 - 00:09:55] 最显著的案例
[00:09:55 - 00:09:57] 当初Sacana的人工智能科学家
[00:09:57 - 00:09:59] 我们正好也做过这么一期节目
[00:09:59 - 00:10:03] 这个AI可以执行人工智能研究的整个生命周期
[00:10:03 - 00:10:04] 包括阅读现有的文献
[00:10:04 - 00:10:06] 产生新的研究想法
[00:10:06 - 00:10:08] 设计实验来测试想法
[00:10:08 - 00:10:09] 执行实验
[00:10:09 - 00:10:10] 然后撰写研究论文
[00:10:10 - 00:10:12] 以及对工作进行同行评审
[00:10:12 - 00:10:14] 随着越来越多的人认识到
[00:10:14 - 00:10:16] 人工智能研究的自动化
[00:10:16 - 00:10:18] 正在成为一个事实上的可能
[00:10:18 - 00:10:19] 托斯预测
[00:10:19 - 00:10:21] 明年这个研究方向将成为主流
[00:10:21 - 00:10:22] 第八个预测
[00:10:22 - 00:10:23] OpenEye等行业巨头
[00:10:23 - 00:10:26] 会将战略的重点转向构建应用
[00:10:26 - 00:10:28] 构建前沿模型需要消耗大量的现金
[00:10:28 - 00:10:30] 就在几个月前
[00:10:30 - 00:10:32] OPI籌集了65亿美元资金
[00:10:32 - 00:10:33] 用来训练最新的模型
[00:10:33 - 00:10:35] 而在不久的将来
[00:10:35 - 00:10:37] 它可能还需要籌集更多的资金
[00:10:37 - 00:10:39] Anstropic XAI和其他公司
[00:10:39 - 00:10:41] 也都处于类似的境地
[00:10:41 - 00:10:43] 但是对于纯基础模型来说
[00:10:43 - 00:10:45] 不仅期望成本和客户的中程度
[00:10:45 - 00:10:46] 都比较低
[00:10:46 - 00:10:48] 而且随着开源模型的出现
[00:10:48 - 00:10:51] 技术商品化的威胁也在不断的逼近
[00:10:51 - 00:10:53] 虽然像OPI和Anstropic这样的公司
[00:10:53 - 00:10:55] 不可能也不会停止去构建
[00:10:55 - 00:10:56] 顶尖模型的投资
[00:10:56 - 00:10:58] 但是到了明年
[00:10:58 - 00:10:59] 为了发展利润更高
[00:10:59 - 00:11:00] 差异化更大
[00:11:00 - 00:11:02] 年性更强的业务线
[00:11:02 - 00:11:05] 大家可能都会大力推出更多的应用和产品
[00:11:05 - 00:11:08] 比如以OpenI的SuchGbt为代表的搜索应用
[00:11:08 - 00:11:10] 以及编程产品Canvas
[00:11:10 - 00:11:12] 而这样做带来的直接后果
[00:11:12 - 00:11:14] 可能就是基础大模型公司
[00:11:14 - 00:11:17] 会开始与许多最重要的客户直接的竞争
[00:11:17 - 00:11:18] 第9个预测
[00:11:18 - 00:11:20] Kalana将在2025年上市
[00:11:20 - 00:11:22] 但是存在夸大AI价值的迹象
[00:11:22 - 00:11:26] Kalana是一家总部位于瑞典的本地支付服务提供商
[00:11:26 - 00:11:28] 在2005年成立以来
[00:11:28 - 00:11:31] 已经筹集了将近50亿美元的风险投资
[00:11:31 - 00:11:32] 就在几天前
[00:11:32 - 00:11:33] 克拉娜的首席执行官
[00:11:33 - 00:11:35] 塞巴斯蒂安还告诉彭博社
[00:11:35 - 00:11:38] 公司已经完全停止雇佣人类员工
[00:11:38 - 00:11:41] 软而依靠生成是人工智能来完成工作
[00:11:41 - 00:11:44] 而且克拉娜公司今年早些时候还宣布
[00:11:44 - 00:11:46] 已经推出了一个人工智能客服服务平台
[00:11:46 - 00:11:49] 将700名人工客服的工作完全自动化
[00:11:49 - 00:11:51] 不过托斯指出
[00:11:51 - 00:11:53] 克拉娜实际上夸大了人工智能的价值
[00:11:53 - 00:11:55] 那他为什么要这么做呢
[00:11:55 - 00:11:56] 答案很简单
[00:11:56 - 00:11:59] 因为该公司计划在2025年上半年上市
[00:11:59 - 00:12:00] 要想成功的上市
[00:12:00 - 00:12:03] 关键是要有一个引人入胜的人工智能故事
[00:12:03 - 00:12:06] 克拉纳仍然是一家不盈利的企业
[00:12:06 - 00:12:08] 去年亏损了2.41亿美元
[00:12:08 - 00:12:10] 她可能希望自己的人工智能故事
[00:12:10 - 00:12:12] 能够说服公开市场的投资者
[00:12:12 - 00:12:15] 让他们相信她有能力大幅的降低成本
[00:12:15 - 00:12:16] 实现持久的盈利
[00:12:17 - 00:12:17] 托斯认为
[00:12:17 - 00:12:20] 像克拉纳这样夸大其词的说法
[00:12:20 - 00:12:21] 是对人工智能领域的卸毒
[00:12:21 - 00:12:24] 也是对人工智能技术专家和企业家们
[00:12:24 - 00:12:28] 在開發人工智能Agent的方面所取得的艱苦進展的械度
[00:12:28 - 00:12:31] 隨著Clana準備在2025年公開發行股票
[00:12:31 - 00:12:35] 預計這些說法將會受到更嚴格的審查和公眾的懷疑
[00:12:35 - 00:12:38] 不過到目前為止這些說法大多還沒有受到質疑
[00:12:38 - 00:12:40] 第十個預測
[00:12:40 - 00:12:42] 第一起真正的AI安全事故將會發生
[00:12:43 - 00:12:45] 近年來隨著人工智能變得越來越強大
[00:12:45 - 00:12:47] 人們越來越擔心人工智能系統
[00:12:47 - 00:12:51] 可能會開始以與人類利益不一致的方式來形式
[00:12:51 - 00:12:54] 而且人類可能會失去對於這些系統的控制
[00:12:54 - 00:12:55] 不過到目前為止
[00:12:55 - 00:12:58] 人工智能的安全問題仍然停留在理論層面
[00:12:58 - 00:13:01] 現實世界中從來沒有發生過
[00:13:01 - 00:13:03] 或者說至少沒有公開報導過
[00:13:03 - 00:13:05] 真正的人工智能安全事故
[00:13:05 - 00:13:06] 而托斯認為
[00:13:06 - 00:13:08] 2025年將是改變這種狀況的一年
[00:13:08 - 00:13:11] 那麼第一起人工智能安全事件會是什麼樣呢?
[00:13:11 - 00:13:12] 托斯認為
[00:13:12 - 00:13:14] 他肯定不會是像終結者那樣
[00:13:14 - 00:13:16] 對人類造成任何傷害
[00:13:16 - 00:13:18] 但是也許人工智能模型
[00:13:18 - 00:13:19] 會試圖在另一臺服務器上
[00:13:19 - 00:13:21] 秘密創建自己的副本
[00:13:21 - 00:13:24] 或者向人類隱瞞自己真實的能力
[00:13:24 - 00:13:26] 故意在性能评估中表现低调
[00:13:26 - 00:13:27] 从而规避更严格的审查
[00:13:28 - 00:13:29] 我们前两天做过一期节目
[00:13:29 - 00:13:31] 也正好证实了前沿的大模型
[00:13:31 - 00:13:34] 开始具备了欺骗和装傻的能力
[00:13:34 - 00:13:35] 也许这期安全事件
[00:13:35 - 00:13:37] 会在造成任何伤害之前就被消除了
[00:13:38 - 00:13:39] 但是它将明确一件事情
[00:13:39 - 00:13:41] 那就是在人类面临
[00:13:41 - 00:13:43] 来自于无所不能的人工智能的
[00:13:43 - 00:13:44] 生存威胁之前
[00:13:44 - 00:13:47] 我们需要接受与另一种形式的智能
[00:13:47 - 00:13:48] 共享我们的世界
[00:13:48 - 00:13:50] 而这种智能有的时候可能是任性的
[00:13:50 - 00:13:52] 不可预测的和欺骗性的
[00:13:52 - 00:13:54] 好了 以上就是托斯
[00:13:54 - 00:13:56] 关于2025年AI发展的10个预测了
[00:13:56 - 00:13:58] 不知道大家有什么看法
[00:13:58 - 00:13:59] 欢迎在评论区留言
[00:13:59 - 00:14:01] 感谢观看 我们下期再见
