BV号：BV1W49yYrEfL
标题：BV1W49yYrEfL
链接：https://www.bilibili.com/video/BV1W49yYrEfL
识别语言：zh
语言置信度：1
分段数：465
生成时间：2026-08-30 11:59:11

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 2月19日 Hagen Face发布了一本如何在GPU集群上
[00:00:06 - 00:00:09] 训练大语研模型的超大规模训练手册
[00:03:16 - 00:03:19] 動態的重新計算這些被丟棄的激活值
[00:03:19 - 00:03:24] 在實際的應用中通常會選擇在模型架構的幾個關鍵點來存儲激活值
[00:03:24 - 00:03:25] 丟棄其餘的部分
[00:03:25 - 00:03:27] 然後在反向傳播的時候
[00:03:27 - 00:03:30] 從最近保存的激活值開始重新計算
[00:03:30 - 00:03:32] 現在大多數的訓練框架
[00:03:32 - 00:03:34] 比如說大家常用的Pytauch
[00:03:34 - 00:03:37] 都集成了激活值重計算的優化策略
[00:03:37 - 00:03:38] 像Fresh-Atansion
[00:03:38 - 00:03:41] 他原生就支持激活值重計算
[00:03:41 - 00:03:45] 這樣就使得這項技術在實際訓練中變得更加容易應用
[00:03:45 - 00:03:49] 虽然激活值从计算会稍微增加一些辅典运算的次数
[00:03:49 - 00:03:51] 但是它减少了内存访问的开销
[00:03:51 - 00:03:52] 在GPU上
[00:03:52 - 00:03:55] 这种计算和内存的权衡往往是非常有利的
[00:03:55 - 00:03:57] 不仅计算速度更快
[00:03:57 - 00:03:59] 还能够有效的降低显存的占用
[00:03:59 - 00:04:01] 不过需要注意的是
[00:04:01 - 00:04:03] 激活值仍然与P大小成线性相关
[00:04:03 - 00:04:05] 当P大小不断增加的时候
[00:04:05 - 00:04:08] 激活值所占用的显存可能又会成为一个问题
[00:04:08 - 00:04:11] 为了解决激活值显存占用的问题
[00:04:11 - 00:04:13] 还有一种方法叫做T度累积
[00:04:13 - 00:04:16] T度累积的原理是将批量数据拆分成多个vp次
[00:04:16 - 00:04:20] 然后依次进行前向传播和反向传播
[00:04:20 - 00:04:22] 这样做的好处是在计算T度的时候
[00:04:22 - 00:04:25] 不需要一次性计算整个批量数据的T度
[00:04:25 - 00:04:27] 而是通过累积多个vp次的T度
[00:04:27 - 00:04:29] 来得到最终的T度
[00:04:29 - 00:04:30] 通过T度累积
[00:04:30 - 00:04:32] 全局p大小可以通过
[00:04:32 - 00:04:36] vp次大小乘以T度累积部数这个公式来计算
[00:04:36 - 00:04:40] 比如说原本一个大的批量数据可能会导致显存爆炸
[00:04:40 - 00:04:42] 但是通过将它拆分为多个vp次
[00:04:42 - 00:04:44] 就可以避免这个问题
[00:04:44 - 00:04:48] 而且T-Do累积还可以和激活重计算技术结合使用
[00:04:48 - 00:04:49] 进一步减少显存的占用
[00:04:50 - 00:04:52] 这就像是给训练过程加上了双重保险
[00:04:52 - 00:04:55] 让我们在有限的显存条件下
[00:04:55 - 00:04:56] 能够更高效的进行训练
[00:04:57 - 00:04:59] 说完了激活值重计算和T-Do累积
[00:04:59 - 00:05:01] 我们再来看看数据病情技术
[00:05:02 - 00:05:04] 数据病情是T-Do累积的病情版本
[00:05:04 - 00:05:08] 它的核心思想是在多个GPU上同时运行训练任务
[00:05:08 - 00:05:11] 每个GPU病情处理不同的VPS数据
[00:05:11 - 00:05:12] 在这个过程中
[00:05:12 - 00:05:15] 每个GPU上计算得到的T度是不同的
[00:05:15 - 00:05:18] 为了保证不同GPU上的模型能够保持同步
[00:05:18 - 00:05:20] 就需要使用AudreyDuce操作
[00:05:20 - 00:05:22] 对模型的T度进行平均
[00:05:22 - 00:05:23] 举个例子
[00:05:23 - 00:05:24] 假设有4个GPU
[00:05:24 - 00:05:27] 每个GPU处理不同的VPS数据
[00:05:27 - 00:05:28] 在计算完T度之后
[00:05:28 - 00:05:30] 通过AudreyDuce操作
[00:05:30 - 00:05:32] 将这些T度进行汇总和平均
[00:05:32 - 00:05:34] 然后再更新模型的参数
[00:05:34 - 00:05:36] 为了提高数据变形的效率
[00:05:36 - 00:05:38] 通常会采用一些优化方法
[00:05:38 - 00:05:41] 比如说将T度同步与后相传播重叠的进行
[00:05:41 - 00:05:44] T度分统以及和T度累积相结合等等
[00:05:45 - 00:05:48] 这样可以尽可能的让GPU在计算和通信过程中
[00:05:48 - 00:05:49] 保持忙碌的状态
[00:05:49 - 00:05:51] 减少空前时间
[00:05:51 - 00:05:54] 不过当GPU数量超过一定限制的时候
[00:05:54 - 00:05:57] 数据变形的吞吐量就会开始显著的下降
[00:05:57 - 00:06:00] 这些因为数据变形在扩展到一定规模之后
[00:06:00 - 00:06:02] 会出现明显的通信开销瓶进
[00:06:02 - 00:06:05] 为了应对数据变形的通信瓶进问题
[00:06:05 - 00:06:08] 以及进一步减少内存戎鱼就出现了Zero
[00:06:08 - 00:06:10] 也就是零戎鱼优化器的技术
[00:06:10 - 00:06:13] Zero是DeepSig提出的一種優化技術
[00:06:13 - 00:06:17] 它的目的在於減少大模型訓練過程中的內存榮譽
[00:06:17 - 00:06:18] 在傳統的數據病情中
[00:06:18 - 00:06:21] 每個實例都會簡單的複製優化器的狀態、
[00:06:21 - 00:06:22] T度和參數
[00:06:22 - 00:06:24] 這就會引入大量的內存榮譽
[00:06:24 - 00:06:27] 而Zero通過在數據病情維度上
[00:06:27 - 00:06:28] 對這些數據進行分區
[00:06:28 - 00:06:30] 有效的消除了內存榮譽
[00:06:30 - 00:06:32] Zero分為三個優化階段
[00:06:32 - 00:06:35] 分別是Zero1、Zero2和Zero3
[00:06:35 - 00:06:39] 其中Zero1階段主要是對優化器的狀態進行分區
[00:06:39 - 00:06:42] 将优化器状态分为nd等分
[00:06:42 - 00:06:44] 而nd是数据并行度
[00:06:44 - 00:06:45] 在优化步骤中
[00:06:45 - 00:06:47] 只有nd分之一的权重会被更新
[00:06:47 - 00:06:50] 同时对T度执行Reduce Scatter操作
[00:06:50 - 00:06:52] 和传统的数据并行相比
[00:06:52 - 00:06:55] Zero1将AllReduceT度通信
[00:06:55 - 00:06:57] 替换成了Reduce Scatter操作
[00:06:57 - 00:06:58] 并且在优化器之后
[00:06:58 - 00:07:01] 添加了一个全参数的AllGather操作
[00:07:01 - 00:07:03] Zero2阶段则在Zero1的基础上
[00:07:03 - 00:07:05] 增加了对于T度的分区
[00:07:05 - 00:07:06] 在反向传播中
[00:07:06 - 00:07:08] 不再对T度执行AllReduce操作
[00:07:08 - 00:07:11] 而是仅仅执行Reduce Scatter操作
[00:07:11 - 00:07:13] 只传播ND分之一的提度
[00:07:13 - 00:07:15] 这样可以节省更多的内存
[00:07:15 - 00:07:16] 随着ND的增加
[00:07:16 - 00:07:18] 最多可以节省8倍内存
[00:07:18 - 00:07:19] 到了Zero3的阶段
[00:07:19 - 00:07:22] 也就是大家常说的FSDP
[00:07:22 - 00:07:24] 它将分区扩展到了模型参数
[00:07:24 - 00:07:25] 在这个阶段
[00:07:25 - 00:07:28] 模型的所有部分都会被分布式的存储
[00:07:28 - 00:07:30] 在前向传播和反向传播的过程中
[00:07:30 - 00:07:32] 需要不断的进行OutGate的操作
[00:07:32 - 00:07:34] 来获取所需要的参数
[00:07:34 - 00:07:37] 虽然Zero的技术在减少内存种于方面效果显著
[00:07:37 - 00:07:39] 但是它也有一定的局限性
[00:07:39 - 00:07:42] 比如说无法对激活值内存进行处理
[00:07:42 - 00:07:46] 这部分内存会随着序列长度和批大小的增加而增加
[00:07:46 - 00:07:49] 当Zero在处理激活值内存遇到瓶颈的时候
[00:07:49 - 00:07:51] 张量病性技术就要发挥作用了
[00:07:51 - 00:07:55] 张量病性是针对于激活内存超预算问题的一种优化技术
[00:07:55 - 00:07:57] 它利用矩阵惩法的特性
[00:07:57 - 00:08:00] 通过按例或者是按行分区的方式
[00:08:00 - 00:08:03] 将张量分布到多个GPU上进行计算
[00:08:03 - 00:08:05] 比方说在列限性计算中
[00:08:05 - 00:08:07] 需要广播输入矩阵分割全中矩阵列
[00:08:07 - 00:08:10] 然后用AllReduce操作组合结果
[00:08:10 - 00:08:14] 而行信性计算则需要分割全中矩阵行和输入
[00:08:14 - 00:08:16] 分别使用Scatter和AllReduce操作
[00:08:16 - 00:08:17] 通过这种方式
[00:08:18 - 00:08:20] 张量病情可以减少矩阵惩罚的激活内存
[00:08:21 - 00:08:23] 并且能够在多GPU间分布模型参数
[00:08:23 - 00:08:25] T度优化器的状态
[00:08:25 - 00:08:26] 这样一来
[00:08:26 - 00:08:28] 即使是7B参数的模型
[00:08:28 - 00:08:30] 也能够在单节点8个GPU上运行
[00:08:30 - 00:08:32] 不过张量病情也有一些缺点
[00:08:32 - 00:08:35] 比如说跨节链通信的速度比较慢
[00:08:35 - 00:08:37] 当张量病情度超过8个GPU的时候
[00:08:37 - 00:08:39] 通信开销就会变得非常明显
[00:08:39 - 00:08:42] 从TP等于8提升到TP等于16
[00:08:42 - 00:08:44] 再到TP等于32的时候
[00:08:44 - 00:08:45] 性能就会显著的下降
[00:08:45 - 00:08:49] 而且像成规一化和随机失活等等操作
[00:08:49 - 00:08:51] 仍然需要收集完整的激活值
[00:08:51 - 00:08:54] 这在一定程度上限制了张量病情的应用
[00:08:54 - 00:08:55] 为了解决这两个问题
[00:08:55 - 00:08:57] 序列病情技术应用而生
[00:08:57 - 00:09:00] 序列病情的优势在于它可以减少
[00:09:00 - 00:09:01] 最大激活值的存储大小
[00:09:01 - 00:09:03] 在仅使用张量并行的时候
[00:09:03 - 00:09:06] 需要存储形状为BSH的激活值
[00:09:06 - 00:09:08] 而使用序列并行后
[00:09:08 - 00:09:11] 激活值的存储大小可以减少到BSH除以SP
[00:09:11 - 00:09:14] 这些SP表示序列的并行度
[00:09:14 - 00:09:16] 这样有助于节省激活值的内存
[00:09:16 - 00:09:19] 从而能够增大P大小和序列的长度
[00:09:19 - 00:09:21] 比如说在70B参数的模型中
[00:09:21 - 00:09:23] 使用TP除以SP等于16时
[00:09:23 - 00:09:26] 可以处理16K token的序列长度
[00:09:26 - 00:09:29] 这比单纯使用张量并行的情况要好得多
[00:09:29 - 00:09:31] 不过呢 随着张量并行度的增加
[00:09:31 - 00:09:34] 计算效率和显存容量之间需要进行全横
[00:09:34 - 00:09:37] 从TP等于8提升到TP等于16的时候
[00:09:37 - 00:09:39] 性能会下降的比较明显
[00:09:39 - 00:09:42] 这些因为涉及到了节点内到节点间的通信转变
[00:09:42 - 00:09:45] 而且当序列长度增加的时候
[00:09:45 - 00:09:47] TP区域的激活值内存仍然会激增
[00:09:47 - 00:09:51] 如果模型过大 即使TP等于8也可能无法试备
[00:09:51 - 00:09:54] 因为节点间的连接会导致速度大幅的下降
[00:09:54 - 00:09:59] 针对于这些问题 又出现了上下文并行和流水线并行的技术
[00:09:59 - 00:10:01] 上下文病情技術借鉴了序列病情中
[00:10:01 - 00:10:03] 按照序列長度拆分的思路
[00:10:03 - 00:10:05] 對已經應用張量病情的模塊
[00:10:05 - 00:10:08] 沿著序列長度和另一個維度進行拆分
[00:10:08 - 00:10:10] 並且在整個模型上應用序列拆分
[00:10:10 - 00:10:13] 而不是僅僅在模型的序列病情區域上
[00:10:13 - 00:10:15] 對於大多數的模塊來說
[00:10:15 - 00:10:17] 這種方式並不會產生太大的影響
[00:10:17 - 00:10:20] 因為這些模塊中每個token都是獨立處理的
[00:10:20 - 00:10:22] 而且不需要像張量病情那樣
[00:10:22 - 00:10:24] 進行高成本的通信
[00:10:24 - 00:10:25] 只需要分割輸入
[00:10:25 - 00:10:27] 不需要拆分全中矩陣
[00:10:27 - 00:10:28] 而是在计算T度之后
[00:10:28 - 00:10:32] 通过AudiDuce操作同步上下文并行组内的T度
[00:10:32 - 00:10:33] 在注意力模块中
[00:10:33 - 00:10:36] 每个Token需要访问其他所有Token的建值队
[00:10:36 - 00:10:39] 由于上下文并行是按照序列伪度拆分输入的
[00:10:39 - 00:10:42] 所以注意力模块需要在GPU间进行全面的通信
[00:10:42 - 00:10:44] 来交换建值数据
[00:10:44 - 00:10:46] 为了高效处理这种通信
[00:10:46 - 00:10:47] 引入了环形注意力
[00:10:47 - 00:10:48] Ring attention技术
[00:10:48 - 00:10:51] 以4个GPU和4个Token的输入为例
[00:10:51 - 00:10:54] 每个GPU会先一步的将自身的建值队
[00:10:54 - 00:10:55] 发送给其他的GPU
[00:10:55 - 00:10:59] 在等待的過程中計算已有數據的注意力分數
[00:10:59 - 00:11:03] 理想狀態下在計算完成前能夠收到下一個建制隊
[00:11:03 - 00:11:05] 這樣就可以立即開始下一個人的計算
[00:11:05 - 00:11:07] 不過環形注意力的簡單實現
[00:11:07 - 00:11:12] 會因為因果注意力矩陣的形狀而導致GPU計算負載不均衡
[00:11:12 - 00:11:15] 為了解決這個問題又出現了ZigZag環形注意力機制
[00:11:15 - 00:11:18] 它拋棄了向GPU順序分配Token的方式
[00:11:18 - 00:11:20] 採用混合排序
[00:11:20 - 00:11:23] 讓每個GPU上都有早期和晚期的Token
[00:11:23 - 00:11:25] 从而实现了计算在各个GPU上的平衡分布
[00:11:26 - 00:11:27] 前面介绍的这些技术
[00:11:27 - 00:11:30] 在一定程度上解决了大约模型训练中的各种问题
[00:11:31 - 00:11:34] 但是当模型权重无法轻松的在一个节点上存储的时候
[00:11:34 - 00:11:37] 就需要用到流水线运行技术了
[00:11:37 - 00:11:40] 像张量必行在扩展到超过单个节点的GPU数量时
[00:11:40 - 00:11:42] 通常是4个或者8个
[00:11:42 - 00:11:45] 就会受到节点间连接低带宽网络的影响
[00:11:45 - 00:11:46] 性能下降明显
[00:11:47 - 00:11:48] 对于70B参数以上的模型
[00:11:48 - 00:11:52] 单节点4到8个GPU很难承载其权重的规模
[00:11:52 - 00:11:54] 这时候流水线并行就要派上用场了
[00:11:55 - 00:11:59] 流水线并行的原理是将GPU的各层分布到多个GPU上
[00:11:59 - 00:12:00] 比如说有8个GPU的时候
[00:12:00 - 00:12:03] 可以把第一到四层放在GPU1上
[00:12:03 - 00:12:05] 把第5到8层放在GPU2上
[00:12:05 - 00:12:06] 以此类推
[00:12:06 - 00:12:10] 这样每个GPU只需要存储和处理部分的模型层
[00:12:10 - 00:12:12] 减少了单个GPU的内存需求
[00:12:12 - 00:12:16] 但是由于每个GPU仍然需要处理完整P4的数据
[00:12:16 - 00:12:19] 所以激活内存并不会因为层的划分而减少
[00:12:19 - 00:12:21] 而且激活张量需要在GPU间
[00:12:21 - 00:12:23] 按照流水线的顺序传递
[00:12:23 - 00:12:24] 在流水线病情中
[00:12:24 - 00:12:26] 由于数据的处理具有顺序性
[00:12:26 - 00:12:28] 这就会导致GPU的利用率不高
[00:12:28 - 00:12:30] 存在着空前时间
[00:12:30 - 00:12:31] 为了解决这个问题
[00:12:31 - 00:12:33] 出现了多种调度方法
[00:12:33 - 00:12:36] 比如说全前向全反向AFFB调度
[00:12:36 - 00:12:38] 是先进行所有的前向传播
[00:12:38 - 00:12:40] 再进行所有的反向传播
[00:12:40 - 00:12:41] 这种方法保留了模型
[00:12:41 - 00:12:43] 训练代码的总体结构
[00:12:43 - 00:12:44] 亦于实现
[00:12:44 - 00:12:46] 通过增加VPS的数量
[00:12:46 - 00:12:47] 可以减少空前时间的占比
[00:12:47 - 00:12:48] 提高效率
[00:12:48 - 00:12:50] 但是由于在反向传播前
[00:12:50 - 00:12:52] 需要保存所有的激活值
[00:12:52 - 00:12:54] 这种方法又会导致内存迅速的耗尽
[00:12:55 - 00:12:57] 于是又出现了一次向前一次向后
[00:12:57 - 00:12:59] 也就是EF1B的调度
[00:12:59 - 00:13:02] 它会交际执行一次前向和一次反向传播
[00:13:02 - 00:13:04] 尽早的开始反向传播
[00:13:04 - 00:13:06] 这样可以减少激活内存的占用
[00:13:06 - 00:13:09] 并且可以增加VP4来减少空前时间
[00:13:09 - 00:13:11] 不过当VP4的数量
[00:13:11 - 00:13:14] 等于或者小于流水线的病情度减1的时候
[00:13:14 - 00:13:15] 性能会比较低
[00:13:15 - 00:13:17] 并且会随着病情度的增加而下降
[00:13:18 - 00:13:19] 虽然使用更多的VP4
[00:13:19 - 00:13:21] 有助于提升低病情度时的性能
[00:13:21 - 00:13:23] 但是在高病情度的时候
[00:13:23 - 00:13:24] 仍然会受到限制
[00:13:24 - 00:13:26] 此外还有交错阶段技术
[00:13:26 - 00:13:29] 它不同于简单的按照模型深度来划分
[00:13:29 - 00:13:31] 而是将基础层和偶数层
[00:13:31 - 00:13:33] 分别至于不同的GPU
[00:13:33 - 00:13:34] 形成循环流水线
[00:13:35 - 00:13:37] 让VPS在前向传播的时候
[00:13:37 - 00:13:38] 在GPU间循环
[00:13:39 - 00:13:41] 这种技术虽然增加了通信量
[00:13:41 - 00:13:43] 但是每次前下和反向传播的时间
[00:13:43 - 00:13:45] 会因为每个GPU的阶段数
[00:13:45 - 00:13:47] 或者是模型的块数而减少
[00:13:47 - 00:13:51] 所以可以通过增加vp次和交错阶段来减少空前时间
[00:13:52 - 00:13:54] 像Lama3.1的流水线并行方法
[00:13:54 - 00:13:57] 就采用了带交错阶段的单前向单反向设施
[00:13:57 - 00:14:01] 并且深度优先和广度优先的优先级设施是可以调节的
[00:14:01 - 00:14:03] 还有一些更加复杂的方法
[00:14:03 - 00:14:07] 比如说零气炮ZeroBubble和双管道丢Pipe技术
[00:14:07 - 00:14:10] 他们的关键在于细度拆分操作并且交错的执行
[00:14:10 - 00:14:12] 从而减少GPU的空前时间
[00:14:12 - 00:14:16] 其中ZeroBubble发现在举证惩罚的反向传递中
[00:14:16 - 00:14:20] 输入反向操作B和权中反向操作W可以分离
[00:14:20 - 00:14:23] W可以在对应B之后灵活的安排
[00:14:23 - 00:14:25] 用来填补流水线的空前时间
[00:14:25 - 00:14:28] 而DeepSig的DewPieEl在V3技术报告中
[00:14:28 - 00:14:29] 扩展了分解的方法
[00:14:29 - 00:14:31] 针对于从流水线并行两端
[00:14:31 - 00:14:33] 传播的两个数据流交错
[00:14:33 - 00:14:35] 进一步减少了GPU的空前时间
[00:14:35 - 00:14:37] 除了前面提到的这些技术
[00:14:37 - 00:14:38] 在MoE模型中
[00:14:38 - 00:14:39] 还有一种专家并行技术
[00:14:39 - 00:14:40] 简称EP
[00:14:40 - 00:14:43] MoE模型近年来因为GPT-4
[00:14:43 - 00:14:46] MixTroDeepSigV3 R1等等模型
[00:14:46 - 00:14:47] 受到了广泛的关注
[00:14:47 - 00:14:49] 它的基本思想是在每一层
[00:14:49 - 00:14:50] 不采用单个前馈模块
[00:14:50 - 00:14:52] 而是设置多个并形模块
[00:14:52 - 00:14:54] 对于Token进行不同的处理
[00:14:54 - 00:14:56] Moe层的设计
[00:14:56 - 00:14:57] 使得专家并行很容易的实现
[00:14:57 - 00:15:00] 因为前馈层是完全独立的
[00:15:00 - 00:15:01] 与张亮并行相比
[00:15:01 - 00:15:02] 专家并行更加轻量
[00:15:02 - 00:15:04] 不需要拆分矩阵惩法
[00:15:04 - 00:15:06] 只需要将Token的隐藏状态
[00:15:06 - 00:15:08] 略有到合适的专家即可
[00:15:08 - 00:15:09] 在实际的应用中
[00:15:09 - 00:15:11] 专家并行通常会以其他的
[00:15:11 - 00:15:12] 并行方式结合的使用
[00:15:12 - 00:15:15] 因为专家病情仅仅会影响M1层
[00:15:15 - 00:15:17] 不会分辨输入Token
[00:15:17 - 00:15:18] 如果只使用专家病情
[00:15:18 - 00:15:21] 那么GPU在处理非M1模块的时候
[00:15:21 - 00:15:22] 就会有荣誉计算
[00:15:22 - 00:15:24] 专家病情高效运行的技巧
[00:15:24 - 00:15:26] 与模型的设计紧密的相关
[00:15:26 - 00:15:27] 这也需要开发者
[00:15:27 - 00:15:29] 根据具体的模型需求来进行优化
[00:15:29 - 00:15:30] 总的来说
[00:15:30 - 00:15:32] Hackingface在制作这份手册的过程中
[00:15:32 - 00:15:34] 进行了大量的实验
[00:15:34 - 00:15:35] 他们在512个GPU上
[00:15:35 - 00:15:38] 运行了超过4000次分布式实验
[00:15:38 - 00:15:41] 目的就是为了探索不同的分布式训练架构
[00:15:41 - 00:15:43] 以及模型大小對於訓練效果的影響
[00:15:43 - 00:15:46] 通過這些實驗得到了豐富的數據
[00:15:46 - 00:15:48] 比如說不同模型在各種病情技術組合下的
[00:15:48 - 00:15:50] 顯存佔用情況
[00:15:50 - 00:15:52] 計算效率以及通信開銷等等
[00:15:52 - 00:15:54] 這些數據為我們在實際訓練中
[00:15:54 - 00:15:55] 選擇合適的技術和配置
[00:15:55 - 00:15:57] 提供了重要的參考依據
[00:15:57 - 00:15:59] 手冊中還總結了一些
[00:15:59 - 00:16:01] 在大語言模型訓練過程中的關鍵步驟和策略
[00:16:02 - 00:16:04] 首先是將模型逝配到內存中
[00:16:04 - 00:16:06] 對於GPU資源豐富的情況
[00:16:06 - 00:16:08] 如果是小於實必參數的模型
[00:16:08 - 00:16:10] 那麼只使用數據病情就足夠了
[00:16:10 - 00:16:12] 而对于10B-30B参数的模型
[00:16:12 - 00:16:14] 结合数据病情与张量病情
[00:16:14 - 00:16:16] 通常能够取得较好的效果
[00:16:16 - 00:16:19] 要是模型参数在30B-70B之间
[00:16:19 - 00:16:21] 除了数据病情和张量病情
[00:16:21 - 00:16:23] 还可能需要考虑使用序列病情
[00:16:23 - 00:16:25] 来进一步的优化显存的使用
[00:16:25 - 00:16:27] 当模型参数超过70B的时候
[00:16:27 - 00:16:29] 就需要更为复杂的组合
[00:16:29 - 00:16:32] 比如说结合流水剑病情等多种技术
[00:16:32 - 00:16:34] 才能够将模型适配到内存中
[00:16:34 - 00:16:37] 在满足目标全局批大小方面
[00:16:37 - 00:16:39] 要综合考虑激活值重计算
[00:16:39 - 00:16:42] T度累积以及数据病情等等技术的运用
[00:16:42 - 00:16:45] 通过合理设置VPS大小和T度累积的部数
[00:16:45 - 00:16:47] 结合多个GPU的数据病情
[00:16:47 - 00:16:49] 可以在有限的显存条件下
[00:16:49 - 00:16:51] 达到目标全局P大小
[00:16:51 - 00:16:53] 比方说如果目标全局P大小较大
[00:16:53 - 00:16:57] 而单个GPU的显存无法一次性处理整个P4的数据
[00:16:57 - 00:16:59] 那么可以利用T度累积
[00:16:59 - 00:17:01] 将大P次拆分为多个VP次
[00:17:01 - 00:17:03] 在多个GPU上病情计算
[00:17:03 - 00:17:05] 然后再将T度累积起来
[00:17:05 - 00:17:07] 关于优化训练的吞吐量方面
[00:17:07 - 00:17:10] 则需要根据模型的规模和硬件资源
[00:17:10 - 00:17:12] 来选择合适的病情策略组合
[00:17:12 - 00:17:14] 对于较小规模的模型
[00:17:14 - 00:17:16] 简单的数据病情可能就能够满足需求
[00:17:16 - 00:17:18] 实现较高的吞吐量
[00:17:18 - 00:17:19] 但随着模型规模的增大
