BV号：BV1X1Lr62E2Z
标题：BV1X1Lr62E2Z
链接：https://www.bilibili.com/video/BV1X1Lr62E2Z
识别语言：zh
语言置信度：1
分段数：263
生成时间：2026-08-29 17:37:13

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你有没有注意到
[00:02:52 - 00:02:54] 一个只会写prompt的操作员
[00:02:54 - 00:02:56] 而不是一个真正的工程师
[00:02:56 - 00:02:58] 如果你看过我之前那期
[00:02:58 - 00:03:00] 关于anthropic研究的视频
[00:03:00 - 00:03:02] 你可能对这个实验有印象
[00:03:02 - 00:03:03] 2026年1月
[00:03:03 - 00:03:04] anthropic发布了
[00:03:04 - 00:03:06] 以上关于AI如何影响
[00:03:06 - 00:03:08] 编程技能形成的随机对照实验
[00:03:08 - 00:03:11] 52名主要是初级的软件工程师
[00:03:11 - 00:03:13] 学习一个陌生的Python E-Boo Cool Trail
[00:03:13 - 00:03:15] 一组使用AI辅助
[00:03:15 - 00:03:16] 另一组手写
[00:03:16 - 00:03:17] 这个实验设计很关键
[00:03:17 - 00:03:19] 两组人的任务是一样的
[00:03:19 - 00:03:20] 时间也是一样的
[00:03:20 - 00:03:22] 唯一的区别就是有没有AI
[00:03:22 - 00:03:25] 结果是AI组平均只快了大约两分钟
[00:03:25 - 00:03:27] 而且这个差异没有达到统计显著
[00:03:27 - 00:03:30] 所以不能说AI在这个陌生库学习任务里
[00:03:30 - 00:03:32] 带来了明确的效率提升
[00:03:32 - 00:03:34] 但随后的理解测验里
[00:03:34 - 00:03:37] AI组平均50%手工组67%
[00:03:37 - 00:03:39] 差距最大的是调试题
[00:03:39 - 00:03:41] 这说明AI帮你完成了任务
[00:03:41 - 00:03:43] 但它没有帮你理解任务
[00:03:43 - 00:03:45] 而理解才是真正值钱的东西
[00:03:45 - 00:03:48] 但最有意思的数据其实在AI组内部
[00:03:48 - 00:03:51] 那些把AI当解释器和导师的人表现更好
[00:03:51 - 00:03:54] 而高度依赖代码生成和AI调试的人得分更低
[00:03:54 - 00:03:56] 看到这里你可能会想
[00:03:56 - 00:03:58] 工具本身并没有决定结果
[00:03:58 - 00:04:00] 使用姿态与结果高度相关
[00:04:00 - 00:04:03] 研究不能单独证明因果
[00:04:03 - 00:04:05] 但提示了非常清晰的风险模式
[00:04:05 - 00:04:07] 这就是为什么我之前那期视频
[00:04:07 - 00:04:10] 代码写快了人却变弱了会引起这么多共鸣
[00:04:10 - 00:04:12] 因为很多人都意识到了这个问题
[00:04:12 - 00:04:14] 不是AI的问题
[00:04:14 - 00:04:16] 而是我没有AI的方式出了问题
[00:04:16 - 00:04:19] MIT的研究把这个现象从感觉变成了科学
[00:04:19 - 00:04:24] 他们用一一记脑电图测量了人们在不同条件下的脑连接强度
[00:04:24 - 00:04:25] 实验分为三组
[00:04:25 - 00:04:27] 纯脑力写论文
[00:04:27 - 00:04:28] 用搜索引擎写论文
[00:04:28 - 00:04:29] 用AI写论文
[00:04:29 - 00:04:30] 结果很清晰
[00:04:30 - 00:04:34] 脑连接强度随着外部支持的增加而下降
[00:04:34 - 00:04:36] AI组的脑连接强度最弱
[00:04:36 - 00:04:38] 这更谨慎的解释是
[00:04:38 - 00:04:40] 在这类论文写作任务里
[00:04:40 - 00:04:43] AI组表现出更低的脑区连接偶和
[00:04:43 - 00:04:46] 说明他们投入的认知加工方式与另外两组不同
[00:04:46 - 00:04:48] 但最有意思的发现还在后面
[00:04:48 - 00:04:51] MIT的研究人员在实验后问参与者
[00:04:51 - 00:04:54] 你能引用一下你刚才写的论文里的某一句话吗
[00:04:54 - 00:04:55] 在第一轮实验中
[00:04:55 - 00:04:58] AI组18个人中有15个没有给出正确引用
[00:04:58 - 00:05:02] 这个结果不应外推为所有AI写作场景
[00:05:02 - 00:05:03] 但它确实提醒我们一个风险
[00:05:03 - 00:05:07] 如果我们只是让AI代替自己组织和表达
[00:05:07 - 00:05:08] 任务完成了
[00:05:08 - 00:05:10] 但记忆和理解可能没有留下来
[00:05:10 - 00:05:12] 这就是我们说的认知债
[00:05:12 - 00:05:15] 你今天省下了脑力明天就要用批判性思维来还债
[00:05:15 - 00:05:17] 而且这个债务的利息很高
[00:05:17 - 00:05:20] 因为当你需要用到那些知识的时候
[00:05:20 - 00:05:22] 你发现自己根本没有真正学过
[00:05:22 - 00:05:26] CHI-2026有一项更细的研究
[00:05:26 - 00:05:28] 看的不是用不用AI
[00:05:28 - 00:05:29] 而是什么时候用AI
[00:05:29 - 00:05:32] 研究把参与者分成四种AI访问时机
[00:05:32 - 00:05:36] 一开始可用 全程可用 后半段才可用 完全不用
[00:05:36 - 00:05:40] 同时又区分时间是否充足 结果很微妙
[00:05:40 - 00:05:44] 时间很紧的时候早用AI反而能帮人快速建立框架
[00:05:44 - 00:05:48] 但时间充足的时候一开始就介入AI的人表现更差
[00:05:48 - 00:05:50] 回忆材料也更弱
[00:05:50 - 00:05:52] 换句话说 AI的问题不只是用多少
[00:05:52 - 00:05:56] 而是你是在自己形成判断之前用还是之后用
[00:05:56 - 00:05:57] 这个研究的启示是
[00:05:57 - 00:06:02] 在这项任务里 AI什么时候介入与任务时间是否充足共同决定的效果
[00:06:02 - 00:06:05] 不能只看用了多少AI还要看用的时机
[00:06:05 - 00:06:08] 很多人会觉得既然AI这么危险
[00:06:08 - 00:06:09] 那我是不是不该用
[00:06:09 - 00:06:11] 或者说为了保持学习
[00:06:11 - 00:06:12] 我应该拒绝AI
[00:06:12 - 00:06:14] 其实不是你想的那样
[00:06:14 - 00:06:15] AI不是毒药
[00:06:15 - 00:06:17] 它是一个极其强大的杠杆
[00:06:17 - 00:06:18] 真正的问题在于
[00:06:18 - 00:06:21] 我们默认的使用方式可能不太对
[00:06:21 - 00:06:23] 我们把AI当成了外包团队
[00:06:23 - 00:06:24] 而不是导师
[00:06:24 - 00:06:26] 当你把AI当成外包团队时
[00:06:26 - 00:06:29] 你的角色就变成了任务分配者
[00:06:29 - 00:06:30] 你只需要说
[00:06:30 - 00:06:31] 给我写个登录功能
[00:06:31 - 00:06:32] 然后等着收获
[00:06:32 - 00:06:34] 但当你把AI当成导师时
[00:06:34 - 00:06:36] 你的角色就变成了学习者
[00:06:36 - 00:06:39] 你会问为什么要用JWT而不是Session
[00:06:39 - 00:06:42] 然后根据AI的解释做出自己的判断
[00:06:42 - 00:06:44] 这两种角色的结果完全不一样
[00:06:44 - 00:06:47] 第一种角色你会变成一个prompt的工程师
[00:06:47 - 00:06:48] 只会写指令
[00:06:48 - 00:06:51] 第二种角色你会变成一个AI时代的工程师
[00:06:51 - 00:06:54] 董源里能判断会指导
[00:06:54 - 00:06:56] 我们可以把AI的使用分为三层
[00:06:56 - 00:06:58] 最底层是复制粘贴
[00:06:58 - 00:07:00] 这是最危险的你在积累理解缺口
[00:07:00 - 00:07:04] 你看到AI给出的代码直接复制粘贴提交
[00:07:04 - 00:07:07] 长期只复制粘贴容易积累理解缺口
[00:07:07 - 00:07:08] 你可能能交付代码
[00:07:08 - 00:07:11] 却没有建立足够的调试形式模型
[00:07:11 - 00:07:13] 中间层是概念探索
[00:07:13 - 00:07:16] 你不是直接要代码而是问AI一些概念性的问题
[00:07:16 - 00:07:18] 这个库的核心设计思想是什么
[00:07:18 - 00:07:21] 为什么要用这个API而不是那个
[00:07:21 - 00:07:22] 这个错误通常意味着什么
[00:07:23 - 00:07:24] 这种方式下你在学习
[00:07:24 - 00:07:28] 而且你的学习效率甚至比手工查文档还高
[00:07:28 - 00:07:31] 因为AI可以根据你的理解程度调整解释
[00:07:31 - 00:07:33] 最高层是先思考再求助
[00:07:33 - 00:07:36] 遇到问题先自己想五分钟
[00:07:36 - 00:07:38] 写下你的思路列出你的假设
[00:07:38 - 00:07:39] 然后再去问AI
[00:07:39 - 00:07:42] 这样做的好处是你保留了那些有意的摩擦
[00:07:42 - 00:07:45] 因为摩擦正是学习发生的地方
[00:07:45 - 00:07:47] 当你自己思考过后再看AI的答案
[00:07:47 - 00:07:49] 你会有一种恍然大悟的感觉
[00:07:49 - 00:07:51] 这种感觉就是学习的信号
[00:07:51 - 00:07:54] 而且这种先思考后求助的方式
[00:07:54 - 00:07:55] 还有一个隐藏的好处
[00:07:55 - 00:07:57] 你会问更好的问题
[00:07:57 - 00:07:59] 当你自己思考过后你知道自己卡在哪里了
[00:07:59 - 00:08:01] 你的问题就会更具体
[00:08:01 - 00:08:02] 更有针对性
[00:08:02 - 00:08:04] AI的回答也就会更有价值
[00:08:04 - 00:08:06] 未来的软件工程会变成什么样
[00:08:06 - 00:08:08] AI工具肯定会越来越强
[00:08:08 - 00:08:11] 但他们只管完成任务的默认设计很难改变
[00:08:11 - 00:08:13] 因为这是商业逻辑决定的
[00:08:13 - 00:08:15] 如果你不主动改变使用方式
[00:08:15 - 00:08:18] 我担心的是五年后你可能真的会变成
[00:08:18 - 00:08:21] 一个只会写prompt的操作员
[00:08:21 - 00:08:23] 而且这个转变会发生得很快
[00:08:23 - 00:08:26] 因为当所有人都在用AI快速交付代码时
[00:08:26 - 00:08:27] 你如果还在花时间理解
[00:08:27 - 00:08:29] 就会显得很低效
[00:08:29 - 00:08:30] 但这是一个陷阱
[00:08:30 - 00:08:32] 短期来看你的效率确实低了
[00:08:32 - 00:08:34] 长期来看你的能力在持续提升
[00:08:34 - 00:08:36] 而那些只会写prompt的人
[00:08:36 - 00:08:38] 他们的能力在持续下降
[00:08:38 - 00:08:40] 如果这种工作方式持续下去
[00:08:40 - 00:08:42] 当客户的需求变得更复杂
[00:08:42 - 00:08:44] 更个性化时
[00:08:44 - 00:08:46] 真正值钱的还是那些董员里
[00:08:46 - 00:08:48] 能判断会创新的工程师
[00:08:48 - 00:08:50] 而那些只会写prompt的人
[00:08:50 - 00:08:53] 就会发现自己无可替代的价值在消失
[00:08:53 - 00:08:56] 所以掌握正确的AI使用方式的工程师
[00:08:56 - 00:08:57] 会获得竞争优势
[00:08:57 - 00:08:59] 而且这个优势会越来越大
[00:08:59 - 00:09:01] 不是AI必然削弱你的能力
[00:09:01 - 00:09:03] 而是默认的使用方式
[00:09:03 - 00:09:04] 可能让你错过学习
[00:09:04 - 00:09:05] 不要把你的学习外包给AI
[00:09:05 - 00:09:07] 保留那些有意的摩擦
[00:09:07 - 00:09:09] 因为摩擦正是学习发生的地方
[00:09:09 - 00:09:10] 那么问题来了
[00:09:10 - 00:09:12] 你平时用AI写代码
[00:09:12 - 00:09:15] 是提问多还是无脑过多
[00:09:15 - 00:09:17] 把你的真实情况打在公屏上
[00:09:17 - 00:09:19] 如果你觉得这些视频对你有启发
[00:09:19 - 00:09:20] 别忘了一键三连
[00:09:20 - 00:09:22] 我是为什么叫QQ
[00:09:22 - 00:09:23] 我们下期见
