BV号：BV1QJkcYTEfQ
标题：BV1QJkcYTEfQ
链接：https://www.bilibili.com/video/BV1QJkcYTEfQ
识别语言：zh
语言置信度：1
分段数：357
生成时间：2026-08-31 01:44:29

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 上周的最后一个交易日
[00:01:19 - 00:01:20] 他就果斷出手
[00:01:20 - 00:01:22] 以3000萬美金從英飛靈手中
[00:01:22 - 00:01:25] 買下了5G綠波器B.A.W.E.A.W
[00:01:25 - 00:01:27] 這在當時看起來就像是一場豪賭
[00:01:27 - 00:01:29] 但是隨著5G時代的到來
[00:01:29 - 00:01:31] 安華高憑藉著此舉
[00:01:31 - 00:01:34] 讀罷了高端B.A.W市場80%以上的份額
[00:01:34 - 00:01:37] 讓所有人都見識到了它的獨道眼光
[00:01:37 - 00:01:38] 在後續的幾年裡
[00:01:38 - 00:01:40] 陳福陽繼續揮舞著併購的大棒
[00:01:40 - 00:01:42] 不斷擴充安華高的版圖
[00:01:42 - 00:01:43] 2009年
[00:01:43 - 00:01:46] 安華高科技成功在納斯達克上市
[00:01:46 - 00:01:48] 2011年到2015年期間
[00:01:48 - 00:01:51] 先後收購了林華英光學龍頭
[00:01:51 - 00:01:53] Syoptix存儲公司LSI
[00:01:53 - 00:01:55] 光線領域的Emilex
[00:01:55 - 00:01:56] PLX等公司
[00:01:56 - 00:01:58] 2015年对博通的收购
[00:01:58 - 00:02:01] 则更像是一场舌吞象的操作
[00:02:01 - 00:02:04] 当时安华高市值仅仅360多亿美元
[00:02:04 - 00:02:07] 而博通的收入几乎是安华高同期的一倍
[00:02:07 - 00:02:08] 名声也更大
[00:02:08 - 00:02:12] 要知道这种形式的收购本身风险就很大
[00:02:12 - 00:02:13] 失败的案例极多
[00:02:13 - 00:02:14] 比如说英特尔
[00:02:14 - 00:02:16] 但是陈富阳不一样
[00:02:16 - 00:02:18] 为了防止收购后机构过于拥重
[00:02:18 - 00:02:20] 他经常手起刀落砍掉边缘部门
[00:02:20 - 00:02:23] 最后落得了一个无情的裁员手的名号
[00:02:23 - 00:02:25] 收购完成之后
[00:02:25 - 00:02:28] 安华高在芯片领域的实力得到了进一步的增强
[00:02:28 - 00:02:32] 尤其是在移动数据中心以及物联网等领域的通信芯片行业
[00:02:32 - 00:02:33] 地位显著提升
[00:02:33 - 00:02:37] 2017年 新博通又以59亿美元拿下了博科
[00:02:37 - 00:02:40] 巩固了在散交换机领域的领导地位
[00:02:40 - 00:02:43] 至此在交换机路由器的核心芯片领域
[00:02:43 - 00:02:44] 博通几乎无人能抵
[00:02:44 - 00:02:47] 然而 陈富扬的野心并未就此止步
[00:02:47 - 00:02:50] 同年他盯上了芯片领域的巨头高通
[00:02:50 - 00:02:53] 试图一千三百亿美金强行的收购
[00:02:53 - 00:02:55] 高通當時雖然麻煩纏身
[00:02:55 - 00:02:57] 陷入了與蘋果的訴訟糾紛
[00:02:57 - 00:02:59] 以及歐洲的反壟斷調查
[00:02:59 - 00:03:03] 但是博通看中了高通大量的移動芯片專利技術
[00:03:03 - 00:03:06] 以及對於未來5G無限業務的巨大潛力
[00:03:06 - 00:03:07] 如果收購成功
[00:03:07 - 00:03:11] 博通將在有限和無限整個網絡領域成為超級舉無霸
[00:03:11 - 00:03:12] 無人能夠抗衡
[00:03:12 - 00:03:16] 但是這個行動遭到了高通管理層的強烈反對
[00:03:16 - 00:03:19] 最終 時任美國總統的特朗普
[00:03:19 - 00:03:21] 以安全原因阻止了這筆交易
[00:03:21 - 00:03:23] 而中國在反壟斷審查的時候
[00:03:23 - 00:03:24] 也拖延了許久
[00:03:24 - 00:03:27] 國內相關產業的企業更是聯名上書反對
[00:03:27 - 00:03:29] 這次收購受挫之後
[00:03:29 - 00:03:33] 博通意識到外國公司的身份對於收購策略的阻礙
[00:03:33 - 00:03:36] 於是將總部從新加坡簽到了美國
[00:03:36 - 00:03:37] 收購高通失敗之後
[00:03:37 - 00:03:41] 陳富陽將目光轉向了利潤率更高的軟體領域
[00:03:41 - 00:03:45] 2018年博通以190億米金收購了美國軟體企業
[00:03:45 - 00:03:46] C.A.Technologies
[00:03:46 - 00:03:50] 2019年又以107億美金收購了美國網絡安全公司
[00:03:50 - 00:03:51] 塞門鐵克
[00:03:51 - 00:03:53] 不過半年後又賣給了埃森哲
[00:03:53 - 00:03:55] 2023年博通再次出手
[00:03:55 - 00:03:58] 以610亿美金收购了云计算巨头VNVAN
[00:03:58 - 00:04:00] 通过这一系列的并购
[00:04:00 - 00:04:02] 博通已经不再是单纯的芯片公司了
[00:04:02 - 00:04:04] 而是成功转型为
[00:04:04 - 00:04:05] 从芯片到网络
[00:04:05 - 00:04:08] 再到云计算服务的多元化巨头
[00:04:08 - 00:04:10] 如今的博通通过多年的并购整合
[00:04:10 - 00:04:12] 形成了两大核心业务本块
[00:04:12 - 00:04:14] 半导体解决方案业务
[00:04:14 - 00:04:16] 营收约为301亿美元
[00:04:16 - 00:04:19] 基础设施软件业务营收约为215亿美元
[00:04:19 - 00:04:21] 合计达到516亿美元
[00:04:21 - 00:04:28] 其中半导体业务涵盖了人工智能芯片、交换机芯片、存储服器、网络通信等等众多的产品
[00:04:28 - 00:04:33] 人工智能的相关收入更是同比暴涨2%达到了122亿美元
[00:04:33 - 00:04:38] 这主要得益于其领先的AIXPU和以太网网络的产品组合
[00:04:38 - 00:04:41] 而这次博通占上了万亿美金市值
[00:04:41 - 00:04:42] 除了业绩好以外
[00:04:42 - 00:04:47] 还主要在于博通在2007年的AI收入方面给出了极高的预期
[00:04:47 - 00:04:50] 目标为600-900亿美金的可服务目标市场
[00:04:50 - 00:04:53] 而且明确表示这个口径还只是计算了
[00:04:53 - 00:04:56] 现有三大客户可能获得的收入机会
[00:04:56 - 00:04:58] 这个目标可以说是远超市场的预期
[00:04:58 - 00:05:01] 意味着从2024年到2027年
[00:05:01 - 00:05:04] AI的收入包括ASIC芯片和网络
[00:05:04 - 00:05:05] 几乎每年都要翻发
[00:05:05 - 00:05:07] 受到影响
[00:05:07 - 00:05:09] 不同的股价在消息公布之后硬生暴涨
[00:05:09 - 00:05:12] 一天之内市值增加了2000多亿美金
[00:05:12 - 00:05:14] 折合人民币1.4万多亿元
[00:05:14 - 00:05:17] 比大A所有半导体公司的市值总和
[00:05:17 - 00:05:18] 还有多出一倍不止
[00:05:18 - 00:05:21] 那為什麼大家願意相信博通的預期呢?
[00:05:21 - 00:05:23] 是因為在之前的整合收購方面
[00:05:23 - 00:05:25] 博通已經展現出了卓越的能力
[00:05:25 - 00:05:27] 以收購VNVL為例
[00:05:27 - 00:05:29] 陳富陽在併購之後
[00:05:29 - 00:05:31] 核心崗位依舊由原本專業的人員負責
[00:05:31 - 00:05:33] 他不會過度去干預業務
[00:05:33 - 00:05:36] 卻保了併購企業核心團隊的穩定性
[00:05:36 - 00:05:37] 保障了他們的利益
[00:05:37 - 00:05:41] 同時他果斷砍掉或者出售非核心不盈利的部門
[00:05:41 - 00:05:43] 對核心業務則全力支持
[00:05:43 - 00:05:46] VNVL原本有8000個產品SKO
[00:05:46 - 00:05:49] 在博通的整合下被精建為四種核心的產品組合
[00:05:49 - 00:05:51] 銷售隊伍得到加強
[00:05:51 - 00:05:53] 渠道衝突得以消除
[00:05:53 - 00:05:57] 此外 博通將所有併購回來的產品進行了優化組合
[00:05:57 - 00:05:59] 形成了豐富而且具有競爭力的產品體系
[00:05:59 - 00:06:02] 同時主要集中在半導體定制化解決方案
[00:06:02 - 00:06:05] 以及基建軟件兩大業務上
[00:06:05 - 00:06:06] 獲得了廣大客戶的認可
[00:06:06 - 00:06:09] 產品與產能都十分的穩健
[00:06:09 - 00:06:12] 這種整合能力不僅體現在業務優化上
[00:06:12 - 00:06:14] 還在財務方面帶來了顯著的優勢
[00:06:14 - 00:06:17] 收購後新資產很快就提升了公司的盈利能力
[00:06:17 - 00:06:19] 吸引了資本方的青睞
[00:06:19 - 00:06:22] 使得博通融資和籌資的渠道順暢無阻
[00:06:22 - 00:06:26] 例如在安華高併購博通的370億美元交易中
[00:06:26 - 00:06:29] 陳福揚僅僅讓安華高拿出了10億美元
[00:06:29 - 00:06:33] 其餘資金都是通過借債或者股權換購等方式籌集而來的
[00:06:33 - 00:06:37] 同時憑借著博通在成本控制方面的優勢
[00:06:37 - 00:06:40] 在併購重組過程中大幅降低了銷售與營銷成本
[00:06:40 - 00:06:43] 研發成本以及一系列的重組成本
[00:06:43 - 00:06:45] 实现了企业的精细化运营
[00:06:45 - 00:06:49] 这一系列的举措又进一步放大了公司平台的价值和操作空间
[00:06:49 - 00:06:52] 为博通的持续发展提供了坚实的财务保障
[00:06:52 - 00:06:55] 我们再来重点说一说博通的AI ASIC业务
[00:06:55 - 00:06:58] 尤其是它与通用处理器之间的博弈关系
[00:06:58 - 00:07:00] 深刻的影响着整个行业的格局
[00:07:00 - 00:07:03] 首先我们先来了解一下ASIC的概念
[00:07:03 - 00:07:05] ASIC及专用集成电路
[00:07:05 - 00:07:07] 从狭义竞品的角度来看
[00:07:07 - 00:07:09] 对应的应该是IPGA
[00:07:09 - 00:07:11] 从广义竞评的角度来看
[00:07:11 - 00:07:13] 则涵盖了所有的通用集成电路
[00:07:13 - 00:07:15] 比如说CPU等等
[00:07:15 - 00:07:18] FPGA也就是现场可编程门阵列
[00:07:18 - 00:07:19] 它最大的好处是
[00:07:19 - 00:07:21] 客户可以通过Cautus软件
[00:07:21 - 00:07:24] 对芯片的内部配置数据进行重新的编程
[00:07:24 - 00:07:26] 重新定义芯片的各个功能区块
[00:07:26 - 00:07:29] 使它能在不同的领域发挥作用
[00:07:29 - 00:07:30] 比如说作为图像处理器
[00:07:30 - 00:07:31] 音频控制器
[00:07:31 - 00:07:33] 信号调制解调器
[00:07:33 - 00:07:34] 内存控制器
[00:07:34 - 00:07:35] 工业设备核心芯片
[00:07:35 - 00:07:37] 机器人处理器
[00:07:37 - 00:07:39] 甚至用来加速神经网络等等
[00:07:39 - 00:07:45] 因此在工業、汽車、機器人、通信、消費、AI、航天軍工等行業運用廣泛
[00:07:45 - 00:07:49] 目前,IPJ行業格局呈現出兩大一小的態勢
[00:07:49 - 00:07:52] 兩大巨頭分別是塞林斯和阿爾特拉
[00:07:52 - 00:07:55] 如今分別屬於AMD和英特爾
[00:07:55 - 00:07:57] 一小指的是萊迪斯
[00:07:57 - 00:08:01] 此外還有Aktel、Achronix、微星等國外企業
[00:08:01 - 00:08:06] 以及復旦威電子、安路科技、高雲、智多星、華為、紫光同創
[00:08:06 - 00:08:08] 经为其力等国内知名企业
[00:08:08 - 00:08:10] 但是在高端IPGA上
[00:08:10 - 00:08:13] 国内仍然距离国外有较大的差距
[00:08:13 - 00:08:15] IPGA的基本商业逻辑在于
[00:08:15 - 00:08:17] 当客户用量不大
[00:08:17 - 00:08:19] 需要灵活可部署的产品
[00:08:19 - 00:08:22] 同时自行研发芯片的成本过高的时候
[00:08:22 - 00:08:25] IPGA的可编程特性就成为了理想的选择
[00:08:25 - 00:08:28] 但是由于它的功能是通过编程捏出来的
[00:08:28 - 00:08:29] 性能有限
[00:08:29 - 00:08:32] 一旦超出了范围就无法满足需求
[00:08:32 - 00:08:35] 比方说在ATE自动测试设备研发的早期
[00:08:35 - 00:08:38] 量小而且对芯片性能要求不高的时候
[00:08:38 - 00:08:40] IPJ可以胜任
[00:08:40 - 00:08:42] 但是当频率达到800MHz的时候
[00:08:42 - 00:08:44] 就接近了IPJ的极限
[00:08:44 - 00:08:46] 如果要开发性能卓越
[00:08:46 - 00:08:47] 超过一GHz的产品
[00:08:47 - 00:08:51] 比如说对比艾德万经典的机型93K
[00:08:51 - 00:08:53] 就必须采用专用的ASIC芯片
[00:08:53 - 00:08:57] 因此当客户需求上量或者说对性能要求提高
[00:08:57 - 00:09:00] 而且有足够的资金投入到研发的时候
[00:09:00 - 00:09:02] 往往就会放弃IPJ的方案
[00:09:02 - 00:09:04] 转而研发高端的ASIC专用芯片
[00:09:04 - 00:09:08] 不过 研发一款专用ASIC芯片的成本高啊
[00:09:08 - 00:09:10] 只有在客户确实有需求
[00:09:10 - 00:09:13] 而且具备相应资金实力的时候才会考虑
[00:09:13 - 00:09:16] 这就是ASIC和IPGA在商业上的竞争逻辑关系
[00:09:16 - 00:09:19] 与ASIC相对的通用处理器
[00:09:19 - 00:09:22] 比如说GPU、GPGPU和CPU等等
[00:09:22 - 00:09:24] 它们加上操作系统之后
[00:09:24 - 00:09:26] 可以广泛地用在各种场景中
[00:09:26 - 00:09:30] 但是ASIC则是针对于特定客户的特定功能和任务开发的
[00:09:30 - 00:09:31] 无法通用
[00:09:31 - 00:09:33] 从广义概念上讲
[00:09:33 - 00:09:36] 所有的专用芯片都可以称为ASIC芯片
[00:09:36 - 00:09:38] 比如说专用的蓝牙芯片
[00:09:38 - 00:09:38] WiFi芯片
[00:09:38 - 00:09:39] DSP
[00:09:39 - 00:09:41] 编解码芯片等等
[00:09:41 - 00:09:42] 以谷歌为例
[00:09:42 - 00:09:43] 我们可以更清楚的看到
[00:09:43 - 00:09:45] AI ASIC芯片发展背后的逻辑
[00:09:45 - 00:09:48] 谷歌为了与拆的GTBT竞争
[00:09:48 - 00:09:50] 需要运行自己的Zamnite模型
[00:09:50 - 00:09:51] 如果使用英伟达的GPU
[00:09:51 - 00:09:52] 不仅成本高昂
[00:09:52 - 00:09:54] 而且难以拉开差距
[00:09:54 - 00:09:56] 容易陷入到算力的军备竞赛中
[00:09:56 - 00:09:58] 更何况英伟达的GPU供应
[00:09:58 - 00:09:59] 一直相当的紧张
[00:09:59 - 00:10:02] 因此谷歌决定自主研发芯片
[00:10:02 - 00:10:03] 这样做的好处有几点
[00:10:03 - 00:10:06] 首先可以摆脱对英伟达枯大的依赖
[00:10:06 - 00:10:09] 从而避免被英伟达在技术上束缚
[00:10:09 - 00:10:11] 其次开发一款专用的芯片
[00:10:11 - 00:10:15] 只需要满足自身算法系统和模型的运行需求即可
[00:10:15 - 00:10:18] 最后只需要确保芯片的成本低于英伟达的GPU
[00:10:18 - 00:10:21] 那么就可以在竞争中获得成本优势
[00:10:21 - 00:10:24] 然而自主研发芯片的成本极高
[00:10:24 - 00:10:26] 于是谷歌选择与博通合作
[00:10:26 - 00:10:27] 谷歌提出芯片的需求
[00:10:27 - 00:10:30] 博通凭借其经验丰富的IC设计团队
[00:10:30 - 00:10:32] 和庞大的IP资源
[00:10:32 - 00:10:33] 协助开发新款的TPU
[00:10:33 - 00:10:35] 并且负责留片等等工作
[00:10:35 - 00:10:38] 这种模式其实在行业内并不罕见
[00:10:38 - 00:10:39] 除了博通以外
[00:10:39 - 00:10:41] 马威尔也提供类似的服务
[00:10:41 - 00:10:43] 比如说微软就与马威尔有合作的意向
[00:10:43 - 00:10:45] 而且据说机会还很大
[00:10:45 - 00:10:48] 此外也有像圣科通信这种负责前端设计
[00:10:48 - 00:10:51] 由马威尔负责后端布线设计
[00:10:51 - 00:10:53] 并且协调产能留片的模式
[00:10:53 - 00:10:54] 总的来说这种商业逻辑
[00:10:54 - 00:10:57] 其实以软件的外包服务模式类似
[00:10:57 - 00:10:59] 但是芯片的研发流程更为复杂
[00:10:59 - 00:11:00] 分工更细
[00:11:01 - 00:11:01] 除了谷歌以外
[00:11:01 - 00:11:02] Meta 字节
[00:11:02 - 00:11:04] 腾讯等等互联网大厂
[00:11:04 - 00:11:05] 甚至是OpenI
[00:11:05 - 00:11:07] 也不排除这种合作模式
[00:11:07 - 00:11:08] 如果OpenI认为
[00:11:08 - 00:11:10] 英伟达的GPU定价过高
[00:11:10 - 00:11:13] 而且自身有能力摆脱对于枯大的依赖
[00:11:13 - 00:11:15] 很可能也会效仿谷歌
[00:11:15 - 00:11:16] 开发自己的专用芯片
[00:11:16 - 00:11:18] 这些对算力有巨大需求的公司
[00:11:18 - 00:11:21] 其实都希望既能够降低成本
[00:11:21 - 00:11:22] 摆脱英伟达的束缚
[00:11:22 - 00:11:23] 同时又能够确保芯片
[00:11:23 - 00:11:25] 满足自身的特定算法系统
[00:11:25 - 00:11:27] 和模型的运行需求
[00:11:27 - 00:11:28] 于是选择与博通
[00:11:29 - 00:11:31] 經驗豐富的芯片設計公司合作
[00:11:31 - 00:11:33] 也就是自然的順理成章了
[00:11:33 - 00:11:35] 而在高端的算力領域
[00:11:35 - 00:11:37] 英偉達長期佔據著主導地位
[00:11:37 - 00:11:40] 一系列GPU在高端算力市場份額高達97%
[00:11:41 - 00:11:43] 英偉達的強大遠於多方面的因素
[00:11:43 - 00:11:45] 包括其GPU性能卓越
[00:11:45 - 00:11:47] 遠超英特爾和AMD
[00:11:47 - 00:11:49] 庫大的生態系統經過了十年的發展
[00:11:49 - 00:11:50] 也已經非常成熟
[00:11:50 - 00:11:52] 為開發者提供了極大的便利
[00:11:53 - 00:11:55] 此外,NVLink技術則是另一個大殺氣
[00:11:56 - 00:11:58] NVLink是英偉達與2016年開發的
[00:11:58 - 00:11:59] 专用网络协议
[00:11:59 - 00:12:02] 4.0版本的速度几乎是传统PCIE
[00:12:02 - 00:12:03] 净5标准的三倍多
[00:12:03 - 00:12:05] 在多GPU系统中
[00:12:05 - 00:12:06] 比如说深度学习模型
[00:12:06 - 00:12:07] 训练场景下
[00:12:07 - 00:12:09] 能够实现GPU之间
[00:12:09 - 00:12:12] 以及GPU和CPU之间的高速数据共享
[00:12:12 - 00:12:13] 大幅加速计算任务执行
[00:12:13 - 00:12:16] 提高病情计算的效率和能效比
[00:12:16 - 00:12:18] 增强系统的灵活性与扩展性
[00:12:18 - 00:12:20] 可以说GPU加库达加NVLink
[00:12:20 - 00:12:23] 构成了英伟达帝国的三大王牌
[00:12:23 - 00:12:26] 然而博通如今却成为了英伟达的有力挑战者
[00:12:26 - 00:12:29] 在协助客户开发专用ESAC芯片方面
[00:12:29 - 00:12:30] 博通具有独特的优势
[00:12:30 - 00:12:33] 无论客户需要什么类型的专用芯片
[00:12:33 - 00:12:36] 比如说TPU、LPU或者是其他的XPU
[00:12:36 - 00:12:39] 只要客户能够清楚地定义需求
[00:12:39 - 00:12:40] 博通就能够协助开发
[00:12:40 - 00:12:43] 在客户不需要通用处理器的权能性
[00:12:43 - 00:12:47] 只关注于自身算法、系统和模型运行的情况下
[00:12:47 - 00:12:49] 枯大的兼容性也不再是一个必要的条件
[00:12:49 - 00:12:53] 而且博通在打通网络软硬件的方面也是经验丰富
[00:12:53 - 00:12:55] 在超过每秒50G的SERDES
[00:12:55 - 00:12:58] 也就是串形器解串器的市场中
[00:12:58 - 00:13:00] 博通占据了76%的份额
[00:13:00 - 00:13:03] 虽然目前的每秒50G的速度可能不太够
[00:13:03 - 00:13:06] 但是博通有能力开发更高速度的产品
[00:13:06 - 00:13:09] 比如说112G 甚至224G的产品
[00:13:09 - 00:13:10] 这就意味着
[00:13:10 - 00:13:14] 博通能够为客户提供类似于NVLink加麦洛斯的方案
[00:13:14 - 00:13:15] 满足客户自言XPU
[00:13:15 - 00:13:18] 加超高速互联集群服务器的需求
[00:13:18 - 00:13:21] 所以呢博通如今万一事实的规模
[00:13:21 - 00:13:24] 市场其实是有点把它对比较应为达来给的
[00:13:24 - 00:13:27] 随着博通等公司在AI ASIC领域的崛起
[00:13:27 - 00:13:28] 我们似乎看到
[00:13:28 - 00:13:31] 高端算理时代来到了一个关键的转折点
[00:13:31 - 00:13:33] 研究机构罗森·布拉特预计
[00:13:33 - 00:13:37] 客户定制化的AI ASIC增速将超过GPU计算
[00:13:37 - 00:13:39] 这个趋势很可能对英伟达构成挑战
[00:13:39 - 00:13:43] 客户如果更多的选择定制的AI ASIC芯片
[00:13:43 - 00:13:46] 那么购买英伟达GPU的客户可能就会减少
[00:13:46 - 00:13:48] 英伟达也将面临是否要降价
[00:13:48 - 00:13:52] 是否要进入AI ASIC定制业务等等艰难的决策
[00:13:52 - 00:13:53] 而对于博通来说
[00:13:53 - 00:13:56] AI ASIC定制化模式的發展空間巨大
[00:13:56 - 00:13:58] 只要客戶需求持續的存在
[00:13:58 - 00:14:01] 博通就能夠在這個領域持續的獲利
[00:14:01 - 00:14:03] 而且像馬威爾等具備類似能力的公司
[00:14:03 - 00:14:05] 也有望從中分得一杯羹
[00:14:05 - 00:14:08] 最後對國外科技市場感興趣的朋友
[00:14:08 - 00:14:11] 建議可以重點關注一下這個領域和相關的公司
[00:14:11 - 00:14:12] 也許有一些不錯的機會
[00:14:12 - 00:14:15] 但是對於國內A股市場就不要考慮了
[00:14:15 - 00:14:16] 小心被割韭菜
[00:14:16 - 00:14:17] 感謝大家的觀看
[00:14:17 - 00:14:18] 我們下期再見
