BV号：BV1iDQvBdEZH
标题：BV1iDQvBdEZH
链接：https://www.bilibili.com/video/BV1iDQvBdEZH
识别语言：zh
语言置信度：1
分段数：199
生成时间：2026-08-29 16:56:34

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 如果你的孩子问你
[00:02:52 - 00:02:54] 第二个方向非常实在
[00:02:54 - 00:02:57] Ped AI的创始人Manny有四个孩子
[00:02:57 - 00:03:00] 他死磕着让大儿子去了一家搞核能的公司
[00:03:00 - 00:03:03] 又让小儿子去学了极度危险的合衣学
[00:03:03 - 00:03:05] 用放射性物质治癌症
[00:03:05 - 00:03:06] 他为什么要干这种苦差事
[00:03:06 - 00:03:08] 因为他看透了AI的死穴
[00:03:08 - 00:03:10] AI没有肉身
[00:03:10 - 00:03:11] 不管大木星再聪明
[00:03:11 - 00:03:13] 他要运转就得耗电
[00:03:13 - 00:03:14] 他解决不了能源危机
[00:03:14 - 00:03:16] 人类活的再久也会生病流血
[00:03:16 - 00:03:18] AI没法替你吃药做手术
[00:03:18 - 00:03:20] 凡是跟真实的物理世界
[00:03:20 - 00:03:23] 跟人类的生老病死死绑在一起的东西
[00:03:23 - 00:03:26] AI在可见的未来里连边都摸不到
[00:03:26 - 00:03:28] 所以它建议小一点的孩子
[00:03:28 - 00:03:30] 去保护环境 去照顾动物
[00:03:30 - 00:03:31] 去帮助弱势群体
[00:03:31 - 00:03:33] 这些需要在泥地里打滚
[00:03:33 - 00:03:35] 需要亲手去安抚伤痛的事情
[00:03:35 - 00:03:37] 永远需要真正的人来做
[00:03:37 - 00:03:39] 很多人会觉得既然AI啥都能干
[00:03:39 - 00:03:42] 那以后是不是连书都不用读了
[00:03:42 - 00:03:44] 沃顿商学院的教授和微软高管
[00:03:44 - 00:03:46] 给出了完全相反的答案
[00:03:46 - 00:03:49] 不仅要读 还要读那些看似没用的书
[00:03:49 - 00:03:51] 比如哲学 历史 文学
[00:03:51 - 00:03:52] 为什么
[00:03:52 - 00:03:54] 因为人在成长中需要经历摩擦
[00:03:54 - 00:03:56] 什么叫摩擦
[00:03:56 - 00:03:57] 遇到一个两难的道德问题
[00:03:57 - 00:03:58] 你想的头疼
[00:03:58 - 00:04:00] 跟人吵架你气的发抖
[00:04:00 - 00:04:01] 读懂一段沉重的历史
[00:04:01 - 00:04:02] 你陷入深思
[00:04:02 - 00:04:04] 这些都是摩擦
[00:04:04 - 00:04:06] 现在的人太追求盛华了
[00:04:06 - 00:04:08] 有问题直接问AI秒出答案
[00:04:08 - 00:04:10] 但如果没有这些思维上的摩擦
[00:04:10 - 00:04:13] 孩子就会变成指挥张嘴等违反的傻子
[00:04:13 - 00:04:16] 只有在那些没有标准答案的人文领域里
[00:04:16 - 00:04:17] 痛苦挣扎过
[00:04:17 - 00:04:19] 孩子才能长出属于自己的思想肌肉
[00:04:19 - 00:04:21] 才能知道AI给出的答案
[00:04:21 - 00:04:23] 到底是悲鸣还是冷血的
[00:04:23 - 00:04:24] 其实看到这里
[00:04:24 - 00:04:26] 我们应该看清一个残酷的真相了
[00:04:26 - 00:04:29] 我们这代人习惯了工业时代的规矩
[00:04:29 - 00:04:31] 谁像机器一样高效不出错
[00:04:31 - 00:04:33] 不抱怨谁就能赚到钱
[00:04:33 - 00:04:34] 所以我们潜意识里
[00:04:34 - 00:04:36] 也想把孩子培养成更高级的机器
[00:04:36 - 00:04:38] 但时代变了
[00:04:38 - 00:04:39] 现在真正的机器
[00:04:39 - 00:04:40] 比你高效一万倍
[00:04:40 - 00:04:41] 且不要工资
[00:04:41 - 00:04:42] Antropic的总裁
[00:04:42 - 00:04:45] 丹尼拉说了一段非常动人的话
[00:04:45 - 00:04:47] 他说他会让孩子多去社交
[00:04:47 - 00:04:48] 因为归根结底
[00:04:48 - 00:04:50] 人类就是喜欢和同类待在一起
[00:04:50 - 00:04:53] 你算数算不过 AI 画图画不过 AI
[00:04:53 - 00:04:55] 但你有一个 AI 永远没有的优势
[00:04:55 - 00:04:59] 你是一个会犯错 有感情 会流泪的活人
[00:04:59 - 00:05:00] 停下来想一想
[00:05:00 - 00:05:01] 过去一年里
[00:05:01 - 00:05:03] 你是因为效率不够高 感到痛苦
[00:05:03 - 00:05:05] 还是因为没人理解你感到痛苦
[00:05:05 - 00:05:07] 觉得是前者的扣一 后者的扣二
[00:05:07 - 00:05:09] 如果要把高管们的智慧
[00:05:09 - 00:05:12] 浓缩成普通家庭可以直接用的法则
[00:05:12 - 00:05:13] 那就一句话
[00:05:13 - 00:05:16] 放弃工具内卷,扎下人类的毛。
[00:05:16 - 00:05:20] 下一代人要在世界立足,不需要成为全知全能的超人。
[00:05:20 - 00:05:22] 但必须具备三个核心特质。
[00:05:22 - 00:05:28] 第一要有极强的同理心,能听懂别人话里的言外之意,能安抚别人的情绪。
[00:05:28 - 00:05:31] 未来的服务业管理港拼的都是情绪价值。
[00:05:31 - 00:05:36] 第二要有现实的生存手艺,要么你能搞定复杂的机器设备,
[00:05:36 - 00:05:39] 要么你能处理复杂的人际纠纷,脚要踩在泥土里。
[00:05:39 - 00:05:42] 第三要有判断对错的道德底线。
[00:05:42 - 00:05:45] 当AI把几十种方案摆在面前时
[00:05:45 - 00:05:48] 你需要知道选哪一个才是不作恶对人类有益的
[00:05:48 - 00:05:49] AI负责怎么做
[00:05:49 - 00:05:52] 而人负责决定做什么和为什么做
[00:05:52 - 00:05:55] 很多人担心如果工作都被AI抢了
[00:05:55 - 00:05:56] 人活着还有什么价值
[00:05:56 - 00:05:58] AI大佬们并不悲观
[00:05:58 - 00:06:00] 因为人类天生就有一种冲动
[00:06:00 - 00:06:02] 我们想要创造 想要折腾
[00:06:02 - 00:06:03] 哪怕过程很辛苦
[00:06:03 - 00:06:04] 我们也想说那种
[00:06:04 - 00:06:06] 把一个想法变成现实的成就感
[00:06:06 - 00:06:10] 未来的事业可能不再是为了换取一口饭吃
[00:06:10 - 00:06:12] 而是去解决人与人之间的不平等
[00:06:12 - 00:06:16] 去探索未知 去創造藝術 去陪伴那些孤獨的人
[00:06:16 - 00:06:18] 你看這件事不是因為AI幹不了
[00:06:18 - 00:06:20] 而是因為這本來就是我們生兒為人的意義
[00:06:20 - 00:06:23] 最後用一句話總結我們今天的內容
[00:06:23 - 00:06:26] 不要教孩子去和機器比誰更像機器
[00:06:26 - 00:06:29] 要教他們在這個被算法包圍的世界裡
[00:06:29 - 00:06:32] 如何做一個純粹的勇敢有溫度的人
[00:06:32 - 00:06:34] 這也是那些站在AI巔峰的高管們
[00:06:34 - 00:06:37] 給自己孩子留下的最寶貴的一筆財富
[00:06:37 - 00:06:40] 如果你覺得這些內容讓你看清了一些真相
[00:06:40 - 00:06:42] 或者放下了对下一代的盲目焦虑
[00:06:42 - 00:06:45] 请务必给一个一键三连
[00:06:45 - 00:06:46] 最后一个问题
[00:06:46 - 00:06:49] 如果你现在有大把的时间不用去打工
[00:06:49 - 00:06:50] 你最想做的一件毫无效率
[00:06:50 - 00:06:51] 但有意义的事是什么
[00:06:51 - 00:06:53] 把你的答案留在评论区
[00:06:53 - 00:06:55] 我们在那里接着聊
[00:06:55 - 00:06:56] 下期见
