BV号：BV13aAxeZEbj
标题：BV13aAxeZEbj
链接：https://www.bilibili.com/video/BV13aAxeZEbj
识别语言：zh
语言置信度：1
分段数：301
生成时间：2026-08-30 12:58:57

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:03] 就在18日的下午
[00:02:50 - 00:02:53] 而且能够适应多种场景的吸收注意力机制
[00:02:53 - 00:02:54] 就破在眉睫了
[00:02:54 - 00:02:57] 而NSA正是在这样的背景下诞生的
[00:02:57 - 00:03:00] DeepSig推出NSA主要是希望解决两大问题
[00:03:00 - 00:03:03] 一是事后吸收化导致的性能退化
[00:03:03 - 00:03:06] 比如说预训练模型的减锁头容易被减肢
[00:03:06 - 00:03:07] 二是现有的吸收方法
[00:03:07 - 00:03:10] 难以应对常序列训练的效率需求
[00:03:10 - 00:03:11] 存在着非可训练组件
[00:03:11 - 00:03:13] 和低效反向传播等等问题
[00:03:13 - 00:03:16] 足来了高效训练和长上下文模型的发展
[00:03:16 - 00:03:19] ASA的设计十分巧妙
[00:03:19 - 00:03:20] 它有三大核心组件
[00:03:20 - 00:03:22] 分别是动态分层吸收策略
[00:03:22 - 00:03:23] 粗利度token压缩
[00:03:23 - 00:03:25] 以及细利度token选择
[00:03:25 - 00:03:27] 这三个组件相互的配合
[00:03:27 - 00:03:29] 就像一个精密的齿轮系统
[00:03:29 - 00:03:31] 共同推动着NSA的高效运转
[00:03:31 - 00:03:34] 与此同时NSA还做了两大创新
[00:03:34 - 00:03:34] 分别是
[00:03:34 - 00:03:37] 算数强度平衡的算法设计与硬件优化
[00:03:37 - 00:03:39] 以及支持端道端可训练
[00:03:39 - 00:03:42] 这意味着它不仅在推理阶段十分高效
[00:03:42 - 00:03:44] 还能减少预训量的计算量
[00:03:44 - 00:03:45] 同时不牺牲模型的性能
[00:03:45 - 00:03:47] 应该说 六文中最重要的
[00:03:47 - 00:03:49] 就是这张NSA的架构概览
[00:03:49 - 00:03:51] 在左侧NSA将输入序列
[00:03:51 - 00:03:54] 通过三个并行的注意力分支进行处理
[00:03:54 - 00:03:55] 分别是压缩注意力
[00:03:55 - 00:03:58] 选择性注意力和滑动窗口注意力
[00:03:58 - 00:03:59] 右侧是对每个分支
[00:03:59 - 00:04:02] 产生的不同注意力模式的可视化
[00:04:02 - 00:04:03] 绿色区域表示需要计算
[00:04:03 - 00:04:04] 注意力分数的区域
[00:04:04 - 00:04:07] 而白色区域表示可以跳过的区域
[00:04:07 - 00:04:08] 我们先来看压缩注意力
[00:04:08 - 00:04:10] 它通过将键和直
[00:04:10 - 00:04:11] 聚合成QuartBlock
[00:04:11 - 00:04:14] 表示来捕捉粗利度的语异信息
[00:04:14 - 00:04:16] 并且对每个框内的所有token进行聚合
[00:04:16 - 00:04:19] 再通过一个带有位置编码的可学习mlp
[00:04:19 - 00:04:23] 将一个框内的信息融合成一个单一的压缩表示
[00:04:23 - 00:04:26] 这种方法不仅捕捉了框极的全局语异信息
[00:04:26 - 00:04:30] 并且大幅减少了后续注意力计算所需要处理的token数量
[00:04:30 - 00:04:30] 举个例子
[00:04:30 - 00:04:32] 我们在阅读一篇长篇文章的时候
[00:04:32 - 00:04:35] 首先会快速的去浏览各个段落
[00:04:35 - 00:04:37] 把握每个段落的大致主题
[00:04:37 - 00:04:38] 这就是一种粗利度的理解
[00:04:38 - 00:04:41] 压缩注意力就像是这种快速的浏览
[00:04:41 - 00:04:44] 它能够捕捉到文本中更加粗利度的高层语异信息
[00:04:44 - 00:04:46] 同时减轻注意力计算的负担
[00:04:46 - 00:04:48] 让模型在处理大量信息的时候
[00:04:48 - 00:04:50] 不会被细节所淹没
[00:04:50 - 00:04:52] 但是仅靠压缩注意力还不够
[00:04:52 - 00:04:55] 因为这样可能会丢失一些重要的细利度信息
[00:04:55 - 00:04:56] 就像我们在阅读文章之后
[00:04:56 - 00:04:58] 还需要经读一些关键的段落
[00:04:58 - 00:05:00] 才能够掌握全部的信息
[00:05:00 - 00:05:03] 所以Deepseg又引入了选择性注意力
[00:05:03 - 00:05:05] 它通过跨选择机制
[00:05:05 - 00:05:07] 来保留重要的细利度信息
[00:05:07 - 00:05:10] 具体做法是给每个块分配重要性分数
[00:05:10 - 00:05:12] 根据分数来选择排名前n的块
[00:05:12 - 00:05:16] 并且将这些块中的标记用于注意力的计算
[00:05:16 - 00:05:19] 这样一来让模型在保留关键信息的同时
[00:05:19 - 00:05:21] 又显著降低了计算负担
[00:05:21 - 00:05:22] 在注意力机制中
[00:05:22 - 00:05:23] 还有一个问题
[00:05:23 - 00:05:25] 就是局部模式通常会快速适应
[00:05:25 - 00:05:27] 并且主导学习的过程
[00:05:27 - 00:05:28] 这可能会阻碍模型
[00:05:28 - 00:05:31] 从压缩和选择偷款中进行有效的学习
[00:05:31 - 00:05:33] 比如说我们在学习新的知识的时候
[00:05:33 - 00:05:35] 如果过于关注局部的细节
[00:05:35 - 00:05:37] 可能就会忽略整体的逻辑框架
[00:05:38 - 00:05:40] 华东窗口注意力就可以解决这个问题
[00:05:40 - 00:05:41] 它通过在输入序列中
[00:05:41 - 00:05:43] 维护一个固定大小的窗口
[00:05:43 - 00:05:46] 对窗口内的token进行常规的注意力计算
[00:05:46 - 00:05:48] 确保模型能够敏感的捕捉到
[00:05:48 - 00:05:50] 进铃之间的细节和依赖关系
[00:05:50 - 00:05:52] 防止模型在全局稀疏化处理时
[00:05:52 - 00:05:54] 遗漏局部的信息
[00:05:54 - 00:05:56] 从而平衡好全局和局部的关系
[00:05:56 - 00:05:58] 这三个注意力组建的输出
[00:05:58 - 00:06:00] 通过一个门控机制进行加权融合
[00:06:00 - 00:06:02] 形成了最终的注意力输出
[00:06:02 - 00:06:03] 为了最大化效率
[00:06:05 - 00:06:06] 硬件进行了优化
[00:06:07 - 00:06:10] 首先DeepSig在Treaton上实现了硬件对齐的
[00:06:10 - 00:06:11] 吸收注意力内核
[00:06:11 - 00:06:14] 考虑到多头自注意力mha的内存密集
[00:06:14 - 00:06:15] 且减碼效率低
[00:06:15 - 00:06:18] 于是研究人员专注在了共享k维缓存的
[00:06:18 - 00:06:18] 架构上
[00:06:18 - 00:06:22] 比如说分组查询注意力gqa和多查询注意力mqa
[00:06:22 - 00:06:25] 这些架构与当前最先进的大原模型是一致的
[00:06:25 - 00:06:28] 为了实现近乎最优的计算强度平衡
[00:06:28 - 00:06:31] DeepSig还采用了不同的查询分组策略
[00:06:31 - 00:06:32] 其中有几个关键的特性
[00:06:32 - 00:06:35] 首先是进行以组为中心的数据夹载
[00:06:35 - 00:06:38] 在每个内循环中夹载组内所有头的查询
[00:06:38 - 00:06:40] 及其共享的西输KV块所以
[00:06:40 - 00:06:43] 这就好比是把相关的物品放在一起
[00:06:43 - 00:06:45] 方便取用 减少了寻找的时间
[00:06:45 - 00:06:47] 其次是共享KV夹载
[00:06:47 - 00:06:50] 在内循环中连续的夹载KV块
[00:06:50 - 00:06:52] 从而最小化内存夹载 进一步的提升了效率
[00:06:52 - 00:06:54] 第三是网格循环调度
[00:06:54 - 00:06:57] 由于内循环长度在不同查询块中
[00:06:57 - 00:06:58] 几乎是相同的
[00:06:58 - 00:07:00] 所以将查询输出循环
[00:07:00 - 00:07:01] 放在Treaton的网格调度器中
[00:07:01 - 00:07:03] 从而减化和优化了内核
[00:07:03 - 00:07:05] 这就像是给复杂的工作流
[00:07:05 - 00:07:07] 制定了一个合理的流程
[00:07:07 - 00:07:08] 让一切变得有条不稳
[00:07:08 - 00:07:10] 从理论上来看
[00:07:10 - 00:07:11] NSA做了很多的优化
[00:07:11 - 00:07:13] 那么实际应用中又如何呢
[00:07:13 - 00:07:15] 为了测试NSA极致
[00:07:15 - 00:07:17] 在实际训练推力场景中的表现
[00:07:17 - 00:07:19] DeepSig做了一系列严谨的实验
[00:07:19 - 00:07:21] 他们采用了目前最先进的
[00:07:21 - 00:07:22] 大约模型的常见实践
[00:07:22 - 00:07:25] 使用了一个结合分组查询注意力
[00:07:25 - 00:07:27] GQA和混合专家M1的骨干架构
[00:07:27 - 00:07:28] 作为样本模型
[00:07:28 - 00:07:31] 这个模型的总参数量为270亿
[00:07:31 - 00:07:33] 其中30亿为活跃的参数
[00:07:33 - 00:07:35] 在多个通用基准测试中
[00:07:35 - 00:07:36] 采用NSA的模型
[00:07:36 - 00:07:38] 尽管就一定的吸收性
[00:07:38 - 00:07:40] 但是总体性能要由于所有的机线模型
[00:07:40 - 00:07:42] 包括全注意力模型
[00:07:42 - 00:07:45] 在九项指标中有七项表现最佳
[00:07:45 - 00:07:46] 这说明NSA在实际应用中
[00:07:46 - 00:07:48] 不仅能够减少计算的开销
[00:07:48 - 00:07:50] 还能够提升模型的综合性能
[00:07:50 - 00:07:52] 即使是在较短序列上
[00:07:52 - 00:07:55] NSA可能没有能够充分的发挥它的效率优势
[00:07:55 - 00:07:56] 但是性能依然强劲
[00:07:56 - 00:07:58] 在推力相关的基准测试中
[00:07:58 - 00:08:00] NSA取得了显著的提升
[00:08:00 - 00:08:02] 这表明NSA的预训链机制
[00:08:02 - 00:08:04] 有助于模型开发专门的注意力机制
[00:08:04 - 00:08:07] 能够让模型专注在最重要的信息上
[00:08:07 - 00:08:09] 过滤掉无关注意力路径中的噪声
[00:08:09 - 00:08:11] 从而潜在地提升了模型的性能
[00:08:11 - 00:08:13] 在长上下纹任务中
[00:08:13 - 00:08:15] NSA更是展现出了强大的实力
[00:08:15 - 00:08:17] 在64K上下纹的大海捞针测试中
[00:08:17 - 00:08:19] NSA实现了超强的检索精度
[00:08:19 - 00:08:22] 这个结果要归功于它的分层吸收注意力设计
[00:08:22 - 00:08:24] 通过粗利度的压缩token
[00:08:24 - 00:08:27] 来实现高效的全局上下纹扫描
[00:08:27 - 00:08:30] 再通过细腻度的选择标记来保留关键的信息
[00:08:30 - 00:08:33] 这就如同用广角镜头先去观察整个场景
[00:08:33 - 00:08:36] 然后再用长焦镜头聚焦到某个具体的目标
[00:08:36 - 00:08:40] 从而在全局感知和局部精确性之间取得完美的平衡
[00:08:40 - 00:08:41] 在Lambatch上
[00:08:41 - 00:08:45] ASA在多跳QA任务和代码理解任务中也表现非常优异
[00:08:45 - 00:08:47] 由于所有的极限模型
[00:08:47 - 00:08:50] 显示出了在复杂常文本推理任务上的优势
[00:08:50 - 00:08:53] 此外ASA机制还能够与推理模型相结合
[00:08:53 - 00:08:55] 适配前沿的后续链方式
[00:08:55 - 00:08:58] DeepSig通过从DeepSigRE征流知识和监督微调的方式
[00:08:58 - 00:09:02] 让采用NSA的模型在32K长度的数学推理任务上
[00:09:02 - 00:09:04] 获得了链式数学推理能力
[00:09:04 - 00:09:07] 在具有挑战性的AM124基准测试中
[00:09:07 - 00:09:10] NSA的西输注意力辨体NSAR
[00:09:10 - 00:09:14] 和全注意力的极限模型全注意力R进行了对比
[00:09:14 - 00:09:17] 结果显示在8K和16K上下文设置下
[00:09:17 - 00:09:20] NSAR均显著由于全注意力R
[00:09:20 - 00:09:22] 分别高出0.075和0.054
[00:09:22 - 00:09:25] 进一步验证了NSA在复杂推理任务中的优势
[00:09:26 - 00:09:27] 在计算效率方面
[00:09:27 - 00:09:29] DeepSig在8GPU的A100系统上
[00:09:29 - 00:09:32] 对NSA和全注意力机制进行了对比
[00:09:32 - 00:09:35] 在训练速度上随着上下文长度的增加
[00:09:35 - 00:09:37] NSA的加速效果越来越显著
[00:09:37 - 00:09:39] 在64K上下文长度的时候
[00:09:39 - 00:09:42] NSA的前向传播速度提升了9倍
[00:09:42 - 00:09:43] 反向传播速度提升了6倍
[00:09:44 - 00:09:46] 这主要得于NSA的硬件对齐设计
[00:09:46 - 00:09:48] 跨状的内存访问模式
[00:09:48 - 00:09:51] 通过合并加载最大化了贪色COD利用率
[00:09:51 - 00:09:52] 内核中精细的循环调度
[00:09:52 - 00:09:54] 则消除了荣誉的KV传输
[00:09:54 - 00:09:57] 这就像是优化了工厂的所有生产流程
[00:09:57 - 00:09:59] 让每一个环节都能够高效的运转
[00:09:59 - 00:10:01] 在减码速度方面
[00:10:01 - 00:10:02] 注意力机制的减码速度
[00:10:02 - 00:10:05] 主要受限于KV缓存加载的内存平静
[00:10:05 - 00:10:07] 随着减码长度的增加
[00:10:07 - 00:10:09] NSA的延迟表现出了显著的降低
[00:10:09 - 00:10:11] 在64K上下温长度的时候
[00:10:11 - 00:10:13] 实现了高达11.6倍的速度提升
[00:10:13 - 00:10:15] 而且这种内存访问效率的优势
[00:10:15 - 00:10:17] 随着序列长度的增加
[00:10:17 - 00:10:18] 反而更加明显
[00:10:18 - 00:10:21] 这对于需要处理长文本的应用场景来说
[00:10:21 - 00:10:22] 无疑是一个巨大的利好
[00:10:22 - 00:10:24] 尽管NSA取得了显著的成果
[00:10:24 - 00:10:26] 但是DeepSake研究团队
[00:10:26 - 00:10:28] 依然保持着严谨的科研态度
[00:10:28 - 00:10:30] 也指出了一些可能的改进方向
[00:10:30 - 00:10:31] 比如说进一步优化
[00:10:31 - 00:10:33] 吸收注意力模式的学习过程
[00:10:33 - 00:10:36] 让模型能够更加智能的选择关键信息
[00:10:36 - 00:10:39] 还有探索更为高效的硬件实现方案
[00:10:39 - 00:10:40] 充分挖掘硬件的潜力
[00:10:40 - 00:10:43] 使NSA能够在未来发挥更大的作用
[00:10:43 - 00:10:45] 就像DeepSake之前发布的
[00:10:45 - 00:10:46] 所有技术报告一样
[00:10:46 - 00:10:49] 这篇介绍NSA的论文内容详实
[00:10:49 - 00:10:52] 对NSA中涉及的技术细节产数十分清楚
[00:10:52 - 00:10:54] 并且具有很强的可操作性
[00:10:54 - 00:10:56] 再次为AA研究贡献了重要的成果
[00:10:56 - 00:10:58] 也让我们再次看到了DeepSig团队的
[00:10:58 - 00:10:59] 优秀工程能力
[00:10:59 - 00:11:00] 期待他们带来更多的
[00:11:00 - 00:11:02] 更先进的研究成果
[00:11:02 - 00:11:03] 感谢大家观看本期视频
[00:11:03 - 00:11:04] 我们下期再见
