BV号：BV1U2kHBUEze
标题：BV1U2kHBUEze
链接：https://www.bilibili.com/video/BV1U2kHBUEze
识别语言：zh
语言置信度：1
分段数：428
生成时间：2026-08-29 21:49:44

[00:00:00 - 00:00:02] 大家好 我是為什麼叫QQ
[00:00:02 - 00:00:07] 2025年12月1日 張曉俊對話Manus創始人記憶超
[00:00:07 - 00:00:11] 但僅僅28天後 Meta就已經30億美元的天價
[00:00:11 - 00:00:12] 閃電收購了這家公司
[00:07:10 - 00:07:12] 你不能让用户盯着屏幕等结果。
[00:07:12 - 00:07:17] 他们希望解放用户的注意力,让agent 在云端一步,并发地执行任务。
[00:07:17 - 00:07:23] 用pick 的话说,你可以把任务丢给manus,然后合上电脑去喝杯咖啡,回来任务就完成了。
[00:07:23 - 00:07:30] 第二,代码必须被隐藏,对于绝大多数用户来说,代码不是生产力,是压力源。
[00:07:30 - 00:07:32] pick 分享了一个真实案例。
[00:07:32 - 00:07:35] 他们亲眼见过有朋友因为不懂技术用Cursor
[00:07:35 - 00:07:37] 误删了自己电脑的网卡驱动
[00:07:37 - 00:07:41] 导致电脑无法联网技术应该被优雅的风桩起来
[00:07:41 - 00:07:46] 而不是直接暴露给用户让用户看到代码就等于劝退
[00:07:46 - 00:07:50] 第三目标用户不是程序员而是prosumer
[00:07:50 - 00:07:53] prosumer就是professional consumer专业消费者
[00:07:53 - 00:07:56] 也就是那些不写代码但要产出专业内容的
[00:07:56 - 00:08:01] 脑力工作者做ppt的写报告的做数据分析的搞内容创作的
[00:08:01 - 00:08:04] 工程师的赛道已经极度拥挤
[00:08:04 - 00:08:07] Cursor, Windsurf, Bit Hub Co-Pilot 打得不可开交
[00:08:07 - 00:08:10] 而为更广泛的知识工作者负能
[00:08:10 - 00:08:11] 是一片广阔的蓝海
[00:08:11 - 00:08:15] 到这里你会发现Manus 的定位其实非常丰利
[00:08:15 - 00:08:17] 它不是Chatbot 的替代品
[00:08:17 - 00:08:19] 它想成为交付系统
[00:08:19 - 00:08:21] Chatbot 是聊天,Manus 是干活
[00:08:21 - 00:08:22] 有趣的是
[00:08:22 - 00:08:25] 之前为AI 浏览器项目积累的技术
[00:08:25 - 00:08:27] 此刻完美地派上了用场
[00:08:27 - 00:08:29] 对Chromium 内核的深刻理解
[00:08:29 - 00:08:31] 以及一整套為Agent設計的技術站
[00:08:31 - 00:08:33] 讓他們得以迅速行動
[00:08:33 - 00:08:35] 團隊內部立了一個項目
[00:08:35 - 00:08:37] 代號叫Airbnb
[00:08:37 - 00:08:39] 意思是browser in browser in the air
[00:08:39 - 00:08:42] 在雲端運行的瀏覽器裡的瀏覽器
[00:08:42 - 00:08:44] 從10月到4年1月
[00:08:44 - 00:08:45] 僅僅3個多月
[00:08:45 - 00:08:47] Manus的第一個版本就已基本完成
[00:08:47 - 00:08:49] 這個速度令人驚嘆
[00:08:49 - 00:08:53] 2025年3月5日北京時間深夜10點
[00:08:53 - 00:08:55] 北美市場的清晨Manus正式發佈
[00:08:55 - 00:08:58] 一夜之間它引爆了整個中文互聯網
[00:08:58 - 00:09:01] 但随之而来的是巨大的争议
[00:09:01 - 00:09:03] 外界当时最大的质疑之一
[00:09:03 - 00:09:05] 你们搞邀请码是不是饥饿营销
[00:09:05 - 00:09:07] Peek的回答很硬核
[00:09:07 - 00:09:09] 邀请码不是为了营销
[00:09:09 - 00:09:10] 是为了不让系统崩掉
[00:09:10 - 00:09:11] 关键原因是
[00:09:11 - 00:09:14] agent的token消耗模式极端反常时
[00:09:14 - 00:09:16] 他把账讲得很清楚
[00:09:16 - 00:09:18] chatbot的成本估算
[00:09:18 - 00:09:20] 输入输出比通常粗略
[00:09:20 - 00:09:21] 按3比1
[00:09:21 - 00:09:22] 你问一个问题
[00:09:22 - 00:09:24] AI回答一来一回
[00:09:24 - 00:09:26] 消耗的token是可预测的
[00:09:26 - 00:09:28] 但在manus这种agently
[00:09:28 - 00:09:33] 这个比例能到100比1甚至1000比1为什么差距这么大
[00:09:33 - 00:09:35] 因为Agent会不断自我推进
[00:09:35 - 00:09:37] 他不是回答一个问题就结束
[00:09:37 - 00:09:39] 而是要完成一个任务
[00:09:39 - 00:09:42] 在这个过程中他会不断思考、行动、观察结果
[00:09:42 - 00:09:46] 在思考、在行动、上下文不断增长
[00:09:46 - 00:09:49] 每一步都要重新读入大量历史信息
[00:09:49 - 00:09:50] 再做下一次决策
[00:09:50 - 00:09:52] 你以为他在输出答案
[00:09:52 - 00:09:54] 其实他在内部跑的是流程
[00:09:54 - 00:09:57] 这个流程越复杂消耗的Token就越多
[00:09:57 - 00:10:00] PIC透露了一个发布日的真实细节
[00:10:00 - 00:10:04] 当Manus团队拿着预估的算力需求找到Google Cloud和Anthropex时
[00:10:04 - 00:10:07] 对方的回答是你们千万别放开
[00:10:07 - 00:10:09] 放开我们服务器汇挂
[00:10:09 - 00:10:13] 上线当天他们紧急制电云厂商要求增加算力
[00:10:13 - 00:10:16] 对方问你们是要下个月还是下下个月
[00:10:16 - 00:10:18] 他们回答今天下午就要
[00:10:18 - 00:10:23] 最后是云厂商从其他可用区务理上搬运GPU卡插到机柜上
[00:10:23 - 00:10:25] 才勉强撑住了第一波流量
[00:10:25 - 00:10:30] 记忆超说,邀请码是一个在算力极度稀缺下的无奈之举,
[00:10:30 - 00:10:33] 是为了控制流量,防止整个系统崩溃。
[00:10:33 - 00:10:35] Manus为后来所有的Agent产品,
[00:10:35 - 00:10:37] 汤评了算力这条河,
[00:10:37 - 00:10:40] 在那之后还用邀请码机制的就有点奇怪了。
[00:10:40 - 00:10:42] 这也解释了另一个事实,
[00:10:42 - 00:10:45] 他们为什么敢把价格定到默认40美金每月,
[00:10:45 - 00:10:48] 甚至提供更高价位的订阅选项,
[00:10:48 - 00:10:50] 因为成本摆在那里便宜不了。
[00:10:50 - 00:10:53] 而Peak还在访谈里给出一个重要的商业信号,
[00:10:53 - 00:10:56] 他们的ARR已经超过1亿美金
[00:10:56 - 00:10:59] 你把这几个点连起来就能理解Meta的动机
[00:10:59 - 00:11:01] 这不是一个靠讲故事的demo
[00:11:01 - 00:11:05] 这是一个已经跑出现金流模型的系统
[00:11:05 - 00:11:07] 它证明了Agent不仅技术上可行
[00:11:07 - 00:11:09] 商业上也可行
[00:11:09 - 00:11:10] 但问题来了
[00:11:10 - 00:11:11] 如果成本这么夸张
[00:11:11 - 00:11:13] 他们怎么可能跟大厂拼算力
[00:11:13 - 00:11:14] 拼资源
[00:11:14 - 00:11:17] 答案是他们选择了一条更聪明的路
[00:11:17 - 00:11:21] 不训练机座模型反而去影响模型厂商
[00:11:21 - 00:11:23] 我认为接下来要讲的整个访谈中
[00:11:23 - 00:11:25] 最具洞察的部分
[00:11:25 - 00:11:27] 如果你只记住一个核心观点
[00:11:27 - 00:11:28] 就记住这个
[00:11:28 - 00:11:30] PIC讲过一个狠狠的思路
[00:11:30 - 00:11:32] 他们团队里很多人做过模型
[00:11:32 - 00:11:33] 知道模型怎么改进
[00:11:33 - 00:11:36] 但他们选择不自己做机座模型
[00:11:36 - 00:11:39] 而是把改进外包给最强的模型厂商
[00:11:39 - 00:11:40] 为什么
[00:11:40 - 00:11:42] 因为模型技术迭代太快
[00:11:42 - 00:11:45] 自己投入巨资训练很可能迅速被淘汰
[00:11:45 - 00:11:46] 更聪明的做法是
[00:11:46 - 00:11:49] 成为所有模型厂商最大的客户
[00:11:49 - 00:11:53] 利用自己的巨大token消耗量和深刻的行业理解
[00:11:53 - 00:11:55] 反过来影响甚至指导模型厂商
[00:11:55 - 00:11:58] 让他们为Agent场景定制模型
[00:11:58 - 00:12:00] 它举了一个非常硬的细节
[00:12:00 - 00:12:03] 记忆超说我们与Google DeepMind合作很深
[00:12:03 - 00:12:08] 不只提需求还会帮对方构建Evaluation 评测体系
[00:12:08 - 00:12:10] 甚至直接参与功能定义
[00:12:10 - 00:12:13] 然后它拋出那句懂的人会倒吸一口凉气的话
[00:12:13 - 00:12:16] Gemini新出的可控的并行函数调用
[00:12:16 - 00:12:18] Parallel Function Calling
[00:12:18 - 00:12:21] 它的定义、Proposal和实现Skema是它写的
[00:12:21 - 00:12:22] 这意味着什么
[00:12:22 - 00:12:26] 意味着Manus的互成和布是我有一个更大的模型
[00:12:26 - 00:12:30] 而是我掌握了最真实、最高强度的Agent 场景数据与评测体系
[00:12:30 - 00:12:35] 并且能用这种强度去推动模型厂商为Agent 场景优化
[00:12:35 - 00:12:38] 这就是烧Token 的机器的真正含义
[00:12:38 - 00:12:41] 消耗越多,Token 促使场景越真实
[00:12:41 - 00:12:44] 场景越真实导致评测结果越硬越真实
[00:12:44 - 00:12:48] 评测越硬对模型路线的影响力就越大
[00:12:48 - 00:12:50] 这样模型厂商更愿意为你优化
[00:12:50 - 00:12:53] 这样你的产品体验就会更好
[00:12:53 - 00:12:55] 体验越好则用户就更多
[00:12:55 - 00:12:57] 用户越多就会消耗更多token
[00:12:57 - 00:12:59] 这是一个正向飞轮
[00:12:59 - 00:13:02] 而且这个飞轮一旦转起来
[00:13:02 - 00:13:03] 后来折很难追上
[00:13:03 - 00:13:06] 因为你没有那么多真实场景数据
[00:13:06 - 00:13:08] 你就没有那么强的评测体系
[00:13:08 - 00:13:10] 你就没有那么大的影响力
[00:13:10 - 00:13:13] 到这里我们可以回答前面提出的那个问题了
[00:13:13 - 00:13:16] Manus是水主于壁垒在流程
[00:13:16 - 00:13:19] 而这个流程不仅仅是产品内部的技术流程
[00:13:19 - 00:13:23] 更是一套与模型厂商深度绑定的影响力流程。
[00:13:23 - 00:13:25] 这就是水主余的真正含义。
[00:13:25 - 00:13:29] 在当时,所有人都认为应该从一个垂直领域切入,
[00:13:29 - 00:13:30] 做身做透。
[00:13:30 - 00:13:34] 比如做一个法律agent,医疗agent,金融agent。
[00:13:34 - 00:13:37] 但Manus反其道而行之,选择做通用。
[00:13:37 - 00:13:40] 他们的逻辑是,底层的技术攻击。
[00:13:40 - 00:13:43] 无论是通用大模型还是徒龄完备的虚拟机,
[00:13:43 - 00:13:45] 本身就是通用的。
[00:13:45 - 00:13:49] 与其人为地增加约束,不如打造一个通用的平台,
[00:13:49 - 00:13:52] 像达尔文一样,观察用户会用它来做什么。
[00:13:52 - 00:13:55] 然后去优化那些头部场景,
[00:13:55 - 00:13:57] 这种通用能力带来了一个巨大的优势,
[00:13:57 - 00:13:59] 解决常委需求。
[00:13:59 - 00:14:01] Peak分享了一个真实的案例,
[00:14:01 - 00:14:02] 一位分子生物学家。
[00:14:02 - 00:14:05] 他的实验仪器导出的数据格式极为小众,
[00:14:05 - 00:14:08] 任何其他AI工具都无法处理。
[00:14:08 - 00:14:09] 但Manus接到这个文件后,
[00:14:09 - 00:14:12] 自己去GateHub上找到了一个开源项目,
[00:14:12 - 00:14:15] 解析了这个格式,并完成了后续的分析。
[00:14:15 - 00:14:18] 这种解决无人为你服务的场景,
[00:14:18 - 00:14:20] 带来的用户满足感是无语轮比的
[00:14:20 - 00:14:22] 就像Google之所以强大
[00:14:22 - 00:14:25] 不是因为它能搜好天气这种头部查寻
[00:14:25 - 00:14:28] 而是它总能在你搜索一些冷屁问题时给你惊喜
[00:14:28 - 00:14:29] 记忆超说
[00:14:29 - 00:14:31] Manus能做所有的事
[00:14:31 - 00:14:32] 做得一样好
[00:14:32 - 00:14:33] 甚至更好
[00:14:33 - 00:14:35] 而且还能多做一步
[00:14:35 - 00:14:37] 这就是通用Agent的定义
[00:14:37 - 00:14:38] 更重要的是
[00:14:38 - 00:14:41] 通用能力之间会产生网络效应
[00:14:41 - 00:14:43] Peek举了一个例子
[00:14:43 - 00:14:46] 他们最早给Manus加入了一个看图的能力
[00:14:46 - 00:14:49] 本意只是想让它检查自己生成的图片好不好
[00:14:49 - 00:14:51] 但后来他们惊讶地发现
[00:14:51 - 00:14:56] Manus开始自己学会用这个能力去检查自己做的网页是否能正常运行
[00:14:56 - 00:15:00] 去发现数据可是话图表中是否有元素重叠的问题
[00:15:00 - 00:15:02] 每增加一个基础能力
[00:15:02 - 00:15:05] 它就能与所有其他能力产生交互
[00:15:05 - 00:15:07] 让系统整体获得指数级的收益
[00:15:07 - 00:15:10] 这是纯穴派Agent的核心思维方式
[00:15:10 - 00:15:13] 不是用人为的规则去打补钉
[00:15:13 - 00:15:16] 而是让智能本身去泛化,去解决问题。
[00:15:16 - 00:15:20] 最后,我们把格局再拉高一层,进入方法论的讨论。
[00:15:20 - 00:15:23] Peek说很多人会把两个概念混在一起。
[00:15:23 - 00:15:26] 一个叫Agentic Workflow,一个叫Agent。
[00:15:26 - 00:15:29] 在他们眼里,这两个东西有本质区别。
[00:15:29 - 00:15:34] Agentic Workflow,为了稳定性,把流程写死,把每一步规则化。
[00:15:34 - 00:15:39] 比如,第一步做什么,第二步做什么,遇到什么情况,走哪个分支。
[00:15:39 - 00:15:43] 这样做的好处是可控、可预测、但代价是牺牲了泛化能力。
[00:15:43 - 00:15:47] Agent 纯血派,他们追求的方向是不加人为约束,
[00:15:47 - 00:15:50] 让完成任务的方式由智能本身决定。
[00:15:50 - 00:15:53] 你只告诉他目标,不告诉他路径。
[00:15:53 - 00:15:57] 记忆超说,很多人把Agent和Agentic Workflow混为一谈。
[00:15:57 - 00:16:02] 在我们眼中,用Workflow方式做的不叫Agent,那就是Workflow。
[00:16:02 - 00:16:05] 真正的Agent 完成任务的所有过程和方式,
[00:16:05 - 00:16:09] 是由智能本身决定的,而不是人为家的约束。
[00:16:09 - 00:16:11] 他还批评了市场上一种流行的做法
[00:16:11 - 00:16:13] 让Agent模仿人类的分工
[00:16:13 - 00:16:16] 比如设定一个产品经理Agent
[00:16:16 - 00:16:17] 一个设计师Agent
[00:16:17 - 00:16:18] 一个程序员Agent
[00:16:18 - 00:16:20] 让他们互相协作
[00:16:20 - 00:16:22] Peek认为这是错误的
[00:16:22 - 00:16:23] 记忆超说
[00:16:23 - 00:16:26] 不要把人因为生而为人的限制搬给Agent
[00:16:26 - 00:16:27] 人之所以需要分工
[00:16:27 - 00:16:30] 是因为一个人不可能掌握所有知识
[00:16:30 - 00:16:32] 但大模型本身就是通用的
[00:16:32 - 00:16:33] 他没有这个限制
[00:16:33 - 00:16:36] 把Agent人格化是一种人的自恋
[00:16:36 - 00:16:39] 这背后是一种产品哲学
[00:16:39 - 00:16:42] 你不是在堆功能,你是在养一个会泛化的系统。
[00:16:42 - 00:16:48] 能力一旦进入系统,就会互相组合,互相放大,出现你没预设过的用法。
[00:16:48 - 00:16:53] 也正因为这条路线更向系统进化,而不是功能堆叠。
[00:16:53 - 00:16:59] 它才更向大厂真正想要的东西,可迁移、可扩展,能挂到生态里的下一代交付层。
[00:16:59 - 00:17:03] 关于未来,Peak还透露了一个方向,Agent的主动性。
[00:17:03 - 00:17:09] 他们内部已经有了原型,可以让Manus在用户醒来之前,主动去检查用户的
[00:17:09 - 00:17:13] notion笔记,把昨天的面试记录自动填写到招聘系统里,
[00:17:13 - 00:17:15] 只需要用户最后确认一下即可。
[00:17:15 - 00:17:18] 这将真正解放用户的注意力瓶颈,
[00:17:18 - 00:17:21] 让Agent从被动响应进化到主动服务。
[00:17:21 - 00:17:23] 现在我们回到开头那条新闻。
[00:17:23 - 00:17:27] Metasogo Manus的消息在2025年12月底被披露。
[00:17:27 - 00:17:30] 外媒估值多在20-30亿美元区间。
[00:17:30 - 00:17:36] 而2026年1月8日,中国商务部表示将对这笔交易进行评估与调查。
[00:17:36 - 00:17:40] 你在回头听2025年12月1日那晚Peak讲的话,
[00:17:40 - 00:17:42] 很多东西都变得很清晰,
[00:17:42 - 00:17:45] 他们不是在做脑,他们在做手。
[00:17:45 - 00:17:49] 而Meta恰好需要一只能在其生态里替用户干活的手。
[00:17:49 - 00:17:53] 他们的壁垒不是模型,而是水主余的流程系统。
[00:17:53 - 00:17:58] 这套流程是用无数真实场景打磨出来的,后来者很难复制。
[00:17:58 - 00:18:02] 他们用极端的token强度换来了对模型路线的影响力,
[00:18:02 - 00:18:04] 甚至参与了Gemini关键能力的定义。
[00:18:04 - 00:18:07] 这是创业公司对大厂的反向输出
[00:18:07 - 00:18:10] 他们的成本结构决定了邀请码不是营销
[00:18:10 - 00:18:13] 而是供给测现实这也证明了Agent
[00:18:13 - 00:18:16] 赛道的技术门槛比很多人想象的高
[00:18:16 - 00:18:19] 他们已经跑出了商业信号ARR
[00:18:19 - 00:18:20] 过一亿美金
[00:18:20 - 00:18:22] 定价逻辑清晰这不是PPT公司
[00:18:22 - 00:18:24] 这是有真实现金流的业务
[00:18:24 - 00:18:28] 所以今天你在看Mata的选择就不神秘了
[00:18:28 - 00:18:32] 与其自己从零造益之手不如直接买下那套
[00:18:32 - 00:18:34] 已经在真实世界里跑出来的流程系统
[00:18:34 - 00:18:38] 正如Manus的CEO肖宏在收购后发文所说
[00:18:38 - 00:18:40] 人工智能时代才刚刚开始
[00:18:40 - 00:18:41] 它不仅能说话
[00:18:41 - 00:18:44] 还能行动 创造和交付
[00:18:44 - 00:18:44] 通过Meta
[00:18:44 - 00:18:47] 我们得以以前所未有的规模构建它
[00:18:47 - 00:18:49] 回看Manus的崛起之路
[00:18:49 - 00:18:52] 它打破了太多互联网时代的创业定律
[00:18:52 - 00:18:54] 它证明了 在AI时代
[00:18:54 - 00:18:56] 应用层公司可以通过独特的数据
