BV号：BV1f3wAzbEsX
标题：BV1f3wAzbEsX
链接：https://www.bilibili.com/video/BV1f3wAzbEsX
识别语言：zh
语言置信度：1
分段数：348
生成时间：2026-08-29 20:29:10

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 顶级程序员和普通程序员最大的区别是什么
[00:03:55 - 00:03:57] 往往是因为它绑着太多特殊条件
[00:03:57 - 00:04:00] 一旦你把它抽象成更高层的结构
[00:04:00 - 00:04:02] 那些让你困惑的细节就消失了
[00:04:02 - 00:04:03] 结法反而更清楚
[00:04:03 - 00:04:05] 这在编程里就是抽象
[00:04:05 - 00:04:08] 你一开始可能是在解决一个按钮的状态管理问题
[00:04:08 - 00:04:10] 但网上提一层
[00:04:10 - 00:04:13] 你会发现你真正处理的是有线状态机问题
[00:04:13 - 00:04:15] 你以为你在处理缓存失效
[00:04:15 - 00:04:17] 网上提一层你会发现你
[00:04:17 - 00:04:19] 面对的是数据一致性问题
[00:04:19 - 00:04:20] 一旦问题被泛化
[00:04:20 - 00:04:23] 你就能调用更成熟的理论模式和工具
[00:04:23 - 00:04:26] 而不是被困在眼前这个具体案例里
[00:04:26 - 00:04:29] 这是为什么顶级工程师在做系统设计时
[00:04:29 - 00:04:31] 总是先问这是什么类型的问题
[00:04:31 - 00:04:32] 而不是直接开始写代吗
[00:04:32 - 00:04:36] 泛化是从具体到通用的跨越
[00:04:36 - 00:04:37] 第四把要是分解
[00:04:37 - 00:04:40] 如果从问题到解决方案之间的跳跃太大
[00:04:40 - 00:04:43] 你就把它分解成一系列小的跳跃
[00:04:43 - 00:04:45] 设置中间节点一步一步推进
[00:04:45 - 00:04:47] 他说了一句很有意思的话
[00:04:47 - 00:04:49] 对于任何心理思维
[00:04:49 - 00:04:52] 做两个小跳跃总比做一个大跳跃容易的多
[00:04:52 - 00:04:54] 这在编程里就是任务分解
[00:04:54 - 00:04:56] 你不可能一口气写出一个完整的系统
[00:04:56 - 00:04:58] 你需要把它拆成模块
[00:04:58 - 00:04:59] 模块再拆成函数
[00:04:59 - 00:05:01] 函数再拆成具体的逻辑步骤
[00:05:01 - 00:05:05] 这也是TDD测试驱动开发的核心思想
[00:05:05 - 00:05:06] 先写测试
[00:05:06 - 00:05:09] 定义好每一个小步骤的预期结果再去实现
[00:05:09 - 00:05:12] 每一个小测试通过就是一个小跳跃
[00:05:12 - 00:05:14] 最终你完成了整个大跳跃
[00:05:14 - 00:05:16] 相农还说了一个很有趣的现象
[00:05:16 - 00:05:19] 很多数学证明是通过极其预回的路径找到的
[00:05:19 - 00:05:21] 一个人开始证明定理
[00:05:21 - 00:05:22] 走了很多弯路
[00:05:22 - 00:05:24] 最后从后门进去找到了答案
[00:05:24 - 00:05:26] 但当他回头看
[00:05:26 - 00:05:28] 会发现其实有一条更短的路
[00:05:28 - 00:05:30] 这对程序员来说也是一样
[00:05:30 - 00:05:32] 先把能跑的版本写出来
[00:05:32 - 00:05:33] 哪怕很笨
[00:05:33 - 00:05:34] 哪怕很荣誉
[00:05:34 - 00:05:36] 有了这个基础再去重够和优化
[00:05:36 - 00:05:39] 分解是把不可能变成可能的方式
[00:05:39 - 00:05:40] 第五把要事
[00:05:40 - 00:05:41] 反眼
[00:05:41 - 00:05:43] 当你从问题推不到解决方案时
[00:05:43 - 00:05:45] 试着把方向反过来
[00:05:45 - 00:05:47] 假设解决方案已经存在了
[00:05:47 - 00:05:49] 从结果往回推看看需要什么条件
[00:05:49 - 00:05:51] 这个思路非常反直觉
[00:05:51 - 00:05:52] 但极其有效
[00:05:52 - 00:05:53] 相农举了一个数学例子
[00:05:53 - 00:05:54] 你有前提
[00:05:54 - 00:05:56] P想证明结论S
[00:05:56 - 00:05:57] 但直接推不过去
[00:05:57 - 00:05:58] 那就反过来
[00:05:58 - 00:06:00] 假设S是一支的
[00:06:00 - 00:06:01] 看能推出什么
[00:06:01 - 00:06:03] 很多时候你会发现反向
[00:06:03 - 00:06:05] 路径比正向路径容易的多
[00:06:05 - 00:06:06] 然后你再把这条路径倒过来
[00:06:06 - 00:06:08] 就得到了证明
[00:06:08 - 00:06:09] 在软件工程里
[00:06:09 - 00:06:10] 这对应的是什么
[00:06:10 - 00:06:12] 是从需求反推设计
[00:06:12 - 00:06:13] 很多程序员拿到需求
[00:06:13 - 00:06:17] 习惯性的从数据库结构开始设计从底层往上堆
[00:06:17 - 00:06:19] 但更好的方式是
[00:06:19 - 00:06:23] 先想清楚用户最终看到的界面和交互是什么
[00:06:23 - 00:06:25] 再往下推 数据结构和接口设计
[00:06:25 - 00:06:27] 这也对应逆向调试
[00:06:27 - 00:06:29] 当你不知道bug在哪里
[00:06:29 - 00:06:31] 先想 如果这个bug要存在
[00:06:31 - 00:06:33] 它必须满足什么条件
[00:06:33 - 00:06:35] 然后逐步排除不满足条件的代码路径
[00:06:35 - 00:06:37] 还有一种场景
[00:06:37 - 00:06:39] 安全测试想要保护一个系统
[00:06:39 - 00:06:42] 最有效的方式是先假设自己是攻击者
[00:06:42 - 00:06:43] 问自己
[00:06:43 - 00:06:45] 如果我要攻破这个系统
[00:06:45 - 00:06:46] 我会怎么做
[00:06:46 - 00:06:48] 繁衍是当正向思路走不通时
[00:06:48 - 00:06:50] 最有力的武器
[00:06:50 - 00:06:51] 第六把钥匙
[00:06:51 - 00:06:52] 类笔
[00:06:52 - 00:06:53] 很多看起来全新的问题
[00:06:53 - 00:06:57] 本质上都和另一个领域的老问题非常相似
[00:06:57 - 00:06:59] 如果你能找到这个相似结构
[00:06:59 - 00:07:01] 你就等于借来了另一个领域
[00:07:01 - 00:07:02] 已经被验证过的结法
[00:07:02 - 00:07:04] 这是乡农本人最擅长的一招
[00:07:04 - 00:07:06] 他在发明信息论时
[00:07:06 - 00:07:08] 就是把通信问题和统计力学
[00:07:08 - 00:07:12] 做了类比,把信息的不确定性和热力学商联系起来
[00:07:12 - 00:07:14] 才有了信息商这个概念
[00:07:14 - 00:07:16] 在软件工程里类比无处不在
[00:07:16 - 00:07:19] 你再设计一个高病发任务调度系统
[00:07:19 - 00:07:20] 表面上你在写代码
[00:07:20 - 00:07:22] 但如果你换个角度看
[00:07:22 - 00:07:25] 它其实很像操作系统的进程调度
[00:07:25 - 00:07:26] 或者医院的分枕机制
[00:07:26 - 00:07:28] 或者交通系统的红绿灯控制
[00:07:28 - 00:07:30] 一旦你建立了这个类比
[00:07:30 - 00:07:32] 很多原本抽象的问题就变具体了
[00:07:32 - 00:07:36] 操作系统的进程调度已经有几十年的研究成果
[00:07:36 - 00:07:38] 你不需要从零开始直接借用就好
[00:07:38 - 00:07:40] 在比如消息对列这个概念
[00:07:40 - 00:07:43] 本质上就是对现实世界排队行为的类比
[00:07:43 - 00:07:44] 理解了这个类比
[00:07:44 - 00:07:47] 你就能直觉的判断什么场景该用消息对列
[00:07:47 - 00:07:48] 什么场景不该用
[00:07:48 - 00:07:50] 顶级程序员厉害的地方
[00:07:50 - 00:07:53] 往往不是他见过这个问题本身
[00:07:53 - 00:07:54] 而是他能迅速意识到
[00:07:54 - 00:07:57] 这个问题本质上像另一个问题
[00:07:57 - 00:07:58] 而一旦像
[00:07:58 - 00:07:59] 解法就出来了
[00:07:59 - 00:08:01] 类比是跨越领域边界
[00:08:01 - 00:08:03] 借用已有智慧的捷径
[00:08:03 - 00:08:04] 好了又把钥匙讲完了
[00:08:04 - 00:08:05] 说到这里
[00:08:05 - 00:08:08] 我要指出一个很多人都有的误区
[00:08:08 - 00:08:10] 很多程序原决的创意和天赋是绑定的
[00:08:10 - 00:08:12] 要么你有 要么你没有
[00:08:12 - 00:08:14] 湘农在演讲里明确否定了这一点
[00:08:14 - 00:08:17] 他说 创意思维有三个要素
[00:08:17 - 00:08:19] 训练与经验 智力 动力
[00:08:19 - 00:08:21] 注意他把训练与经验放在第一位
[00:08:21 - 00:08:24] 他的意思是 创意不是天降神迹
[00:08:24 - 00:08:27] 而是在大量的知识积累和刻意练习之后
[00:08:27 - 00:08:29] 自然产生的结果
[00:08:29 - 00:08:30] 但这里有一个反直觉的地方
[00:08:30 - 00:08:32] 湘农同时也警告说
[00:08:32 - 00:08:33] 对一个领域太熟悉
[00:08:33 - 00:08:35] 也可能是创意的敌人
[00:08:35 - 00:08:37] 因为熟悉会带来思维僵化
[00:08:37 - 00:08:39] 你会觉得这个问题只能这样解
[00:08:39 - 00:08:41] 然后就真的只能这样解了
[00:08:41 - 00:08:43] 这就是为什么很多颠覆性的创新
[00:08:43 - 00:08:45] 往往来自跨界者
[00:08:45 - 00:08:47] 一个物理学家跑去做生物
[00:08:47 - 00:08:49] 一个音乐人跑去做科技产品
[00:08:49 - 00:08:51] 他们没有那个领域的思维定式
[00:08:51 - 00:08:53] 对程序员来说
[00:08:53 - 00:08:54] 不要只学一门语言
[00:08:54 - 00:08:56] 不要只用一个框架
[00:08:56 - 00:08:58] 不要只在一个技术站里呆着
[00:08:58 - 00:09:00] 跨界时保持创意的必要条件
[00:09:00 - 00:09:03] 而这也正是类比这把钥匙能发挥作用的前提
[00:09:03 - 00:09:05] 你监国的领域越多
[00:09:05 - 00:09:07] 能建立的类比就越多
[00:09:07 - 00:09:08] 回到这6把钥匙
[00:09:08 - 00:09:09] 减化重塑
[00:09:09 - 00:09:11] 泛化分解反眼类比
[00:09:11 - 00:09:14] 你会发现这6个方法其实可以分成2组
[00:09:14 - 00:09:15] 第一组是
[00:09:15 - 00:09:17] 缩小问题的方法
[00:09:17 - 00:09:18] 减化分解
[00:09:18 - 00:09:20] 这2个方法的核心逻辑是一样的
[00:09:20 - 00:09:20] 把大的
[00:09:20 - 00:09:22] 复杂的难以下手的问题
[00:09:22 - 00:09:23] 变成小的
[00:09:23 - 00:09:25] 具体的可以操作的问题
[00:09:25 - 00:09:26] 第二组是
[00:09:26 - 00:09:27] 换个角度看问题的方法
[00:09:27 - 00:09:29] 重塑泛化反眼类比
[00:09:29 - 00:09:31] 这4个方法的核心逻辑也是一样的
[00:09:31 - 00:09:34] 当你在当前视角卡住了
[00:09:34 - 00:09:35] 换一个维度去看同一个问题
[00:09:35 - 00:09:38] 重述是在同一层自换角度
[00:09:38 - 00:09:40] 泛化是往上抽象一层
[00:09:40 - 00:09:42] 反眼是把方向反过来
[00:09:42 - 00:09:45] 类比是跨到另一个领域去接智慧
[00:09:45 - 00:09:48] 这六把钥匙不是六个独立的技巧
[00:09:48 - 00:09:50] 而是一套完整的思维工具箱
[00:09:50 - 00:09:51] 面对任何一个难题
[00:09:51 - 00:09:53] 你可以依次问自己这六个问题
[00:09:53 - 00:09:56] 你会发现大多数问题都有了突破口
[00:09:56 - 00:09:59] 最后我想说一下这件事在AI时代的意义
[00:09:59 - 00:10:02] 现在有很多人在讨论AI会不会取代程序员
[00:10:02 - 00:10:06] 我的判断是AI会取代那些只会执行的程序员
[00:10:06 - 00:10:08] 但不会取代那些会思考的程序员
[00:10:08 - 00:10:12] 因为AI非常擅长在已知的解空间里找答案
[00:10:12 - 00:10:13] 你给它一个明确的问题
[00:10:13 - 00:10:14] 它能给你一个不错的解
[00:10:14 - 00:10:17] 但AI不擅长的是相农说的那些事
[00:10:17 - 00:10:20] 简化问题打破思维定式
[00:10:20 - 00:10:22] 从全新的角度重新定义问题本身
[00:10:22 - 00:10:25] 这些依然是人类的核心竞争力
[00:10:25 - 00:10:27] 而且随着AI工具越来越强
[00:10:27 - 00:10:30] 程序员的工作会越来越往定义问题
[00:10:30 - 00:10:32] 这个方向移动而不是解决问题
[00:10:32 - 00:10:33] 你需要告诉AI
[00:10:33 - 00:10:35] 这个问题的本质是什么
[00:10:35 - 00:10:36] 约束条件是什么
[00:10:36 - 00:10:38] 什么样的解才是好的解
[00:10:38 - 00:10:40] 这不就是香农说的那套东西吗
[00:10:40 - 00:10:43] 简化问题才能给AI一个清晰的指令
[00:10:43 - 00:10:45] 泛化问题才能让AI的解法
[00:10:45 - 00:10:46] 适用于更大的场景
[00:10:46 - 00:10:48] 类比问题才能让你判断
[00:10:48 - 00:10:50] AI给出的答案是否真的合理
[00:10:50 - 00:10:52] 所以香农1952年的演讲
[00:10:52 - 00:10:55] 在2026年比以往任何时候都更有价值
[00:10:55 - 00:10:58] 好 我们来总结一下今天的内容
[00:10:58 - 00:11:01] 相能告诉我们 创意不是天赋而是方法
[00:11:01 - 00:11:03] 它给出了六把钥匙
[00:11:03 - 00:11:06] 第一把简化 拨掉无关细节找到问题本质
[00:11:06 - 00:11:10] 第二把重塑 换角度看同一个问题打破思维定式
[00:11:10 - 00:11:15] 第三把泛化 把具体问题提升成一般问题调用更成熟的工具
[00:11:15 - 00:11:19] 第四把分解 把大跳跃变成小跳跃 一步一步推进
[00:11:19 - 00:11:23] 第五把繁衍 当正向推不通 把方向反过来
[00:11:23 - 00:11:27] 第六把类比 夸领域接用已有的智慧找到相似结构
[00:11:27 - 00:11:30] 这600钥匙对应的是程序员最需要的能力
[00:11:30 - 00:11:32] 在复杂系统中找到本质
[00:11:32 - 00:11:34] 在思维定时中找到出路
[00:11:34 - 00:11:37] 在AI时代这些能力不会贬值只会升值
[00:11:37 - 00:11:39] 因为AI能替你写代吗
[00:11:39 - 00:11:40] 但不能替你思考
[00:11:40 - 00:11:43] 做两个小条约总比做一个大条约容易
[00:11:43 - 00:11:46] 但大多数人连第一个小条约都没有卖出去
[00:11:46 - 00:11:48] 好 今天的内容就到这里
[00:11:48 - 00:11:49] 如果你觉得有收获
[00:11:49 - 00:11:50] 欢迎一键三连
[00:11:50 - 00:11:52] 你的支持是我持续更新的动力
[00:11:52 - 00:11:56] 评论区告诉我这600钥匙里你经常会用哪些
[00:11:56 - 00:11:58] 哪些现在才知道,我们下期见!
