BV号：BV1kuyTBvE4a
标题：BV1kuyTBvE4a
链接：https://www.bilibili.com/video/BV1kuyTBvE4a
识别语言：zh
语言置信度：1
分段数：94
生成时间：2026-08-29 22:08:24

[00:00:00 - 00:00:02] 大家好 我是為什麼叫QQ
[00:00:02 - 00:00:08] 今天要和大家聊了一場可能會再入AI發展史的神仙對話
[00:02:59 - 00:03:02] 但他們認為AI目前還處於
[00:03:02 - 00:03:05] 一個不斷探索和發展的階段
[00:03:05 - 00:03:07] 特別是AGI的到來
[00:03:07 - 00:03:09] 需要突破多個科學難題
[00:03:09 - 00:03:12] 黃仁勳提出AI的真正價值
[00:03:12 - 00:03:15] 在於他能增強人類的能力
[00:03:15 - 00:03:17] 而非取代人類
[00:03:17 - 00:03:24] 他認為今天的AI已經能夠在醫療、自動駕駛等領域創造巨大價值
[00:03:24 - 00:03:29] 然而李菲菲指出,雖然AI有強大的應用前景
[00:03:29 - 00:03:31] 但他的理解能力仍然有限
[00:03:31 - 00:03:35] 尤其是在感知和行動結合的多麼態質能方面
[00:03:35 - 00:03:37] 仍需進一步突破
[00:03:37 - 00:03:42] 本集奧和新頓對AGI的時間表,則持更為樂觀的態度
[00:03:42 - 00:03:46] 他們認為如果AI繼續以目前的速度發展
[00:03:46 - 00:03:49] AGI可能在五到十年內到來
[00:03:49 - 00:03:53] 但楊麗坤澤認為AGI並非一錯而就的時間
[00:03:53 - 00:03:55] 它將是一個見忌的過程
[00:03:55 - 00:03:59] 可能需要幾十年 甚至上百年的時間
[00:03:59 - 00:04:02] 那麼到底AGI何時能到來
[00:04:02 - 00:04:06] 這究竟是一個泡沫 還是一次真正的技術革命
[00:04:06 - 00:04:09] 這場對談雖然沒有給出明確的答案
[00:04:09 - 00:04:16] 明确的答案,但却提出了深刻的问题,也揭示了AI未来的复杂性和无限可能性。
[00:04:16 - 00:04:20] 无论如何,AI的未来一定不会平静。
[00:04:20 - 00:04:27] 它将继续发展,也将挑战我们对智能的理解。那么,AI到底会在何时到来?
[00:04:27 - 00:04:33] 这将会是技术史上的一大转折点,还是我们早早的预期过高?
[00:04:33 - 00:04:35] 歡迎在評論區分享您的觀點
[00:04:35 - 00:04:38] 討論 AI 的泡沫與 AGI 的未來
[00:04:39 - 00:04:40] 期待與你們的思維碰撞
[00:04:41 - 00:04:43] 如果你覺得本視頻對你有幫助
[00:04:43 - 00:04:44] 可以投幣關注
[00:04:45 - 00:04:46] 點贊 收藏
[00:04:47 - 00:04:48] 感謝收看
[00:04:48 - 00:04:49] 我們下期再見
