BV号：BV1SQuw6mEgh
标题：BV1SQuw6mEgh
链接：https://www.bilibili.com/video/BV1SQuw6mEgh
识别语言：zh
语言置信度：1
分段数：373
生成时间：2026-08-29 19:26:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 8月1号OpenAI干了件大事
[00:01:59 - 00:02:04] 科认是起飞派,论据是降价提速,数学突破三连
[00:02:04 - 00:02:09] Battler拨冷水,智能太坚,验证器太脆,时程太短
[00:02:09 - 00:02:11] AGI的G通用性还没到货
[00:02:11 - 00:02:14] 他还搬出Carbacy的判断,AGI大约还有10年
[00:02:14 - 00:02:16] 你用AI写项目遇到过吗?
[00:02:16 - 00:02:18] 开头经验改到第10轮就发烂
[00:02:18 - 00:02:21] 你站起飞派还是冷水派,打在公屏上
[00:02:21 - 00:02:24] 先说清楚,这次的数学突破分量是真的
[00:02:24 - 00:02:26] 我知道很多人有心理阴影
[00:02:26 - 00:02:28] 去年OpenAI就闹过风波
[00:02:28 - 00:02:31] 有研究员把GPT5找到既有文献
[00:02:31 - 00:02:34] 说成了破解AirDest开放问题
[00:02:34 - 00:02:37] 结果被数据库维护者Thomas Bloom当场纠正
[00:02:37 - 00:02:40] 那只是文献检索翻出已有成果而已
[00:02:40 - 00:02:41] 但这次不一样
[00:02:41 - 00:02:43] 每项结果都附了另四证书
[00:02:43 - 00:02:46] 机器可以逐行检验形式化推导
[00:02:46 - 00:02:49] 形式化命题是否准确对应原来的猜想
[00:02:49 - 00:02:51] 还得靠数学家独立审阅
[00:02:51 - 00:02:53] 成果清单里有硬货
[00:02:53 - 00:02:56] 比如首个FaceSulfit群的显示构造
[00:02:56 - 00:02:58] 今年5月他们还用内部模型
[00:02:58 - 00:03:01] 推翻了IRDAS单位距离猜想80年的悬案
[00:03:01 - 00:03:03] Gauris的评价是
[00:03:03 - 00:03:04] 如果投到数学年刊
[00:03:04 - 00:03:06] 我会建议接收
[00:03:06 - 00:03:08] 80年的猜想被AI干掉
[00:03:08 - 00:03:09] 两年前这不可想象
[00:03:09 - 00:03:10] 关键来了
[00:03:10 - 00:03:12] Battler并没有否认这些
[00:03:12 - 00:03:14] 他承认机幕已经造出来了
[00:03:14 - 00:03:16] 现有工具可能是通向
[00:03:16 - 00:03:17] 地规自我改进的零件
[00:03:17 - 00:03:19] 它真的是另一件事
[00:03:19 - 00:03:21] 这些零件自己拼不成那架飞机
[00:03:21 - 00:03:23] 这就是整篇长文的体验
[00:03:23 - 00:03:24] 起飞条件还没满足
[00:03:24 - 00:03:26] AGI里那个G还缺货
[00:03:26 - 00:03:29] 它的逻辑链是数学和代码的突破
[00:03:29 - 00:03:31] 证明的是可验症领域里的能力
[00:03:31 - 00:03:34] 而智能的真考验在可验症领域之外
[00:03:34 - 00:03:37] 那里没有裁判没有编译器没有证明器
[00:03:37 - 00:03:40] 看到这里你可能会想这话是不是有点酸
[00:03:40 - 00:03:42] 我一开始也这么觉得
[00:03:42 - 00:03:43] 看完它引的数据
[00:03:43 - 00:03:44] 我改了主意
[00:03:44 - 00:03:46] 下面三个点是它的弹药
[00:03:46 - 00:03:49] Battler最锋利的一刀砍在幸存者偏差上
[00:03:49 - 00:03:52] 数学和代码是最容易自动验证的两个领域
[00:03:52 - 00:03:56] 答案对错有裁判编译器、单元测试、形式化证明器
[00:03:56 - 00:03:57] 都是铁面判卷老师
[00:03:57 - 00:03:59] 突破自然堆在这里
[00:03:59 - 00:04:02] 其他领域没有判卷老师进步了也没人敲锣
[00:04:02 - 00:04:03] 自然不上头条
[00:04:03 - 00:04:07] 你盯着头条看就觉得全世界都在起飞
[00:04:07 - 00:04:09] 这套说法有文献撑着
[00:04:09 - 00:04:10] 但学界还没吵完
[00:04:10 - 00:04:13] NewRips 2025有篇U的人的研究
[00:04:13 - 00:04:16] 发现当时的RLV2主要提升采样效率
[00:04:16 - 00:04:19] Pazette一掌了,可让模型多试几次
[00:04:19 - 00:04:21] 大K的Pazik反而低于寂模型
[00:04:21 - 00:04:24] 分布的间被削的更减,底盘反而变窄
[00:04:24 - 00:04:26] 同阶的ProAriel得出相反结论
[00:04:26 - 00:04:30] 延长训练能找到寂模型采样不到的新策略
[00:04:30 - 00:04:34] 两篇论文打架说明这警惕有据,但还不是定论
[00:04:34 - 00:04:36] 更要命的是验证器的试用范围
[00:04:36 - 00:04:39] 规则验证器只在数学和代码里造的出来
[00:04:39 - 00:04:42] 自由文本领域造不出规则,只能让LM当裁判
[00:04:42 - 00:04:45] 可AI裁判会引入奖励噪声
[00:04:45 - 00:04:48] 真实世界和人际交互压根没有好的验证器
[00:04:48 - 00:04:50] 但这里有个很关键的地方
[00:04:50 - 00:04:52] 主流方案的奖励还发的特别粗
[00:04:52 - 00:04:54] 以GRPO为例
[00:04:54 - 00:04:55] 整条rollout跑完
[00:04:55 - 00:04:57] 只拿一个二职的终局奖励
[00:04:57 - 00:04:59] 平均摊到每一个token上
[00:04:59 - 00:05:02] 一个算数小错和完全胡说八道
[00:05:02 - 00:05:04] 拿的是同一个零分
[00:05:04 - 00:05:06] 过程奖励和模型奖励的路线也有
[00:05:06 - 00:05:07] 只是都不成熟
[00:05:07 - 00:05:09] 这就是新用分配问题
[00:05:09 - 00:05:11] 模型分不清功劳和锅
[00:05:11 - 00:05:12] 该记载哪一步
[00:05:12 - 00:05:13] 再加上灾难性遗忘
[00:05:13 - 00:05:15] 长期强化学习又稳不住
[00:05:15 - 00:05:17] 三件事叠在一起
[00:05:17 - 00:05:18] Bottler的判断是
[00:05:18 - 00:05:21] 不解决这些能力就泛化不到数学
[00:05:21 - 00:05:23] 大部分科学和代码之外
[00:05:23 - 00:05:25] 前两点偏理论第三点直接见血
[00:05:25 - 00:05:28] 威斯康星大学麦迪迅分校搞了个基准
[00:05:28 - 00:05:30] 正式名叫slopcodebench
[00:05:30 - 00:05:32] 简称scbench
[00:05:32 - 00:05:34] 36道题196个checkpoint
[00:05:34 - 00:05:36] 模拟真实的长期项目
[00:05:36 - 00:05:39] 智能体要在自己之前写的代码上
[00:05:39 - 00:05:42] 跟着不断眼睛的需求一轮轮叠代
[00:05:42 - 00:05:44] 严格通过的标准是新功能测试要过
[00:05:44 - 00:05:47] 历史上所有回归测试也都要过
[00:05:47 - 00:05:50] GPT 5.50代的成绩惨不人赌
[00:05:50 - 00:05:52] 严格口径通过率只有14.8%
[00:05:52 - 00:05:56] 宽松点的isolated口径也只有28.1%
[00:05:56 - 00:05:58] 换成大白话100个检查点
[00:05:58 - 00:06:00] 不到15个能干净通过
[00:06:00 - 00:06:02] 而这已经是当时最强的编程模型了
[00:06:02 - 00:06:04] 更甚人的是腐化模式
[00:06:04 - 00:06:08] 77%的轨迹里代码结构在持续变差
[00:06:08 - 00:06:11] 智能体写的代码荣誉是473个开源
[00:06:11 - 00:06:14] Python仓库平均水平的2.3倍
[00:06:14 - 00:06:15] 腐化程度2倍
[00:06:15 - 00:06:17] 裂化速度是人类项目的5-7倍
[00:06:17 - 00:06:18] 有个点心案例
[00:06:18 - 00:06:21] OPOS 4.7做某道题
[00:06:21 - 00:06:25] 曼韩束从38行代码一路膨胀到240行
[00:06:25 - 00:06:27] 事情从这里开始变位了
[00:06:27 - 00:06:29] 这不是能力不够 这是退化
[00:06:29 - 00:06:33] 基准观察到的是结构侵蚀和荣誉不断累积
[00:06:33 - 00:06:35] 具体的退化机制论文本身还没有证明
[00:06:35 - 00:06:37] Bottler的推断是
[00:06:37 - 00:06:41] 模型没法把过去的决策和当前的决策稳定关联
[00:06:41 - 00:06:43] 每改一次都在背叛上一次的自己
[00:06:43 - 00:06:45] 社区里管这种惨法叫
[00:06:45 - 00:06:46] 面条化写久了
[00:06:46 - 00:06:47] 全缠在一起
[00:06:47 - 00:06:48] 人类项目也会腐化
[00:06:48 - 00:06:50] 但腐化速度快好几倍
[00:06:50 - 00:06:51] 性质就变了
[00:06:51 - 00:06:53] 有人会说那是老模型
[00:06:53 - 00:06:55] Human Layer的创始人Dex Horsie
[00:06:55 - 00:06:56] 拿基准的一个小切片
[00:06:56 - 00:06:58] 复策了新一轮模型
[00:06:58 - 00:06:59] GPT 5.6
[00:06:59 - 00:07:02] Fabre 5K3 Checkpoint通过率大概翻倍
[00:07:02 - 00:07:03] 但是没有任何一次运行
[00:07:03 - 00:07:06] 能完整干净地解除哪怕一道题
[00:07:06 - 00:07:08] 注意是一道都没有
[00:07:08 - 00:07:10] 它的完整测试报告还没发布
[00:07:10 - 00:07:11] Battler也提醒
[00:07:11 - 00:07:12] 这些只是个别样本
[00:07:12 - 00:07:14] 但趋势看得很清楚
[00:07:14 - 00:07:17] 分数在长干净完赛的能力还没跟上
[00:07:17 - 00:07:19] DEX天天给智能提造工具
[00:07:19 - 00:07:22] 还是12 Factor Agents的作者
[00:07:22 - 00:07:25] 他的完整报告值得等先做个小调查
[00:07:25 - 00:07:28] 你手里的任务交给AI无人职守跑一晚上
[00:07:28 - 00:07:28] 你敢吗
[00:07:28 - 00:07:30] 把你的看法打在公屏上
[00:07:30 - 00:07:31] 我很好奇
[00:07:31 - 00:07:32] 敢和不敢的比例
[00:07:32 - 00:07:33] 讲到这里
[00:07:33 - 00:07:35] 主流讨论里那个务区该挑明了
[00:07:35 - 00:07:37] 大家一直在争起飞了没有
[00:07:37 - 00:07:39] 好像这是一道是非体
[00:07:39 - 00:07:43] 但你看,Karen和Buttler炒的其实是两道不同的体
[00:07:43 - 00:07:45] Karen回答的是,前沿能力还在不在涨?
[00:07:45 - 00:07:48] 在涨,而且涨得猛,价格还在跳水
[00:07:48 - 00:07:53] Buttler回答的是,这套学习范氏能不能泛化到所有地方?
[00:07:53 - 00:07:55] 目前不能,而且读点很清楚
[00:07:55 - 00:07:58] 两个人都拿着真数据争的是两个坐标轴
[00:07:58 - 00:08:00] 数学突破是能力蓄势的顶点
[00:08:00 - 00:08:04] SCBench是工程蓄势的现状,两句话同时成立
[00:08:04 - 00:08:06] Carbetty在播客里有个说法特别准
[00:08:06 - 00:08:09] 而偶像在用吸管吸監督信号
[00:08:09 - 00:08:12] 大实验室的后训练主力都是RLVR
[00:08:12 - 00:08:14] 他的上线在哪儿学界还在打架
[00:08:14 - 00:08:16] Buttler自己的判断是
[00:08:16 - 00:08:18] 替代的学习范氏出现突破之前
[00:08:18 - 00:08:22] 模型在特定领域之外可能已经蹲在局部最优劣
[00:08:22 - 00:08:25] 注意这是他的判断不全是论文的结论
[00:08:25 - 00:08:28] 据指装智能这个词是Carbacy 2024年造的
[00:08:28 - 00:08:30] Mollick管他叫称词边界
[00:08:30 - 00:08:33] BCG做过一个758名顾问的实验
[00:08:33 - 00:08:37] 边界之内的任务用AI的人快25%质量更高
[00:08:37 - 00:08:41] 边界之外一个特意挑选的复杂任务上
[00:08:41 - 00:08:44] AI组的正确率反而低了19个百分点
[00:08:44 - 00:08:47] 麻烦的是输出看起来照样完整流畅
[00:08:47 - 00:08:49] 你很难意识到已经越界了
[00:08:49 - 00:08:51] 好全篇我最想给你的部分来了
[00:08:51 - 00:08:54] 一个思维框架再加一套实操清单
[00:08:54 - 00:08:55] 框架一句话
[00:08:55 - 00:08:57] 别问AGI哪天来
[00:08:57 - 00:08:59] 去画你自己的层次边界地图
[00:08:59 - 00:09:02] 模型能力是一条层次不起的边界线
[00:09:02 - 00:09:06] 边界内它强的下人,边界外它错的自信
[00:09:06 - 00:09:10] 你的工程水平和职业安全都取决于手里那张地图画的准不准
[00:09:10 - 00:09:12] 占卜几倍日期是媒体的工作
[00:09:12 - 00:09:15] 校准边界地图是工程师的工作
[00:09:15 - 00:09:16] 怎么画怎么用
[00:09:16 - 00:09:18] 我按调研结果给你八条能落地的东西
[00:09:18 - 00:09:21] 都来自一线团队的公开实践不掺水
[00:09:21 - 00:09:25] 前四条管流程第一条长任务别用一个绘画硬扛
[00:09:25 - 00:09:28] Anthropic公开过他们的双智能体方案
[00:09:28 - 00:09:30] 一个Initializer智能体
[00:09:30 - 00:09:34] 先把需求展开成feature list的json文件和初始化脚本
[00:09:34 - 00:09:36] 编码智能体每次绘画只做增量
[00:09:36 - 00:09:39] 开工先跑测试一次只做一两个特性
[00:09:39 - 00:09:42] 更新进度文件git提交收工
[00:09:42 - 00:09:44] 配套的户栏叫测试极轮
[00:09:44 - 00:09:48] 提示此理写死删除或修改测试来让它通过
[00:09:48 - 00:09:50] 是不可接受的行为
[00:09:50 - 00:09:54] 第二条开工前把完成条件写成外部可测的文件
[00:09:54 - 00:09:57] 这是防智能体中途偷偷重新定义完成
[00:09:57 - 00:09:58] 上下文不够用时
[00:09:58 - 00:10:02] 做权量重置 用结构化交接文件重建状态
[00:10:02 - 00:10:04] 向给新工程师做unboarding
[00:10:04 - 00:10:07] 第三条 生成和评估必须分开
[00:10:07 - 00:10:10] 模型给自己的作业打分永远偏宽松
[00:10:10 - 00:10:14] Anthropic的工程博客和Adios Money的总结都实测过这一点
[00:10:14 - 00:10:16] 评估器要和生成器隔离
[00:10:16 - 00:10:19] 高风险的地方 加一道人工review gate
[00:10:19 - 00:10:19] 第四条
[00:10:19 - 00:10:22] EVO做成二指的pass或fail
[00:10:22 - 00:10:24] 每个EVO只差一种失败模式
[00:10:24 - 00:10:27] 能用确定性检查就别用LLM Judge
[00:10:27 - 00:10:30] 而且要在真实生产流量上持续跑
[00:10:30 - 00:10:33] 线上出的每个Failure回贯程回归测试
[00:10:33 - 00:10:35] 这4条的共同思路就一句
[00:10:35 - 00:10:37] 把信任拆成可烟争的小块
[00:10:37 - 00:10:38] 模型负责往前跑
[00:10:38 - 00:10:40] 系统负责卡斯底线
[00:10:40 - 00:10:41] 后半4条管分寸
[00:10:41 - 00:10:44] 第5条人在回路按风险分析
[00:10:44 - 00:10:46] 不可逆的动作强制人工批准
[00:10:46 - 00:10:50] 策略写成Policy's Code在LLM之外强制执行
[00:10:50 - 00:10:53] 别让模型自己判断自己能不能动手
[00:10:53 - 00:10:55] 第6条学会用meter的任务
[00:10:55 - 00:10:56] 时程思路切任务
[00:10:56 - 00:10:59] 先说明白,时辰衡量的不是AI能连续跑多久
[00:10:59 - 00:11:04] 它是用人类专家完成任务的时间来标定任务难度
[00:11:04 - 00:11:06] 再看模型,在这个难度上的成功率
[00:11:06 - 00:11:10] MET2目前只报告50%和80%两档
[00:11:10 - 00:11:13] 99%那档数据不够估不出来
[00:11:13 - 00:11:17] 使用含义是任务越大越难,成功率掉得越快
[00:11:17 - 00:11:20] 你把大任务切到目标可靠度对应的颗粒度
[00:11:20 - 00:11:22] 成功率立刻不一样
[00:11:22 - 00:11:24] 这6条做完你的系统就有了江上
[00:11:24 - 00:11:27] 马能跑多快是马的是往哪跑是你的事
[00:11:27 - 00:11:31] 第七条专门对付SCBench那种腐化
[00:11:31 - 00:11:33] SCBench论文里有组数据很扎心
[00:11:33 - 00:11:36] 提示词干预只能改善初始质量
[00:11:36 - 00:11:37] 挡不住后续退化
[00:11:37 - 00:11:39] 所以要定期人工审查和重购
[00:11:39 - 00:11:42] 尤其是第一个checkpoint的架构评审
[00:11:42 - 00:11:45] 投入产出比最高第一块专Y了后面全是斜的
[00:11:45 - 00:11:47] 第八条回到个人
[00:11:47 - 00:11:49] 在你自己的真实任务上系统的是
[00:11:49 - 00:11:51] 记录模型在哪靠谱在哪翻车
[00:11:51 - 00:11:54] 画出你自己的层次边界地图
[00:11:54 - 00:11:56] 每換一次模型就更新一次
[00:11:56 - 00:11:59] 這張圖是你未來幾年最值錢的職業資產
[00:11:59 - 00:12:02] 8條講完你會發現他們都在回答同一個問題
[00:12:02 - 00:12:05] 怎麼和一個很強但不穩的隊友長期共識
[00:12:05 - 00:12:07] 往後看給你三個判斷
[00:12:07 - 00:12:10] 第一個起飛派手裡最強的一張牌
[00:12:10 - 00:12:12] 是Meter的任務師生曲線
[00:12:12 - 00:12:16] 按新版TH1.1的口徑前沿模型的50%任務時程
[00:12:16 - 00:12:21] 2019到2025年間大約每196天翻倍
[00:12:21 - 00:12:24] 2023年以后的估计加速到131天左右
[00:12:24 - 00:12:26] 但这里有个很关键的地方
[00:12:26 - 00:12:29] 这个指标衡量的是模型在一组软件
[00:12:29 - 00:12:32] 机器学习和网络安全任务上的成功概率
[00:12:32 - 00:12:35] 它不等于AI能连续自主工作多少个小时
[00:12:35 - 00:12:39] METR自己也说99%可靠度孤不准
[00:12:39 - 00:12:41] 超过16小时的点估计要谨慎
[00:12:41 - 00:12:44] 所以这条曲线说明能力在盟涨
[00:12:44 - 00:12:47] 但还推不出无人监督的长期工作已经被解决
[00:12:47 - 00:12:48] 第二个判断
[00:12:48 - 00:12:50] 记忆和持续学习会是下一个主战场
[00:12:50 - 00:12:53] 现在主流做法是绕开参数更新
[00:12:53 - 00:12:56] 用提示文件检索和外部记忆保存经验
[00:12:56 - 00:12:58] 你天天用的Cloud.md和Skill.md
[00:12:58 - 00:13:00] 就属于这类外部记忆
[00:13:00 - 00:13:03] 是上下文工程不算真正的持续学习
[00:13:03 - 00:13:06] 真正的持续参数学习还是研究问题
[00:13:06 - 00:13:08] 灾难性遗忘只是障碍之一
[00:13:08 - 00:13:10] 安全验证回归隐私也都是麻烦
[00:13:10 - 00:13:12] 这也应征了Battler说的
[00:13:12 - 00:13:14] 地规自我改进受限
[00:13:14 - 00:13:16] 谁能解决稳定的长期学习
[00:13:16 - 00:13:18] 谁才真正拿到其非许可
[00:13:18 - 00:13:22] 第三个判断 工程范氏会继续往Harness方向走
[00:13:22 - 00:13:24] 双智能体测试极伦PolicyS Code
[00:13:24 - 00:13:27] 会在一两年内从小中技巧变成标配
[00:13:27 - 00:13:29] Carpeti说的是Decade Vagent
[00:13:29 - 00:13:33] 工程师的活不会消失 会变成设计Harness的活
[00:13:33 - 00:13:35] 数学成果是真的震撼
[00:13:35 - 00:13:37] 实相结果机器可检验的证明
[00:13:37 - 00:13:39] 折算2000美元的Token成本
[00:13:39 - 00:13:41] 这不是公关稿能编出来的
[00:13:41 - 00:13:44] Buffler的冷水也是真的有一句
[00:13:44 - 00:13:48] 14.8%的严格通过率 5-7倍的腐化速度
[00:13:48 - 00:13:49] 信用分配的死结
[00:13:49 - 00:13:51] 每一条都指着同一句话
[00:13:51 - 00:13:52] 通用性还没到货
[00:13:52 - 00:13:53] 两边都对
[00:13:53 - 00:13:55] 因为他们回答的是两个问题
[00:13:55 - 00:13:57] 而对你我这样的工程师
[00:13:57 - 00:13:58] 真正要紧的
[00:13:58 - 00:13:59] 从来是第三个问题
[00:13:59 - 00:14:01] 在层次智能的时代
[00:14:01 - 00:14:02] 怎么造出可靠的系统
[00:14:02 - 00:14:04] 怎么安排自己的手艺
[00:14:04 - 00:14:06] 我的建议能做成一句少看
[00:14:06 - 00:14:07] 占卜多画地图
[00:14:07 - 00:14:08] 模型每换一代
[00:14:08 - 00:14:10] 你的边界地图就该更新一次
[00:14:10 - 00:14:11] 可靠的任务放大
[00:14:11 - 00:14:13] 不可靠的上Harness
[00:14:13 - 00:14:14] 留个问题给大家
[00:14:14 - 00:14:16] 你在自己的项目里遇到过
[00:14:16 - 00:14:18] 模型越改越烂的情况吗
[00:14:18 - 00:14:20] 是哪一類任務改到第幾輪開始爛的
[00:14:20 - 00:14:22] 你又是怎麼收場的
[00:14:22 - 00:14:25] 評論區聊聊你的經歷給同行們必必坑
[00:14:25 - 00:14:28] 也歡迎放上你對這場起飛爭論的立場
[00:14:28 - 00:14:30] 起飛派還是冷水派帶上你的理由
[00:14:30 - 00:14:33] 有用的經驗我會挑出來放進後續的視頻裡接著聊
[00:14:33 - 00:14:36] 下期想聽什麼主題也寫在評論裡
[00:14:36 - 00:14:38] 如果這些對你有啟發先謝謝觀看
[00:14:38 - 00:14:41] 記得點贊投幣收藏一鍵三連
[00:14:41 - 00:14:44] 你的三連是我繼續肯論文肯基準報告的動力
[00:14:44 - 00:14:45] 我們下期見
